name,solver,status,run_time,iter,obj_val,n,m,N
copo14,SCS-3.0,optimal,0.1871030330657959,175,0.0010021228509179438,1834,1275,2744
copo23,SCS-3.0,optimal,1.2050988674163818,275,0.0006046682293485271,8119,5820,12167
fap09,SCS-3.0,optimal,166.78667998313904,19450,-11.069591573130085,58326,30276,73377
filter48_socp,SCS-3.0,optimal,1.1235969066619873,750,-1.385563214237379,2156,969,46106
filtinf1,SCS-3.0,optimal,1.7279422283172607,875,2.9936417250646223e-06,2219,983,47618
hamming_7_5_6,SCS-3.0,optimal,0.2502422332763672,50,42.66664698166055,8256,1793,1920
hamming_8_3_4,SCS-3.0,optimal,2.0198540687561035,75,25.599998719216526,32896,16129,16384
hamming_9_5_6,SCS-3.0,optimal,24.99374794960022,150,85.32830581347409,131328,53761,54272
hamming_9_8,SCS-3.0,optimal,29.580976963043213,175,224.03036304685574,131328,2305,2816
hinf12,SCS-3.0,optimal,0.5639429092407227,3750,39.54304978131345,120,43,579
hinf13,SCS-3.0,optimal,0.21431803703308105,925,16.98746108809134,178,57,1444
minphase,SCS-3.0,optimal,9.791367769241333,7100,-5.384997553443705,1176,48,1176
nb,SCS-3.0,optimal,0.4825911521911621,275,0.050520901725349114,2383,123,192439
nb_L1,SCS-3.0,optimal,2.7846791744232178,2025,12.958072325954001,3176,915,193104
nb_L2,SCS-3.0,optimal,2.4338438510894775,750,1.6285917934870502,4195,123,404397
nb_L2_bessel,SCS-3.0,optimal,1.1554198265075684,725,0.10260924143698309,2641,123,209924
nql30,SCS-3.0,optimal,0.2639021873474121,200,0.9455574673978833,6302,3680,26819
nql30old,SCS-3.0,optimal,0.5307362079620361,225,-0.9486923361211064,8260,3601,35738
nql60,SCS-3.0,optimal,0.4772610664367676,50,0.0020846433538048354,25202,14560,107639
nql60old,SCS-3.0,optimal,7.023306131362915,575,-0.932512532507265,32720,14401,143478
qssp30,SCS-3.0,optimal,0.5932328701019287,400,6.401698645609493,7566,3691,36851
qssp30old,SCS-3.0,optimal,4.099637031555176,1000,-6.473221095736897,11164,5674,75591
qssp60,SCS-3.0,optimal,12.947799921035767,1650,6.558841316807873,29526,14581,149291
qssp60old,SCS-3.0,optimal,52.493680000305176,2350,-6.517601009699653,43924,22144,305961
sched_100_100_orig,SCS-3.0,dual infeasible,1.6258528232574463,450,-inf,18240,8338,104902
sched_100_100_scaled,SCS-3.0,max_iter_reached,277.56427788734436,100000,-27.491332509350705,18238,8337,114899
sched_100_50_orig,SCS-3.0,dual infeasible,0.13314485549926758,50,-inf,9746,4844,55291
sched_100_50_scaled,SCS-3.0,max_iter_reached,144.10002207756042,100000,-67.17877728239736,9744,4843,60288
sched_200_100_orig,SCS-3.0,dual infeasible,41.279263973236084,5775,-inf,37889,18087,260503
sched_200_100_scaled,SCS-3.0,max_iter_reached,668.5937540531158,100000,-51.957973408734425,37887,18086,280500
sched_50_50_orig,SCS-3.0,max_iter_reached,68.91063785552979,100000,-27683.22993661233,4979,2527,25488
sched_50_50_scaled,SCS-3.0,optimal,31.336302042007446,45200,-7.852096639210253,4977,2526,27985
torusg3-8,SCS-3.0,max_iter_reached,1000.5795378684998,3254,48115537.2315579,131328,512,512
toruspm3-8-50,SCS-3.0,optimal,385.07676005363464,1250,521.9459997443213,131328,512,512
truss5,SCS-3.0,optimal,43.06845998764038,47775,-136.0318628961738,1816,208,2823
truss8,SCS-3.0,optimal,70.39922380447388,34825,-136.3666622384061,6271,496,8286
