name,solver,status,run_time,iter,obj_val,n,m,N
cre-a,COSMO,optimal,3.7021141052246094,7100,23595643.935617197,4067,7583,19054
cre-b,COSMO,optimal,232.98973298072815,24500,23128854.762453474,72447,82095,328542
cre-c,COSMO,optimal,4.535612106323242,16400,25274034.841796823,3678,6746,16922
cre-d,COSMO,optimal,221.5193738937378,25200,24454243.711759523,69980,78906,312626
ken-07,COSMO,dual infeasible,0.16265416145324707,200,-inf,3602,6028,12006
ken-11,COSMO,dual infeasible,0.6266450881958008,300,-inf,21349,36043,70407
ken-13,COSMO,dual infeasible,0.6508278846740723,100,-inf,42659,71291,139905
ken-18,COSMO,dual infeasible,4.205617904663086,100,-inf,154699,259826,512870
osa-07,COSMO,max_iter_reached,189.94672894477844,100000,545290.4326140861,23949,25067,167643
osa-14,COSMO,max_iter_reached,478.8034749031067,100000,1009165.4583837067,52460,54797,367220
osa-30,COSMO,max_iter_reached,914.3867011070251,100000,1819910.304076361,100024,104374,700162
osa-60,COSMO,optimal,12.039138078689575,400,3613890.610930207,232966,243246,1630759
pds-02,COSMO,dual infeasible,0.14172005653381348,300,-inf,7535,10488,23925
pds-06,COSMO,dual infeasible,1.7426421642303467,300,-inf,28655,38536,91179
pds-10,COSMO,dual infeasible,3.4489128589630127,100,-inf,48763,65321,155199
pds-20,COSMO,dual infeasible,37.83505988121033,600,-inf,105728,139602,335928
