name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
cre-a,OSQP,optimal,1.3331568241119385,4850,23593399.85772302,4067,7583,19054,0,0.010283112,1.321121688,0.0,1
cre-b,OSQP,optimal,61.719465017318726,7525,23129209.978552006,72447,82095,328542,0,0.542745244,61.157857408,0.0,1
cre-c,OSQP,solver_error,24.236563205718994,100000,25275055.91917758,3678,6746,16922,0,0.010969613,24.224096437,0.0,2
cre-d,OSQP,optimal,19.367835998535156,2375,24453422.42031628,69980,78906,312626,0,0.465590197,18.887981047,0.0,2
ken-07,OSQP,optimal,0.1905369758605957,1075,-679679742.4488573,3602,6028,12006,0,0.004333967,0.159116918,0.0,2
ken-11,OSQP,optimal,52.9137921333313,30900,-6972386707.050952,21349,36043,70407,0,0.048005524,52.861034226,0.0,6
ken-13,OSQP,optimal,70.19260215759277,15400,-10257319797.628075,42659,71291,139905,0,0.099211569,70.09045963,0.0,4
ken-18,OSQP,time_limit,999.9597549438477,43698,-52216968186.09203,154699,259826,512870,0,0.975223179,999.040923342,0.0,5
osa-07,OSQP,solver_error,123.80259609222412,100000,424874.01416764007,23949,25067,167643,0,0.144082348,123.655870871,0.0,2
osa-14,OSQP,solver_error,344.69039511680603,100000,849230.6035800087,52460,54797,367220,0,0.534122071,344.159829692,0.0,4
osa-30,OSQP,solver_error,714.7041730880737,100000,1818170.4715385907,100024,104374,700162,0,1.514949332,713.150931258,0.0,2
osa-60,OSQP,time_limit,1000.1043548583984,49287,3625129.6537482394,232966,243246,1630759,0,1.547353268,998.47741033,0.0,6
pds-02,OSQP,optimal,16.6967670917511,54275,28857854884.53646,7535,10488,23925,0,0.012526023,16.680881538,0.0,34
pds-06,OSQP,optimal,345.879430770874,82100,27761001958.612007,28655,38536,91179,0,0.199939551,345.673432634,0.0,14
pds-10,OSQP,solver_error,867.5098052024841,100000,26727952251.80151,48763,65321,155199,0,0.847934988,866.620909021,0.0,2
pds-20,OSQP,time_limit,1000.0878479480743,35535,23823998611.589737,105728,139602,335928,0,6.332353878,993.697848636,0.0,2
