name,solver,status,run_time,iter,obj_val,n,m,N
cre-a,SCS-3.0,optimal,1.7896671295166016,3225,23595127.024892434,4067,7583,19054
cre-b,SCS-3.0,optimal,51.980409145355225,3275,23118931.944574125,72447,82095,328542
cre-c,SCS-3.0,optimal,1.4260632991790771,3200,25277397.6583702,3678,6746,16922
cre-d,SCS-3.0,optimal,35.617382287979126,2500,24451060.407088507,69980,78906,312626
ken-07,SCS-3.0,max_iter_reached,30.640069246292114,100000,-92828657890.72803,3602,6028,12006
ken-11,SCS-3.0,max_iter_reached,372.9778459072113,100000,-11111490184.919691,21349,36043,70407
ken-13,SCS-3.0,max_iter_reached,869.1110310554504,100000,-10511439641.317421,42659,71291,139905
ken-18,SCS-3.0,max_iter_reached,1001.7017359733582,25643,-54456429020.03672,154699,259826,512870
osa-07,SCS-3.0,optimal,10.621250867843628,3900,518421.0000865035,23949,25067,167643
osa-14,SCS-3.0,optimal,194.36429405212402,28300,1057927.3888266014,52460,54797,367220
osa-30,SCS-3.0,max_iter_reached,5120.08585691452,55244,1938507.3642273708,100024,104374,700162
osa-60,SCS-3.0,max_iter_reached,1002.5731530189514,24200,3680159.2189551634,232966,243246,1630759
pds-02,SCS-3.0,max_iter_reached,87.06668400764465,100000,28633024243.624146,7535,10488,23925
pds-06,SCS-3.0,primal infeasible,16.899447202682495,2000,inf,28655,38536,91179
pds-10,SCS-3.0,primal infeasible,35.50701594352722,1950,inf,48763,65321,155199
pds-20,SCS-3.0,primal infeasible,173.54755306243896,3125,inf,105728,139602,335928
