name,solver,status,run_time,iter,obj_val,n,m,N
infeas_clean_10_10_1,COSMO,max_iter_reached,18.20724606513977,100000,-0.5580451458355872,55,10,418
infeas_clean_10_10_10,COSMO,max_iter_reached,15.45027208328247,100000,-1.756334856048645,55,10,408
infeas_clean_10_10_100,COSMO,dual infeasible,1.121333122253418,7800,-inf,55,10,403
infeas_clean_10_10_11,COSMO,max_iter_reached,17.33303999900818,100000,-1.0475700990489876,55,10,415
infeas_clean_10_10_12,COSMO,dual infeasible,2.028367042541504,9100,-inf,55,10,411
infeas_clean_10_10_13,COSMO,max_iter_reached,21.62477707862854,100000,-0.8689817585416625,55,10,419
infeas_clean_10_10_14,COSMO,dual infeasible,1.3592088222503662,6900,-inf,55,10,396
infeas_clean_10_10_15,COSMO,max_iter_reached,16.34843897819519,100000,-0.8327161908671166,55,10,411
infeas_clean_10_10_16,COSMO,max_iter_reached,17.341681003570557,100000,-1.1537997280544816,55,10,422
infeas_clean_10_10_17,COSMO,max_iter_reached,18.150563955307007,100000,-0.9850946193197848,55,10,409
infeas_clean_10_10_18,COSMO,max_iter_reached,13.384521007537842,100000,-0.6161513050430412,55,10,401
infeas_clean_10_10_19,COSMO,max_iter_reached,12.296216011047363,100000,-1.4240589738411624,55,10,413
infeas_clean_10_10_2,COSMO,max_iter_reached,10.927119016647339,100000,-0.8973705727945855,55,10,407
infeas_clean_10_10_20,COSMO,max_iter_reached,11.393270015716553,100000,-3.1593053415902848,55,10,413
infeas_clean_10_10_21,COSMO,dual infeasible,4.847874879837036,36000,-inf,55,10,405
infeas_clean_10_10_22,COSMO,dual infeasible,5.947970867156982,47500,-inf,55,10,407
infeas_clean_10_10_23,COSMO,max_iter_reached,12.084769010543823,100000,-1.0871281060073272,55,10,408
infeas_clean_10_10_24,COSMO,max_iter_reached,11.030922889709473,100000,-0.7696274611227903,55,10,421
infeas_clean_10_10_25,COSMO,max_iter_reached,13.256580114364624,100000,-1.71513343950152,55,10,396
infeas_clean_10_10_26,COSMO,max_iter_reached,14.067823886871338,100000,-0.7785131820760903,55,10,409
infeas_clean_10_10_27,COSMO,max_iter_reached,14.900046110153198,100000,-1.4669505388495019,55,10,407
infeas_clean_10_10_28,COSMO,dual infeasible,1.9077348709106445,8500,-inf,55,10,399
infeas_clean_10_10_29,COSMO,dual infeasible,7.2690629959106445,32100,-inf,55,10,407
infeas_clean_10_10_3,COSMO,dual infeasible,1.6400058269500732,8200,-inf,55,10,399
infeas_clean_10_10_30,COSMO,dual infeasible,2.072175979614258,10200,-inf,55,10,411
infeas_clean_10_10_31,COSMO,max_iter_reached,18.715009927749634,100000,-1.0007785117716301,55,10,406
infeas_clean_10_10_32,COSMO,dual infeasible,0.691234827041626,5300,-inf,55,10,404
infeas_clean_10_10_33,COSMO,max_iter_reached,14.355765104293823,100000,-1.1588713748838255,55,10,411
infeas_clean_10_10_34,COSMO,dual infeasible,0.8904440402984619,6000,-inf,55,10,410
infeas_clean_10_10_35,COSMO,dual infeasible,0.8998558521270752,4900,-inf,55,10,407
infeas_clean_10_10_36,COSMO,max_iter_reached,14.785238981246948,100000,-0.8426277433269614,55,10,409
infeas_clean_10_10_37,COSMO,dual infeasible,0.3722999095916748,2800,-inf,55,10,408
infeas_clean_10_10_38,COSMO,max_iter_reached,16.16905403137207,100000,-1.409201452680103,55,10,402
infeas_clean_10_10_39,COSMO,max_iter_reached,14.754551887512207,100000,-1.1645525664073118,55,10,410
infeas_clean_10_10_4,COSMO,dual infeasible,4.5121660232543945,33100,-inf,55,10,411
infeas_clean_10_10_40,COSMO,max_iter_reached,19.04278302192688,100000,-1.2932169576605144,55,10,405
infeas_clean_10_10_41,COSMO,max_iter_reached,14.58290719985962,100000,-1.5283770396610907,55,10,416
infeas_clean_10_10_42,COSMO,dual infeasible,2.4895260334014893,17400,-inf,55,10,412
infeas_clean_10_10_43,COSMO,max_iter_reached,13.665605068206787,100000,-1.1153790988839358,55,10,415
infeas_clean_10_10_44,COSMO,dual infeasible,1.3744699954986572,11500,-inf,55,10,407
infeas_clean_10_10_45,COSMO,max_iter_reached,14.50341010093689,100000,-1.4586817722598924,55,10,413
infeas_clean_10_10_46,COSMO,max_iter_reached,14.526801109313965,100000,-1.5783147633073997,55,10,412
infeas_clean_10_10_47,COSMO,dual infeasible,3.9848978519439697,21600,-inf,55,10,408
infeas_clean_10_10_48,COSMO,max_iter_reached,12.95953106880188,100000,-0.8627319163813935,55,10,410
infeas_clean_10_10_49,COSMO,max_iter_reached,13.61058497428894,100000,-0.6628701494398432,55,10,414
infeas_clean_10_10_5,COSMO,max_iter_reached,13.403043031692505,100000,-1.639247152834153,55,10,418
infeas_clean_10_10_50,COSMO,max_iter_reached,13.769991874694824,100000,-0.9841069881961441,55,10,413
infeas_clean_10_10_51,COSMO,max_iter_reached,13.530461072921753,100000,-1.6482601691849286,55,10,414
infeas_clean_10_10_52,COSMO,max_iter_reached,14.92085886001587,100000,-1.2537622861463986,55,10,416
infeas_clean_10_10_53,COSMO,max_iter_reached,15.572721004486084,100000,-1.2449400204993668,55,10,414
infeas_clean_10_10_54,COSMO,max_iter_reached,13.90890097618103,100000,-0.9677094624840382,55,10,404
infeas_clean_10_10_55,COSMO,dual infeasible,0.9898309707641602,6300,-inf,55,10,407
infeas_clean_10_10_56,COSMO,max_iter_reached,14.190392017364502,100000,-1.0872991170865105,55,10,410
infeas_clean_10_10_57,COSMO,max_iter_reached,11.462929964065552,100000,-1.0285600447845458,55,10,414
infeas_clean_10_10_58,COSMO,max_iter_reached,13.758195877075195,100000,-1.0153475691541702,55,10,418
infeas_clean_10_10_59,COSMO,max_iter_reached,12.426839113235474,100000,-1.1871237328549067,55,10,410
infeas_clean_10_10_6,COSMO,dual infeasible,0.6972401142120361,5700,-inf,55,10,421
infeas_clean_10_10_60,COSMO,dual infeasible,3.496511936187744,27300,-inf,55,10,405
infeas_clean_10_10_61,COSMO,max_iter_reached,14.714908123016357,100000,-1.7323732910395877,55,10,408
infeas_clean_10_10_62,COSMO,dual infeasible,0.9302291870117188,8100,-inf,55,10,406
infeas_clean_10_10_63,COSMO,max_iter_reached,12.173258066177368,100000,-1.2060520335740683,55,10,414
infeas_clean_10_10_64,COSMO,max_iter_reached,11.681748867034912,100000,-1.6908597288685283,55,10,409
infeas_clean_10_10_65,COSMO,max_iter_reached,12.190518856048584,100000,-1.1432139592456318,55,10,411
infeas_clean_10_10_66,COSMO,max_iter_reached,13.174056053161621,100000,-1.1692878657385495,55,10,417
infeas_clean_10_10_67,COSMO,max_iter_reached,13.680590152740479,100000,-0.8878776907072616,55,10,409
infeas_clean_10_10_68,COSMO,dual infeasible,1.009430170059204,8500,-inf,55,10,400
infeas_clean_10_10_69,COSMO,max_iter_reached,13.958667993545532,100000,-1.5548960510904393,55,10,407
infeas_clean_10_10_7,COSMO,dual infeasible,3.403826951980591,19000,-inf,55,10,403
infeas_clean_10_10_70,COSMO,dual infeasible,0.7073049545288086,5200,-inf,55,10,406
infeas_clean_10_10_71,COSMO,dual infeasible,0.8717479705810547,6200,-inf,55,10,405
infeas_clean_10_10_72,COSMO,dual infeasible,2.508167028427124,13500,-inf,55,10,425
infeas_clean_10_10_73,COSMO,max_iter_reached,15.199481964111328,100000,-1.2768138560081521,55,10,414
infeas_clean_10_10_74,COSMO,max_iter_reached,15.63064694404602,100000,-0.9573343684144098,55,10,417
infeas_clean_10_10_75,COSMO,max_iter_reached,12.62618899345398,100000,-1.308342322122514,55,10,409
infeas_clean_10_10_76,COSMO,max_iter_reached,14.980485916137695,100000,-0.8586599537671695,55,10,412
infeas_clean_10_10_77,COSMO,max_iter_reached,13.184701919555664,100000,-1.303340524059029,55,10,415
infeas_clean_10_10_78,COSMO,max_iter_reached,13.719679832458496,100000,-0.9337048421908449,55,10,410
infeas_clean_10_10_79,COSMO,max_iter_reached,13.544260025024414,100000,-0.6706894598476091,55,10,415
infeas_clean_10_10_8,COSMO,max_iter_reached,14.55130910873413,100000,-1.0180489346902815,55,10,401
infeas_clean_10_10_80,COSMO,dual infeasible,4.60067081451416,24100,-inf,55,10,416
infeas_clean_10_10_81,COSMO,max_iter_reached,15.444638013839722,100000,-2.2484942464161284,55,10,408
infeas_clean_10_10_82,COSMO,dual infeasible,2.1958489418029785,16500,-inf,55,10,402
infeas_clean_10_10_83,COSMO,max_iter_reached,14.44420599937439,100000,-0.9318969242735109,55,10,410
infeas_clean_10_10_84,COSMO,max_iter_reached,14.593539953231812,100000,-1.0357494802509275,55,10,406
