name,solver,status,run_time,iter,obj_val,n,m,N
infeas_clean_10_10_1,SCS-3.0,dual infeasible,0.10843396186828613,3800,-inf,55,10,418
infeas_clean_10_10_10,SCS-3.0,dual infeasible,0.05665707588195801,2100,-inf,55,10,408
infeas_clean_10_10_100,SCS-3.0,dual infeasible,0.045480966567993164,1800,-inf,55,10,403
infeas_clean_10_10_11,SCS-3.0,dual infeasible,0.05523681640625,2025,-inf,55,10,415
infeas_clean_10_10_12,SCS-3.0,dual infeasible,0.11553692817687988,2800,-inf,55,10,411
infeas_clean_10_10_13,SCS-3.0,dual infeasible,0.21305608749389648,7800,-inf,55,10,419
infeas_clean_10_10_14,SCS-3.0,dual infeasible,0.03513979911804199,1450,-inf,55,10,396
infeas_clean_10_10_15,SCS-3.0,dual infeasible,0.09166812896728516,3675,-inf,55,10,411
infeas_clean_10_10_16,SCS-3.0,dual infeasible,0.18729591369628906,7650,-inf,55,10,422
infeas_clean_10_10_17,SCS-3.0,dual infeasible,0.1219480037689209,4675,-inf,55,10,409
infeas_clean_10_10_18,SCS-3.0,dual infeasible,0.1409778594970703,4975,-inf,55,10,401
infeas_clean_10_10_19,SCS-3.0,dual infeasible,0.15681195259094238,6100,-inf,55,10,413
infeas_clean_10_10_2,SCS-3.0,dual infeasible,0.1694190502166748,6700,-inf,55,10,407
infeas_clean_10_10_20,SCS-3.0,dual infeasible,0.06334996223449707,2725,-inf,55,10,413
infeas_clean_10_10_21,SCS-3.0,dual infeasible,0.057836055755615234,2650,-inf,55,10,405
infeas_clean_10_10_22,SCS-3.0,dual infeasible,0.10659003257751465,4975,-inf,55,10,407
infeas_clean_10_10_23,SCS-3.0,dual infeasible,0.08954691886901855,4200,-inf,55,10,408
infeas_clean_10_10_24,SCS-3.0,dual infeasible,0.5865309238433838,24150,-inf,55,10,421
infeas_clean_10_10_25,SCS-3.0,dual infeasible,0.07568836212158203,3325,-inf,55,10,396
infeas_clean_10_10_26,SCS-3.0,dual infeasible,0.1302800178527832,5525,-inf,55,10,409
infeas_clean_10_10_27,SCS-3.0,dual infeasible,0.05265402793884277,1600,-inf,55,10,407
infeas_clean_10_10_28,SCS-3.0,dual infeasible,0.12003612518310547,4100,-inf,55,10,399
infeas_clean_10_10_29,SCS-3.0,dual infeasible,0.10013699531555176,4325,-inf,55,10,407
infeas_clean_10_10_3,SCS-3.0,dual infeasible,0.07906413078308105,3475,-inf,55,10,399
infeas_clean_10_10_30,SCS-3.0,dual infeasible,0.108489990234375,4925,-inf,55,10,411
infeas_clean_10_10_31,SCS-3.0,dual infeasible,0.41109204292297363,19750,-inf,55,10,406
infeas_clean_10_10_32,SCS-3.0,dual infeasible,0.04816794395446777,1875,-inf,55,10,404
infeas_clean_10_10_33,SCS-3.0,dual infeasible,0.061244964599609375,2700,-inf,55,10,411
infeas_clean_10_10_34,SCS-3.0,dual infeasible,0.08850407600402832,4175,-inf,55,10,410
infeas_clean_10_10_35,SCS-3.0,dual infeasible,0.008772850036621094,350,-inf,55,10,407
infeas_clean_10_10_36,SCS-3.0,dual infeasible,0.11744093894958496,5100,-inf,55,10,409
infeas_clean_10_10_37,SCS-3.0,dual infeasible,0.015995025634765625,625,-inf,55,10,408
infeas_clean_10_10_38,SCS-3.0,dual infeasible,0.10369610786437988,5275,-inf,55,10,402
infeas_clean_10_10_39,SCS-3.0,dual infeasible,0.0710141658782959,3250,-inf,55,10,410
infeas_clean_10_10_4,SCS-3.0,dual infeasible,0.03451800346374512,1475,-inf,55,10,411
infeas_clean_10_10_40,SCS-3.0,dual infeasible,0.04516887664794922,2050,-inf,55,10,405
infeas_clean_10_10_41,SCS-3.0,dual infeasible,0.04943108558654785,1975,-inf,55,10,416
infeas_clean_10_10_42,SCS-3.0,dual infeasible,0.0969381332397461,4525,-inf,55,10,412
infeas_clean_10_10_43,SCS-3.0,dual infeasible,0.0494379997253418,2200,-inf,55,10,415
infeas_clean_10_10_44,SCS-3.0,dual infeasible,0.04872703552246094,2375,-inf,55,10,407
infeas_clean_10_10_45,SCS-3.0,dual infeasible,0.06873393058776855,3325,-inf,55,10,413
infeas_clean_10_10_46,SCS-3.0,dual infeasible,0.0608210563659668,2750,-inf,55,10,412
infeas_clean_10_10_47,SCS-3.0,dual infeasible,0.04925417900085449,2225,-inf,55,10,408
infeas_clean_10_10_48,SCS-3.0,dual infeasible,0.04707193374633789,2200,-inf,55,10,410
infeas_clean_10_10_49,SCS-3.0,dual infeasible,0.45980286598205566,22425,-inf,55,10,414
infeas_clean_10_10_5,SCS-3.0,dual infeasible,0.07189607620239258,3100,-inf,55,10,418
