name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,COSMO,optimal,2.9706549644470215,100,1687411.7528964924,1687411.8,20200,30200,80000
AUG2DC,COSMO,optimal,0.3462860584259033,100,1818368.0655703028,1818368.1,20200,30200,80400
AUG2DCQP,COSMO,optimal,3.548029899597168,1300,6498131.266727149,6498134.8,20200,30200,80400
AUG2DQP,COSMO,optimal,2.609434127807617,900,6236896.179305997,6237012.1,20200,30200,80000
AUG3D,COSMO,optimal,0.062338829040527344,100,554.0677257925277,554.06773,3873,4873,13092
AUG3DC,COSMO,optimal,0.06451606750488281,100,771.2624386889593,771.26244,3873,4873,14292
AUG3DCQP,COSMO,optimal,0.07507801055908203,100,993.3491042624737,993.36215,3873,4873,14292
AUG3DQP,COSMO,optimal,0.06300711631774902,100,675.2376714026782,675.23767,3873,4873,13092
BOYD1,COSMO,max_iter_reached,830.4448790550232,100000,-83523244.77777226,-61735220.0,93261,93279,745507
BOYD2,COSMO,solver_error,1000.324168920517,95949,253.30280087971522,21.256767,93263,279794,517049
CONT-050,COSMO,optimal,0.8554511070251465,2100,-4.563855419051538,-4.5638509,2597,4998,17199
CONT-100,COSMO,optimal,9.799077033996582,3500,-4.644453819270652,-4.6443979,10197,19998,69399
CONT-101,COSMO,optimal,17.03430700302124,5600,0.19543595456596208,0.19552733,10197,20295,62496
CONT-200,COSMO,optimal,351.7643201351166,25200,-4.683862339823619,-4.6848759,40397,79998,278799
CONT-201,COSMO,optimal,155.36666297912598,10000,0.19243161790924723,0.19248337,40397,80595,249996
CONT-300,COSMO,solver_error,1003.0559818744659,27218,0.20423895225790845,0.19151232,90597,180895,562496
CVXQP1_L,COSMO,optimal,50.17228698730469,4200,108680713.26172203,108704800.0,10000,15000,94966
CVXQP1_M,COSMO,optimal,0.06866884231567383,200,1087511.5673207298,1087511.6,1000,1500,9466
CVXQP1_S,COSMO,optimal,0.014978885650634766,200,11590.7181194511,11590.718,100,150,920
CVXQP2_L,COSMO,optimal,7.951527118682861,200,81842457.77727038,81842458.0,10000,12500,87467
CVXQP2_M,COSMO,optimal,0.05469703674316406,200,820155.4305111081,820155.43,1000,1250,8717
CVXQP2_S,COSMO,optimal,0.0054781436920166016,100,8120.940495215418,8120.9405,100,125,846
CVXQP3_L,COSMO,optimal,26.138012170791626,1600,115701197.01356056,115711100.0,10000,17500,102465
CVXQP3_M,COSMO,optimal,0.2786102294921875,1200,1362754.9458602697,1362828.7,1000,1750,10215
CVXQP3_S,COSMO,optimal,0.01517796516418457,200,11943.432142568025,11943.432,100,175,994
DPKLO1,COSMO,optimal,0.022043943405151367,100,0.3700962170400636,0.37009622,133,210,1785
DTOC3,COSMO,optimal,0.232025146484375,300,235.25885857919718,235.26248,14999,24997,64989
DUAL1,COSMO,optimal,0.01238393783569336,100,0.03499612961519149,0.035012966,85,86,7201
DUAL2,COSMO,optimal,0.006165981292724609,100,0.03373319856459371,0.033733676,96,97,9112
DUAL3,COSMO,optimal,0.006115913391113281,100,0.13575007422793506,0.13575584,111,112,12327
DUAL4,COSMO,optimal,0.006365060806274414,100,0.7460904421485428,0.74609084,75,76,5673
DUALC1,COSMO,optimal,0.36699414253234863,17300,6154.682810367764,6155.2508,9,224,2025
DUALC2,COSMO,optimal,0.47400498390197754,21600,3551.466061358954,3551.3077,7,236,1659
DUALC5,COSMO,optimal,0.0968010425567627,4200,427.1984541941915,427.23233,8,286,2296
DUALC8,COSMO,optimal,0.5842099189758301,20000,18306.57191240478,18309.359,8,511,4096
EXDATA,COSMO,optimal,4.850522994995117,900,-141.84291799060486,-141.84343,3000,6001,2260500
GENHS28,COSMO,optimal,0.0035810470581054688,100,0.9271736937663912,0.92717369,10,18,62
GOULDQP2,COSMO,optimal,0.03759503364562988,300,0.00018420890100371903,0.00018427534,699,1048,2791
GOULDQP3,COSMO,optimal,0.005816936492919922,100,2.062783971472527,2.062784,699,1048,3838
HS118,COSMO,optimal,0.009069204330444336,500,664.8244913628324,664.82045,15,32,69
HS21,COSMO,optimal,0.026635169982910156,100,-99.9599999340801,-99.96,2,3,6
HS268,COSMO,optimal,0.003598928451538086,100,7.354800436587539e-05,5.7310705e-07,5,10,55
HS35,COSMO,optimal,0.0287778377532959,100,0.11111111111111427,0.11111111,3,4,13
HS35MOD,COSMO,optimal,0.004757881164550781,100,0.24999999999999822,0.25,3,4,13
HS51,COSMO,optimal,0.0026710033416748047,100,8.881784197001252e-16,8.8817842e-16,5,8,21
HS52,COSMO,optimal,0.004467010498046875,100,5.3266475644699005,5.3266476,5,8,21
HS53,COSMO,optimal,0.002835988998413086,100,4.0930232558139545,4.0930233,5,8,21
HS76,COSMO,optimal,0.005217075347900391,100,-4.681817985964816,-4.6818182,4,7,22
HUES-MOD,COSMO,optimal,0.4723219871520996,1700,34829538.79541004,34824690.0,10000,10002,40000
HUESTIS,COSMO,optimal,2.3122060298919678,8600,348200156382.88855,348246900000.0,10000,10002,40000
KSIP,COSMO,optimal,0.008913040161132812,100,0.5752718009705857,0.57579794,20,1021,19938
LASER,COSMO,optimal,0.007742166519165039,100,2409552.417014799,2409601.4,1002,2002,9462
LISWET1,COSMO,optimal,0.11486697196960449,100,24.98825166093775,36.122402,10002,20002,50004
LISWET10,COSMO,optimal,0.06959199905395508,100,24.989301493144012,49.485785,10002,20002,50004
LISWET11,COSMO,optimal,0.0713648796081543,100,24.98677621434217,49.523957,10002,20002,50004
LISWET12,COSMO,optimal,0.07611918449401855,100,24.986506803118573,1736.9274,10002,20002,50004
LISWET2,COSMO,optimal,0.07350707054138184,100,24.984211881968577,24.998076,10002,20002,50004
LISWET3,COSMO,optimal,0.06929492950439453,100,24.98750502491032,25.00122,10002,20002,50004
LISWET4,COSMO,optimal,0.0722200870513916,100,24.98639685007845,25.000112,10002,20002,50004
LISWET5,COSMO,optimal,0.08559203147888184,100,25.02301846456612,25.034253,10002,20002,50004
LISWET6,COSMO,optimal,0.07559680938720703,100,24.982582949112384,24.995748,10002,20002,50004
LISWET7,COSMO,optimal,0.07464599609375,100,24.988118572842268,498.84089,10002,20002,50004
LISWET8,COSMO,optimal,0.08118891716003418,100,24.988016508079454,7144.7006,10002,20002,50004
