name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,COSMO_high,optimal,1.554574966430664,100,1687411.7528964924,1687411.8,20200,30200,80000
AUG2DC,COSMO_high,optimal,0.21084284782409668,100,1818368.0655703028,1818368.1,20200,30200,80400
AUG2DCQP,COSMO_high,optimal,1.6555640697479248,1400,6498135.845195013,6498134.8,20200,30200,80400
AUG2DQP,COSMO_high,optimal,1.2252089977264404,1000,6237013.707765932,6237012.1,20200,30200,80000
AUG3D,COSMO_high,optimal,0.03383898735046387,100,554.0677257925277,554.06773,3873,4873,13092
AUG3DC,COSMO_high,optimal,0.03307986259460449,100,771.2624386889593,771.26244,3873,4873,14292
AUG3DCQP,COSMO_high,optimal,0.15966296195983887,200,993.3621465248516,993.36215,3873,4873,14292
AUG3DQP,COSMO_high,optimal,0.02909088134765625,100,675.2376714026782,675.23767,3873,4873,13092
BOYD1,COSMO_high,max_iter_reached,600.914078950882,100000,-61735219.63940242,-61735220.0,93261,93279,745507
BOYD2,COSMO_high,max_iter_reached,752.0395469665527,100000,231.07859164137648,21.256767,93263,279794,517049
CONT-050,COSMO_high,optimal,0.7113819122314453,2100,-4.563850578700894,-4.5638509,2597,4998,17199
CONT-100,COSMO_high,optimal,19.17627501487732,8400,-4.644391653100593,-4.6443979,10197,19998,69399
CONT-101,COSMO_high,optimal,32.3914098739624,12800,0.19550968909365063,0.19552733,10197,20295,62496
CONT-200,COSMO_high,optimal,463.3548731803894,36100,-4.684885382813885,-4.6848759,40397,79998,278799
CONT-201,COSMO_high,optimal,421.4304099082947,29900,0.1924632807981178,0.19248337,40397,80595,249996
CONT-300,COSMO_high,solver_error,1003.0523409843445,27062,0.816003588170862,0.19151232,90597,180895,562496
CVXQP1_L,COSMO_high,optimal,121.02019691467285,11900,108704749.3706978,108704800.0,10000,15000,94966
CVXQP1_M,COSMO_high,optimal,0.12499690055847168,600,1087511.5500744844,1087511.6,1000,1500,9466
CVXQP1_S,COSMO_high,optimal,0.027055978775024414,400,11590.718061151472,11590.718,100,150,920
