name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
AUG2D,OSQP,optimal,0.14433598518371582,50,1687410.4314599645,1687411.8,20200,30200,80000,0,0.038762495,0.102761747,0.0,0
AUG2DC,OSQP,optimal,0.14173197746276855,50,1818365.5157921652,1818368.1,20200,30200,80400,0,0.038390595,0.100460987,0.0,0
AUG2DCQP,OSQP,optimal,1.8117060661315918,1100,6498207.294282869,6498134.8,20200,30200,80400,0,0.038721205,1.7707133879999999,0.0,3
AUG2DQP,OSQP,optimal,1.7072384357452393,1025,6236991.955551408,6237012.1,20200,30200,80000,0,0.038867693,1.666266813,0.0,4
AUG3D,OSQP,optimal,0.015614986419677734,25,554.0685582599585,554.06773,3873,4873,13092,0,0.007109518,0.007415904,0.0,0
AUG3DC,OSQP,optimal,0.015730857849121094,25,771.2633061482056,771.26244,3873,4873,14292,0,0.00731873,0.007350574,0.0,0
AUG3DCQP,OSQP,optimal,0.03316307067871094,75,993.3530867057243,993.36215,3873,4873,14292,0,0.007346558,0.024739253,0.0,1
AUG3DQP,OSQP,optimal,0.036115407943725586,75,675.2515838163704,675.23767,3873,4873,13092,0,0.007182193,0.027877379,0.0,2
BOYD1,OSQP,solver_error,880.6090071201324,100000,-83539399.12811485,-61735220.0,93261,93279,745507,0,0.167764709,880.432609533,0.0,2
BOYD2,OSQP,solver_error,1210.1801557540894,100000,242.5956698840238,21.256767,93263,279794,517049,0,0.244846096,1209.9122475,0.0,2
CONT-050,OSQP,optimal,0.31824469566345215,725,-4.56418421041022,-4.5638509,2597,4998,17199,0,0.009145792,0.308162297,0.0,6
CONT-100,OSQP,optimal,25.80714178085327,7825,-4.644391945871312,-4.6443979,10197,19998,69399,0,0.106576809,25.698759391,0.0,14
CONT-101,OSQP,optimal,31.070457220077515,8725,0.1954458622081977,0.19552733,10197,20295,62496,0,0.118353765,30.950522099,0.0,10
CONT-200,OSQP,optimal,227.9683289527893,12225,-4.683508170565817,-4.6848759,40397,79998,278799,0,0.924605696,227.038431028,0.0,3
CONT-201,OSQP,optimal,386.29131984710693,18450,0.19242653938423893,0.19248337,40397,80595,249996,0,1.203507819,385.084034481,0.0,12
CONT-300,OSQP,optimal,4552.4428794384,83950,0.19188911541242248,0.19151232,90597,180895,562496,0,5.082138297,4547.352918743,0.0,9
CVXQP1_L,OSQP,optimal,80.15813875198364,5200,108680296.98953608,108704800.0,10000,15000,94966,0,4.230872589,75.921504457,0.0,2
CVXQP1_M,OSQP,optimal,0.14613008499145508,200,1087430.6660778928,1087511.6,1000,1500,9466,0,0.034032057,0.109979697,0.0,2
CVXQP1_S,OSQP,optimal,0.0035681724548339844,100,11590.617249025625,11590.718,100,150,920,0,0.000290051,0.00127681,0.0,2
CVXQP2_L,OSQP,optimal,11.891911745071411,350,81842158.96251252,81842458.0,10000,12500,87467,0,2.880266755,9.004742149,0.0,2
CVXQP2_M,OSQP,optimal,0.06243777275085449,125,820154.9018212386,820155.43,1000,1250,8717,0,0.010010772,0.050107917,0.0,3
CVXQP2_S,OSQP,optimal,0.019279956817626953,75,8120.939843604306,8120.9405,100,125,846,0,0.000247767,0.002785921,0.0,2
CVXQP3_L,OSQP,optimal,25.691468238830566,700,115702716.94622304,115711100.0,10000,17500,102465,0,5.263018558,20.42144511,0.0,2
CVXQP3_M,OSQP,optimal,0.37520408630371094,1325,1362756.3658108904,1362828.7,1000,1750,10215,0,0.01830153,0.35441462,0.0,3
CVXQP3_S,OSQP,optimal,0.0022902488708496094,75,11943.424319117634,11943.432,100,175,994,0,0.00025957,0.000739827,0.0,2
DPKLO1,OSQP,optimal,0.0020744800567626953,50,0.370096217114379,0.37009622,133,210,1785,0,0.00037319,0.000935027,0.0,1
DTOC3,OSQP,optimal,41.22078490257263,40100,235.21963455576494,235.26248,14999,24997,64989,0,0.01505131,41.20345174,0.0,2
DUAL1,OSQP,optimal,0.004111528396606445,75,0.03496405373600232,0.035012966,85,86,7201,0,0.000518362,0.001528348,0.0,1
DUAL2,OSQP,optimal,0.003364086151123047,25,0.033684371519910605,0.033733676,96,97,9112,0,0.000674736,0.000613549,0.0,0
DUAL3,OSQP,optimal,0.006003379821777344,50,0.13558587648243334,0.13575584,111,112,12327,0,0.00104378,0.002195475,0.0,1
DUAL4,OSQP,optimal,0.004076480865478516,75,0.7460561391559086,0.74609084,75,76,5673,0,0.000437531,0.001527053,0.0,2
DUALC1,OSQP,optimal,0.11771249771118164,17800,6154.713333011113,6155.2508,9,224,2025,0,0.000156098,0.116192723,0.0,8
DUALC2,OSQP,optimal,0.320728063583374,46950,3551.0995158008823,3551.3077,7,236,1659,0,0.000133696,0.319297331,0.0,1312
DUALC5,OSQP,optimal,0.03070855140686035,3750,427.19238156043855,427.23233,8,286,2296,0,0.000172849,0.029189241,0.0,29
DUALC8,OSQP,optimal,0.27280473709106445,19925,18306.505361304837,18309.359,8,511,4096,0,0.000305229,0.271073864,0.0,7
EXDATA,OSQP,optimal,8.18821096420288,850,-141.8429505538863,-141.84343,3000,6001,2260500,0,1.367509993,6.695307264,0.0,2
GENHS28,OSQP,optimal,0.0012760162353515625,25,0.9271678999292942,0.92717369,10,18,62,0,4.2717e-05,5.9603e-05,0.0,0
GOULDQP2,OSQP,optimal,0.002808094024658203,25,0.00022751056498218625,0.00018427534,699,1048,2791,0,0.000488676,0.000744534,0.0,0
GOULDQP3,OSQP,optimal,0.002824068069458008,25,2.062787154191028,2.062784,699,1048,3838,0,0.000628354,0.000772009,0.0,0
HS118,OSQP,optimal,0.0011408329010009766,425,664.8014821349427,664.82045,15,32,69,0,4.9368e-05,0.00042023,0.0,4
HS21,OSQP,optimal,0.0007724761962890625,75,-99.96000146918315,-99.96,2,3,6,0,2.8655e-05,5.9951e-05,0.0,1
HS268,OSQP,optimal,0.0018172264099121094,25,0.45997679554420756,5.7310705e-07,5,10,55,0,3.3966e-05,0.000103068,0.0,0
HS35,OSQP,optimal,0.0017805099487304688,25,0.11111111101044635,0.11111111,3,4,13,0,3.1501e-05,8.9727e-05,0.0,0
HS35MOD,OSQP,optimal,0.0018017292022705078,25,0.2500015507375366,0.25,3,4,13,0,3.1234e-05,9.0068e-05,0.0,0
HS51,OSQP,optimal,0.0018112659454345703,25,1.0950351736482844e-11,8.8817842e-16,5,8,21,0,3.2289e-05,9.3174e-05,0.0,0
HS52,OSQP,optimal,0.0017962455749511719,25,5.326647607006849,5.3266476,5,8,21,0,3.0296e-05,9.4497e-05,0.0,0
HS53,OSQP,optimal,0.0017819404602050781,25,4.093023298898925,4.0930233,5,8,21,0,3.1093e-05,9.51e-05,0.0,0
HS76,OSQP,optimal,0.0018091201782226562,75,-4.681817922888242,-4.6818182,4,7,22,0,3.112e-05,0.000120549,0.0,1
HUES-MOD,OSQP,optimal,0.690026044845581,1500,34828707.14984788,34824690.0,10000,10002,40000,0,0.006220151,0.68217204,0.0,2
HUESTIS,OSQP,optimal,0.797849178314209,2050,348208829169.62256,348246900000.0,10000,10002,40000,0,0.004549743,0.791944973,0.0,2
KSIP,OSQP,optimal,0.011472940444946289,100,0.5752798776397692,0.57579794,20,1021,19938,0,0.001982161,0.008500955,0.0,0
LASER,OSQP,optimal,0.010576963424682617,100,2409522.7590446295,2409601.4,1002,2002,9462,0,0.001455298,0.007014509,0.0,1
LISWET1,OSQP,optimal,0.09381961822509766,100,24.990613375910016,36.122402,10002,20002,50004,0,0.012564881,0.07949178,0.0,1
LISWET10,OSQP,optimal,0.09194254875183105,100,24.99276026074085,49.485785,10002,20002,50004,0,0.012675664,0.077567203,0.0,1
LISWET11,OSQP,optimal,0.09538793563842773,100,24.990230167067693,49.523957,10002,20002,50004,0,0.012601562,0.08095333,0.0,1
LISWET12,OSQP,optimal,0.0874171257019043,100,24.98992603624356,1736.9274,10002,20002,50004,0,0.013956185,0.071433327,0.0,1
LISWET2,OSQP,optimal,0.07031369209289551,100,24.986550386831595,24.998076,10002,20002,50004,0,0.008286857,0.060304126,0.0,1
LISWET3,OSQP,optimal,0.11614394187927246,100,24.989846767216818,25.00122,10002,20002,50004,0,0.008883077,0.105706175,0.0,1
LISWET4,OSQP,optimal,0.09925174713134766,100,24.98874053254292,25.000112,10002,20002,50004,0,0.008387212,0.088873682,0.0,1
LISWET5,OSQP,optimal,0.08024764060974121,100,25.02449906503898,25.034253,10002,20002,50004,0,0.01125365,0.066367997,0.0,1
LISWET6,OSQP,optimal,0.07307124137878418,100,24.986039643602908,24.995748,10002,20002,50004,0,0.008325042,0.063038945,0.0,1
LISWET7,OSQP,optimal,0.07028770446777344,100,24.989885931221124,498.84089,10002,20002,50004,0,0.008337708,0.060496769,0.0,1
LISWET8,OSQP,optimal,0.07113480567932129,100,24.989729651525522,7144.7006,10002,20002,50004,0,0.008393348,0.061348041,0.0,1
LISWET9,OSQP,optimal,0.07087206840515137,100,24.989719640794647,1963.2513,10002,20002,50004,0,0.008255439,0.061208563,0.0,1
LOTSCHD,OSQP,optimal,0.0007462501525878906,100,2398.280087997826,2398.4159,12,19,72,0,4.0332e-05,0.000108841,0.0,1
MOSARQP1,OSQP,optimal,0.015239477157592773,100,-952.890889516443,-952.87544,2500,3200,8512,0,0.00222179,0.01157319,0.0,1
MOSARQP2,OSQP,optimal,0.010279178619384766,75,-1597.4836576052157,-1597.4821,900,1500,4820,0,0.001688973,0.006875355,0.0,1
POWELL20,OSQP,solver_error,68.14551377296448,100000,45654248196.323715,52089583000.0,10000,20000,40000,0,0.011511391,68.132103763,0.0,2
