name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
AUG2D,OSQP_high,optimal,0.0675809383392334,50,1687410.4314599645,1687411.8,20200,30200,80000,0,0.020749174,0.045384625,0.0,0
AUG2DC,OSQP_high,optimal,0.06897616386413574,50,1818365.5157921652,1818368.1,20200,30200,80400,0,0.020911899,0.046887515,0.0,0
AUG2DCQP,OSQP_high,optimal,1.1361150741577148,1250,6498136.759672977,6498134.8,20200,30200,80400,0,0.020953361,1.113957619,0.0,4
AUG2DQP,OSQP_high,optimal,1.0156822204589844,1075,6237010.545554322,6237012.1,20200,30200,80000,0,0.027132171,0.987162214,0.0,5
AUG3D,OSQP_high,optimal,0.00822305679321289,25,554.0685582599585,554.06773,3873,4873,13092,0,0.003964819,0.003837408,0.0,0
AUG3DC,OSQP_high,optimal,0.033969879150390625,25,771.2633061482056,771.26244,3873,4873,14292,0,0.004198647,0.029323665,0.0,0
AUG3DCQP,OSQP_high,optimal,0.021381139755249023,100,993.3620812536087,993.36215,3873,4873,14292,0,0.004208006,0.01671285,0.0,1
AUG3DQP,OSQP_high,optimal,0.038194894790649414,100,675.2376518073334,675.23767,3873,4873,13092,0,0.004162629,0.018062176,0.0,2
BOYD1,OSQP_high,max_iter_reached,507.70242404937744,100000,-83539399.12811495,-61735220.0,93261,93279,745507,0,0.090862088,507.609347393,0.0,2
BOYD2,OSQP_high,max_iter_reached,658.8830490112305,100000,242.59566988349135,21.256767,93263,279794,517049,0,0.129835922,658.745443175,0.0,2
CONT-050,OSQP_high,optimal,0.6377520561218262,2100,-4.563851488773437,-4.5638509,2597,4998,17199,0,0.008097459,0.628807158,0.0,8
CONT-100,OSQP_high,optimal,11.681715965270996,5825,-4.64440151060586,-4.6443979,10197,19998,69399,0,0.0504932,11.630349069,0.0,14
CONT-101,OSQP_high,optimal,20.192356824874878,9200,0.19555469040200035,0.19552733,10197,20295,62496,0,0.057719222,20.133839263,0.0,12
CONT-200,OSQP_high,optimal,365.4910628795624,32200,-4.684869311926103,-4.6848759,40397,79998,278799,0,0.417354483,365.034735133,0.0,17
CONT-201,OSQP_high,optimal,312.61138701438904,23875,0.19245759995279776,0.19248337,40397,80595,249996,0,0.55640431,312.049667149,0.0,18
CONT-300,OSQP_high,time_limit,1000.0223097801208,29352,0.40856719793898144,0.19151232,90597,180895,562496,0,2.301919881,997.729628116,0.0,6
CVXQP1_L,OSQP_high,optimal,122.0222179889679,12850,108703651.56078191,108704800.0,10000,15000,94966,0,2.117225531,119.90001382,0.0,3
CVXQP1_M,OSQP_high,optimal,0.04838109016418457,175,1087511.479323005,1087511.6,1000,1500,9466,0,0.006313506,0.041231282,0.0,3
CVXQP1_S,OSQP_high,optimal,0.0014638900756835938,125,11590.718590322595,11590.718,100,150,920,0,0.000191404,0.000690719,0.0,2
CVXQP2_L,OSQP_high,optimal,9.2445650100708,400,81842458.3162989,81842458.0,10000,12500,87467,0,1.359099369,7.881620741,0.0,4
CVXQP2_M,OSQP_high,optimal,0.06120777130126953,150,820155.4248351894,820155.43,1000,1250,8717,0,0.004552357,0.055856655,0.0,3
CVXQP2_S,OSQP_high,optimal,0.01975107192993164,100,8120.940296166512,8120.9405,100,125,846,0,0.000164,0.000510845,0.0,3
CVXQP3_L,OSQP_high,optimal,19.79246425628662,1250,115710846.22441395,115711100.0,10000,17500,102465,0,2.515086417,17.273324351,0.0,2
CVXQP3_M,OSQP_high,optimal,0.6680362224578857,3525,1362828.732252137,1362828.7,1000,1750,10215,0,0.010345413,0.656863223,0.0,5
CVXQP3_S,OSQP_high,optimal,0.010625123977661133,100,11943.431850096253,11943.432,100,175,994,0,0.000196104,0.001353867,0.0,2
DPKLO1,OSQP_high,optimal,0.0016338825225830078,50,0.3700962171144734,0.37009622,133,210,1785,0,0.000350389,0.00091467,0.0,1
DTOC3,OSQP_high,optimal,18.743782997131348,43075,235.23508146050102,235.26248,14999,24997,64989,0,0.009507275,18.727241095,0.0,2
DUAL1,OSQP_high,optimal,0.01859879493713379,175,0.035012471042546074,0.035012966,85,86,7201,0,0.00023186,0.001599418,0.0,1
DUAL2,OSQP_high,optimal,0.0025801658630371094,125,0.03373353054193487,0.033733676,96,97,9112,0,0.000319705,0.001487819,0.0,1
DUAL3,OSQP_high,optimal,0.0037817955017089844,150,0.13575494267514873,0.13575584,111,112,12327,0,0.000423786,0.002514833,0.0,2
DUAL4,OSQP_high,optimal,0.0016238689422607422,100,0.7460899350893426,0.74609084,75,76,5673,0,0.000175014,0.000834279,0.0,2
DUALC1,OSQP_high,optimal,0.17588520050048828,17525,6154.560120418791,6155.2508,9,224,2025,0,9.5124e-05,0.128342841,0.0,8
DUALC2,OSQP_high,optimal,0.4032261371612549,45575,3550.9472870867576,3551.3077,7,236,1659,0,8.2212e-05,0.402600285,0.0,1099
DUALC5,OSQP_high,optimal,0.05395674705505371,4325,427.2239752473093,427.23233,8,286,2296,0,0.000108486,0.025618011,0.0,29
DUALC8,OSQP_high,optimal,0.23796892166137695,20975,18307.534002599346,18309.359,8,511,4096,0,0.000181349,0.224755043,0.0,7
EXDATA,OSQP_high,optimal,4.680497169494629,1000,-141.843424888752,-141.84343,3000,6001,2260500,0,0.549062107,4.028518259,0.0,2
