name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
AUG2D,OSQP_high,optimal,0.07005190849304199,50,1687410.4314599645,1687411.8,20200,30200,80000,0,0.021447187,0.0449397,0.0,0
AUG2DC,OSQP_high,optimal,0.07457208633422852,50,1818365.5157921652,1818368.1,20200,30200,80400,0,0.020970979,0.052318659,0.0,0
AUG2DCQP,OSQP_high,optimal,1.1633810997009277,1250,6498136.759672977,6498134.8,20200,30200,80400,0,0.022027605,1.139821288,0.0,4
AUG2DQP,OSQP_high,optimal,1.0699288845062256,1075,6237010.545554322,6237012.1,20200,30200,80000,0,0.023247882,1.045439707,0.0,5
AUG3D,OSQP_high,optimal,0.035444021224975586,25,554.0685582599585,554.06773,3873,4873,13092,0,0.004380093,0.030592448,0.0,0
AUG3DC,OSQP_high,optimal,0.009062767028808594,25,771.2633061482056,771.26244,3873,4873,14292,0,0.00474077,0.003819275,0.0,0
AUG3DCQP,OSQP_high,optimal,0.048195838928222656,100,993.3620812536087,993.36215,3873,4873,14292,0,0.004808451,0.042909444,0.0,1
AUG3DQP,OSQP_high,optimal,0.046437740325927734,100,675.2376518073334,675.23767,3873,4873,13092,0,0.004325688,0.019462683,0.0,2
BOYD1,OSQP_high,max_iter_reached,503.3192329406738,100000,-83539399.12811495,-61735220.0,93261,93279,745507,0,0.097052036,503.222875936,0.0,2
BOYD2,OSQP_high,max_iter_reached,649.9691431522369,100000,242.59566988349135,21.256767,93263,279794,517049,0,0.123552296,649.858220818,0.0,2
CONT-050,OSQP_high,optimal,0.6171340942382812,2100,-4.563851488773437,-4.5638509,2597,4998,17199,0,0.008885504,0.607281315,0.0,8
CONT-100,OSQP_high,optimal,11.634778022766113,5825,-4.64440151060586,-4.6443979,10197,19998,69399,0,0.050392771,11.584544288,0.0,14
CONT-101,OSQP_high,optimal,19.881567001342773,9200,0.19555469040200035,0.19552733,10197,20295,62496,0,0.059452695,19.822210587,0.0,12
CONT-200,OSQP_high,optimal,363.5865559577942,32200,-4.684869311926103,-4.6848759,40397,79998,278799,0,0.410205404,363.179325393,0.0,17
CONT-201,OSQP_high,optimal,309.76293301582336,23875,0.19245759995279776,0.19248337,40397,80595,249996,0,0.579443892,309.185214963,0.0,18
CONT-300,OSQP_high,time_limit,1000.058394908905,29659,0.4039087068311652,0.19151232,90597,180895,562496,0,2.182133934,997.826938255,0.0,6
CVXQP1_L,OSQP_high,optimal,120.62296605110168,12850,108703651.56078191,108704800.0,10000,15000,94966,0,2.065196831,118.551521823,0.0,3
CVXQP1_M,OSQP_high,optimal,0.04963397979736328,175,1087511.479323005,1087511.6,1000,1500,9466,0,0.006230102,0.03986176,0.0,3
CVXQP1_S,OSQP_high,optimal,0.006627082824707031,125,11590.718590322595,11590.718,100,150,920,0,0.000182089,0.000633854,0.0,2
CVXQP2_L,OSQP_high,optimal,9.185295104980469,400,81842458.3162989,81842458.0,10000,12500,87467,0,1.378949812,7.802755196,0.0,4
CVXQP2_M,OSQP_high,optimal,0.03455495834350586,150,820155.4248351894,820155.43,1000,1250,8717,0,0.005656519,0.027191936,0.0,3
CVXQP2_S,OSQP_high,optimal,0.003495931625366211,100,8120.940296166512,8120.9405,100,125,846,0,0.000168894,0.000470962,0.0,3
CVXQP3_L,OSQP_high,optimal,33.65272402763367,2700,115710831.03809133,115711100.0,10000,17500,102465,0,2.428245358,31.220491134,0.0,2
CVXQP3_M,OSQP_high,optimal,0.6417498588562012,3525,1362828.732252137,1362828.7,1000,1750,10215,0,0.008067387,0.632831537,0.0,5
CVXQP3_S,OSQP_high,optimal,0.017027854919433594,100,11943.431850096253,11943.432,100,175,994,0,0.000378088,0.001388324,0.0,2
DPKLO1,OSQP_high,optimal,0.002065896987915039,50,0.3700962171144734,0.37009622,133,210,1785,0,0.000454182,0.001097552,0.0,1
DTOC3,OSQP_high,optimal,18.55400013923645,43075,235.23508146050102,235.26248,14999,24997,64989,0,0.009947487,18.536730457,0.0,2
DUAL1,OSQP_high,optimal,0.008111238479614258,175,0.035012471042546074,0.035012966,85,86,7201,0,0.000257794,0.001852704,0.0,1
DUAL2,OSQP_high,optimal,0.002768278121948242,125,0.03373353054193487,0.033733676,96,97,9112,0,0.000341027,0.001569222,0.0,1
DUAL3,OSQP_high,optimal,0.004062175750732422,150,0.13575494267514873,0.13575584,111,112,12327,0,0.000452928,0.002696937,0.0,2
DUAL4,OSQP_high,optimal,0.03229093551635742,100,0.7460899350893426,0.74609084,75,76,5673,0,0.000185026,0.031459592,0.0,2
DUALC1,OSQP_high,optimal,0.17713499069213867,17525,6154.560120418791,6155.2508,9,224,2025,0,9.2397e-05,0.127579462,0.0,8
DUALC2,OSQP_high,optimal,1.4957828521728516,45575,3550.9472870867576,3551.3077,7,236,1659,0,8.4193e-05,1.466719686,0.0,1099
DUALC5,OSQP_high,optimal,0.07366394996643066,4325,427.2239752473093,427.23233,8,286,2296,0,0.000199927,0.029110717,0.0,29
DUALC8,OSQP_high,optimal,0.2566838264465332,20975,18307.534002599346,18309.359,8,511,4096,0,0.000201787,0.255955152,0.0,7
EXDATA,OSQP_high,optimal,4.680695056915283,1000,-141.843424888752,-141.84343,3000,6001,2260500,0,0.546235889,4.040313515,0.0,2
GENHS28,OSQP_high,optimal,0.02277684211730957,25,0.9271678999292942,0.92717369,10,18,62,0,2.0555e-05,0.022236433,0.0,0
GOULDQP2,OSQP_high,optimal,0.0545191764831543,2975,0.00018426975295658676,0.00018427534,699,1048,2791,0,0.000382826,0.053419083,0.0,5
GOULDQP3,OSQP_high,optimal,0.0019478797912597656,50,2.062783970755845,2.062784,699,1048,3838,0,0.000346257,0.000984603,0.0,0
HS118,OSQP_high,optimal,0.0337221622467041,525,664.820097810577,664.82045,15,32,69,0,2.4043e-05,0.033454281,0.0,4
HS21,OSQP_high,optimal,0.0004019737243652344,125,-99.95999956316838,-99.96,2,3,6,0,9.56e-06,5.4334e-05,0.0,2
HS268,OSQP_high,optimal,0.0005929470062255859,75,0.003943564768633223,5.7310705e-07,5,10,55,0,1.437e-05,4.1585e-05,0.0,2
HS35,OSQP_high,optimal,0.0005109310150146484,25,0.11111111101044635,0.11111111,3,4,13,0,7.875e-06,2.135e-05,0.0,0
HS35MOD,OSQP_high,optimal,0.0004978179931640625,25,0.2500015507375366,0.25,3,4,13,0,7.629e-06,2.1427e-05,0.0,0
HS51,OSQP_high,optimal,0.0005469322204589844,50,0.0,8.8817842e-16,5,8,21,0,9.789e-06,2.8094e-05,0.0,0
HS52,OSQP_high,optimal,0.033312082290649414,25,5.326647607006849,5.3266476,5,8,21,0,9.747e-06,0.032842251,0.0,0
HS53,OSQP_high,optimal,0.0005009174346923828,25,4.093023298898925,4.0930233,5,8,21,0,1.1249e-05,2.4604e-05,0.0,0
HS76,OSQP_high,optimal,0.0005829334259033203,75,-4.681817922888947,-4.6818182,4,7,22,0,1.041e-05,3.2632e-05,0.0,1
HUES-MOD,OSQP_high,optimal,0.36711597442626953,1650,34825630.35596743,34824690.0,10000,10002,40000,0,0.004434313,0.361901091,0.0,2
HUESTIS,OSQP_high,optimal,0.5294039249420166,2300,348232628439.09827,348246900000.0,10000,10002,40000,0,0.004436869,0.518011832,0.0,2
KSIP,OSQP_high,optimal,0.12968206405639648,2725,0.5757915427576806,0.57579794,20,1021,19938,0,0.001162612,0.104212828,0.0,2
LASER,OSQP_high,optimal,0.005889892578125,125,2409597.0001873374,2409601.4,1002,2002,9462,0,0.000652848,0.003871523,0.0,1
