name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,QPALM,optimal,0.3498249053955078,24,1687411.7425124682,1687411.8,20200,30200,80000
AUG2DC,QPALM,optimal,0.3086981773376465,18,1818368.0612225547,1818368.1,20200,30200,80400
AUG2DCQP,QPALM,optimal,0.877549409866333,53,6498134.69865827,6498134.8,20200,30200,80400
AUG2DQP,QPALM,max_iter_reached,33.110543727874756,2500,6237012.025567527,6237012.1,20200,30200,80000
AUG3D,QPALM,optimal,0.03098750114440918,12,554.0677173004167,554.06773,3873,4873,13092
AUG3DC,QPALM,optimal,0.044312477111816406,20,771.262436615274,771.26244,3873,4873,14292
AUG3DCQP,QPALM,optimal,0.11937952041625977,39,993.3621464420245,993.36215,3873,4873,14292
AUG3DQP,QPALM,optimal,0.15511751174926758,43,675.2376711913969,675.23767,3873,4873,13092
BOYD1,QPALM,max_iter_reached,116.92872905731201,2500,-61735219.64097358,-61735220.0,93261,93279,745507
BOYD2,QPALM,max_iter_reached,223.21087527275085,2500,18.0469619665109,21.256767,93263,279794,517049
CONT-050,QPALM,optimal,0.07274556159973145,16,-4.563850910867312,-4.5638509,2597,4998,17199
CONT-100,QPALM,optimal,1.7591049671173096,37,-4.644397888249328,-4.6443979,10197,19998,69399
CONT-101,QPALM,optimal,7.805283784866333,131,0.19552733263334293,0.19552733,10197,20295,62496
CONT-200,QPALM,optimal,7.655393600463867,21,-4.684875918912783,-4.6848759,40397,79998,278799
CONT-201,QPALM,optimal,189.03546118736267,271,0.19248337174964866,0.19248337,40397,80595,249996
CONT-300,QPALM,optimal,994.3873844146729,377,0.19151228610351928,0.19151232,90597,180895,562496
CVXQP1_L,QPALM,optimal,859.9034004211426,1288,108704798.74702992,108704800.0,10000,15000,94966
CVXQP1_M,QPALM,optimal,15.812530994415283,88,1087511.565284654,1087511.6,1000,1500,9466
CVXQP1_S,QPALM,optimal,0.00436711311340332,41,11590.718118441193,11590.718,100,150,920
CVXQP2_L,QPALM,optimal,151.30698537826538,120,81842458.26247515,81842458.0,10000,12500,87467
CVXQP2_M,QPALM,optimal,0.25322675704956055,66,820155.430967827,820155.43,1000,1250,8717
CVXQP2_S,QPALM,optimal,0.0038640499114990234,39,8120.940472552082,8120.9405,100,125,846
CVXQP3_L,QPALM,optimal,583.3528578281403,492,115711104.51844178,115711100.0,10000,17500,102465
CVXQP3_M,QPALM,optimal,12.20772671699524,118,1362828.7294657875,1362828.7,1000,1750,10215
CVXQP3_S,QPALM,optimal,0.004775524139404297,42,11943.43220148309,11943.432,100,175,994
DPKLO1,QPALM,optimal,0.004880189895629883,20,0.3700962132805446,0.37009622,133,210,1785
DTOC3,QPALM,optimal,0.8117623329162598,136,235.26247831049758,235.26248,14999,24997,64989
DUAL1,QPALM,optimal,0.004601478576660156,23,0.035012965315131976,0.035012966,85,86,7201
DUAL2,QPALM,optimal,0.0038404464721679688,15,0.033733676175440125,0.033733676,96,97,9112
DUAL3,QPALM,optimal,0.005547523498535156,19,0.13575583559328253,0.13575584,111,112,12327
DUAL4,QPALM,optimal,0.003275156021118164,19,0.7460908335512247,0.74609084,75,76,5673
DUALC1,QPALM,optimal,0.004319906234741211,29,6155.250826929188,6155.2508,9,224,2025
DUALC2,QPALM,optimal,0.0028891563415527344,22,3551.3076926679137,3551.3077,7,236,1659
DUALC5,QPALM,optimal,0.0027861595153808594,17,427.23232734577687,427.23233,8,286,2296
DUALC8,QPALM,optimal,0.004258155822753906,25,18309.35871719321,18309.359,8,511,4096
EXDATA,QPALM,optimal,19.108993530273438,271,-141.84343218932884,-141.84343,3000,6001,2260500
GENHS28,QPALM,optimal,0.002591371536254883,8,0.9271736940085242,0.92717369,10,18,62
GOULDQP2,QPALM,optimal,0.02882838249206543,52,0.00018427450380118236,0.00018427534,699,1048,2791
GOULDQP3,QPALM,optimal,0.02761220932006836,38,2.0627839483422576,2.062784,699,1048,3838
HS118,QPALM,optimal,0.003694772720336914,33,664.8204499872849,664.82045,15,32,69
HS21,QPALM,optimal,0.0022237300872802734,7,-99.96000000004973,-99.96,2,3,6
