name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0,optimal,0.10266900062561035,25,1687406.2106635913,1687411.8,20200,30200,80000,46.426096,51.396563,0.1,0
AUG2DC,SCS-3.0,optimal,0.1125330924987793,25,1818361.345641473,1818368.1,20200,30200,80400,51.216439,55.431206,0.1,0
AUG2DCQP,SCS-3.0,optimal,2.840904951095581,1625,6498102.221815566,6498134.8,20200,30200,80400,47.883589,2787.708212,11.782286051922721,4
AUG2DQP,SCS-3.0,optimal,2.97416090965271,1675,6236964.4716918105,6237012.1,20200,30200,80000,50.019181,2919.145228,10.751066317489288,4
AUG3D,SCS-3.0,optimal,0.01807379722595215,25,554.0677516501187,554.06773,3873,4873,13092,9.251133,7.145317,0.1,0
AUG3DC,SCS-3.0,optimal,0.018908023834228516,25,771.2624603618979,771.26244,3873,4873,14292,9.138913,8.366883,0.1,0
AUG3DCQP,SCS-3.0,optimal,0.07745671272277832,250,993.2681055752532,993.36215,3873,4873,14292,8.582481,67.684843,8.058533700703345,2
AUG3DQP,SCS-3.0,optimal,0.06433582305908203,200,675.2358524822171,675.23767,3873,4873,13092,9.477815,53.637922,0.9956391774040215,1
BOYD1,SCS-3.0,optimal,1.639219045639038,150,-83560335.33182636,-61735220.0,93261,93279,745507,272.952148,1328.680583,87.89100789599047,1
BOYD2,SCS-3.0,optimal,2.1231279373168945,125,-3.671242767808863,21.256767,93263,279794,517049,297.667281,1776.28056,0.015441371987280534,1
CONT-050,SCS-3.0,optimal,0.7891080379486084,1975,-4.564898990967221,-4.5638509,2597,4998,17199,15.265992,770.98939,26.588062002666152,3
CONT-100,SCS-3.0,optimal,0.8670330047607422,275,-4.69315920182158,-4.6443979,10197,19998,69399,84.062274,778.173021,0.1,0
CONT-101,SCS-3.0,optimal,23.397922039031982,7500,0.1953062458004735,0.19552733,10197,20295,62496,105.28996,23286.346349,0.014033337270403382,7
CONT-200,SCS-3.0,optimal,23.365551948547363,1350,-4.731407139872292,-4.6848759,40397,79998,278799,671.865007,22665.938916,8.547759583960641e-05,4
CONT-201,SCS-3.0,optimal,128.0475389957428,7225,0.1922825314662372,0.19248337,40397,80595,249996,923.613806,127094.890322,0.0038529918109549083,11
CONT-300,SCS-3.0,optimal,337.61638712882996,7450,0.20132686057310256,0.19151232,90597,180895,562496,3653.873557,333890.721294,0.0006139773043794256,4
CVXQP1_L,SCS-3.0,max_iter_reached,1002.9783070087433,93900,105232653.28377272,108704800.0,10000,15000,94966,2814.96382,1000162.699957,1000000.0,12
CVXQP1_M,SCS-3.0,max_iter_reached,17.949646711349487,100000,1083735.9329807204,1087511.6,1000,1500,9466,8.992836,17939.530258,225910.675424827,8
CVXQP1_S,SCS-3.0,optimal,0.1505279541015625,16400,11590.385976050826,11590.718,100,150,920,0.414176,149.315862,4876.879981844192,4
CVXQP2_L,SCS-3.0,max_iter_reached,789.8623039722443,100000,79095253.99787557,81842458.0,10000,12500,87467,2053.981826,787806.74479,1000000.0,8
CVXQP2_M,SCS-3.0,max_iter_reached,13.487021923065186,100000,820434.686659902,820155.43,1000,1250,8717,6.796761,13479.051551,8771.032847894725,7
CVXQP2_S,SCS-3.0,max_iter_reached,0.8978891372680664,100000,8676.384235020503,8120.9405,100,125,846,0.310444,897.012003,5933.8562445770895,361
CVXQP3_L,SCS-3.0,max_iter_reached,1003.4460780620575,70550,113308806.62379853,115711100.0,10000,17500,102465,3226.542122,1000206.214397,1000000.0,10
CVXQP3_M,SCS-3.0,max_iter_reached,24.46224093437195,100000,1362835.412074627,1362828.7,1000,1750,10215,13.194318,24448.035064,11342.730242519558,13
CVXQP3_S,SCS-3.0,max_iter_reached,1.0422241687774658,100000,12096.420654327787,11943.432,100,175,994,0.395928,1041.214741,3114.9469906238796,399
DPKLO1,SCS-3.0,optimal,0.0308380126953125,25,0.37009621695883554,0.37009622,133,210,1785,0.590773,29.744805,0.1,0
DTOC3,SCS-3.0,optimal,0.7472009658813477,625,227.25272883986204,235.26248,14999,24997,64989,31.211063,711.775512,0.009073718840066651,1
DUAL1,SCS-3.0,optimal,0.02101922035217285,325,0.03490372687333166,0.035012966,85,86,7201,0.951662,18.869143,101.02289218396342,3
DUAL2,SCS-3.0,optimal,0.006396770477294922,225,0.03368576559236254,0.033733676,96,97,9112,1.218286,3.601561,39.573364785864094,2
DUAL3,SCS-3.0,optimal,0.03282022476196289,225,0.13556328239258839,0.13575584,111,112,12327,26.850547,4.478045,38.02380806224427,2
DUAL4,SCS-3.0,optimal,0.004157304763793945,225,0.7458971178465904,0.74609084,75,76,5673,0.749337,2.4543,90.54902465416085,2
DUALC1,SCS-3.0,optimal,0.03083205223083496,125,6167.868494171784,6155.2508,9,224,2025,28.535532,1.598289,0.006575208485391364,1
DUALC2,SCS-3.0,optimal,0.002405881881713867,75,3549.097190084294,3551.3077,7,236,1659,0.630105,0.793765,0.1,0
DUALC5,SCS-3.0,optimal,0.03235816955566406,125,424.7393123327976,427.23233,8,286,2296,0.356695,31.311854,0.0072076874877687064,1
DUALC8,SCS-3.0,optimal,0.00838923454284668,300,18147.719875890543,18309.359,8,511,4096,1.062902,6.239194,0.1,0
EXDATA,SCS-3.0,optimal,7.8835859298706055,1425,-141.7580649839747,-141.84343,3000,6001,2260500,1502.276376,6228.181104,0.1,0
GENHS28,SCS-3.0,optimal,0.025944948196411133,25,0.9271736846535605,0.92717369,10,18,62,0.240363,24.448714,0.1,0
GOULDQP2,SCS-3.0,optimal,0.03214001655578613,625,0.0001843308958856692,0.00018427534,699,1048,2791,2.176277,28.546839,0.0009025770073671965,3
GOULDQP3,SCS-3.0,optimal,0.003922939300537109,25,1.9920557541117887,2.062784,699,1048,3838,1.594017,1.279673,0.1,0
HS118,SCS-3.0,optimal,0.0011799335479736328,300,664.6778558660458,664.82045,15,32,69,0.204442,0.562646,0.03118573003960783,1
HS21,SCS-3.0,optimal,0.0006170272827148438,75,-99.96005219950251,-99.96,2,3,6,0.124642,0.114434,0.1,0
HS268,SCS-3.0,optimal,0.02927374839782715,300,0.8086821399701876,5.7310705e-07,5,10,55,28.147971,0.452349,0.00027858554323493916,2
HS35,SCS-3.0,optimal,0.0007557868957519531,25,0.1105755512411335,0.11111111,3,4,13,0.119287,0.109733,0.1,0
HS35MOD,SCS-3.0,optimal,0.0008711814880371094,25,0.2499999915440867,0.25,3,4,13,0.130048,0.134543,0.1,0
HS51,SCS-3.0,optimal,0.0010099411010742188,25,8.881784197001252e-16,8.8817842e-16,5,8,21,0.128863,0.110032,0.1,0
HS52,SCS-3.0,optimal,0.029654979705810547,25,5.3266475127036115,5.3266476,5,8,21,28.936516,0.118528,0.1,0
HS53,SCS-3.0,optimal,0.0008807182312011719,25,4.093023216589305,4.0930233,5,8,21,0.143098,0.131884,0.1,0
HS76,SCS-3.0,optimal,0.0010721683502197266,50,-4.68191927592162,-4.6818182,4,7,22,0.126947,0.089735,0.1,0
HUES-MOD,SCS-3.0,optimal,0.18270277976989746,350,34822575.8772353,34824690.0,10000,10002,40000,12.773901,167.567201,0.9898489158240125,1
HUESTIS,SCS-3.0,optimal,9.236137866973877,18950,348216637189.9742,348246900000.0,10000,10002,40000,14.634127,9218.966029,454.7230078101485,2
KSIP,SCS-3.0,optimal,0.029402732849121094,75,0.5753088616553976,0.57579794,20,1021,19938,3.878506,24.88658,0.1,0
LASER,SCS-3.0,optimal,0.23589491844177246,3425,2410603.6640829192,2409601.4,1002,2002,9462,2.679219,231.828014,15.351535700745693,10
LISWET1,SCS-3.0,optimal,0.19849705696105957,225,24.988703409875598,36.122402,10002,20002,50004,19.225286,176.019737,2.488495428360308,2
LISWET10,SCS-3.0,optimal,0.21624112129211426,225,24.990609007137664,49.485785,10002,20002,50004,22.744601,190.383487,2.0027177081205014,2
LISWET11,SCS-3.0,optimal,0.2125720977783203,225,24.988072659939007,49.523957,10002,20002,50004,24.638062,184.799968,2.00669382012353,2
LISWET12,SCS-3.0,optimal,0.22056102752685547,225,24.987758596702406,1736.9274,10002,20002,50004,23.205968,193.852922,2.0068656066233066,2
LISWET2,SCS-3.0,optimal,0.2178969383239746,225,24.984399048827527,24.998076,10002,20002,50004,23.940382,190.190684,2.5948131502166034,2
LISWET3,SCS-3.0,optimal,0.24032211303710938,225,24.989184914120415,25.00122,10002,20002,50004,28.984019,207.217843,2.6778968442954225,2
LISWET4,SCS-3.0,optimal,0.18921995162963867,200,24.989288795344237,25.000112,10002,20002,50004,23.845987,161.804058,0.6217516954949901,1
LISWET5,SCS-3.0,optimal,0.16305088996887207,150,25.019295847154353,25.034253,10002,20002,50004,26.592001,132.361632,0.35654998659849313,1
LISWET6,SCS-3.0,optimal,0.22878217697143555,225,24.983726580953316,24.995748,10002,20002,50004,36.094235,189.448248,2.043277088275988,2
LISWET7,SCS-3.0,optimal,0.2603638172149658,225,24.988292188350442,498.84089,10002,20002,50004,22.731507,233.778538,2.749751212842047,2
LISWET8,SCS-3.0,optimal,0.254497766494751,225,24.9884518441595,7144.7006,10002,20002,50004,29.130191,221.86949,2.7106097392368116,2
LISWET9,SCS-3.0,optimal,0.21822190284729004,225,24.988475370767446,1963.2513,10002,20002,50004,20.751671,193.466398,2.7110481994793965,2
LOTSCHD,SCS-3.0,optimal,0.02647995948791504,575,2397.92366193309,2398.4159,12,19,72,0.118865,25.956037,5.921872493267963,2
MOSARQP1,SCS-3.0,optimal,0.03246617317199707,175,-952.8717627433709,-952.87544,2500,3200,8512,4.708257,26.474588,0.6993959934373111,1
MOSARQP2,SCS-3.0,optimal,0.020408153533935547,125,-1597.4754319947972,-1597.4821,900,1500,4820,6.203588,13.257978,0.3592689821091037,1
POWELL20,SCS-3.0,max_iter_reached,83.03249502182007,100000,inf,52089583000.0,10000,20000,40000,38.253176,82990.454025,8.85001740160008,5
PRIMAL1,SCS-3.0,optimal,0.003910064697265625,25,-0.03505469233096277,-0.035012965,325,410,6464,2.480606,0.912333,0.1,0
PRIMAL2,SCS-3.0,optimal,0.007112264633178711,25,-0.033733789598628876,-0.033733676,649,745,9339,4.563384,1.885707,0.1,0
PRIMAL3,SCS-3.0,optimal,0.01916813850402832,50,-0.13575418060195152,-0.13575584,745,856,23036,13.601758,4.850494,0.1,0
PRIMAL4,SCS-3.0,optimal,0.020727157592773438,75,-0.745928497262729,-0.74609083,1489,1564,19008,13.031738,7.193642,0.1,0
PRIMALC1,SCS-3.0,optimal,0.006605863571166992,300,-7436.095912237021,-6155.2508,230,239,2529,0.693834,5.380936,0.0009249857248014641,2
PRIMALC2,SCS-3.0,optimal,0.0072901248931884766,425,-6034.96852584212,-3551.3077,231,238,2078,0.715953,6.144467,0.0011108016507876924,3
PRIMALC5,SCS-3.0,optimal,0.14165806770324707,7825,-427.25581258049084,-427.23233,287,295,2869,0.574884,140.740968,0.00801153789828279,3
PRIMALC8,SCS-3.0,optimal,0.85561203956604,24700,-18706.10282548718,-18309.43,520,528,5199,1.327489,853.695779,0.001282306445282018,8
Q25FV47,SCS-3.0,max_iter_reached,40.586950063705444,100000,13171591.08496069,13744448.0,1571,2391,130523,31.323567,40547.016305,19.845942000444136,3
QADLITTL,SCS-3.0,optimal,0.015279054641723633,2500,436804.7496817586,480318.86,97,153,637,0.329731,14.207779,0.3246176469642437,1
QAFIRO,SCS-3.0,optimal,0.0012400150299072266,175,-1.590526465748018,-1.5907818,32,59,124,0.163008,0.467026,0.3920362162549059,1
QBANDM,SCS-3.0,optimal,0.07620000839233398,1775,16349.991677340688,16352.342,472,777,3023,1.92211,72.849336,17.14218832269787,3
QBEACONF,SCS-3.0,optimal,0.014642000198364258,400,164656.1859362544,164712.06,262,435,3673,1.401511,12.361745,0.3581538946558682,1
QBORE3D,SCS-3.0,optimal,0.14390277862548828,5125,2895.5132882741564,3100.2008,315,548,1872,0.954606,141.99109,0.0023223575648352282,2
QBRANDY,SCS-3.0,optimal,0.1820049285888672,5575,26541.44127328995,28375.115,249,469,2511,1.490673,179.560249,0.6972587334343546,1
QCAPRI,SCS-3.0,max_iter_reached,3.6288859844207764,100000,44062057.0357531,66793293.0,353,624,3852,2.190122,3625.339998,5940.334485062181,6
QE226,SCS-3.0,optimal,0.1958942413330078,6175,212.38140852149147,212.65343,282,505,4721,1.410418,193.647426,0.1,0
QETAMACR,SCS-3.0,optimal,1.7387771606445312,12175,86121.26606317809,86760.37,688,1088,11613,6.583281,1730.900045,0.1,0
QFFFFF80,SCS-3.0,max_iter_reached,10.632256031036377,100000,846338.9741734208,873147.47,854,1378,10635,4.434622,10626.771516,2.8451243764029623,2
QFORPLAN,SCS-3.0,optimal,0.0274960994720459,650,6633336510.5291815,7456631500.0,421,582,6112,2.63023,24.047105,2196.2836422671608,5
QGFRDXPN,SCS-3.0,max_iter_reached,7.057354927062988,100000,35045320244.59353,100790590000.0,1092,1708,3739,1.6544,7054.904156,0.14473195001633332,13
QGROW15,SCS-3.0,max_iter_reached,6.321252822875977,100000,-inf,-101693640.0,645,945,7227,4.035588,6315.895553,0.00018503935789734676,4
QGROW22,SCS-3.0,max_iter_reached,8.534435987472534,100000,-inf,-149628950.0,946,1386,10837,3.720042,8529.906992,8.692469055253107e-05,5
QGROW7,SCS-3.0,max_iter_reached,2.5513811111450195,100000,-inf,-42798714.0,301,441,3597,1.10066,2549.432767,0.00038460493751824975,4
QISRAEL,SCS-3.0,optimal,0.08571910858154297,4750,42532.13926601119,25347838.0,142,316,3765,0.965593,83.980016,5.5233630991656386e-06,4
QPCBLEND,SCS-3.0,optimal,0.002710103988647461,300,-0.008607494304012326,-0.0078425409,83,157,657,0.327863,1.995677,3.554225852377418,2
QPCBOEI1,SCS-3.0,max_iter_reached,4.419327020645142,100000,10371.293340558414,11503914.0,384,735,4253,1.733385,4417.054021,13.700583816688763,4
QPCBOEI2,SCS-3.0,optimal,0.2818288803100586,19775,7232891.25776423,8171962.3,143,309,1482,0.782486,280.58943,2.4886840847929004,2
QPCSTAIR,SCS-3.0,max_iter_reached,5.163722038269043,100000,6093312.207644765,6204387.5,467,823,4790,1.739242,5161.396767,1000000.0,6
QPILOTNO,SCS-3.0,optimal,1.7579660415649414,5750,4243633.943284383,4728586.9,2172,3147,16105,12.174911,1744.257126,0.20988886838745696,4
QPTEST,SCS-3.0,optimal,0.0007050037384033203,50,4.371874999421632,4.371875,2,4,10,0.099165,0.093855,0.1,0
QRECIPE,SCS-3.0,optimal,0.004282712936401367,300,-266.61529638793616,-266.616,180,271,923,0.433003,3.260131,0.028005737929980568,1
QSC205,SCS-3.0,optimal,0.0017511844635009766,50,-0.006313966531953185,-0.0058139518,203,408,785,0.445363,0.754038,0.1,0
QSCAGR25,SCS-3.0,optimal,0.20529627799987793,6600,198230405.7281807,201737940.0,500,971,2282,0.884873,203.726333,302.6314312563765,4
QSCAGR7,SCS-3.0,optimal,0.023346900939941406,2600,26816839.039060976,26865949.0,140,269,602,0.414363,22.185589,52.48232856463223,4
QSCFXM1,SCS-3.0,optimal,0.4284331798553467,10500,5412177.176705272,16882692.0,457,787,4456,1.522136,426.178831,0.31643307130277054,1
QSCFXM2,SCS-3.0,optimal,0.17223763465881348,1975,2846065.832233056,27776162.0,914,1574,8285,3.704922,167.617397,0.5960821294315707,1
QSCFXM3,SCS-3.0,max_iter_reached,14.605684995651245,100000,17657021.868716788,30816355.0,1371,2361,11501,5.214791,14599.329923,21.669941396966482,6
QSCORPIO,SCS-3.0,optimal,0.07620906829833984,2750,1880.6632282128244,1880.5096,358,746,1842,1.333359,73.783989,2.267044793377371,2
QSCRS8,SCS-3.0,optimal,0.12263202667236328,1400,912.951548685849,904.56001,1169,1659,4560,2.177841,119.575917,0.1,0
QSCSD1,SCS-3.0,optimal,0.03127622604370117,625,8.667209371613556,8.6666667,760,837,4584,2.192867,28.069028,0.3374930098343349,1
