name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0,optimal,0.10066986083984375,25,1687406.2106635913,1687411.8,20200,30200,80000,51.858998,43.317043,0.1,0
AUG2DC,SCS-3.0,optimal,0.1008610725402832,25,1818361.345641473,1818368.1,20200,30200,80400,52.767416,43.185134,0.1,0
AUG2DCQP,SCS-3.0,optimal,2.809229850769043,1625,6498102.221815566,6498134.8,20200,30200,80400,53.215916,2751.164218,11.782286051922721,4
AUG2DQP,SCS-3.0,optimal,2.719303846359253,1675,6236964.4716918105,6237012.1,20200,30200,80000,54.035871,2660.011151,10.751066317489288,4
AUG3D,SCS-3.0,optimal,0.016460180282592773,25,554.0677516501187,554.06773,3873,4873,13092,8.83321,6.399493,0.1,0
AUG3DC,SCS-3.0,optimal,0.017856121063232422,25,771.2624603618979,771.26244,3873,4873,14292,9.867475,6.864754,0.1,0
AUG3DCQP,SCS-3.0,optimal,0.07505011558532715,250,993.2681055752532,993.36215,3873,4873,14292,9.946608,63.875551,8.058533700703345,2
AUG3DQP,SCS-3.0,optimal,0.06142687797546387,200,675.2358524822171,675.23767,3873,4873,13092,9.472165,50.803377,0.9956391774040215,1
BOYD1,SCS-3.0,optimal,223.6037368774414,27600,-61768787.44082242,-61735220.0,93261,93279,745507,329.213392,223241.94123,1e-06,2
BOYD2,SCS-3.0,max_iter_reached,1000.5888741016388,82800,20.431514251444725,21.256767,93263,279794,517049,341.558436,1000219.757231,1e-06,2
CONT-050,SCS-3.0,optimal,1.463027000427246,4450,-4.564942449070095,-4.5638509,2597,4998,17199,14.853181,1446.068685,0.004561790333589981,2
CONT-100,SCS-3.0,optimal,17.86266803741455,7250,-4.645710673799525,-4.6443979,10197,19998,69399,75.223329,17783.42821,0.00033287575941418345,3
CONT-101,SCS-3.0,optimal,20.122223138809204,7450,0.1954431774956239,0.19552733,10197,20295,62496,92.90019,20025.160497,0.014119935018316746,7
CONT-200,SCS-3.0,optimal,19.606364965438843,1325,-4.730304385182016,-4.6848759,40397,79998,278799,568.698547,19018.304459,8.59428433760033e-05,4
CONT-201,SCS-3.0,optimal,114.57905197143555,7325,0.19230095586613316,0.19248337,40397,80595,249996,746.312964,113812.00951,0.0033087061442260758,11
CONT-300,SCS-3.0,optimal,298.734023809433,7450,0.20132668397929643,0.19151232,90597,180895,562496,3035.271394,295650.283975,0.00061397194596576,4
CVXQP1_L,SCS-3.0,optimal,196.88649821281433,18925,108659436.11388712,108704800.0,10000,15000,94966,2565.057503,194308.882384,387.0914877498038,5
CVXQP1_M,SCS-3.0,optimal,0.49059200286865234,2650,1087408.0010734543,1087511.6,1000,1500,9466,9.465606,480.009946,24.221275271470308,3
CVXQP1_S,SCS-3.0,optimal,0.004745006561279297,550,11590.687633077154,11590.718,100,150,920,0.428172,3.765571,49.34445877417945,3
CVXQP2_L,SCS-3.0,optimal,145.17052817344666,18250,81843206.2721899,81842458.0,10000,12500,87467,1723.797379,143434.369167,23.498158969142654,8
CVXQP2_M,SCS-3.0,optimal,0.1894991397857666,1250,820155.8448641062,820155.43,1000,1250,8717,6.786447,181.835062,123.38318745283014,3
CVXQP2_S,SCS-3.0,optimal,0.0021440982818603516,150,8120.87881841252,8120.9405,100,125,846,0.40722,1.106863,2.444151682823657,1
CVXQP3_L,SCS-3.0,optimal,211.97360682487488,18150,115709152.40592752,115711100.0,10000,17500,102465,2910.716219,209047.927118,621.4557243506891,5
CVXQP3_M,SCS-3.0,optimal,1.6439459323883057,8575,1362211.2181105344,1362828.7,1000,1750,10215,11.037304,1631.724114,30.91594329099803,3
CVXQP3_S,SCS-3.0,optimal,0.004372119903564453,275,11942.960568889197,11943.432,100,175,994,0.59856,3.02144,1.9097252740708588,1
DPKLO1,SCS-3.0,optimal,0.02986431121826172,25,0.37009621386435704,0.37009622,133,210,1785,28.650843,0.774542,0.1,0
DTOC3,SCS-3.0,optimal,1.6778078079223633,2025,234.7170474761088,235.26248,14999,24997,64989,30.334855,1644.266841,0.001432770244884602,3
DUAL1,SCS-3.0,optimal,0.0019392967224121094,25,0.03501204600662956,0.035012966,85,86,7201,0.820035,0.370914,0.1,0
DUAL2,SCS-3.0,optimal,0.03232407569885254,25,0.033733676312275154,0.033733676,96,97,9112,1.088712,30.208977,0.1,0
DUAL3,SCS-3.0,optimal,0.002712726593017578,25,0.13575567900008279,0.13575584,111,112,12327,1.288295,0.494414,0.1,0
DUAL4,SCS-3.0,optimal,0.0016129016876220703,25,0.7460833535443148,0.74609084,75,76,5673,0.644903,0.316326,0.1,0
DUALC1,SCS-3.0,optimal,0.03364896774291992,150,6154.760704415402,6155.2508,9,224,2025,0.421771,0.982907,0.1,0
DUALC2,SCS-3.0,optimal,0.0014281272888183594,50,3554.3389837387294,3551.3077,7,236,1659,0.37228,0.474361,0.1,0
