name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0_high,optimal,0.16693520545959473,50,1687411.7528966388,1687411.8,20200,30200,80000,54.597584,105.974063,0.1,0
AUG2DC,SCS-3.0_high,optimal,0.16464996337890625,50,1818368.0655698348,1818368.1,20200,30200,80400,51.243571,107.18774,0.1,0
AUG2DCQP,SCS-3.0_high,optimal,3.204967975616455,1675,6498134.507183333,6498134.8,20200,30200,80400,55.982189,3143.856731,11.782286051922721,4
AUG2DQP,SCS-3.0_high,optimal,3.4907469749450684,1775,6237012.02560349,6237012.1,20200,30200,80000,54.046364,3428.470593,3.2706676082452377,5
AUG3D,SCS-3.0_high,optimal,0.018579959869384766,25,554.0677516501187,554.06773,3873,4873,13092,9.185933,7.697833,0.1,0
AUG3DC,SCS-3.0_high,optimal,0.018350839614868164,25,771.2624603618979,771.26244,3873,4873,14292,9.917203,6.941366,0.1,0
AUG3DCQP,SCS-3.0_high,optimal,0.10787582397460938,325,993.3617286609738,993.36215,3873,4873,14292,10.592076,96.111984,8.058533700703345,2
AUG3DQP,SCS-3.0_high,optimal,0.07846498489379883,225,675.2376824991611,675.23767,3873,4873,13092,12.210163,64.421703,3.199156597285672,2
BOYD1,SCS-3.0_high,optimal,3.05999493598938,225,-61735755.343165636,-61735220.0,93261,93279,745507,469.270414,2520.798772,1e-06,2
BOYD2,SCS-3.0_high,max_iter_reached,1000.6771919727325,56625,22.044856626487515,21.256767,93263,279794,517049,574.546744,1000046.779621,1e-06,2
CONT-050,SCS-3.0_high,optimal,4.705031156539917,9675,-4.563861952432897,-4.5638509,2597,4998,17199,16.057483,4686.198959,0.004561807517130164,2
CONT-100,SCS-3.0_high,optimal,66.09486675262451,15575,-4.64440734538354,-4.6443979,10197,19998,69399,107.633545,65981.853073,0.06179029253569291,6
CONT-101,SCS-3.0_high,optimal,77.78822493553162,17125,0.19551700438617226,0.19552733,10197,20295,62496,116.213155,77668.135156,0.0030433673625726203,8
CONT-200,SCS-3.0_high,optimal,656.589929819107,28800,-4.684891652618061,-4.6848759,40397,79998,278799,961.751985,655601.114633,5.113203661141227,15
CONT-201,SCS-3.0_high,max_iter_reached,1001.7423102855682,41125,0.19246265492894488,0.19248337,40397,80595,249996,1597.392137,1000114.437617,0.0038529918109549083,11
CONT-300,SCS-3.0_high,max_iter_reached,1006.2878057956696,16750,0.19143580223014267,0.19151232,90597,180895,562496,5906.653577,1000183.560728,0.0006139773043794256,4
CVXQP1_L,SCS-3.0_high,max_iter_reached,1005.8617680072784,65800,108675894.24630246,108704800.0,10000,15000,94966,5663.792826,1000182.107447,387.0997089970599,5
CVXQP1_M,SCS-3.0_high,optimal,1.4743609428405762,6425,1087510.6063040674,1087511.6,1000,1500,9466,11.513179,1460.361874,24.22296290886117,3
CVXQP1_S,SCS-3.0_high,optimal,0.013007164001464844,850,11590.718042051923,11590.718,100,150,920,1.888158,9.289597,49.34497964523712,3
CVXQP2_L,SCS-3.0_high,optimal,239.0804100036621,18550,81842524.92147896,81842458.0,10000,12500,87467,2933.120726,236133.122713,23.698440332475375,8
CVXQP2_M,SCS-3.0_high,optimal,0.292025089263916,1475,820155.7705235494,820155.43,1000,1250,8717,8.259535,282.459954,12.04568396627179,5
CVXQP2_S,SCS-3.0_high,optimal,0.0023717880249023438,175,8120.940469039934,8120.9405,100,125,846,0.357949,1.367649,2.4441667291949623,1
CVXQP3_L,SCS-3.0_high,max_iter_reached,1005.6794259548187,55275,115711016.93059786,115711100.0,10000,17500,102465,5325.16667,1000341.476307,621.3872360376602,5
CVXQP3_M,SCS-3.0_high,max_iter_reached,24.824921131134033,100000,1362828.104488518,1362828.7,1000,1750,10215,12.453558,24811.694243,30.916281765510597,3
CVXQP3_S,SCS-3.0_high,optimal,0.03798198699951172,1750,11943.427377502865,11943.432,100,175,994,0.83367,18.078814,1.9097387735867835,1
DPKLO1,SCS-3.0_high,optimal,0.0032739639282226562,50,0.3700962171142766,0.37009622,133,210,1785,1.49491,1.181031,0.1,0
DTOC3,SCS-3.0_high,optimal,7.138117074966431,5650,235.26227388504387,235.26248,14999,24997,64989,36.332659,7097.508494,0.0016520361206752935,3
DUAL1,SCS-3.0_high,optimal,0.016417980194091797,50,0.035012965816734284,0.035012966,85,86,7201,14.392059,0.748782,0.1,0
DUAL2,SCS-3.0_high,optimal,0.0031938552856445312,25,0.033733676312259465,0.033733676,96,97,9112,1.143493,0.574684,0.1,0
DUAL3,SCS-3.0_high,optimal,0.030849933624267578,25,0.1357556789945298,0.13575584,111,112,12327,1.464982,27.84985,0.1,0
