name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,SCS-3.0_high,optimal,0.12463688850402832,31,1687411.6662818901,1687411.8,20200,30200,80000
AUG2DC,SCS-3.0_high,optimal,0.11465001106262207,31,1818367.9605523522,1818368.1,20200,30200,80400
AUG2DCQP,SCS-3.0_high,optimal,3.263822078704834,1675,6498134.507183333,6498134.8,20200,30200,80400
AUG2DQP,SCS-3.0_high,optimal,3.536120891571045,1775,6237012.02560349,6237012.1,20200,30200,80000
AUG3D,SCS-3.0_high,optimal,0.016527175903320312,25,554.0677516501187,554.06773,3873,4873,13092
AUG3DC,SCS-3.0_high,optimal,0.01740884780883789,25,771.2624603618979,771.26244,3873,4873,14292
AUG3DCQP,SCS-3.0_high,optimal,0.1027679443359375,325,993.3617286609738,993.36215,3873,4873,14292
AUG3DQP,SCS-3.0_high,optimal,0.07532286643981934,225,675.2376824991611,675.23767,3873,4873,13092
BOYD1,SCS-3.0_high,optimal,14.122822046279907,1425,-61735656.51083085,-61735220.0,93261,93279,745507
BOYD2,SCS-3.0_high,optimal,150.10868310928345,8850,21.25681641572975,21.256767,93263,279794,517049
CONT-050,SCS-3.0_high,optimal,4.199618101119995,9650,-4.56386190829264,-4.5638509,2597,4998,17199
CONT-100,SCS-3.0_high,optimal,52.31402611732483,17125,-4.644407907502563,-4.6443979,10197,19998,69399
CONT-101,SCS-3.0_high,optimal,54.1963996887207,16600,0.1955523302244968,0.19552733,10197,20295,62496
CONT-200,SCS-3.0_high,optimal,695.7020919322968,44625,-4.684891732454589,-4.6848759,40397,79998,278799
CONT-201,SCS-3.0_high,optimal,982.9388809204102,59950,0.1924914020800481,0.19248337,40397,80595,249996
CONT-300,SCS-3.0_high,max_iter_reached,1003.1655740737915,24633,0.19146440105981755,0.19151232,90597,180895,562496
CVXQP1_L,SCS-3.0_high,max_iter_reached,978.7346210479736,100000,108673490.51376176,108704800.0,10000,15000,94966
CVXQP1_M,SCS-3.0_high,optimal,2.360109806060791,13475,1087511.0582770263,1087511.6,1000,1500,9466
CVXQP1_S,SCS-3.0_high,optimal,0.006781101226806641,700,11590.718089800495,11590.718,100,150,920
CVXQP2_L,SCS-3.0_high,optimal,161.49167394638062,20175,81842460.91686761,81842458.0,10000,12500,87467
CVXQP2_M,SCS-3.0_high,optimal,0.3391890525817871,2175,820155.5051578045,820155.43,1000,1250,8717
CVXQP2_S,SCS-3.0_high,optimal,0.016209125518798828,200,8120.935325847663,8120.9405,100,125,846
CVXQP3_L,SCS-3.0_high,max_iter_reached,1003.034576177597,91546,115710880.5144362,115711100.0,10000,17500,102465
CVXQP3_M,SCS-3.0_high,max_iter_reached,19.379677057266235,100000,1362827.866153089,1362828.7,1000,1750,10215
CVXQP3_S,SCS-3.0_high,optimal,0.04167795181274414,1525,11943.423948273143,11943.432,100,175,994
DPKLO1,SCS-3.0_high,optimal,0.021572113037109375,25,0.3700962216442782,0.37009622,133,210,1785
DTOC3,SCS-3.0_high,optimal,12.437972068786621,12800,235.2623616229994,235.26248,14999,24997,64989
DUAL1,SCS-3.0_high,optimal,0.03205704689025879,50,0.035012965860470535,0.035012966,85,86,7201
DUAL2,SCS-3.0_high,optimal,0.002154111862182617,25,0.03373367629528632,0.033733676,96,97,9112
DUAL3,SCS-3.0_high,optimal,0.0024750232696533203,25,0.13575567320977244,0.13575584,111,112,12327
DUAL4,SCS-3.0_high,optimal,0.025599956512451172,50,0.7460907869857727,0.74609084,75,76,5673
