name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,SCS_AA2_high,optimal,0.11712002754211426,31,1687411.6662818901,1687411.8,20200,30200,80000
AUG2DC,SCS_AA2_high,optimal,0.11161398887634277,31,1818367.9605523522,1818368.1,20200,30200,80400
AUG2DCQP,SCS_AA2_high,optimal,83.71907305717468,41275,6498134.715697239,6498134.8,20200,30200,80400
AUG2DQP,SCS_AA2_high,optimal,61.31555199623108,32125,6237012.024852139,6237012.1,20200,30200,80000
AUG3D,SCS_AA2_high,optimal,0.014828920364379883,25,554.0677516501187,554.06773,3873,4873,13092
AUG3DC,SCS_AA2_high,optimal,0.0390629768371582,25,771.2624603618979,771.26244,3873,4873,14292
AUG3DCQP,SCS_AA2_high,optimal,0.13799214363098145,375,993.361995835573,993.36215,3873,4873,14292
AUG3DQP,SCS_AA2_high,optimal,0.08933281898498535,200,675.2377000175052,675.23767,3873,4873,13092
BOYD1,SCS_AA2_high,optimal,3.9320969581604004,400,-61745433.07844797,-61735220.0,93261,93279,745507
BOYD2,SCS_AA2_high,optimal,144.37072205543518,9325,21.256583145545022,21.256767,93263,279794,517049
CONT-050,SCS_AA2_high,optimal,2.139849901199341,5225,-4.563841703366449,-4.5638509,2597,4998,17199
CONT-100,SCS_AA2_high,optimal,54.82328915596008,20600,-4.644394339284094,-4.6443979,10197,19998,69399
CONT-101,SCS_AA2_high,optimal,88.80192828178406,31750,0.19553144767400987,0.19552733,10197,20295,62496
CONT-200,SCS_AA2_high,optimal,701.2376878261566,48850,-4.6848919309248185,-4.6848759,40397,79998,278799
CONT-201,SCS_AA2_high,max_iter_reached,1000.9545769691467,62109,0.19246937685702015,0.19248337,40397,80595,249996
CONT-300,SCS_AA2_high,max_iter_reached,1003.1218609809875,23873,0.18372450675180518,0.19151232,90597,180895,562496
CVXQP1_L,SCS_AA2_high,max_iter_reached,995.7552690505981,100000,108704210.85704799,108704800.0,10000,15000,94966
CVXQP1_M,SCS_AA2_high,optimal,0.9644761085510254,4675,1087511.4893918738,1087511.6,1000,1500,9466
CVXQP1_S,SCS_AA2_high,optimal,0.02998805046081543,650,11590.718152657077,11590.718,100,150,920
CVXQP2_L,SCS_AA2_high,optimal,111.2953851222992,12525,81842458.43850161,81842458.0,10000,12500,87467
CVXQP2_M,SCS_AA2_high,optimal,0.412830114364624,2650,820155.4404932791,820155.43,1000,1250,8717
CVXQP2_S,SCS_AA2_high,optimal,0.0032477378845214844,200,8120.941617072773,8120.9405,100,125,846
CVXQP3_L,SCS_AA2_high,optimal,654.1461911201477,53825,115711100.23604582,115711100.0,10000,17500,102465
CVXQP3_M,SCS_AA2_high,optimal,8.015607833862305,35100,1362828.7414046063,1362828.7,1000,1750,10215
CVXQP3_S,SCS_AA2_high,optimal,0.0061528682708740234,475,11943.433491200774,11943.432,100,175,994
DPKLO1,SCS_AA2_high,optimal,0.001806020736694336,25,0.3700962216442782,0.37009622,133,210,1785
DTOC3,SCS_AA2_high,optimal,1.121469259262085,975,235.26248957995463,235.26248,14999,24997,64989
DUAL1,SCS_AA2_high,optimal,0.004939079284667969,50,0.035012965860470535,0.035012966,85,86,7201
DUAL2,SCS_AA2_high,optimal,0.0022220611572265625,25,0.03373367629528632,0.033733676,96,97,9112
DUAL3,SCS_AA2_high,optimal,0.030811071395874023,25,0.13575567320977244,0.13575584,111,112,12327
DUAL4,SCS_AA2_high,optimal,0.0023398399353027344,50,0.7460907869857727,0.74609084,75,76,5673
DUALC1,SCS_AA2_high,optimal,0.03429913520812988,350,6155.5689960171985,6155.2508,9,224,2025
DUALC2,SCS_AA2_high,optimal,0.005559682846069336,575,3551.16885595419,3551.3077,7,236,1659
DUALC5,SCS_AA2_high,optimal,0.0022737979888916016,75,427.23232363795205,427.23233,8,286,2296
DUALC8,SCS_AA2_high,optimal,0.009579658508300781,400,18309.359219624228,18309.359,8,511,4096
EXDATA,SCS_AA2_high,optimal,7.749547958374023,1925,-141.84322530174057,-141.84343,3000,6001,2260500
GENHS28,SCS_AA2_high,optimal,0.0031299591064453125,25,0.9271736846059195,0.92717369,10,18,62
GOULDQP2,SCS_AA2_high,optimal,0.22721195220947266,1625,0.00018488754772917027,0.00018427534,699,1048,2791
GOULDQP3,SCS_AA2_high,optimal,0.2777118682861328,5900,2.0619072567569674,2.062784,699,1048,3838
HS118,SCS_AA2_high,optimal,0.016571044921875,400,664.8203801996538,664.82045,15,32,69
