name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.11885786056518555,25,1687406.2106635913,1687411.8,20200,30200,80000,56.019725,55.107429,0.1,0
AUG2DC,SCS_ALT,optimal,0.13341808319091797,25,1818361.345641473,1818368.1,20200,30200,80400,59.619875,67.932649,0.1,0
AUG2DCQP,SCS_ALT,optimal,3.584895372390747,1625,6498102.221815566,6498134.8,20200,30200,80400,60.583035,3507.989277,11.782286051922721,4
AUG2DQP,SCS_ALT,optimal,4.5073511600494385,1675,6236964.4716918105,6237012.1,20200,30200,80000,96.667766,4403.383472,10.751066317489288,4
AUG3D,SCS_ALT,optimal,0.021126985549926758,25,554.0677516501187,554.06773,3873,4873,13092,11.304901,8.106603,0.1,0
AUG3DC,SCS_ALT,optimal,0.04795694351196289,25,771.2624603618979,771.26244,3873,4873,14292,10.057048,36.115838,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.09864115715026855,250,993.2681055752532,993.36215,3873,4873,14292,11.97158,84.914627,8.058533700703345,2
AUG3DQP,SCS_ALT,optimal,0.0787050724029541,200,675.2358524822171,675.23767,3873,4873,13092,11.683215,65.419381,0.9956391774040215,1
BOYD1,SCS_ALT,optimal,3.020272731781006,225,-61735721.12410447,-61735220.0,93261,93279,745507,362.877422,2614.015066,1.6994096880356855e-07,2
BOYD2,SCS_ALT,optimal,303.0694477558136,14875,-10.429007984734962,21.256767,93263,279794,517049,395.077384,302617.489312,1e-09,3
CONT-050,SCS_ALT,optimal,1.972405195236206,4450,-4.564942431520425,-4.5638509,2597,4998,17199,20.631894,1948.088683,0.004561807517130164,2
CONT-100,SCS_ALT,optimal,27.151123046875,7250,-4.645711018830331,-4.6443979,10197,19998,69399,109.006767,27036.484556,0.00033292937597739,3
CONT-101,SCS_ALT,optimal,34.45163011550903,7500,0.1953062458004735,0.19552733,10197,20295,62496,118.673304,34326.93669,0.014033337270403382,7
CONT-200,SCS_ALT,optimal,31.185335874557495,1350,-4.731407139872292,-4.6848759,40397,79998,278799,992.339133,30165.686565,8.547759583960641e-05,4
CONT-201,SCS_ALT,optimal,157.15326070785522,7225,0.1922825314662372,0.19248337,40397,80595,249996,1202.743412,155923.607795,0.0038529918109549083,11
CONT-300,SCS_ALT,optimal,442.4224672317505,7450,0.20132686057310256,0.19151232,90597,180895,562496,3994.450094,438340.711473,0.0006139773043794256,4
CVXQP1_L,SCS_ALT,optimal,301.22775292396545,18925,108659436.25863321,108704800.0,10000,15000,94966,5062.511728,296148.48982,387.0997089970599,5
CVXQP1_M,SCS_ALT,optimal,0.5236351490020752,2650,1087408.0168300993,1087511.6,1000,1500,9466,10.779475,511.702627,24.22296290886117,3
CVXQP1_S,SCS_ALT,optimal,0.029479026794433594,550,11590.68762986325,11590.718,100,150,920,0.411681,28.43546,49.34497964523712,3
CVXQP2_L,SCS_ALT,optimal,218.62907910346985,18250,81843204.1446328,81842458.0,10000,12500,87467,2354.240198,216255.352786,23.698440332475375,8
CVXQP2_M,SCS_ALT,optimal,0.2854931354522705,1250,820155.8448877097,820155.43,1000,1250,8717,10.433138,272.678751,123.38668156765459,3
CVXQP2_S,SCS_ALT,optimal,0.0038390159606933594,150,8120.878820205309,8120.9405,100,125,846,0.552682,1.869807,2.4441667291949623,1
CVXQP3_L,SCS_ALT,optimal,333.5841209888458,18150,115709152.32331817,115711100.0,10000,17500,102465,5805.491497,327756.944236,621.3872360376602,5
CVXQP3_M,SCS_ALT,optimal,2.1720101833343506,8575,1362211.2241012238,1362828.7,1000,1750,10215,13.663459,2157.001942,30.916281765510597,3
CVXQP3_S,SCS_ALT,optimal,0.021858692169189453,275,11942.960572629492,11943.432,100,175,994,18.345546,2.818935,1.9097387735867835,1
DPKLO1,SCS_ALT,optimal,0.0021109580993652344,25,0.3700962285858231,0.37009622,133,210,1785,0.878669,0.650289,0.1,0
