name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.1407768726348877,25,1687377.1602109342,1687411.8,20200,30200,80000,68.455657,65.193694,0.1,0
AUG2DC,SCS_ALT,optimal,0.13042593002319336,25,1818328.1794073079,1818368.1,20200,30200,80400,65.917093,58.610755,0.1,0
AUG2DCQP,SCS_ALT,optimal,4.1393139362335205,2050,6498131.7911412595,6498134.8,20200,30200,80400,65.736589,4068.600943,1.6648298351040176,2
AUG2DQP,SCS_ALT,optimal,4.172730922698975,2075,6237009.101641376,6237012.1,20200,30200,80000,62.554784,4103.785434,1.608004583974918,2
AUG3D,SCS_ALT,optimal,0.018939971923828125,25,554.0677320981529,554.06773,3873,4873,13092,9.485094,7.809188,0.1,0
AUG3DC,SCS_ALT,optimal,0.020863056182861328,25,771.2624432814919,771.26244,3873,4873,14292,10.940403,8.363867,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.24276399612426758,800,993.325429986096,993.36215,3873,4873,14292,11.282912,229.919832,0.50845801472086,1
AUG3DQP,SCS_ALT,optimal,0.08702206611633301,225,675.2344733788668,675.23767,3873,4873,13092,15.072565,70.422837,1.8472036758141406,2
BOYD1,SCS_ALT,optimal,2.7339437007904053,225,-61724574.46878925,-61735220.0,93261,93279,745507,370.876218,2319.464979,3.4770324122517837e-06,2
BOYD2,SCS_ALT,solver_error,1000.6014218330383,-1,,21.256767,93263,279794,517049,374.481321,1000166.267812,3.29e-321,140456166888936
CONT-050,SCS_ALT,optimal,7.055535793304443,15200,-4.563882990653864,-4.5638509,2597,4998,17199,17.516985,7035.742354,0.0007536545423177999,2
CONT-100,SCS_ALT,optimal,43.255653858184814,12200,-4.6446215004084355,-4.6443979,10197,19998,69399,94.706264,43153.403497,0.0003097551810203371,6
CONT-101,SCS_ALT,optimal,83.89243698120117,21750,0.1954054505173577,0.19552733,10197,20295,62496,124.297441,83759.598165,0.0006787499879480651,5
CONT-200,SCS_ALT,optimal,966.9231669902802,67850,-4.684971611433064,-4.6848759,40397,79998,278799,952.197775,965987.424825,2.2024639896207617e-05,7
CONT-201,SCS_ALT,solver_error,1000.8325669765472,-1,,0.19248337,40397,80595,249996,741.101767,1000096.247499,3.29e-321,140456166888936
CONT-300,SCS_ALT,solver_error,1003.7366328239441,-1,,0.19151232,90597,180895,562496,2933.397516,1000758.511602,3.29e-321,140456166888936
CVXQP1_L,SCS_ALT,optimal,672.424154996872,68250,108656660.13345878,108704800.0,10000,15000,94966,2498.580225,669917.14326,68.90577124532983,4
CVXQP1_M,SCS_ALT,optimal,1.6891238689422607,9500,1087480.7953830936,1087511.6,1000,1500,9466,9.084116,1678.708459,12.13601699755446,3
CVXQP1_S,SCS_ALT,optimal,0.005275726318359375,550,11590.609512275505,11590.718,100,150,920,0.423736,4.203037,16.77856295492249,3
CVXQP2_L,SCS_ALT,optimal,53.237918853759766,6200,81834871.42629609,81842458.0,10000,12500,87467,1784.916873,51442.617154,99.11198128261569,4
CVXQP2_M,SCS_ALT,optimal,0.14351201057434082,775,820086.5976832131,820155.43,1000,1250,8717,23.759172,118.92784,10.728376564113185,2
CVXQP2_S,SCS_ALT,optimal,0.015956878662109375,175,8120.938030321952,8120.9405,100,125,846,14.111845,1.24453,1.5528047000521532,1
CVXQP3_L,SCS_ALT,optimal,540.545501947403,48750,115707742.92565313,115711100.0,10000,17500,102465,3016.652582,537517.808709,66.62529504926646,4
CVXQP3_M,SCS_ALT,optimal,5.1059250831604,26400,1362240.2205745832,1362828.7,1000,1750,10215,10.330539,5094.595562,12.060596740098825,3
CVXQP3_S,SCS_ALT,optimal,0.015108108520507812,425,11943.064649037711,11943.432,100,175,994,9.222646,5.245917,1.0951681953962742,1
DPKLO1,SCS_ALT,optimal,0.002062082290649414,25,0.37009624370229793,0.37009622,133,210,1785,0.905887,0.629254,0.1,0
DTOC3,SCS_ALT,optimal,0.9621031284332275,1150,232.86461751537405,235.26248,14999,24997,64989,27.028245,931.900841,0.000322903236325453,2
DUAL1,SCS_ALT,optimal,0.001806020736694336,25,0.03501204236957533,0.035012966,85,86,7201,0.685349,0.341437,0.1,0
DUAL2,SCS_ALT,optimal,0.002424001693725586,25,0.03373367650147541,0.033733676,96,97,9112,0.979831,0.426446,0.1,0
DUAL3,SCS_ALT,optimal,0.002595186233520508,25,0.13575567962300436,0.13575584,111,112,12327,1.215992,0.480202,0.1,0
DUAL4,SCS_ALT,optimal,0.0015110969543457031,25,0.74608321761581,0.74609084,75,76,5673,0.525223,0.287799,0.1,0
DUALC1,SCS_ALT,optimal,0.0021109580993652344,150,6154.941596209534,6155.2508,9,224,2025,0.380046,1.228218,0.03065440248480991,1
DUALC2,SCS_ALT,optimal,0.0012869834899902344,50,3550.0677643415092,3551.3077,7,236,1659,0.374145,0.407016,0.1,0
DUALC5,SCS_ALT,optimal,0.030687808990478516,50,427.1689585537508,427.23233,8,286,2296,0.390694,0.449205,0.1,0
DUALC8,SCS_ALT,optimal,0.001650094985961914,25,18309.275322465117,18309.359,8,511,4096,0.657734,0.421488,0.1,0
EXDATA,SCS_ALT,optimal,2.4212141036987305,475,-141.70902623179768,-141.84343,3000,6001,2260500,808.965895,1493.886996,0.1,0
GENHS28,SCS_ALT,optimal,0.003999948501586914,25,0.9271736972926284,0.92717369,10,18,62,0.105811,3.371215,0.1,0
GOULDQP2,SCS_ALT,optimal,0.04348182678222656,1200,0.00018247326464629457,0.00018427534,699,1048,2791,1.211149,41.668911,2.5255424449598565e-06,5
GOULDQP3,SCS_ALT,optimal,0.0028619766235351562,25,1.9579229538030631,2.062784,699,1048,3838,1.172285,1.044157,0.1,0
HS118,SCS_ALT,optimal,0.0008270740509033203,325,664.8338724122134,664.82045,15,32,69,0.135995,0.428984,0.1,0
