name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.10831713676452637,25,1687377.1602109342,1687411.8,20200,30200,80000,53.997577,49.485705,0.1,0
AUG2DC,SCS_ALT,optimal,0.1087648868560791,25,1818328.1794073079,1818368.1,20200,30200,80400,54.975268,48.874492,0.1,0
AUG2DCQP,SCS_ALT,optimal,2.9362571239471436,1675,6498075.483171491,6498134.8,20200,30200,80400,52.073136,2879.606372,11.232649530263464,4
AUG2DQP,SCS_ALT,optimal,3.0116190910339355,1700,6237011.571518751,6237012.1,20200,30200,80000,52.739025,2954.230569,10.968597347007243,4
AUG3D,SCS_ALT,optimal,0.019234180450439453,25,554.0677320981529,554.06773,3873,4873,13092,10.181901,7.623498,0.1,0
AUG3DC,SCS_ALT,optimal,0.018244028091430664,25,771.2624432814919,771.26244,3873,4873,14292,9.833262,7.141406,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.16167998313903809,575,993.279658099772,993.36215,3873,4873,14292,10.832244,149.481804,1.1935435282728362,2
AUG3DQP,SCS_ALT,optimal,0.07141709327697754,225,675.2344733788668,675.23767,3873,4873,13092,10.598688,59.580994,1.8472036758141406,2
BOYD1,SCS_ALT,optimal,2.351357936859131,225,-61724574.46878925,-61735220.0,93261,93279,745507,345.070113,1966.574226,3.4770324122517837e-06,2
BOYD2,SCS_ALT,solver_error,1000.6436338424683,-1,,21.256767,93263,279794,517049,358.968395,1000227.83971,3.29e-321,140360058975640
CONT-050,SCS_ALT,optimal,1.6706490516662598,3850,-4.5641699906178665,-4.5638509,2597,4998,17199,15.699087,1651.780909,0.008642301161456208,8
CONT-100,SCS_ALT,optimal,17.235896110534668,5875,-4.644841365648533,-4.6443979,10197,19998,69399,89.272228,17140.313894,0.0015353813643790295,9
CONT-101,SCS_ALT,optimal,52.10348391532898,17125,0.19540866002545143,0.19552733,10197,20295,62496,100.212536,51999.095401,0.0007475622351024257,8
CONT-200,SCS_ALT,optimal,868.6188380718231,60600,-4.684974890038805,-4.6848759,40397,79998,278799,591.813313,868002.12915,2.4348300551863245e-05,8
CONT-201,SCS_ALT,optimal,928.8677651882172,60875,0.19235462205857945,0.19248337,40397,80595,249996,1322.702692,927547.883897,0.0001633385113639917,10
CONT-300,SCS_ALT,solver_error,1004.3452739715576,-1,,0.19151232,90597,180895,562496,3945.539344,1000363.372657,3.29e-321,140360058975640
CVXQP1_L,SCS_ALT,optimal,665.3797798156738,63925,108656490.01331559,108704800.0,10000,15000,94966,3111.510184,662227.294754,72.07409474154541,5
CVXQP1_M,SCS_ALT,optimal,1.1020851135253906,6250,1087485.9531064576,1087511.6,1000,1500,9466,11.21455,1089.20292,10.814587585456612,4
CVXQP1_S,SCS_ALT,optimal,0.036231040954589844,525,11590.608761906497,11590.718,100,150,920,0.50268,35.037436,15.186650027219024,3
CVXQP2_L,SCS_ALT,optimal,53.24919581413269,5050,81837946.31694014,81842458.0,10000,12500,87467,1805.070674,51428.77651,10.598230960046187,8
CVXQP2_M,SCS_ALT,optimal,0.14775776863098145,775,820086.5976832131,820155.43,1000,1250,8717,8.476875,137.758532,10.728376564113185,2
CVXQP2_S,SCS_ALT,optimal,0.01862812042236328,175,8120.938030321952,8120.9405,100,125,846,16.524865,1.500396,1.5528047000521532,1
CVXQP3_L,SCS_ALT,optimal,669.1924870014191,56400,115707669.33807611,115711100.0,10000,17500,102465,3214.373725,665962.570203,72.18921188003804,5
CVXQP3_M,SCS_ALT,optimal,5.112900972366333,23475,1362238.2680977564,1362828.7,1000,1750,10215,12.236027,5099.633375,10.898765668229755,4
CVXQP3_S,SCS_ALT,optimal,0.005112171173095703,375,11942.909021248435,11943.432,100,175,994,0.56686,3.681212,2.240321463755508,2
DPKLO1,SCS_ALT,optimal,0.0014231204986572266,25,0.37009624370229793,0.37009622,133,210,1785,0.647127,0.441888,0.1,0
DTOC3,SCS_ALT,optimal,1.1166763305664062,1150,232.86461751537405,235.26248,14999,24997,64989,29.217905,1083.962902,0.000322903236325453,2
DUAL1,SCS_ALT,optimal,0.0018868446350097656,25,0.03501204236957533,0.035012966,85,86,7201,0.744671,0.33893,0.1,0
DUAL2,SCS_ALT,optimal,0.0022416114807128906,25,0.03373367650147541,0.033733676,96,97,9112,0.931897,0.382396,0.1,0
DUAL3,SCS_ALT,optimal,0.03139925003051758,25,0.13575567962300436,0.13575584,111,112,12327,29.82797,0.522893,0.1,0
DUAL4,SCS_ALT,optimal,0.0016241073608398438,25,0.74608321761581,0.74609084,75,76,5673,0.57822,0.318186,0.1,0
DUALC1,SCS_ALT,optimal,0.002973318099975586,175,6154.645331256681,6155.2508,9,224,2025,0.56024,1.70222,0.037997424072386245,1
DUALC2,SCS_ALT,optimal,0.02986884117126465,50,3550.0677643415092,3551.3077,7,236,1659,28.686581,0.445448,0.1,0
DUALC5,SCS_ALT,optimal,0.0014331340789794922,50,427.1689585537508,427.23233,8,286,2296,0.379471,0.514431,0.1,0
DUALC8,SCS_ALT,optimal,0.0017158985137939453,25,18309.275322465117,18309.359,8,511,4096,0.729393,0.451204,0.1,0
EXDATA,SCS_ALT,optimal,3.1831791400909424,475,-141.70902623179768,-141.84343,3000,6001,2260500,1105.281564,1935.374517,0.1,0
GENHS28,SCS_ALT,optimal,0.007865190505981445,25,0.9271736972926284,0.92717369,10,18,62,0.120965,7.052349,0.1,0
GOULDQP2,SCS_ALT,optimal,0.047271013259887695,1200,0.00018247326464629457,0.00018427534,699,1048,2791,1.26202,45.265793,2.5255424449598565e-06,5
GOULDQP3,SCS_ALT,optimal,0.0037000179290771484,25,1.9579229538030631,2.062784,699,1048,3838,1.415297,1.290632,0.1,0
HS118,SCS_ALT,optimal,0.03216218948364258,425,664.6974580782479,664.82045,15,32,69,0.185938,0.579643,0.03305250838299574,3
HS21,SCS_ALT,optimal,0.00074005126953125,75,-99.96004963560412,-99.96,2,3,6,0.162176,0.164779,0.1,0
HS268,SCS_ALT,optimal,0.0007669925689697266,25,0.18155130172635836,5.7310705e-07,5,10,55,0.132246,0.120378,0.1,0
HS35,SCS_ALT,optimal,0.0007061958312988281,25,0.11104560647492256,0.11111111,3,4,13,0.107005,0.072871,0.1,0
HS35MOD,SCS_ALT,optimal,0.031967878341674805,25,0.25000019406960305,0.25,3,4,13,0.129317,0.08223,0.1,0
HS51,SCS_ALT,optimal,0.0007741451263427734,25,1.7763568394002505e-15,8.8817842e-16,5,8,21,0.176548,0.077214,0.1,0
HS52,SCS_ALT,optimal,0.000988006591796875,25,5.326647577595015,5.3266476,5,8,21,0.170493,0.124555,0.1,0
HS53,SCS_ALT,optimal,0.0011708736419677734,25,4.09302325674547,4.0930233,5,8,21,0.147789,0.105268,0.1,0
HS76,SCS_ALT,optimal,0.029818058013916016,50,-4.681917576891726,-4.6818182,4,7,22,0.086205,29.123773,0.1,0
HUES-MOD,SCS_ALT,optimal,10.732665061950684,23000,34824211.49655728,34824690.0,10000,10002,40000,16.940762,10713.396025,0.0041817041866311095,3
HUESTIS,SCS_ALT,optimal,20.024035930633545,49925,348219979711.55566,348246900000.0,10000,10002,40000,13.249728,20008.485431,218.8568499466711,4
KSIP,SCS_ALT,optimal,0.009685993194580078,100,0.5752932671232776,0.57579794,20,1021,19938,4.109934,5.037746,0.1,0
