name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.11292910575866699,25,1687377.1602109342,1687411.8,20200,30200,80000,55.538406,51.605422,0.1,0
AUG2DC,SCS_ALT,optimal,0.11724615097045898,25,1818328.1794073079,1818368.1,20200,30200,80400,55.576083,55.684087,0.1,0
AUG2DCQP,SCS_ALT,optimal,2.963012933731079,1675,6498075.483171491,6498134.8,20200,30200,80400,53.967816,2904.120906,11.232649530263464,4
AUG2DQP,SCS_ALT,optimal,3.029827117919922,1700,6237011.571518751,6237012.1,20200,30200,80000,54.697215,2969.050957,10.968597347007243,4
AUG3D,SCS_ALT,optimal,0.018982887268066406,25,554.0677320981529,554.06773,3873,4873,13092,10.100293,7.583665,0.1,0
AUG3DC,SCS_ALT,optimal,0.018985271453857422,25,771.2624432814919,771.26244,3873,4873,14292,9.757486,7.892288,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.1631169319152832,575,993.279658099772,993.36215,3873,4873,14292,10.045767,151.511168,1.1935435282728362,2
AUG3DQP,SCS_ALT,optimal,0.0744931697845459,225,675.2344733788668,675.23767,3873,4873,13092,10.485576,62.7259,1.8472036758141406,2
BOYD1,SCS_ALT,optimal,2.405837059020996,225,-61724574.46878925,-61735220.0,93261,93279,745507,338.065413,2027.815039,3.4770324122517837e-06,2
BOYD2,SCS_ALT,solver_error,1000.440672159195,-1,,21.256767,93263,279794,517049,372.853681,1000028.238907,3.29e-321,140560236221848
CONT-050,SCS_ALT,optimal,1.293595314025879,3850,-4.5641699906178665,-4.5638509,2597,4998,17199,15.000996,1275.947099,0.008642301161456208,8
CONT-100,SCS_ALT,optimal,14.74158000946045,5875,-4.644841365648533,-4.6443979,10197,19998,69399,84.921799,14652.264788,0.0015353813643790295,9
CONT-101,SCS_ALT,optimal,45.49729299545288,17125,0.19540866002545143,0.19552733,10197,20295,62496,83.464417,45409.49373,0.0007475622351024257,8
CONT-200,SCS_ALT,optimal,795.8565731048584,60600,-4.684974890038805,-4.6848759,40397,79998,278799,567.099085,795234.472068,2.4348300551863245e-05,8
CONT-201,SCS_ALT,optimal,905.7331700325012,60875,0.19235462205857945,0.19248337,40397,80595,249996,811.454573,904907.600059,0.0001633385113639917,10
CONT-300,SCS_ALT,solver_error,1003.2386798858643,-1,,0.19151232,90597,180895,562496,3012.845587,1000165.463704,3.29e-321,140560236221848
