name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.1092982292175293,25,1687377.1602109342,1687411.8,20200,30200,80000,55.277764,48.393443,0.1,0
AUG2DC,SCS_ALT,optimal,0.10907316207885742,25,1818328.1794073079,1818368.1,20200,30200,80400,51.355277,52.746727,0.1,0
AUG2DCQP,SCS_ALT,optimal,1.7285890579223633,975,6498126.841313249,6498134.8,20200,30200,80400,54.461839,1668.945791,15.18383814223321,6
AUG2DQP,SCS_ALT,optimal,1.9617209434509277,1100,6237007.13117468,6237012.1,20200,30200,80000,60.445624,1895.926446,12.278710207181861,6
AUG3D,SCS_ALT,optimal,0.02103114128112793,25,554.0677320981529,554.06773,3873,4873,13092,11.830574,7.58508,0.1,0
AUG3DC,SCS_ALT,optimal,0.019124984741210938,25,771.2624432814919,771.26244,3873,4873,14292,10.336263,7.444155,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.09102797508239746,275,993.3402994674598,993.36215,3873,4873,14292,11.24359,78.567566,7.795412878972843,2
AUG3DQP,SCS_ALT,optimal,0.06637001037597656,200,675.235178823858,675.23767,3873,4873,13092,9.632417,55.710096,0.9299576234013989,1
BOYD1,SCS_ALT,optimal,3.1315059661865234,325,-61728298.57584897,-61735220.0,93261,93279,745507,335.436093,2759.548596,5.590538099758302e-06,3
BOYD2,SCS_ALT,solver_error,1000.8828341960907,-1,,21.256767,93263,279794,517049,358.507545,1000476.144713,3.29e-321,140637126206792
CONT-050,SCS_ALT,optimal,2.9860470294952393,6025,-4.564937260088884,-4.5638509,2597,4998,17199,14.533058,2968.588711,0.0022810221913912377,2
CONT-100,SCS_ALT,optimal,19.000652074813843,4975,-4.645656165931846,-4.6443979,10197,19998,69399,97.960688,18896.305672,0.007104892604032937,8
CONT-101,SCS_ALT,optimal,13.583259105682373,3225,0.195388836989146,0.19552733,10197,20295,62496,115.602975,13461.971511,0.003922806802763059,10
CONT-200,SCS_ALT,optimal,116.17791485786438,4800,-4.685914906491648,-4.6848759,40397,79998,278799,983.199719,115158.006439,0.0016736354444359088,12
CONT-201,SCS_ALT,optimal,44.95549201965332,1200,0.03928950719157853,0.19248337,40397,80595,249996,1447.821409,43469.974102,0.001085132317578366,6
CONT-300,SCS_ALT,optimal,842.1904799938202,13225,0.1912769954500263,0.19151232,90597,180895,562496,6685.924993,835407.742861,0.0028468128475500273,8
CVXQP1_L,SCS_ALT,optimal,780.4334976673126,51750,108656891.96709758,108704800.0,10000,15000,94966,3948.862812,776461.511806,51.65680980362366,6
CVXQP1_M,SCS_ALT,optimal,1.1548027992248535,4875,1087469.8861621486,1087511.6,1000,1500,9466,15.058926,1137.579649,14.570781047362585,4
CVXQP1_S,SCS_ALT,optimal,0.0212709903717041,500,11590.711501859634,11590.718,100,150,920,14.347625,5.870974,10.954243725073697,4
CVXQP2_L,SCS_ALT,optimal,66.7539529800415,2800,81845731.35275817,81842458.0,10000,12500,87467,3381.409292,63352.596509,7.960202951269049,11
