name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.1091148853302002,25,1687406.2106635913,1687411.8,20200,30200,80000,47.423004,55.877523,0.1,0
AUG2DC,SCS_ALT,optimal,0.11539125442504883,25,1818361.345641473,1818368.1,20200,30200,80400,54.917556,54.949675,0.1,0
AUG2DCQP,SCS_ALT,optimal,3.409640073776245,1625,6498102.195576398,6498134.8,20200,30200,80400,51.397272,3352.122561,11.781457322770924,4
AUG2DQP,SCS_ALT,optimal,3.398110866546631,1675,6236964.486244281,6237012.1,20200,30200,80000,57.056627,3335.152979,10.751284508600751,4
AUG3D,SCS_ALT,optimal,0.01926875114440918,25,554.0677516501187,554.06773,3873,4873,13092,9.405,8.224579,0.1,0
AUG3DC,SCS_ALT,optimal,0.023279905319213867,25,771.2624603618979,771.26244,3873,4873,14292,13.592874,8.331396,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.08534502983093262,250,993.267844406394,993.36215,3873,4873,14292,8.608623,75.448927,8.056124021009083,2
AUG3DQP,SCS_ALT,optimal,0.06716203689575195,200,675.2358530675347,675.23767,3873,4873,13092,9.771131,55.868458,0.9956391774040215,1
BOYD1,SCS_ALT,max_iter_reached,1000.6040990352631,82100,-61641528.723879755,-61735220.0,93261,93279,745507,330.403219,1000126.432439,1e-06,2
BOYD2,SCS_ALT,max_iter_reached,1000.729070186615,56075,21.897203302844893,21.256767,93263,279794,517049,427.803701,1000190.438445,1e-06,2
CONT-050,SCS_ALT,optimal,2.668980836868286,4450,-4.5649443241067,-4.5638509,2597,4998,17199,16.150381,2649.622097,0.004561823430596585,2
CONT-100,SCS_ALT,optimal,30.121100902557373,7325,-4.645703022923767,-4.6443979,10197,19998,69399,106.589866,30008.5008,0.0003328862414318227,3
CONT-101,SCS_ALT,optimal,13.235395193099976,3500,0.1952272073205653,0.19552733,10197,20295,62496,117.795295,13111.617333,0.0010054842528539893,5
CONT-200,SCS_ALT,optimal,33.5387442111969,1325,-4.730298987774626,-4.6848759,40397,79998,278799,1215.479376,32286.01231,9.030837959529845e-05,4
CONT-201,SCS_ALT,optimal,159.81193017959595,7000,0.19229439580981966,0.19248337,40397,80595,249996,1284.991363,158492.275198,0.007569983957036035,11
CONT-300,SCS_ALT,optimal,436.9724748134613,7450,0.2011031100537669,0.19151232,90597,180895,562496,4192.089918,432668.650895,0.0006089984956917336,4
CVXQP1_L,SCS_ALT,optimal,306.3758897781372,18925,108659436.26194549,108704800.0,10000,15000,94966,4478.416803,301863.816071,387.09966573789364,5
CVXQP1_M,SCS_ALT,optimal,0.5783331394195557,2650,1087408.0182060609,1087511.6,1000,1500,9466,11.92895,564.976798,24.22218899044894,3
CVXQP1_S,SCS_ALT,optimal,0.023527145385742188,550,11590.687208181256,11590.718,100,150,920,17.800104,4.67166,49.413162937665966,3
CVXQP2_L,SCS_ALT,optimal,243.00232911109924,18250,81843204.14292978,81842458.0,10000,12500,87467,3206.526383,239765.895529,23.698687824408523,8
CVXQP2_M,SCS_ALT,optimal,0.254777193069458,1250,820155.8448108874,820155.43,1000,1250,8717,8.866206,244.820869,123.38083984496505,3
CVXQP2_S,SCS_ALT,optimal,0.003862142562866211,150,8120.881494730345,8120.9405,100,125,846,1.480054,1.126873,2.4441667291949623,1
CVXQP3_L,SCS_ALT,optimal,340.032084941864,18150,115709152.32391252,115711100.0,10000,17500,102465,5361.150554,334642.178088,621.3872091528455,5
CVXQP3_M,SCS_ALT,optimal,1.930713176727295,8575,1362211.2249549425,1362828.7,1000,1750,10215,14.914704,1914.544211,30.916229112548212,3
CVXQP3_S,SCS_ALT,optimal,0.006693124771118164,275,11942.961313519576,11943.432,100,175,994,3.712659,2.381633,1.9097387735867835,1
DPKLO1,SCS_ALT,optimal,0.002003908157348633,25,0.3700962285858231,0.37009622,133,210,1785,1.233583,0.446775,0.1,0
DTOC3,SCS_ALT,optimal,1.8775722980499268,1750,234.9798250981871,235.26248,14999,24997,64989,26.862311,1846.784486,0.001652247772266328,3
DUAL1,SCS_ALT,optimal,0.033271074295043945,25,0.03501204602875229,0.035012966,85,86,7201,0.912574,0.507619,0.1,0
DUAL2,SCS_ALT,optimal,0.003379344940185547,25,0.033733676312259465,0.033733676,96,97,9112,1.664648,0.51201,0.1,0
DUAL3,SCS_ALT,optimal,0.03371691703796387,25,0.1357556789945298,0.13575584,111,112,12327,1.682356,0.828035,0.1,0
DUAL4,SCS_ALT,optimal,0.001844167709350586,25,0.7460833422195366,0.74609084,75,76,5673,0.626388,0.345193,0.1,0
DUALC1,SCS_ALT,optimal,0.0028238296508789062,150,6154.7845887479925,6155.2508,9,224,2025,0.466182,1.548306,0.1,0
DUALC2,SCS_ALT,optimal,0.028329133987426758,75,3551.425533958575,3551.3077,7,236,1659,26.514157,0.918956,0.1,0
DUALC5,SCS_ALT,optimal,0.0023560523986816406,50,427.2322632610876,427.23233,8,286,2296,0.540046,0.56311,0.1,0
DUALC8,SCS_ALT,optimal,0.03369402885437012,50,18309.358298458053,18309.359,8,511,4096,0.816248,1.112857,0.1,0
EXDATA,SCS_ALT,optimal,4.045377016067505,525,-141.72908647813273,-141.84343,3000,6001,2260500,1311.241173,2588.77056,0.1,0
GENHS28,SCS_ALT,optimal,0.002006053924560547,25,0.9271736846535605,0.92717369,10,18,62,0.182159,0.943168,0.1,0
GOULDQP2,SCS_ALT,optimal,0.2026841640472412,4625,0.0001858809727075175,0.00018427534,699,1048,2791,1.350137,200.392403,0.0009018195172159378,3
GOULDQP3,SCS_ALT,optimal,0.029533863067626953,25,1.957971506897593,2.062784,699,1048,3838,1.308217,27.317361,0.1,0
HS118,SCS_ALT,optimal,0.0008559226989746094,300,664.6871459581683,664.82045,15,32,69,0.145016,0.381954,0.03071661892143971,1
HS21,SCS_ALT,optimal,0.0004899501800537109,75,-99.96005219950251,-99.96,2,3,6,0.097841,0.088298,0.1,0
HS268,SCS_ALT,optimal,0.0014357566833496094,25,0.21028344097794616,5.7310705e-07,5,10,55,0.777049,0.088271,0.1,0
HS35,SCS_ALT,optimal,0.030293941497802734,25,0.11109217927108794,0.11111111,3,4,13,0.725796,0.089813,0.1,0
HS35MOD,SCS_ALT,optimal,0.0007219314575195312,25,0.25000015390675934,0.25,3,4,13,0.105601,0.077394,0.1,0
HS51,SCS_ALT,optimal,0.0007307529449462891,25,8.881784197001252e-16,8.8817842e-16,5,8,21,0.108637,0.078984,0.1,0
HS52,SCS_ALT,optimal,0.0007221698760986328,25,5.326647564985748,5.3266476,5,8,21,0.104555,0.079405,0.1,0
HS53,SCS_ALT,optimal,0.03177189826965332,25,4.093023242498406,4.0930233,5,8,21,0.105965,0.079595,0.1,0
HS76,SCS_ALT,optimal,0.0008347034454345703,50,-4.6818545065351245,-4.6818182,4,7,22,0.1709,0.09074,0.1,0
HUES-MOD,SCS_ALT,optimal,6.450383901596069,11275,34824803.84971613,34824690.0,10000,10002,40000,14.176847,6433.361519,0.0051605242511636295,2
HUESTIS,SCS_ALT,max_iter_reached,49.89005398750305,100000,inf,348246900000.0,10000,10002,40000,21.381734,49863.628373,517835.29534843867,5
KSIP,SCS_ALT,optimal,0.015926837921142578,75,0.5753088616553976,0.57579794,20,1021,19938,10.10579,4.830913,0.1,0
LASER,SCS_ALT,max_iter_reached,6.941788911819458,100000,inf,2409601.4,1002,2002,9462,2.174024,6938.212438,86.22403964415781,3
LISWET1,SCS_ALT,optimal,0.22961997985839844,225,24.98976808669704,36.122402,10002,20002,50004,22.313586,203.621596,2.1901713198490964,2
LISWET10,SCS_ALT,optimal,0.2479848861694336,225,24.990317995663645,49.485785,10002,20002,50004,30.818821,213.676464,2.1418034084357838,2
LISWET11,SCS_ALT,optimal,0.2548367977142334,225,24.987787354045395,49.523957,10002,20002,50004,27.793113,223.099718,2.1456642414895972,2
LISWET12,SCS_ALT,optimal,0.26604700088500977,225,24.98746512067146,1736.9274,10002,20002,50004,33.947184,228.153562,2.1458692055866724,2
LISWET2,SCS_ALT,optimal,0.2687108516693115,225,24.983899595217963,24.998076,10002,20002,50004,30.285558,234.487875,2.276435491397204,2
LISWET3,SCS_ALT,optimal,0.23492789268493652,200,24.98835409092669,25.00122,10002,20002,50004,30.609079,200.601354,0.5146697192725348,1
LISWET4,SCS_ALT,optimal,0.23535513877868652,200,24.9885776888367,25.000112,10002,20002,50004,31.888794,198.615663,0.5603059469320442,1
LISWET5,SCS_ALT,optimal,0.269639253616333,225,25.012240204479895,25.034253,10002,20002,50004,32.160013,233.052718,0.3396987840366701,1
LISWET6,SCS_ALT,optimal,0.29418182373046875,225,24.983220897434876,24.995748,10002,20002,50004,32.914154,256.994517,2.188764603768472,2
LISWET7,SCS_ALT,optimal,0.29051709175109863,225,24.990492790056578,498.84089,10002,20002,50004,30.944056,254.826117,2.2375306856596247,2
