name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.10570597648620605,25,1687406.2105959323,1687411.8,20200,30200,80000,49.23766,50.590117,0.1,0
AUG2DC,SCS_ALT,optimal,0.10903811454772949,25,1818361.3455647286,1818368.1,20200,30200,80400,49.686803,53.61814,0.1,0
AUG2DCQP,SCS_ALT,optimal,3.031933069229126,1625,6498102.691954733,6498134.8,20200,30200,80400,59.78746,2966.880068,11.797040877128065,4
AUG2DQP,SCS_ALT,optimal,3.2571940422058105,1675,6236963.854799417,6237012.1,20200,30200,80000,57.468765,3193.833912,10.742578929812451,4
AUG3D,SCS_ALT,optimal,0.01830911636352539,25,554.0677517225934,554.06773,3873,4873,13092,9.921023,7.240619,0.1,0
AUG3DC,SCS_ALT,optimal,0.020837068557739258,25,771.2624604095722,771.26244,3873,4873,14292,10.808549,8.596759,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.08620119094848633,250,993.2666552388432,993.36215,3873,4873,14292,9.654337,75.044371,8.046645276400572,2
AUG3DQP,SCS_ALT,optimal,0.06508183479309082,200,675.2358596933946,675.23767,3873,4873,13092,9.849588,53.9163,0.9964510536546396,1
BOYD1,SCS_ALT,optimal,2.5739047527313232,225,-61735483.68117821,-61735220.0,93261,93279,745507,304.847316,2232.209277,1e-06,2
BOYD2,SCS_ALT,max_iter_reached,1000.5098240375519,51950,21.07206514708114,21.256767,93263,279794,517049,338.596207,1000125.118343,1e-06,2
CONT-050,SCS_ALT,optimal,1.7999978065490723,4400,-4.5649392690285,-4.5638509,2597,4998,17199,13.094098,1784.951036,0.004617895025287948,2
CONT-100,SCS_ALT,optimal,24.93381977081299,7950,-4.64563620592887,-4.6443979,10197,19998,69399,103.388676,24825.783093,0.0003720210104426103,3
CONT-101,SCS_ALT,optimal,26.097895860671997,7700,0.19538508377994468,0.19552733,10197,20295,62496,98.410085,25994.563791,0.0032746010310722067,6
CONT-200,SCS_ALT,optimal,22.918375253677368,1350,-4.731405012299364,-4.6848759,40397,79998,278799,741.29006,22154.816606,9.017481009713554e-05,4
CONT-201,SCS_ALT,optimal,149.53686118125916,8900,0.19234738147622776,0.19248337,40397,80595,249996,998.783372,148514.82905,0.011915820147660112,8
CONT-300,SCS_ALT,optimal,336.9115557670593,7450,0.20613890254966138,0.19151232,90597,180895,562496,3292.732136,333557.627583,0.0007101751962238388,4
CVXQP1_L,SCS_ALT,optimal,223.75452399253845,18925,108659436.2616825,108704800.0,10000,15000,94966,3039.186231,220697.400306,387.0996704800321,5
CVXQP1_M,SCS_ALT,optimal,0.57088303565979,2650,1087408.0177919166,1087511.6,1000,1500,9466,10.606961,558.699973,24.222230130814037,3
CVXQP1_S,SCS_ALT,optimal,0.006318807601928711,550,11590.68721009215,11590.718,100,150,920,0.428498,4.899611,49.41422903558055,3
CVXQP2_L,SCS_ALT,optimal,232.8070089817047,18250,81843204.15388921,81842458.0,10000,12500,87467,2656.452342,230134.522667,23.697559052517516,8
CVXQP2_M,SCS_ALT,optimal,0.2644846439361572,1250,820155.8448175533,820155.43,1000,1250,8717,9.512545,253.66865,123.38134002136519,3
CVXQP2_S,SCS_ALT,optimal,0.002618074417114258,150,8120.88131606201,8120.9405,100,125,846,0.440689,1.351749,2.444111822516428,1
CVXQP3_L,SCS_ALT,optimal,360.0790400505066,18150,115709152.32389283,115711100.0,10000,17500,102465,5525.531635,354529.323088,621.3872365297015,5
CVXQP3_M,SCS_ALT,optimal,2.629483938217163,8575,1362211.2249052082,1362828.7,1000,1750,10215,18.230596,2609.419859,30.916235533330727,3
CVXQP3_S,SCS_ALT,optimal,0.07796287536621094,275,11942.961277005272,11943.432,100,175,994,0.681181,76.089356,1.9097424451017297,1
