name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_ALT,optimal,0.11452078819274902,25,1687406.210612199,1687411.8,20200,30200,80000,53.124016,55.719791,0.1,0
AUG2DC,SCS_ALT,optimal,0.12156009674072266,25,1818361.345583094,1818368.1,20200,30200,80400,54.977821,60.237575,0.1,0
AUG2DCQP,SCS_ALT,optimal,3.2841739654541016,1625,6498102.572135569,6498134.8,20200,30200,80400,59.157715,3218.60622,11.793295804525606,4
AUG2DQP,SCS_ALT,optimal,3.6828207969665527,1675,6236963.915291635,6237012.1,20200,30200,80000,56.201834,3621.20576,10.741378502830965,4
AUG3D,SCS_ALT,optimal,0.02066206932067871,25,554.0677517051536,554.06773,3873,4873,13092,11.135392,7.952577,0.1,0
AUG3DC,SCS_ALT,optimal,0.020673036575317383,25,771.2624603981103,771.26244,3873,4873,14292,10.584004,8.767603,0.1,0
AUG3DCQP,SCS_ALT,optimal,0.09879612922668457,250,993.2669150182046,993.36215,3873,4873,14292,11.012588,86.418395,8.048693714632385,2
AUG3DQP,SCS_ALT,optimal,0.0756218433380127,200,675.235858097672,675.23767,3873,4873,13092,9.324321,64.868774,0.9962552853747705,1
BOYD1,SCS_ALT,optimal,3.5954151153564453,325,-61712503.01816103,-61735220.0,93261,93279,745507,323.439114,3231.820244,1e-06,2
BOYD2,SCS_ALT,max_iter_reached,1000.3907740116119,53875,20.868759037344397,21.256767,93263,279794,517049,341.857071,1000012.272258,1e-06,2
CONT-050,SCS_ALT,optimal,1.526689052581787,4400,-4.564957989981986,-4.5638509,2597,4998,17199,11.791181,1513.007975,0.004594964249752136,2
CONT-100,SCS_ALT,optimal,24.046445846557617,8100,-4.64562706856398,-4.6443979,10197,19998,69399,75.57232,23965.873265,0.00038592649054922627,3
CONT-101,SCS_ALT,optimal,24.726764678955078,7700,0.1954510673016887,0.19552733,10197,20295,62496,91.418343,24630.058371,0.01395821701693659,7
CONT-200,SCS_ALT,optimal,24.878672122955322,1325,-4.730281851984976,-4.6848759,40397,79998,278799,723.681315,24128.70931,8.270695712537489e-05,4
CONT-201,SCS_ALT,optimal,181.88808608055115,9350,0.19231971404471404,0.19248337,40397,80595,249996,939.392118,180924.080406,0.0012630662649142765,7
CONT-300,SCS_ALT,optimal,883.1098351478577,15925,0.1913805242830371,0.19151232,90597,180895,562496,3973.394044,879066.833164,0.0002773927109611107,8
CVXQP1_L,SCS_ALT,optimal,259.9792830944061,18925,108659436.26191603,108704800.0,10000,15000,94966,3702.10409,256261.870814,387.09966719409505,5
CVXQP1_M,SCS_ALT,optimal,0.5457961559295654,2650,1087408.018068995,1087511.6,1000,1500,9466,11.330803,532.914825,24.222188534203514,3
CVXQP1_S,SCS_ALT,optimal,0.00601506233215332,550,11590.68721182586,11590.718,100,150,920,0.434337,4.526687,49.412759238506375,3
