name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0,optimal,0.10518884658813477,25,1687411.0233093516,1687411.8,20200,30200,80000,54.022861,47.333834,0.1,0
AUG2DC,SCS-3.0,optimal,0.11819696426391602,25,1818368.3024191514,1818368.1,20200,30200,80400,60.442379,52.734525,0.1,0
AUG2DCQP,SCS-3.0,optimal,2.5649869441986084,1625,6498067.016275377,6498134.8,20200,30200,80400,58.974268,2501.764609,11.409787967612688,4
AUG2DQP,SCS-3.0,optimal,2.7923240661621094,1675,6237004.76288455,6237012.1,20200,30200,80000,60.339766,2727.49183,11.266939978332278,4
AUG3D,SCS-3.0,optimal,0.0209200382232666,25,554.0677236490887,554.06773,3873,4873,13092,10.965269,8.738374,0.1,0
AUG3DC,SCS-3.0,optimal,0.020528316497802734,25,771.2624397546742,771.26244,3873,4873,14292,11.257673,8.087381,0.1,0
AUG3DCQP,SCS-3.0,optimal,0.09495139122009277,275,993.3518526856506,993.36215,3873,4873,14292,12.177358,81.635537,8.130106542181707,2
AUG3DQP,SCS-3.0,optimal,0.07753992080688477,225,675.2376855225507,675.23767,3873,4873,13092,11.0055,65.579518,3.2039269652067928,2
BOYD1,SCS-3.0,optimal,128.73289489746094,15750,-61701665.23902646,-61735220.0,93261,93279,745507,321.274699,128374.971514,3.55413215183747e-05,5
BOYD2,SCS-3.0,max_iter_reached,1000.9130821228027,74075,20.913571164557148,21.256767,93263,279794,517049,372.337408,1000276.410121,1e-06,2
CONT-050,SCS-3.0,optimal,6.854867935180664,5650,-4.564216451108851,-4.5638509,2597,4998,17199,109.656886,6737.806047,0.004843531382292985,2
CONT-100,SCS-3.0,optimal,102.57484698295593,20075,-4.644521787267867,-4.6443979,10197,19998,69399,147.241996,102417.629231,0.014903300248829562,5
CONT-101,SCS-3.0,optimal,45.969318151474,7800,0.1953733595595225,0.19552733,10197,20295,62496,147.12017,45813.354225,0.0010573319156349222,5
CONT-200,SCS-3.0,optimal,142.06991410255432,9750,-4.685352580630789,-4.6848759,40397,79998,278799,882.922486,141160.383685,0.006015353415613923,5
CONT-201,SCS-3.0,optimal,192.63729095458984,11575,0.19237165374965093,0.19248337,40397,80595,249996,798.550737,191807.675999,0.0005512837570448453,4
CONT-300,SCS-3.0,optimal,857.1598370075226,21400,0.19141193544500013,0.19151232,90597,180895,562496,3595.624984,853476.874396,0.02330420989301438,7
CVXQP1_L,SCS-3.0,optimal,874.8973350524902,89875,108681509.13115808,108704800.0,10000,15000,94966,2716.095881,872230.118842,407.78960113389724,5
CVXQP1_M,SCS-3.0,optimal,0.5650131702423096,3200,1087462.675996842,1087511.6,1000,1500,9466,10.731378,552.942019,25.282042023686436,3
CVXQP1_S,SCS-3.0,optimal,0.024550199508666992,550,11590.687249791978,11590.718,100,150,920,17.678246,6.094929,49.49531524895604,3
CVXQP2_L,SCS-3.0,optimal,172.32514095306396,21975,81843897.73706375,81842458.0,10000,12500,87467,1691.769695,170624.300225,57.474290677475864,8
CVXQP2_M,SCS-3.0,optimal,0.21089911460876465,1250,820155.8742674215,820155.43,1000,1250,8717,8.401735,201.294394,125.8473268726909,3
CVXQP2_S,SCS-3.0,optimal,0.017233848571777344,150,8120.916853522793,8120.9405,100,125,846,14.560527,1.863515,2.598017689732043,1
CVXQP3_L,SCS-3.0,optimal,224.3735649585724,19250,115709460.74886402,115711100.0,10000,17500,102465,3019.162204,221342.40769,696.6189269028791,5
CVXQP3_M,SCS-3.0,optimal,4.436159133911133,23950,1362657.7175347565,1362828.7,1000,1750,10215,12.424786,4422.777826,33.61037106181884,3
CVXQP3_S,SCS-3.0,optimal,0.0069577693939208984,575,11943.233373481116,11943.432,100,175,994,0.564783,5.664355,1.7321367070346563,1
DPKLO1,SCS-3.0,optimal,0.030295133590698242,25,0.3700962435713347,0.37009622,133,210,1785,0.62893,0.466374,0.1,0
DTOC3,SCS-3.0,optimal,3.283026933670044,4150,235.03818259752,235.26248,14999,24997,64989,27.30187,3252.978122,0.0006266176307545583,2
DUAL1,SCS-3.0,optimal,0.03226494789123535,25,0.0350120324051213,0.035012966,85,86,7201,0.851448,0.392368,0.1,0
DUAL2,SCS-3.0,optimal,0.0027992725372314453,25,0.033733676567432855,0.033733676,96,97,9112,1.182001,0.478813,0.1,0
DUAL3,SCS-3.0,optimal,0.0031740665435791016,25,0.13575567888717818,0.13575584,111,112,12327,1.474074,0.582018,0.1,0
DUAL4,SCS-3.0,optimal,0.03008413314819336,25,0.746082835374153,0.74609084,75,76,5673,0.681985,28.558953,0.1,0
DUALC1,SCS-3.0,optimal,0.002960205078125,200,6154.909748663949,6155.2508,9,224,2025,0.444127,1.854347,0.1,0
DUALC2,SCS-3.0,optimal,0.0017931461334228516,75,3551.598402552103,3551.3077,7,236,1659,0.464841,0.689252,0.1,0
DUALC5,SCS-3.0,optimal,0.03251385688781738,50,427.1781495859333,427.23233,8,286,2296,0.524634,0.598042,0.1,0
DUALC8,SCS-3.0,optimal,0.0021691322326660156,25,18309.29586032684,18309.359,8,511,4096,0.917237,0.605056,0.1,0
EXDATA,SCS-3.0,optimal,3.9464242458343506,975,-141.82814461417723,-141.84343,3000,6001,2260500,804.014892,3025.530794,0.1,0
GENHS28,SCS-3.0,optimal,0.009369134902954102,25,0.9271736991619167,0.92717369,10,18,62,0.148689,8.320938,0.1,0
GOULDQP2,SCS-3.0,optimal,1.0786261558532715,32675,0.00018546407334907775,0.00018427534,699,1048,2791,1.233616,1076.637618,7.131652382458735e-05,5
GOULDQP3,SCS-3.0,optimal,0.005128145217895508,50,1.9906784995364433,2.062784,699,1048,3838,1.650143,2.598391,0.1,0
HS118,SCS-3.0,optimal,0.0010552406311035156,375,664.8556825030817,664.82045,15,32,69,0.152682,0.611536,0.1,0
HS21,SCS-3.0,optimal,0.00044798851013183594,150,-99.96007245066833,-99.96,2,3,6,0.091561,0.11503,0.008955528668092618,1
HS268,SCS-3.0,optimal,0.03286480903625488,25,0.194862901174929,5.7310705e-07,5,10,55,0.099989,0.080628,0.1,0
HS35,SCS-3.0,optimal,0.0009150505065917969,25,0.11101091710317412,0.11111111,3,4,13,0.130984,0.10675,0.1,0
HS35MOD,SCS-3.0,optimal,0.0007910728454589844,50,0.24999999229597947,0.25,3,4,13,0.10742,0.102365,0.1,0
HS51,SCS-3.0,optimal,0.034410953521728516,25,1.7763568394002505e-15,8.8817842e-16,5,8,21,0.105738,0.087946,0.1,0
HS52,SCS-3.0,optimal,0.0009179115295410156,25,5.3266475783202285,5.3266476,5,8,21,0.134769,0.110231,0.1,0
HS53,SCS-3.0,optimal,0.0007779598236083984,25,4.093023257637043,4.0930233,5,8,21,0.11176,0.093228,0.1,0
HS76,SCS-3.0,optimal,0.034424781799316406,75,-4.68217173059322,-4.6818182,4,7,22,0.101377,0.108386,0.1,0
HUES-MOD,SCS-3.0,optimal,2.257214069366455,6000,34826646.39902345,34824690.0,10000,10002,40000,16.043554,2239.270998,0.012471977604000425,3
HUESTIS,SCS-3.0,max_iter_reached,37.0967960357666,100000,inf,348246900000.0,10000,10002,40000,23.345537,37071.805899,14421.005357291748,4
KSIP,SCS-3.0,optimal,0.04489421844482422,825,0.5756825596555573,0.57579794,20,1021,19938,4.890762,39.473558,0.1,0
LASER,SCS-3.0,max_iter_reached,5.536391019821167,100000,inf,2409601.4,1002,2002,9462,2.167568,5533.314048,60.470351940140915,3
LISWET1,SCS-3.0,optimal,0.46107983589172363,625,24.99719643916842,36.122402,10002,20002,50004,21.155663,437.603128,2.3076036941850244,2
LISWET10,SCS-3.0,optimal,0.3850371837615967,500,24.996044511478885,49.485785,10002,20002,50004,34.385156,348.32028,2.311079570887116,2
LISWET11,SCS-3.0,optimal,0.38635897636413574,500,24.993484162423556,49.523957,10002,20002,50004,26.670515,356.979249,2.293758465785079,2
LISWET12,SCS-3.0,optimal,0.3745911121368408,500,24.993197408592096,1736.9274,10002,20002,50004,27.977287,343.677655,2.294015203576046,2
LISWET2,SCS-3.0,optimal,0.409106969833374,525,24.99206586959599,24.998076,10002,20002,50004,29.515014,376.789759,2.3553087403425437,2
LISWET3,SCS-3.0,optimal,0.39719104766845703,500,24.995264371332496,25.00122,10002,20002,50004,35.886302,358.783954,2.431043798665423,2
LISWET4,SCS-3.0,optimal,0.39264798164367676,500,24.99436201340984,25.000112,10002,20002,50004,26.919896,363.243353,2.4880790793202614,2
LISWET5,SCS-3.0,optimal,0.2703230381011963,325,25.02380844160325,25.034253,10002,20002,50004,29.002982,238.241342,1.9596894676679317,2
LISWET6,SCS-3.0,optimal,0.3799591064453125,500,24.989427621397226,24.995748,10002,20002,50004,28.680776,348.579802,2.3499064419895586,2
LISWET7,SCS-3.0,optimal,0.4054720401763916,525,24.99682254934669,498.84089,10002,20002,50004,26.961489,375.576337,2.324750839576091,2
LISWET8,SCS-3.0,optimal,0.4099092483520508,525,24.99679271445848,7144.7006,10002,20002,50004,27.612272,379.575684,2.2937048570358556,2
LISWET9,SCS-3.0,optimal,0.42212796211242676,525,24.996742515345886,1963.2513,10002,20002,50004,27.649052,391.943199,2.2939209255118236,2
LOTSCHD,SCS-3.0,optimal,0.0007238388061523438,125,2398.160881531571,2398.4159,12,19,72,0.150111,0.210749,0.1,0
MOSARQP1,SCS-3.0,optimal,0.05150198936462402,275,-952.8757569720973,-952.87544,2500,3200,8512,5.520442,44.710394,0.9000501502046627,1
MOSARQP2,SCS-3.0,optimal,0.045703887939453125,200,-1597.4831415803867,-1597.4821,900,1500,4820,25.780742,19.129758,1.0361277993017421,1
POWELL20,SCS-3.0,max_iter_reached,59.813112020492554,100000,inf,52089583000.0,10000,20000,40000,35.44761,59775.467673,14.320852041271122,3
PRIMAL1,SCS-3.0,optimal,0.008383035659790039,125,-0.035013025177347924,-0.035012965,325,410,6464,3.539604,4.385469,1.0305669172825211,1
PRIMAL2,SCS-3.0,optimal,0.035392045974731445,75,-0.03373932171906259,-0.033733676,649,745,9339,30.538045,4.479529,0.1,0
PRIMAL3,SCS-3.0,optimal,0.03046393394470215,75,-0.13575843429578616,-0.13575584,745,856,23036,15.328086,6.731294,0.1,0
