name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_AA2,optimal,0.09280514717102051,25,1687411.0233093516,1687411.8,20200,30200,80000,41.812445,46.905684,0.1,0
AUG2DC,SCS_AA2,optimal,0.11626911163330078,25,1818368.3024191514,1818368.1,20200,30200,80400,57.793201,53.47206,0.1,0
AUG2DCQP,SCS_AA2,optimal,5.916507005691528,3550,6498133.6114373235,6498134.8,20200,30200,80400,57.737611,5854.559833,214.96028751511213,6
AUG2DQP,SCS_AA2,optimal,5.246850967407227,3175,6237011.572195136,6237012.1,20200,30200,80000,58.371239,5184.262155,17.764487119380057,6
AUG3D,SCS_AA2,optimal,0.02429986000061035,25,554.0677236490887,554.06773,3873,4873,13092,14.271402,8.833709,0.1,0
AUG3DC,SCS_AA2,optimal,0.04192090034484863,25,771.2624397546742,771.26244,3873,4873,14292,32.206241,8.582222,0.1,0
AUG3DCQP,SCS_AA2,optimal,0.1129159927368164,275,993.3497221548582,993.36215,3873,4873,14292,31.103594,80.809876,8.122417883327419,2
AUG3DQP,SCS_AA2,optimal,0.053117990493774414,150,675.2376712735163,675.23767,3873,4873,13092,9.862431,42.131356,0.967666825758373,1
BOYD1,SCS_AA2,optimal,5.4020867347717285,650,-61767839.070364475,-61735220.0,93261,93279,745507,285.086312,5088.939077,7.372857648892192e-06,3
BOYD2,SCS_AA2,max_iter_reached,1000.6115112304688,72250,21.764755427611426,21.256767,93263,279794,517049,300.546894,1000275.785086,1e-06,2
CONT-050,SCS_AA2,optimal,0.1307361125946045,300,-4.563771416152102,-4.5638509,2597,4998,17199,13.787234,115.189778,0.019316599360427962,1
CONT-100,SCS_AA2,optimal,9.764686107635498,3675,-4.642283978905584,-4.6443979,10197,19998,69399,96.28895,9664.661885,0.00041605128365684516,3
CONT-101,SCS_AA2,optimal,22.30734896659851,7825,0.19536753986593625,0.19552733,10197,20295,62496,98.506288,22204.999451,0.004014516093047325,7
CONT-200,SCS_AA2,optimal,30.97997212409973,2125,-4.738108096438064,-4.6848759,40397,79998,278799,583.654207,30376.123261,0.00011515821038425186,3
