name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
AUG2D,OSQP,optimal,0.09245109558105469,50,1687410.4314599645,1687411.8,20200,30200,80000,0,0.027858047,0.060208081,0.0,0,0.17177779743320198
AUG2DC,OSQP,optimal,0.09318804740905762,50,1818365.5157921652,1818368.1,20200,30200,80400,0,0.027205901,0.061605947,0.0,0,0.17672297270084913
AUG2DCQP,OSQP,optimal,1.148756980895996,1100,6498207.283199438,6498134.8,20200,30200,80400,0,0.027315159,1.120503033,0.0,3,21.93434520138616
AUG2DQP,OSQP,optimal,1.061570167541504,1025,6236991.955875607,6237012.1,20200,30200,80000,0,0.027850984,1.032638263,0.0,4,2.3603462387805263
AUG3D,OSQP,optimal,0.011043071746826172,25,554.0685582599585,554.06773,3873,4873,13092,0,0.00514033,0.00528233,0.0,0,0.1001416454408767
AUG3DC,OSQP,optimal,0.011304140090942383,25,771.2633061482056,771.26244,3873,4873,14292,0,0.005438662,0.005286469,0.0,0,0.09889838956301736
AUG3DCQP,OSQP,optimal,0.02173590660095215,75,993.3530866996612,993.36215,3873,4873,14292,0,0.005345563,0.015834066,0.0,1,1.395130746385385
AUG3DQP,OSQP,optimal,0.023289203643798828,75,675.2515838082863,675.23767,3873,4873,13092,0,0.005432581,0.017256226,0.0,2,2.6438571531427013
BOYD1,OSQP,solver_error,514.6089289188385,100000,-83539399.12811495,-61735220.0,93261,93279,745507,0,0.10302709,514.505142596,0.0,2,1e-06
BOYD2,OSQP,solver_error,746.8556430339813,100000,242.59566988349135,21.256767,93263,279794,517049,0,0.153926737,746.645438967,0.0,2,1e-06
CONT-050,OSQP,optimal,0.8606178760528564,2000,-4.563917064198739,-4.5638509,2597,4998,17199,0,0.010452374,0.848958181,0.0,8,11.38503571221081
CONT-100,OSQP,optimal,16.19410729408264,5575,-4.644381920095604,-4.6443979,10197,19998,69399,0,0.072338003,16.117309148,0.0,14,23.61486596958291
CONT-101,OSQP,optimal,24.744951248168945,8850,0.19550795138053112,0.19552733,10197,20295,62496,0,0.086102513,24.653789098,0.0,11,0.000635014727500301
CONT-200,OSQP,optimal,194.15254378318787,14500,-4.685006042532906,-4.6848759,40397,79998,278799,0,0.54875508,193.597693029,0.0,5,0.008357003228424113
CONT-201,OSQP,optimal,290.12313413619995,18425,0.19242642396284293,0.19248337,40397,80595,249996,0,0.75484439,289.346144781,0.0,12,0.009235316743025879
CONT-300,OSQP,time_limit,1000.0267629623413,25227,0.48056986080138886,0.19151232,90597,180895,562496,0,3.014674956,996.99621467,0.0,6,0.000374158321934164
CVXQP1_L,OSQP,optimal,75.08660507202148,6700,108682917.48432226,108704800.0,10000,15000,94966,0,2.623538172,72.448388345,0.0,2,6835.875781638002
CVXQP1_M,OSQP,optimal,0.05007481575012207,125,1087495.1411517041,1087511.6,1000,1500,9466,0,0.008142703,0.040775946,0.0,3,1408.0556748272054
CVXQP1_S,OSQP,optimal,0.0016601085662841797,100,11590.617248383953,11590.718,100,150,920,0,0.000224149,0.000691089,0.0,2,260.51645175859477
CVXQP2_L,OSQP,optimal,9.127596855163574,325,81842458.51625481,81842458.0,10000,12500,87467,0,1.759112839,7.363735209,0.0,3,1864.2961232479206
CVXQP2_M,OSQP,optimal,0.060682058334350586,125,820154.9017885592,820155.43,1000,1250,8717,0,0.007228926,0.052325658,0.0,3,1836.7438181591892
CVXQP2_S,OSQP,optimal,0.016348838806152344,75,8120.9398432916205,8120.9405,100,125,846,0,0.000250149,0.000495825,0.0,2,21.843843601757367
