name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0,optimal,0.10252594947814941,25,1687411.0233093516,1687411.8,20200,30200,80000,48.011412,49.924437,0.1,0
AUG2DC,SCS-3.0,optimal,0.11937904357910156,25,1818368.3024191514,1818368.1,20200,30200,80400,60.3214,53.575772,0.1,0
AUG2DCQP,SCS-3.0,optimal,2.819492816925049,1625,6498067.016275377,6498134.8,20200,30200,80400,62.470859,2752.842716,11.409787967612688,4
AUG2DQP,SCS-3.0,optimal,2.9447522163391113,1675,6237004.76288455,6237012.1,20200,30200,80000,62.033622,2878.257902,11.266939978332278,4
AUG3D,SCS-3.0,optimal,0.02214813232421875,25,554.0677236490887,554.06773,3873,4873,13092,11.844108,8.844635,0.1,0
AUG3DC,SCS-3.0,optimal,0.021616220474243164,25,771.2624397546742,771.26244,3873,4873,14292,11.666152,8.601047,0.1,0
AUG3DCQP,SCS-3.0,optimal,0.09595894813537598,275,993.3518526856506,993.36215,3873,4873,14292,11.344323,83.338509,8.130106542181707,2
AUG3DQP,SCS-3.0,optimal,0.07682299613952637,225,675.2376855225507,675.23767,3873,4873,13092,11.228367,64.403504,3.2039269652067928,2
BOYD1,SCS-3.0,optimal,132.11049389839172,15750,-61701665.23902646,-61735220.0,93261,93279,745507,337.521354,131641.099064,3.55413215183747e-05,5
BOYD2,SCS-3.0,max_iter_reached,1000.5410871505737,68950,21.141037594552646,21.256767,93263,279794,517049,346.708902,1000139.744021,1e-06,2
CONT-050,SCS-3.0,optimal,2.009603977203369,5650,-4.564216451108851,-4.5638509,2597,4998,17199,15.445635,1991.784446,0.004843531382292985,2
CONT-100,SCS-3.0,optimal,58.80963492393494,20075,-4.644521787267867,-4.6443979,10197,19998,69399,79.611016,58724.493566,0.014903300248829562,5
CONT-101,SCS-3.0,optimal,24.05720806121826,7800,0.1953733595595225,0.19552733,10197,20295,62496,107.271528,23944.935208,0.0010573319156349222,5
