name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_AA1,optimal,0.12422513961791992,25,1687411.0233093516,1687411.8,20200,30200,80000,61.411364,56.556072,0.1,0
AUG2DC,SCS_AA1,optimal,0.12469816207885742,25,1818368.3024191514,1818368.1,20200,30200,80400,60.87977,57.487769,0.1,0
AUG2DCQP,SCS_AA1,optimal,3.0827338695526123,1600,6498148.404702359,6498134.8,20200,30200,80400,61.787012,3014.510287,12.705875368209414,4
AUG2DQP,SCS_AA1,optimal,3.30192494392395,1650,6237023.565054926,6237012.1,20200,30200,80000,63.462954,3232.625931,11.552749270978547,4
AUG3D,SCS_AA1,optimal,0.022608041763305664,25,554.0677236490887,554.06773,3873,4873,13092,11.297339,9.68382,0.1,0
AUG3DC,SCS_AA1,optimal,0.02194523811340332,25,771.2624397546742,771.26244,3873,4873,14292,11.388539,9.043191,0.1,0
AUG3DCQP,SCS_AA1,optimal,0.10251116752624512,275,993.3518526856506,993.36215,3873,4873,14292,11.493077,89.267285,8.130106542181707,2
AUG3DQP,SCS_AA1,optimal,0.08102297782897949,225,675.2376855225507,675.23767,3873,4873,13092,11.194412,68.591105,3.2039269652067928,2
BOYD1,SCS_AA1,optimal,111.5429368019104,11550,-61735207.73879522,-61735220.0,93261,93279,745507,341.559315,111158.223329,2.1422706514026298e-05,4
BOYD2,SCS_AA1,max_iter_reached,1000.4994671344757,53250,21.18881114452116,21.256767,93263,279794,517049,363.872711,1000087.245296,1e-06,2
CONT-050,SCS_AA1,optimal,0.6643640995025635,1425,-4.563826860139699,-4.5638509,2597,4998,17199,15.588069,645.032805,0.004843531382292985,2
CONT-100,SCS_AA1,optimal,11.029808044433594,3175,-4.644513228344782,-4.6443979,10197,19998,69399,95.468218,10929.200805,0.020532287855075444,5
CONT-101,SCS_AA1,optimal,31.09481906890869,8400,0.19537869865786361,0.19552733,10197,20295,62496,116.984668,30972.530918,0.0010436882787601808,5
CONT-200,SCS_AA1,optimal,23.97613787651062,1175,-4.7380697395931275,-4.6848759,40397,79998,278799,809.032736,23138.589566,0.00014240244135098345,3
CONT-201,SCS_AA1,optimal,238.85274124145508,12000,0.19237136489065354,0.19248337,40397,80595,249996,1083.312627,237715.364526,0.0005512837570448453,4
CONT-300,SCS_AA1,max_iter_reached,1004.3760249614716,18950,0.19141039757916267,0.19151232,90597,180895,562496,4180.176312,1000101.589435,0.000329317753950748,4
CVXQP1_L,SCS_AA1,max_iter_reached,1004.0263741016388,80900,108679513.52260925,108704800.0,10000,15000,94966,3974.149496,1000046.476673,404.2030928940312,5
CVXQP1_M,SCS_AA1,optimal,0.4603111743927002,2100,1087518.85746176,1087511.6,1000,1500,9466,11.495811,447.213328,25.25329173183492,3
CVXQP1_S,SCS_AA1,optimal,0.00615692138671875,525,11590.71821949205,11590.718,100,150,920,0.579861,4.875105,49.49531524895604,3
CVXQP2_L,SCS_AA1,optimal,227.2996690273285,21475,81843488.95569274,81842458.0,10000,12500,87467,2307.887617,224976.65489,16.163973017612104,9
CVXQP2_M,SCS_AA1,optimal,0.18772506713867188,975,820155.8018632348,820155.43,1000,1250,8717,8.731022,177.39883,125.8473268726909,3
CVXQP2_S,SCS_AA1,optimal,0.002321004867553711,150,8120.916853522793,8120.9405,100,125,846,0.453076,1.17619,2.598017689732043,1
CVXQP3_L,SCS_AA1,optimal,284.95331597328186,19425,115709462.01808584,115711100.0,10000,17500,102465,4159.695893,280768.782553,696.6189269028791,5
CVXQP3_M,SCS_AA1,optimal,4.849236965179443,19175,1362658.271170847,1362828.7,1000,1750,10215,20.275678,4826.545126,33.63250202493597,3
