name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
AUG2D,COSMO,optimal,2.4959609508514404,100,1687411.7528965662,1687411.8,20200,30200,80000
AUG2DC,COSMO,optimal,0.3248429298400879,100,1818368.0655700013,1818368.1,20200,30200,80400
AUG2DCQP,COSMO,optimal,14.551939964294434,5700,6497658.266569831,6498134.8,20200,30200,80400
AUG2DQP,COSMO,optimal,13.373319864273071,5500,6235989.993038719,6237012.1,20200,30200,80000
AUG3D,COSMO,optimal,0.08429503440856934,100,554.0677257925263,554.06773,3873,4873,13092
AUG3DC,COSMO,optimal,0.1418440341949463,100,771.2624386889588,771.26244,3873,4873,14292
AUG3DCQP,COSMO,optimal,0.07735395431518555,100,993.3560834229875,993.36215,3873,4873,14292
AUG3DQP,COSMO,optimal,0.1630699634552002,100,675.2372253956892,675.23767,3873,4873,13092
BOYD1,COSMO,solver_error,1000.4010400772095,99884,-76500402.11368337,-61735220.0,93261,93279,745507
BOYD2,COSMO,solver_error,1000.4694299697876,81042,21.259352732308187,21.256767,93263,279794,517049
CONT-050,COSMO,optimal,9.526189804077148,18900,-4.563850195406399,-4.5638509,2597,4998,17199
CONT-100,COSMO,optimal,366.56200981140137,69900,-4.64439748601483,-4.6443979,10197,19998,69399
CONT-101,COSMO,max_iter_reached,577.398209810257,100000,0.196267407444206,0.19552733,10197,20295,62496
CONT-200,COSMO,solver_error,1002.0979421138763,42733,-4.5471831378809355,-4.6848759,40397,79998,278799
CONT-201,COSMO,solver_error,1001.7938139438629,37375,0.7654875515727517,0.19248337,40397,80595,249996
CONT-300,COSMO,solver_error,1006.769711971283,13861,1.0649171941662976,0.19151232,90597,180895,562496
CVXQP1_L,COSMO,solver_error,1007.6971220970154,65031,102337070.7631776,108704800.0,10000,15000,94966
CVXQP1_M,COSMO,optimal,14.918807029724121,46800,1087457.1582696014,1087511.6,1000,1500,9466
CVXQP1_S,COSMO,optimal,0.6650760173797607,19200,11590.07246153257,11590.718,100,150,920
CVXQP2_L,COSMO,solver_error,1002.9183790683746,96701,81094986.34967458,81842458.0,10000,12500,87467
CVXQP2_M,COSMO,optimal,10.856853008270264,53500,820149.5451931648,820155.43,1000,1250,8717
CVXQP2_S,COSMO,optimal,0.13901901245117188,3500,8120.173147187515,8120.9405,100,125,846
CVXQP3_L,COSMO,solver_error,1004.5282161235809,67348,107512377.54023474,115711100.0,10000,17500,102465
CVXQP3_M,COSMO,max_iter_reached,28.971274852752686,100000,1334727.704452659,1362828.7,1000,1750,10215
CVXQP3_S,COSMO,optimal,0.16171693801879883,5200,11943.210569014638,11943.432,100,175,994
DPKLO1,COSMO,optimal,0.013188838958740234,100,0.3700962158581975,0.37009622,133,210,1785
DTOC3,COSMO,optimal,0.8174419403076172,100,235.26248099791303,235.26248,14999,24997,64989
DUAL1,COSMO,optimal,0.014496088027954102,100,0.035006594892388214,0.035012966,85,86,7201
DUAL2,COSMO,optimal,0.05202507972717285,100,0.03373240559677669,0.033733676,96,97,9112
DUAL3,COSMO,optimal,0.03149008750915527,100,0.1356962072556935,0.13575584,111,112,12327
DUAL4,COSMO,optimal,0.03836202621459961,200,0.7450336825996695,0.74609084,75,76,5673
DUALC1,COSMO,max_iter_reached,2.786268949508667,100000,-1772749.7780489794,6155.2508,9,224,2025
DUALC2,COSMO,max_iter_reached,2.8519740104675293,100000,-2856.266352430725,3551.3077,7,236,1659
DUALC5,COSMO,max_iter_reached,5.609997987747192,100000,380.62419691665303,427.23233,8,286,2296
DUALC8,COSMO,max_iter_reached,3.4120991230010986,100000,11306.475801890052,18309.359,8,511,4096
EXDATA,COSMO,optimal,114.85381007194519,23200,-141.84329564651716,-141.84343,3000,6001,2260500
GENHS28,COSMO,optimal,0.05547809600830078,100,0.927173693766391,0.92717369,10,18,62
GOULDQP2,COSMO,optimal,5.133657932281494,78200,0.00018502865311715655,0.00018427534,699,1048,2791
GOULDQP3,COSMO,optimal,0.10551619529724121,100,2.062682458807103,2.062784,699,1048,3838
HS118,COSMO,optimal,0.14005017280578613,1400,664.8192815587197,664.82045,15,32,69
HS21,COSMO,optimal,0.1565859317779541,2200,-99.95999608459483,-99.96,2,3,6
HS268,COSMO,optimal,0.11310601234436035,100,0.16562608981257654,5.7310705e-07,5,10,55
HS35,COSMO,optimal,0.0031380653381347656,100,0.11111111111110894,0.11111111,3,4,13
HS35MOD,COSMO,optimal,0.1253960132598877,100,0.24999999999999467,0.25,3,4,13
HS51,COSMO,optimal,0.08733296394348145,100,0.0,8.8817842e-16,5,8,21
HS52,COSMO,optimal,0.11695480346679688,100,5.326647564469919,5.3266476,5,8,21
HS53,COSMO,optimal,0.004129886627197266,100,4.0930232558139545,4.0930233,5,8,21
HS76,COSMO,optimal,0.004308938980102539,100,-4.681762978485718,-4.6818182,4,7,22
HUES-MOD,COSMO,optimal,13.101933002471924,36200,34824450.34063698,34824690.0,10000,10002,40000
HUESTIS,COSMO,optimal,16.45755910873413,43600,348200124601.2572,348246900000.0,10000,10002,40000
KSIP,COSMO,optimal,0.03983116149902344,200,0.5757099814835944,0.57579794,20,1021,19938
LASER,COSMO,optimal,0.0345919132232666,400,2409549.9420091272,2409601.4,1002,2002,9462
LISWET1,COSMO,optimal,0.10640788078308105,100,24.98912662482371,36.122402,10002,20002,50004
LISWET10,COSMO,optimal,0.10037088394165039,100,24.989562189753997,49.485785,10002,20002,50004
LISWET11,COSMO,optimal,0.09616708755493164,100,24.98704530772511,49.523957,10002,20002,50004
LISWET12,COSMO,optimal,0.11378288269042969,100,24.9868998807533,1736.9274,10002,20002,50004
LISWET2,COSMO,optimal,0.09927487373352051,100,24.98507271666972,24.998076,10002,20002,50004
LISWET3,COSMO,optimal,0.1208350658416748,100,24.988348808483238,25.00122,10002,20002,50004
LISWET4,COSMO,optimal,0.13550400733947754,100,24.98723401335576,25.000112,10002,20002,50004
LISWET5,COSMO,optimal,0.0977790355682373,100,25.021381175838542,25.034253,10002,20002,50004
LISWET6,COSMO,optimal,0.24859309196472168,100,24.982835396912378,24.995748,10002,20002,50004
LISWET7,COSMO,optimal,0.11888885498046875,100,24.989970155539595,498.84089,10002,20002,50004
LISWET8,COSMO,optimal,0.09934592247009277,100,24.9899941608669,7144.7006,10002,20002,50004
LISWET9,COSMO,optimal,0.1676499843597412,100,24.99008783893578,1963.2513,10002,20002,50004
LOTSCHD,COSMO,optimal,0.007906913757324219,100,2398.3672860857223,2398.4159,12,19,72
MOSARQP1,COSMO,optimal,0.200469970703125,300,-952.8763812951067,-952.87544,2500,3200,8512
MOSARQP2,COSMO,optimal,0.06701278686523438,200,-1597.4935374594647,-1597.4821,900,1500,4820
POWELL20,COSMO,max_iter_reached,295.6618618965149,100000,42944762274.80168,52089583000.0,10000,20000,40000
PRIMAL1,COSMO,optimal,0.0150909423828125,100,-0.035012937805371416,-0.035012965,325,410,6464
PRIMAL2,COSMO,optimal,0.07250595092773438,100,-0.03373368877006725,-0.033733676,649,745,9339
PRIMAL3,COSMO,optimal,0.11074614524841309,200,-0.13574562928513534,-0.13575584,745,856,23036
PRIMAL4,COSMO,optimal,0.12791991233825684,600,-0.7460821292172285,-0.74609083,1489,1564,19008
