name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
AUG2D,OSQP,optimal,0.04827570915222168,25,1687411.4358193018,1687411.8,20200,30200,80000,0,0.02038352,0.026639628,0.0,0
AUG2DC,OSQP,optimal,0.04908037185668945,25,1818367.8312151982,1818368.1,20200,30200,80400,0,0.020692768,0.027144697,0.0,0
AUG2DCQP,OSQP,optimal,5.901732444763184,5625,6497176.443397176,6498134.8,20200,30200,80400,0,0.020853939,5.879626012,0.0,0
AUG2DQP,OSQP,optimal,5.7731664180755615,5500,6235989.993038713,6237012.1,20200,30200,80000,0,0.020826201,5.751070368,0.0,0
AUG3D,OSQP,optimal,0.009470701217651367,25,554.06772714921,554.06773,3873,4873,13092,0,0.004352395,0.004558952,0.0,0
AUG3DC,OSQP,optimal,0.009456634521484375,25,771.2624386889838,771.26244,3873,4873,14292,0,0.004361158,0.004532618,0.0,0
AUG3DCQP,OSQP,optimal,0.019618988037109375,75,993.2802499908234,993.36215,3873,4873,14292,0,0.004508861,0.014236671,0.0,0
AUG3DQP,OSQP,optimal,0.015247821807861328,50,675.0841928944978,675.23767,3873,4873,13092,0,0.004444645,0.009919742,0.0,0
BOYD1,OSQP,max_iter_reached,603.5259900093079,100000,-76492420.49950913,-61735220.0,93261,93279,745507,0,0.08589954,603.433949438,0.0,0
BOYD2,OSQP,max_iter_reached,809.4759757518768,100000,21.25890076543082,21.256767,93263,279794,517049,0,0.137883662,809.330774498,0.0,0
CONT-050,OSQP,optimal,11.495472431182861,18825,-4.5638499383195,-4.5638509,2597,4998,17199,0,0.00844595,11.486311749,0.0,0
CONT-100,OSQP,optimal,152.03937792778015,69825,-4.644397637830092,-4.6443979,10197,19998,69399,0,0.099751083,151.938174668,0.0,0
CONT-101,OSQP,solver_error,214.80302000045776,100000,0.196267407444203,0.19552733,10197,20295,62496,0,0.110230722,214.691585307,0.0,0
CONT-200,OSQP,time_limit,1000.0130550861359,78608,-4.679064011955861,-4.6848759,40397,79998,278799,0,0.55475187,999.450897447,0.0,0
CONT-201,OSQP,time_limit,1000.0122745037079,70638,0.2048849172338869,0.19248337,40397,80595,249996,0,0.737119629,999.272463188,0.0,0
CONT-300,OSQP,time_limit,1000.0522158145905,27677,0.2691607136117594,0.19151232,90597,180895,562496,0,3.059549537,996.977346193,0.0,0
CVXQP1_L,OSQP,max_iter_reached,891.4111058712006,100000,103341284.40250772,108704800.0,10000,15000,94966,0,2.891877039,888.515584953,0.0,0
CVXQP1_M,OSQP,optimal,7.316018104553223,46725,1087456.6067139872,1087511.6,1000,1500,9466,0,0.008572363,7.306200442,0.0,0
CVXQP1_S,OSQP,optimal,0.09706950187683105,19125,11589.978026718154,11590.718,100,150,920,0,0.000195936,0.095975055,0.0,0
CVXQP2_L,OSQP,max_iter_reached,650.5417363643646,100000,81146073.0117677,81842458.0,10000,12500,87467,0,1.856313306,648.68169363,0.0,0
CVXQP2_M,OSQP,optimal,6.627755403518677,53475,820149.5287019429,820155.43,1000,1250,8717,0,0.005745425,6.620787446,0.0,0
CVXQP2_S,OSQP,optimal,0.01683211326599121,3425,8120.0558262674,8120.9405,100,125,846,0,0.00015345,0.015766168,0.0,0
CVXQP3_L,OSQP,time_limit,1000.0115008354187,99275,108062433.21231459,115711100.0,10000,17500,102465,0,3.391373595,996.616196469,0.0,0
CVXQP3_M,OSQP,max_iter_reached,17.55314803123474,100000,1334727.7044528548,1362828.7,1000,1750,10215,0,0.010272739,17.541680186,0.0,0
CVXQP3_S,OSQP,optimal,0.03151750564575195,5150,11943.203419949556,11943.432,100,175,994,0,0.000233877,0.030330738,0.0,0
DPKLO1,OSQP,optimal,0.0010898113250732422,25,0.3700962171293699,0.37009622,133,210,1785,0,0.00032034,0.000340176,0.0,0
DTOC3,OSQP,optimal,22.424964666366577,38300,235.22193290888202,235.26248,14999,24997,64989,0,0.008265254,22.415379687,0.0,0
DUAL1,OSQP,optimal,0.0027790069580078125,25,0.0349259031080883,0.035012966,85,86,7201,0,0.000490218,0.000504013,0.0,0
DUAL2,OSQP,optimal,0.0030493736267089844,25,0.033706854119711804,0.033733676,96,97,9112,0,0.000627707,0.000602666,0.0,0
DUAL3,OSQP,optimal,0.003580331802368164,25,0.13557871154239656,0.13575584,111,112,12327,0,0.000873831,0.000757845,0.0,0
DUAL4,OSQP,optimal,0.0046575069427490234,200,0.7450336825996687,0.74609084,75,76,5673,0,0.000359512,0.002662475,0.0,0
DUALC1,OSQP,solver_error,0.5830228328704834,100000,-1772749.7780474403,6155.2508,9,224,2025,0,0.00013217,0.581905503,0.0,0
DUALC2,OSQP,max_iter_reached,0.5363805294036865,100000,-2856.2663580487497,3551.3077,7,236,1659,0,0.000101717,0.535361,0.0,0
DUALC5,OSQP,max_iter_reached,2.1787919998168945,100000,380.62419691720845,427.23233,8,286,2296,0,0.000130779,2.177801972,0.0,0
DUALC8,OSQP,max_iter_reached,1.998887538909912,100000,11306.475801907432,18309.359,8,511,4096,0,0.000258009,1.9976490930000002,0.0,0
EXDATA,OSQP,optimal,66.87905073165894,23175,-141.84329406963803,-141.84343,3000,6001,2260500,0,0.747361038,66.034466624,0.0,0
GENHS28,OSQP,optimal,0.0014302730560302734,25,0.9271736937758273,0.92717369,10,18,62,0,4.5453e-05,8.1487e-05,0.0,0
GOULDQP2,OSQP,optimal,1.6471047401428223,78200,0.00018502865311719602,0.00018427534,699,1048,2791,0,0.000351843,1.645765984,0.0,0
GOULDQP3,OSQP,optimal,0.0021882057189941406,25,2.062618977197417,2.062784,699,1048,3838,0,0.000492877,0.000695165,0.0,0
HS118,OSQP,optimal,0.0013375282287597656,1175,664.8096480715109,664.82045,15,32,69,0,3.0002e-05,0.000903769,0.0,0
HS21,OSQP,optimal,0.0009210109710693359,2200,-99.95999608459483,-99.96,2,3,6,0,9.412e-06,0.000508181,0.0,0
HS268,OSQP,optimal,0.0008223056793212891,25,0.1815992442679999,5.7310705e-07,5,10,55,0,1.5308e-05,4.4694e-05,0.0,0
HS35,OSQP,optimal,2.156435489654541,25,0.11111108926119329,0.11111111,3,4,13,0,1.1343e-05,2.15559577,0.0,0
HS35MOD,OSQP,optimal,0.0010857582092285156,50,0.24999999865789135,0.25,3,4,13,0,1.891e-05,5.3501e-05,0.0,0
HS51,OSQP,optimal,0.0009768009185791016,25,0.0,8.8817842e-16,5,8,21,0,1.6667e-05,4.8354e-05,0.0,0
HS52,OSQP,optimal,0.0010211467742919922,25,5.3266475644699165,5.3266476,5,8,21,0,1.5304e-05,5.0762e-05,0.0,0
HS53,OSQP,optimal,0.0009410381317138672,25,4.093023255813955,4.0930233,5,8,21,0,1.489e-05,4.7269e-05,0.0,0
HS76,OSQP,optimal,0.001007080078125,100,-4.68176297848572,-4.6818182,4,7,22,0,1.5653e-05,6.235e-05,0.0,0
HUES-MOD,OSQP,optimal,9.990811586380005,36150,34824476.19072985,34824690.0,10000,10002,40000,0,0.003551502,9.986401612,0.0,0
HUESTIS,OSQP,optimal,11.990154027938843,43550,348199695800.33386,348246900000.0,10000,10002,40000,0,0.003120627,11.986185796000001,0.0,0
KSIP,OSQP,optimal,0.020218610763549805,225,0.5757119325246722,0.57579794,20,1021,19938,0,0.00174782,0.017777667,0.0,0
LASER,OSQP,optimal,0.0156097412109375,350,2409440.322170456,2409601.4,1002,2002,9462,0,0.000819542,0.013633074,0.0,0
LISWET1,OSQP,optimal,0.030365705490112305,50,24.997620769500372,36.122402,10002,20002,50004,0,0.00649775,0.022991537,0.0,0
LISWET10,OSQP,optimal,0.043707847595214844,50,24.99813599730078,49.485785,10002,20002,50004,0,0.009631682,0.032778925,0.0,0
LISWET11,OSQP,optimal,0.04066753387451172,50,24.995611408081004,49.523957,10002,20002,50004,0,0.009584193,0.029788218,0.0,0
LISWET12,OSQP,optimal,0.03814291954040527,50,24.99533678469561,1736.9274,10002,20002,50004,0,0.00961205,0.027259339,0.0,0
LISWET2,OSQP,optimal,0.03240799903869629,50,24.99364873657214,24.998076,10002,20002,50004,0,0.006505021,0.024915502,0.0,0
LISWET3,OSQP,optimal,0.03046584129333496,50,24.9969528508866,25.00122,10002,20002,50004,0,0.006462457,0.023003068,0.0,0
LISWET4,OSQP,optimal,0.030079364776611328,50,24.99584899724732,25.000112,10002,20002,50004,0,0.006436065,0.0227294,0.0,0
LISWET5,OSQP,optimal,0.03010845184326172,50,25.029976564312165,25.034253,10002,20002,50004,0,0.006501132,0.022676161,0.0,0
LISWET6,OSQP,optimal,0.03043842315673828,50,24.991420901339097,24.995748,10002,20002,50004,0,0.006844853,0.022658546,0.0,0
LISWET7,OSQP,optimal,0.02991962432861328,50,24.998463474531036,498.84089,10002,20002,50004,0,0.006349438,0.022634137,0.0,0
LISWET8,OSQP,optimal,0.02989816665649414,50,24.99855526929241,7144.7006,10002,20002,50004,0,0.006337347,0.022638483,0.0,0
LISWET9,OSQP,optimal,0.029885530471801758,50,24.9985128952776,1963.2513,10002,20002,50004,0,0.006324725,0.02265978,0.0,0
LOTSCHD,OSQP,optimal,0.0005667209625244141,75,2398.2337301989405,2398.4159,12,19,72,0,2.1898e-05,8.4971e-05,0.0,0
MOSARQP1,OSQP,optimal,0.026851415634155273,250,-952.8776283972845,-952.87544,2500,3200,8512,0,0.001821569,0.023983862,0.0,0
