name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_AA1_high,optimal,0.189924955368042,25,1687411.7523167965,1687411.8,20200,30200,80000,61.818192,122.786934,0.1,0
AUG2DC,SCS_AA1_high,optimal,0.20096278190612793,25,1818368.0779442599,1818368.1,20200,30200,80400,75.478282,119.476173,0.1,0
AUG2DCQP,SCS_AA1_high,optimal,7.7939558029174805,2450,6498134.679603488,6498134.8,20200,30200,80400,75.626532,7710.728775,11.255623898292693,4
AUG2DQP,SCS_AA1_high,optimal,7.645358085632324,2425,6237012.025559951,6237012.1,20200,30200,80000,78.930773,7560.118789,2.1450741002433555,5
AUG3D,SCS_AA1_high,optimal,0.031831979751586914,25,554.0677257925247,554.06773,3873,4873,13092,12.29474,18.060039,0.1,0
AUG3DC,SCS_AA1_high,optimal,0.029899120330810547,25,771.262438688957,771.26244,3873,4873,14292,12.33594,15.893659,0.1,0
AUG3DCQP,SCS_AA1_high,optimal,0.10546278953552246,175,993.3621465249507,993.36215,3873,4873,14292,15.456868,88.631214,0.8115172799209308,1
AUG3DQP,SCS_AA1_high,optimal,0.07669830322265625,150,675.2376741081798,675.23767,3873,4873,13092,11.120879,64.249174,0.8132918934192047,1
BOYD1,SCS_AA1_high,optimal,29.761219024658203,2075,-61735547.170044005,-61735220.0,93261,93279,745507,397.177004,29328.063727,1.869289923263227e-05,3
BOYD2,SCS_AA1_high,max_iter_reached,1000.8467440605164,40725,20.724301936918597,21.256767,93263,279794,517049,385.447421,1000396.721452,1e-06,2
CONT-050,SCS_AA1_high,optimal,1.3088297843933105,2675,-4.563847919443921,-4.5638509,2597,4998,17199,16.17616,1290.812029,0.006151620691189079,2
CONT-100,SCS_AA1_high,optimal,31.705713987350464,7575,-4.64439869381378,-4.6443979,10197,19998,69399,86.294261,31614.51708,0.10925400543531286,7
CONT-101,SCS_AA1_high,max_iter_reached,395.62869787216187,100000,0.19545494279365838,0.19552733,10197,20295,62496,123.324178,395503.313675,0.0018334169968249885,7
CONT-200,SCS_AA1_high,optimal,467.32646012306213,24425,-4.684879451909253,-4.6848759,40397,79998,278799,753.840075,466553.99842,0.04170368412496052,9
CONT-201,SCS_AA1_high,optimal,862.5134809017181,46900,0.1924873697632462,0.19248337,40397,80595,249996,837.185883,861656.309521,0.004472356511940262,7
CONT-300,SCS_AA1_high,max_iter_reached,1004.2339808940887,20675,0.19108907385496743,0.19151232,90597,180895,562496,3756.588043,1000392.145598,9.942784275646772e-05,5
CVXQP1_L,SCS_AA1_high,max_iter_reached,1003.414119720459,90900,108680603.54851574,108704800.0,10000,15000,94966,3164.533566,1000195.724766,575.9514255656121,5
CVXQP1_M,SCS_AA1_high,optimal,0.7160770893096924,3200,1087511.5416618518,1087511.6,1000,1500,9466,10.370773,704.39436,8.380460538419324,2
CVXQP1_S,SCS_AA1_high,optimal,0.01777791976928711,1675,11590.717675317814,11590.718,100,150,920,0.443929,16.702595,53.11095229631806,3
CVXQP2_L,SCS_AA1_high,optimal,131.10623502731323,12300,81842454.8859708,81842458.0,10000,12500,87467,2058.373122,129032.397891,63.008610820979776,7
CVXQP2_M,SCS_AA1_high,optimal,0.43975210189819336,2325,820155.4973432674,820155.43,1000,1250,8717,7.934721,430.701294,165.95036387060867,4
CVXQP2_S,SCS_AA1_high,optimal,0.003808736801147461,175,8120.940478355487,8120.9405,100,125,846,0.535523,2.493406,1.2724471111776854,1
CVXQP3_L,SCS_AA1_high,optimal,579.5625190734863,35050,115711125.93635947,115711100.0,10000,17500,102465,3780.601824,575733.96187,557.5210756847832,5
CVXQP3_M,SCS_AA1_high,max_iter_reached,24.343317985534668,100000,1362828.1116282386,1362828.7,1000,1750,10215,16.063952,24325.910615,23.931813856920467,3
CVXQP3_S,SCS_AA1_high,optimal,0.005959033966064453,450,11943.4315500122,11943.432,100,175,994,0.549794,4.783881,1.3520209556769094,1
DPKLO1,SCS_AA1_high,optimal,0.012850046157836914,25,0.37009621711426827,0.37009622,133,210,1785,11.831013,0.617105,0.1,0
DTOC3,SCS_AA1_high,optimal,6.353606939315796,3425,235.2624943409276,235.26248,14999,24997,64989,29.198673,6319.961612,0.0009777089745183166,4
DUAL1,SCS_AA1_high,optimal,0.0031299591064453125,50,0.035012965733030275,0.035012966,85,86,7201,0.939131,1.086317,0.1,0
DUAL2,SCS_AA1_high,optimal,0.026349782943725586,25,0.033733676132075674,0.033733676,96,97,9112,1.448583,23.338331,0.1,0
DUAL3,SCS_AA1_high,optimal,0.00429987907409668,25,0.1357558369658557,0.13575584,111,112,12327,1.64113,1.002714,0.1,0
DUAL4,SCS_AA1_high,optimal,0.0022470951080322266,25,0.7460908223956131,0.74609084,75,76,5673,0.753847,0.539079,0.1,0
DUALC1,SCS_AA1_high,optimal,0.003113985061645508,125,6155.250551566647,6155.2508,9,224,2025,0.526761,1.708198,0.1,0
DUALC2,SCS_AA1_high,optimal,0.0024919509887695312,75,3551.307712315136,3551.3077,7,236,1659,0.466959,1.136844,0.1,0
DUALC5,SCS_AA1_high,optimal,0.022643327713012695,50,427.23232677639015,427.23233,8,286,2296,20.818511,0.915983,0.1,0
DUALC8,SCS_AA1_high,optimal,0.0037641525268554688,50,18309.35883460912,18309.359,8,511,4096,1.098389,1.822102,0.1,0
EXDATA,SCS_AA1_high,optimal,9.776032209396362,2150,-141.84352622863142,-141.84343,3000,6001,2260500,997.217329,8648.817632,0.1,0
GENHS28,SCS_AA1_high,optimal,0.015546083450317383,25,0.927173693766391,0.92717369,10,18,62,0.233325,0.248699,0.1,0
GOULDQP2,SCS_AA1_high,max_iter_reached,5.32044792175293,100000,0.011687355502039327,0.00018427534,699,1048,2791,1.39946,5318.294995,4.3182698961759925e-05,3
GOULDQP3,SCS_AA1_high,optimal,0.25582122802734375,4650,2.0627669838904694,2.062784,699,1048,3838,1.274625,253.850819,0.33909977859332757,1
HS118,SCS_AA1_high,optimal,0.0031731128692626953,1250,664.8202405707019,664.82045,15,32,69,0.220637,2.609268,0.1,0
HS21,SCS_AA1_high,optimal,0.014989137649536133,25,-99.96,-99.96,2,3,6,14.600875,0.114448,0.1,0
HS268,SCS_AA1_high,optimal,0.0010528564453125,200,1.2813892681151628e-05,5.7310705e-07,5,10,55,0.166123,0.33657,0.1,0
HS35,SCS_AA1_high,optimal,0.0008161067962646484,25,0.11111111111111072,0.11111111,3,4,13,0.10998,0.196606,0.1,0
HS35MOD,SCS_AA1_high,optimal,0.0008180141448974609,25,0.24999999999999822,0.25,3,4,13,0.108834,0.113545,0.1,0
HS51,SCS_AA1_high,optimal,0.0007181167602539062,25,4.440892098500626e-15,8.8817842e-16,5,8,21,0.104254,0.125773,0.1,0
HS52,SCS_AA1_high,optimal,0.017279863357543945,25,5.326647564469912,5.3266476,5,8,21,16.655558,0.127082,0.1,0
HS53,SCS_AA1_high,optimal,0.0008890628814697266,25,4.093023255813955,4.0930233,5,8,21,0.110842,0.125254,0.1,0
HS76,SCS_AA1_high,optimal,0.0007789134979248047,50,-4.68181818181818,-4.6818182,4,7,22,0.099272,0.143876,0.1,0
HUES-MOD,SCS_AA1_high,optimal,2.3219351768493652,3225,34824462.96918541,34824690.0,10000,10002,40000,14.716416,2304.825281,0.009532672568396634,2
HUESTIS,SCS_AA1_high,max_iter_reached,63.9165723323822,100000,inf,348246900000.0,10000,10002,40000,18.076814,63895.337256,5973.132537688574,4
KSIP,SCS_AA1_high,max_iter_reached,6.597141981124878,100000,0.575791786394405,0.57579794,20,1021,19938,4.455944,6591.993262,0.1,0
LASER,SCS_AA1_high,optimal,0.0340578556060791,300,2409601.363575477,2409601.4,1002,2002,9462,2.331676,30.924831,18.70064672184586,2
LISWET1,SCS_AA1_high,max_iter_reached,112.22725892066956,100000,25.00283403141384,36.122402,10002,20002,50004,25.288502,112196.569097,6.900954424104629,3
LISWET10,SCS_AA1_high,optimal,89.41305208206177,81600,25.001950857711563,49.485785,10002,20002,50004,21.369353,89387.887451,6.925905594229184,3
LISWET11,SCS_AA1_high,optimal,101.42095398902893,93600,24.999382214768048,49.523957,10002,20002,50004,28.192983,101387.601667,6.927204483429578,3
LISWET12,SCS_AA1_high,max_iter_reached,104.4925811290741,100000,25.032184754537866,1736.9274,10002,20002,50004,34.436952,104453.556026,7.045060946382648,3
LISWET2,SCS_AA1_high,optimal,95.20572805404663,83525,24.99749993012665,24.998076,10002,20002,50004,25.393765,95175.98898,6.697145851393765,3
LISWET3,SCS_AA1_high,optimal,98.64485597610474,79975,25.00078012281267,25.00122,10002,20002,50004,34.888966,98605.123797,7.313623525707689,3
LISWET4,SCS_AA1_high,optimal,91.04374885559082,84100,24.999664547734938,25.000112,10002,20002,50004,36.387371,91002.798166,6.47368665374698,3
LISWET5,SCS_AA1_high,optimal,45.147141218185425,44850,25.033694882515192,25.034253,10002,20002,50004,28.229269,45115.233188,5.5296039403682276,3
LISWET6,SCS_AA1_high,optimal,92.1716239452362,91175,24.99525598358423,24.995748,10002,20002,50004,29.512031,92126.534106,5.460836387375372,3
LISWET7,SCS_AA1_high,optimal,87.29623508453369,86125,25.002314859868875,498.84089,10002,20002,50004,30.99658,87261.262979,6.351188374413522,3
LISWET8,SCS_AA1_high,optimal,88.1476891040802,86000,25.0022699764927,7144.7006,10002,20002,50004,28.084152,88115.332409,6.3068817099706145,3
LISWET9,SCS_AA1_high,optimal,89.83812999725342,91250,25.001833504642946,1963.2513,10002,20002,50004,26.885511,89807.244428,6.250598787165546,3
LOTSCHD,SCS_AA1_high,optimal,0.0007662773132324219,75,2398.412245836419,2398.4159,12,19,72,0.156705,0.26385,0.1,0
MOSARQP1,SCS_AA1_high,optimal,0.1290569305419922,525,-952.875443339181,-952.87544,2500,3200,8512,5.900711,121.505741,0.611065878629115,1
MOSARQP2,SCS_AA1_high,optimal,0.03535914421081543,250,-1597.482286544289,-1597.4821,900,1500,4820,3.270537,31.272927,3.7360927609791528,2
POWELL20,SCS_AA1_high,max_iter_reached,96.69020700454712,100000,47905665063.59695,52089583000.0,10000,20000,40000,18.114017,96668.231096,9.179789358576143,3
PRIMAL1,SCS_AA1_high,optimal,0.009634017944335938,150,-0.035012965836824256,-0.035012965,325,410,6464,3.077995,6.108232,0.9645470631673096,1
PRIMAL2,SCS_AA1_high,optimal,0.015716075897216797,75,-0.03373367629022025,-0.033733676,649,745,9339,4.804029,10.444413,0.1,0
PRIMAL3,SCS_AA1_high,optimal,0.0209500789642334,50,-0.13575576739285355,-0.13575584,745,856,23036,15.368181,5.012708,0.1,0
PRIMAL4,SCS_AA1_high,optimal,0.02328777313232422,50,-0.746090841789055,-0.74609083,1489,1564,19008,15.055439,7.72958,0.1,0
PRIMALC1,SCS_AA1_high,max_iter_reached,1.8301422595977783,100000,-6941.75276377763,-6155.2508,230,239,2529,0.65283,1829.13342,0.009375015556384408,2
PRIMALC2,SCS_AA1_high,optimal,0.13514399528503418,7675,-3551.305034157176,-3551.3077,231,238,2078,0.594743,134.215481,0.1,0
PRIMALC5,SCS_AA1_high,optimal,0.018604755401611328,875,-427.2323304883623,-427.23233,287,295,2869,0.845549,17.417108,0.1,0
PRIMALC8,SCS_AA1_high,optimal,0.5105547904968262,13675,-18309.576478274095,-18309.43,520,528,5199,1.501652,508.576776,0.005757753974073609,2
Q25FV47,SCS_AA1_high,optimal,35.69063878059387,83450,13744442.276002321,13744448.0,1571,2391,130523,27.102891,35657.844629,3.4447414697942342,3
QADLITTL,SCS_AA1_high,optimal,0.49390625953674316,62600,480318.7328559822,480318.86,97,153,637,0.441282,492.859795,0.1,0
QAFIRO,SCS_AA1_high,optimal,0.0014040470123291016,175,-1.5907813666436088,-1.5907818,32,59,124,0.214866,0.648443,0.1,0
QBANDM,SCS_AA1_high,optimal,0.6490292549133301,14175,16352.362806823337,16352.342,472,777,3023,1.569341,646.680356,0.1,0
QBEACONF,SCS_AA1_high,optimal,0.18207383155822754,6475,164712.52102150093,164712.06,262,435,3673,1.420441,179.632812,0.003986730659705986,2
QBORE3D,SCS_AA1_high,max_iter_reached,2.6363489627838135,100000,3099.9688754059653,3100.2008,315,548,1872,16.553581,2619.125144,0.007334851366712834,2
QBRANDY,SCS_AA1_high,max_iter_reached,2.815922260284424,100000,28373.325681563078,28375.115,249,469,2511,19.080024,2795.910748,0.1,0
QCAPRI,SCS_AA1_high,max_iter_reached,3.672714948654175,100000,58284873.419492684,66793293.0,353,624,3852,1.355387,3670.701941,0.3163892440081507,1
QE226,SCS_AA1_high,max_iter_reached,3.505040168762207,100000,212.67255151148908,212.65343,282,505,4721,10.196147,3493.909513,0.1,0
QETAMACR,SCS_AA1_high,max_iter_reached,13.935977935791016,100000,86745.75272878376,86760.37,688,1088,11613,6.290968,13928.527291,23.941427320396144,4
QFFFFF80,SCS_AA1_high,max_iter_reached,11.101762056350708,100000,871240.4139657404,873147.47,854,1378,10635,9.118796,11091.584755,0.003078942707187746,3
QFORPLAN,SCS_AA1_high,optimal,2.057292938232422,50475,7456625510.529694,7456631500.0,421,582,6112,2.822779,2053.714953,0.1,0
