name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
AUG2D,OSQP,optimal,0.08778905868530273,50,1687410.4314599645,1687411.8,20200,30200,80000,0,0.025634856,0.058315012,0.0,0,0.17177779743320198
AUG2DC,OSQP,optimal,0.0874030590057373,50,1818365.5157921652,1818368.1,20200,30200,80400,0,0.025786005,0.057756201,0.0,0,0.17672297270084913
AUG2DCQP,OSQP,optimal,1.0265278816223145,1100,6498207.283199438,6498134.8,20200,30200,80400,0,0.025772193,0.999446055,0.0,3,21.93434520138616
AUG2DQP,OSQP,optimal,0.954420804977417,1025,6236991.955875607,6237012.1,20200,30200,80000,0,0.025704742,0.92720288,0.0,4,2.3603462387805263
AUG3D,OSQP,optimal,0.030679941177368164,25,554.0685582599585,554.06773,3873,4873,13092,0,0.004832466,0.025333949,0.0,0,0.1001416454408767
AUG3DC,OSQP,optimal,0.010393142700195312,25,771.2633061482056,771.26244,3873,4873,14292,0,0.005104278,0.004757733,0.0,0,0.09889838956301736
AUG3DCQP,OSQP,optimal,0.040839195251464844,75,993.3530866996612,993.36215,3873,4873,14292,0,0.005131497,0.015535876,0.0,1,1.395130746385385
AUG3DQP,OSQP,optimal,0.04540896415710449,75,675.2515838082863,675.23767,3873,4873,13092,0,0.005229514,0.039688038,0.0,2,2.6438571531427013
BOYD1,OSQP,solver_error,504.56002497673035,100000,-83539399.12811495,-61735220.0,93261,93279,745507,0,0.093048416,504.458808421,0.0,2,1e-06
BOYD2,OSQP,solver_error,655.9264359474182,100000,242.59566988349135,21.256767,93263,279794,517049,0,0.15387509,655.751028416,0.0,2,1e-06
CONT-050,OSQP,optimal,0.5909059047698975,2000,-4.563917064198739,-4.5638509,2597,4998,17199,0,0.008338374,0.581623909,0.0,8,11.38503571221081
CONT-100,OSQP,optimal,11.136299133300781,5575,-4.644381920095604,-4.6443979,10197,19998,69399,0,0.063568265,11.069474425,0.0,14,23.61486596958291
CONT-101,OSQP,optimal,19.2649667263031,8850,0.19550795138053112,0.19552733,10197,20295,62496,0,0.070877979,19.190914948,0.0,11,0.000635014727500301
CONT-200,OSQP,optimal,163.57147812843323,14500,-4.685006042532906,-4.6848759,40397,79998,278799,0,0.426883543,163.141796308,0.0,5,0.008357003228424113
CONT-201,OSQP,optimal,240.965017080307,18425,0.19242642396284293,0.19248337,40397,80595,249996,0,0.588201584,240.362179332,0.0,12,0.009235316743025879
CONT-300,OSQP,time_limit,1000.0130228996277,27274,0.4425506821342162,0.19151232,90597,180895,562496,0,2.295958787,997.718069556,0.0,6,0.00038211129937105076
CVXQP1_L,OSQP,optimal,63.41035723686218,5725,108683033.5006408,108704800.0,10000,15000,94966,0,2.161815694,61.23538329,0.0,3,6819.197719672614
CVXQP1_M,OSQP,optimal,0.058319091796875,125,1087495.1411517041,1087511.6,1000,1500,9466,0,0.009309535,0.047726058,0.0,3,1408.0556748272054
CVXQP1_S,OSQP,optimal,0.003668069839477539,100,11590.617248383953,11590.718,100,150,920,0,0.00025561,0.001442841,0.0,2,260.51645175859477
CVXQP2_L,OSQP,optimal,8.761913776397705,325,81842458.51625481,81842458.0,10000,12500,87467,0,1.649714034,7.107666471,0.0,3,1864.2961232479206
CVXQP2_M,OSQP,optimal,0.03805708885192871,125,820154.9017885592,820155.43,1000,1250,8717,0,0.005702943,0.028989018,0.0,3,1836.7438181591892
CVXQP2_S,OSQP,optimal,0.01657390594482422,75,8120.9398432916205,8120.9405,100,125,846,0,0.000175409,0.000446177,0.0,2,21.843843601757367
CVXQP3_L,OSQP,optimal,14.766932964324951,725,115704417.90981291,115711100.0,10000,17500,102465,0,2.58752132,12.162803846,0.0,2,11941.671486472711
CVXQP3_M,OSQP,optimal,0.32149338722229004,1500,1362809.521879844,1362828.7,1000,1750,10215,0,0.010342803,0.310073551,0.0,3,5070.195043561537
CVXQP3_S,OSQP,optimal,0.0018589496612548828,75,11943.424319031312,11943.432,100,175,994,0,0.000310767,0.000734248,0.0,2,307.7543980381441
DPKLO1,OSQP,optimal,0.001486063003540039,50,0.3700962171144734,0.37009622,133,210,1785,0,0.000293147,0.000788255,0.0,1,0.0010912566347060979
DTOC3,OSQP,optimal,23.284772157669067,42975,235.2346662896867,235.26248,14999,24997,64989,0,0.014742657,23.266247729,0.0,2,0.0006605843298721315
DUAL1,OSQP,optimal,0.0031659603118896484,100,0.034996156005492586,0.035012966,85,86,7201,0,0.000458273,0.001381832,0.0,1,1.5356213594772068
DUAL2,OSQP,optimal,0.002844095230102539,75,0.03372645815168091,0.033733676,96,97,9112,0,0.000434736,0.00119661,0.0,1,1.518503125271618
DUAL3,OSQP,optimal,0.003957033157348633,75,0.1357266679504386,0.13575584,111,112,12327,0,0.000643725,0.001970539,0.0,2,5.842882635629546
DUAL4,OSQP,optimal,0.0020248889923095703,75,0.7460561387709428,0.74609084,75,76,5673,0,0.000262641,0.000865743,0.0,2,7.401125450460325
DUALC1,OSQP,optimal,0.08354306221008301,17800,6154.713338260986,6155.2508,9,224,2025,0,0.000105886,0.08287823,0.0,8,0.6288458191719524
DUALC2,OSQP,optimal,0.2093050479888916,45575,3550.9472870867576,3551.3077,7,236,1659,0,7.9133e-05,0.208680578,0.0,1099,0.04685148125142925
DUALC5,OSQP,optimal,0.022110939025878906,4100,427.2157415839422,427.23233,8,286,2296,0,0.000118946,0.02139585,0.0,29,4.856397569031054
DUALC8,OSQP,optimal,0.1893448829650879,19925,18306.506203039797,18309.359,8,511,4096,0,0.000186412,0.188622782,0.0,7,3.956375897431069
EXDATA,OSQP,optimal,4.561427116394043,875,-141.8432395704016,-141.84343,3000,6001,2260500,0,0.588601354,3.843464705,0.0,2,0.002769611712685858
GENHS28,OSQP,optimal,0.0008752346038818359,25,0.9271678999292942,0.92717369,10,18,62,0,3.67e-05,5.7648e-05,0.0,0,0.0695530412222433
GOULDQP2,OSQP,optimal,0.003086090087890625,75,0.0001842043449825012,0.00018427534,699,1048,2791,0,0.000406506,0.001821762,0.0,1,4.068733133506389e-05
GOULDQP3,OSQP,optimal,0.0016889572143554688,25,2.062787154191028,2.062784,699,1048,3838,0,0.000402278,0.00060525,0.0,0,0.07324470044294412
HS118,OSQP,optimal,0.00080108642578125,350,664.7926138630153,664.82045,15,32,69,0,0.000106111,0.000282915,0.0,1,0.030242079346716896
HS21,OSQP,optimal,0.0003571510314941406,75,-99.96000146918307,-99.96,2,3,6,0,1.1372e-05,3.2115e-05,0.0,1,0.0013345220041892415
HS268,OSQP,optimal,0.0006389617919921875,25,0.45997679554420756,5.7310705e-07,5,10,55,0,2.016e-05,3.0394e-05,0.0,0,0.002223201921597805
HS35,OSQP,optimal,0.0005571842193603516,25,0.11111111101044635,0.11111111,3,4,13,0,8.939e-06,2.3891e-05,0.0,0,0.05258714186720651
HS35MOD,OSQP,optimal,0.0005049705505371094,25,0.2500015507375366,0.25,3,4,13,0,8.178e-06,2.2159e-05,0.0,0,0.07067111687364798
HS51,OSQP,optimal,0.0005440711975097656,25,1.0950351736482844e-11,8.8817842e-16,5,8,21,0,2.8931e-05,2.4156e-05,0.0,0,0.06657840983354653
HS52,OSQP,optimal,0.0005960464477539062,25,5.326647607006849,5.3266476,5,8,21,0,1.4256e-05,7.7447e-05,0.0,0,0.1486499252891458
HS53,OSQP,optimal,0.0006210803985595703,25,4.093023298898925,4.0930233,5,8,21,0,1.4222e-05,2.4935e-05,0.0,0,0.10499538741186124
HS76,OSQP,optimal,0.0005900859832763672,75,-4.681817922888947,-4.6818182,4,7,22,0,1.3667e-05,3.5008e-05,0.0,1,0.277619486062503
HUES-MOD,OSQP,optimal,0.3897387981414795,1475,34829726.170988984,34824690.0,10000,10002,40000,0,0.006287811,0.380940155,0.0,2,0.0013160658649489785
HUESTIS,OSQP,optimal,0.5277719497680664,2050,348208829167.21924,348246900000.0,10000,10002,40000,0,0.005960414,0.519294967,0.0,2,13.566348727340422
KSIP,OSQP,optimal,0.024335145950317383,375,0.5756943054882839,0.57579794,20,1021,19938,0,0.001849733,0.021589646,0.0,1,0.9636338995727001
LASER,OSQP,optimal,0.006147861480712891,100,2409522.7589663886,2409601.4,1002,2002,9462,0,0.000977873,0.004147752,0.0,1,5.147992053841729
LISWET1,OSQP,optimal,0.30517578125,725,24.99730498066856,36.122402,10002,20002,50004,0,0.012463677,0.291386045,0.0,2,6.22350761416406
LISWET10,OSQP,optimal,0.22939181327819824,525,24.99584576984853,49.485785,10002,20002,50004,0,0.010754367,0.217444934,0.0,1,4.863965064425797
LISWET11,OSQP,optimal,0.24445700645446777,550,24.99355399538581,49.523957,10002,20002,50004,0,0.010997517,0.232246409,0.0,1,4.934666450021706
LISWET12,OSQP,optimal,0.24335193634033203,550,24.993267338586065,1736.9274,10002,20002,50004,0,0.011148059,0.231178184,0.0,1,4.9406285501924465
LISWET2,OSQP,optimal,0.2578310966491699,600,24.991753253636944,24.998076,10002,20002,50004,0,0.010646982,0.24605934,0.0,1,5.767497219250965
LISWET3,OSQP,optimal,0.26441001892089844,600,24.995042291265463,25.00122,10002,20002,50004,0,0.010689616,0.252640865,0.0,1,5.772616556810737
