name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS_AA2,optimal,0.1710519790649414,25,1687411.7529769242,1687411.8,20200,30200,80000,54.117445,109.676951,0.1,0
AUG2DC,SCS_AA2,optimal,0.18065786361694336,25,1818368.0656821993,1818368.1,20200,30200,80400,67.524878,106.506036,0.1,0
AUG2DCQP,SCS_AA2,optimal,114.8132688999176,27575,6498134.680421423,6498134.8,20200,30200,80400,61.418744,114736.337801,7.180823806291321,6
AUG2DQP,SCS_AA2,optimal,55.04355716705322,13875,6237012.16233407,6237012.1,20200,30200,80000,192.150008,54841.780208,5.701582245954453,7
AUG3D,SCS_AA2,optimal,0.03003716468811035,25,554.0677257925236,554.06773,3873,4873,13092,12.640019,15.269903,0.1,0
AUG3DC,SCS_AA2,optimal,0.029671907424926758,25,771.262438688957,771.26244,3873,4873,14292,12.173202,15.629418,0.1,0
AUG3DCQP,SCS_AA2,optimal,0.08249926567077637,150,993.3654326570418,993.36215,3873,4873,14292,12.228343,68.496183,0.8407661181604846,1
AUG3DQP,SCS_AA2,optimal,0.050354957580566406,75,675.2375463352978,675.23767,3873,4873,13092,11.961648,36.551489,0.1,0
BOYD1,SCS_AA2,optimal,3.7957212924957275,225,-61741894.430835456,-61735220.0,93261,93279,745507,345.382048,3409.739253,2.450161606475116e-06,2
BOYD2,SCS_AA2,max_iter_reached,1000.6853530406952,36300,24.060982978529292,21.256767,93263,279794,517049,366.061547,1000265.208937,1e-06,2
CONT-050,SCS_AA2,optimal,1.4247820377349854,2725,-4.562821446603969,-4.5638509,2597,4998,17199,21.640018,1400.51371,0.1,0
CONT-100,SCS_AA2,optimal,145.81624698638916,42225,-4.644858811513388,-4.6443979,10197,19998,69399,82.462123,145731.183507,0.012742214332915213,5
CONT-101,SCS_AA2,optimal,34.230607748031616,9400,0.19524695581189966,0.19552733,10197,20295,62496,101.840868,34124.729461,0.008804586617285377,6
CONT-200,SCS_AA2,optimal,69.52204084396362,3900,-4.738389870267691,-4.6848759,40397,79998,278799,605.911525,68890.966946,3.3891062300488896e-05,4
CONT-201,SCS_AA2,max_iter_reached,1001.0854079723358,53900,0.19230074083134685,0.19248337,40397,80595,249996,801.470394,1000245.336124,0.00034919718054825407,4
CONT-300,SCS_AA2,max_iter_reached,1003.4018988609314,20925,0.11520186902528534,0.19151232,90597,180895,562496,2950.772268,1000387.219664,1.908418680034668e-05,5
CVXQP1_L,SCS_AA2,optimal,911.9797282218933,86900,108684756.81893618,108704800.0,10000,15000,94966,2466.976105,909501.789335,321.2449716839211,5
CVXQP1_M,SCS_AA2,optimal,0.3789968490600586,1525,1087449.1263126703,1087511.6,1000,1500,9466,10.313136,367.649301,28.199442615343663,3
CVXQP1_S,SCS_AA2,optimal,0.026594877243041992,525,11590.720697585619,11590.718,100,150,920,18.486359,7.207058,16.067337543333824,4
CVXQP2_L,SCS_AA2,optimal,223.9293761253357,27075,81844243.67521346,81842458.0,10000,12500,87467,1671.99656,222247.129481,27.582462136654293,8
CVXQP2_M,SCS_AA2,optimal,0.2032918930053711,1025,820152.3584457927,820155.43,1000,1250,8717,7.513607,194.795939,136.06797870135304,2
CVXQP2_S,SCS_AA2,optimal,0.019304752349853516,200,8120.936816484604,8120.9405,100,125,846,15.555115,2.973065,5.769042310108719,1
CVXQP3_L,SCS_AA2,optimal,146.4726369380951,11150,115708145.03106202,115711100.0,10000,17500,102465,2942.775902,143508.443631,495.263323069787,5
CVXQP3_M,SCS_AA2,optimal,3.7967288494110107,16100,1362660.2303893268,1362828.7,1000,1750,10215,12.99,3782.598189,26.78762074634458,3
CVXQP3_S,SCS_AA2,optimal,0.0035216808319091797,225,11943.412158805226,11943.432,100,175,994,0.408409,2.513494,1.8724654441390578,1
DPKLO1,SCS_AA2,optimal,0.032713890075683594,25,0.370096217114269,0.37009622,133,210,1785,0.894586,0.807041,0.1,0
DTOC3,SCS_AA2,optimal,1.028878927230835,450,234.96895307159576,235.26248,14999,24997,64989,29.152031,995.064918,0.0013450698117470742,2
DUAL1,SCS_AA2,optimal,0.0025441646575927734,25,0.03501285150486779,0.035012966,85,86,7201,0.958815,0.558431,0.1,0
DUAL2,SCS_AA2,optimal,0.03363180160522461,25,0.033733676123565065,0.033733676,96,97,9112,1.254102,0.575772,0.1,0
DUAL3,SCS_AA2,optimal,0.0033791065216064453,25,0.13575583724879411,0.13575584,111,112,12327,1.532535,0.678051,0.1,0
DUAL4,SCS_AA2,optimal,0.0019073486328125,25,0.7460908554420085,0.74609084,75,76,5673,0.710166,0.399424,0.1,0
DUALC1,SCS_AA2,optimal,0.0310971736907959,100,6155.250227339648,6155.2508,9,224,2025,0.40916,30.064078,0.1,0
DUALC2,SCS_AA2,optimal,0.0021839141845703125,100,3551.3076926718795,3551.3077,7,236,1659,0.394229,1.162411,0.1,0
DUALC5,SCS_AA2,optimal,0.0016257762908935547,25,427.2323279349988,427.23233,8,286,2296,0.530107,0.481543,0.1,0
DUALC8,SCS_AA2,optimal,0.03314709663391113,25,18309.44331486,18309.359,8,511,4096,0.912516,0.744876,0.1,0
EXDATA,SCS_AA2,optimal,3.6923210620880127,800,-141.82964338854816,-141.84343,3000,6001,2260500,803.263488,2772.654851,0.1,0
GENHS28,SCS_AA2,optimal,0.026196956634521484,25,0.9271736937663907,0.92717369,10,18,62,0.154855,25.125629,0.1,0
GOULDQP2,SCS_AA2,max_iter_reached,5.3564159870147705,100000,0.00018914469206099223,0.00018427534,699,1048,2791,1.445735,5354.130192,0.00011314156148720452,4
