name,solver,status,run_time,iter,obj_val,n,m,N
30n20b8,SCS-3.0,optimal,2.715527296066284,1700,0.11745970166137894,18380,18956,128086
50v-10,SCS-3.0,optimal,0.027817964553833008,200,2892.298069256767,2013,2246,4758
CMS750_4,SCS-3.0,max_iter_reached,410.02418208122253,100000,-inf,11697,28078,56600
academictimetablesmall,SCS-3.0,optimal,3.42315411567688,75,-0.0002613459411087967,28926,52220,297276
air05,SCS-3.0,optimal,1.4005439281463623,1675,25877.197288924177,7195,7621,59316
app1-1,SCS-3.0,optimal,1.1627171039581299,3700,-22.83987835506714,2480,7406,20755
app1-2,SCS-3.0,optimal,24.317690134048462,4075,-264.8338823647331,26871,80338,226046
assign1-5-8,SCS-3.0,optimal,0.03498697280883789,575,183.36263295005332,156,317,3876
atlanta-ip,SCS-3.0,optimal,146.2037410736084,11950,80.96945073936666,48738,70470,306270
b1c1s1,SCS-3.0,optimal,2.8305208683013916,3625,2823.5482637542545,3872,7776,15280
bab6,SCS-3.0,max_iter_reached,1002.4580800533295,34172,-381497.7785294543,114240,144144,1397421
beasleyC3,SCS-3.0,optimal,0.1296370029449463,475,40.430303717722424,2500,4250,7500
binkar10_1,SCS-3.0,optimal,0.03991389274597168,175,6644.114792928558,2298,3324,6794
blp-ar98,SCS-3.0,optimal,147.22304320335388,58450,5446.675768352215,16021,17149,216622
blp-ic98,SCS-3.0,optimal,62.881436347961426,29000,3383.1315181211057,13640,14357,205587
bnatt400,SCS-3.0,optimal,0.07540702819824219,75,4.697768085053378e-07,3600,9214,25298
bnatt500,SCS-3.0,optimal,0.0976099967956543,75,1.135584371196262e-05,4500,11529,31703
bppc4-08,SCS-3.0,optimal,0.03011012077331543,25,51.590190656087,1456,1567,25420
brazil3,SCS-3.0,optimal,24.905587911605835,3150,2.004820019911306,23968,38614,157152
buildingenergy,SCS-3.0,optimal,494.1812331676483,11300,33248.14139315911,154978,432572,943947
cbs-cta,SCS-3.0,optimal,4.91959285736084,1700,0.0020675733388441663,24793,34905,89181
chromaticindex1024-7,SCS-3.0,optimal,1.0480332374572754,25,2.9999999700167184,73728,141311,344052
chromaticindex512-7,SCS-3.0,optimal,0.4388258457183838,25,2.9999999821681813,36864,70655,172020
cmflsp50-24-8-8,SCS-3.0,optimal,166.64175605773926,62750,54622233.94556137,16392,19912,175014
cod105,SCS-3.0,optimal,0.56591796875,75,-18.285713423923397,1024,2048,58368
comp07-2idx,SCS-3.0,optimal,3.635519027709961,450,0.338334064136786,17264,38499,103841
comp21-2idx,SCS-3.0,optimal,1.7256009578704834,400,-0.14896447288236853,10863,24901,68164
cost266-UUE,SCS-3.0,optimal,1.606205940246582,4725,21068542.56552058,4161,5607,16473
cryptanalysiskb128n5obj14,SCS-3.0,optimal,31.49457311630249,1500,0.0,48950,146971,341825
cryptanalysiskb128n5obj16,SCS-3.0,optimal,28.522035837173462,1300,0.0,48950,146971,341825
csched007,SCS-3.0,max_iter_reached,12.809399843215942,100000,99.0215193224717,1758,2109,8137
csched008,SCS-3.0,optimal,9.385665893554688,80950,170.9063485311554,1536,1887,7223
cvs16r128-89,SCS-3.0,optimal,0.11195182800292969,175,-128.00390271815817,3472,8105,16000
dano3_3,SCS-3.0,optimal,44.217336893081665,6200,576.2576988723364,13873,17075,93528
dano3_5,SCS-3.0,optimal,44.315417766571045,6200,576.2576988723364,13873,17075,93528
decomp2,SCS-3.0,optimal,2.256471872329712,875,-159.99867940713716,14387,25152,78460
drayage-100-23,SCS-3.0,optimal,12.024717092514038,10075,24269.374305004363,11090,15720,52640
drayage-25-23,SCS-3.0,optimal,12.553709030151367,10475,21223.564277884943,11090,15720,52640
dws008-01,SCS-3.0,optimal,0.5405011177062988,350,584.4872909994173,11096,17160,67496
eil33-2,SCS-3.0,optimal,0.7937250137329102,1925,811.249681829556,4516,4548,48759
