name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
2club200v15p5scn,SCS-3.0,optimal,10.828811168670654,12850,-121.2211340706041,200,17197,104947,1,1,0.03146506662969596,-121.2211340706041,-121.22113376741261,0.000913365075286357,0.00019023632385526488,3.031914822507691e-07,,0.008249323930169158,0.0,7.772604782019243e-10,10624.307692,199.726943,8362.551005000047,1053.1424350000002,0.0,0,0
30n20b8,SCS-3.0,optimal,1.7160389423370361,2650,1.1874918831727888,10845,11338,73105,1,2,1.4853146100915664,1.1874918831727888,1.187471093573714,0.0010625506687375994,0.0066258229381846775,2.0789599074819652e-05,84.21257623968346,,,5.968257138500022e-11,1665.523134,47.134054,1148.3496689999993,236.55943100000016,0.0,0,0
academictimetablesmall,SCS-3.0,optimal,4.817324161529541,275,-6.999877429143368,25550,42818,236673,1,2,7.218788244482157,-6.999877429143368,-7.000571709791308,0.0016126620015560055,0.005364775207014721,0.0006942806479409317,,3.0000525313479467,0.0,1.1564225133042783e-09,3796.030199,1007.46483,1918.5942330000012,75.65486500000002,0.0,0,0
adult-max5features,SCS-3.0,optimal,126.19656491279602,26825,0.08120094856875028,32670,65376,417670,1,2,1.2072167508222038,0.08120094856875028,0.08122514682914235,0.00010656264703108083,0.00011921327216149245,2.4198260392074352e-05,12.311758438918346,,,2.0843174408646803e-11,125962.962615,220.749953,82259.37583800012,27956.027042999965,0.0,0,0
adult-regularized,SCS-3.0,optimal,1.8246803283691406,350,0.0777035856985914,32670,65375,417634,1,3,85.29440909461681,0.0777035856985914,0.0776854871976525,6.2186391098667e-07,6.35752052439519e-05,1.8098500938886236e-05,4191.387757813267,,,9.293661391678032e-11,1595.91795,216.787005,1050.7220089999998,239.1598890000001,0.0,0,0
allcolor58,SCS-3.0,optimal,3.7337589263916016,275,-7157.998510687941,53792,181232,407684,1,1,0.3256151830455645,-7157.998510687941,-7157.999639155844,6.413769924607697e-05,7.64595811715511e-06,0.0011284679029342204,,0.000838223141805788,0.0,4.763705874211155e-07,3200.563318,507.618268,2104.255342999999,457.2007789999999,0.0,0,0
app1-2,SCS-3.0,optimal,85.89274382591248,28750,-258.6020976618313,20122,66274,243877,1,0,0.1,-258.6020976618313,-258.6020974308017,0.00019900440279323068,1.2523865931477353e-05,2.3102959775571125e-07,,0.003866944718481285,0.0,6.677121405155965e-10,85782.056605,100.871625,58646.51158500025,12739.857110000055,0.0,0,0
atlanta-ip,SCS-3.0,optimal,25.160601139068604,6775,81.23751864998897,16051,34888,189842,1,0,0.1,81.23751864998897,81.23786094982324,0.002576325806202314,0.000956793778326894,0.00034229983427353975,0.1107886534685782,,,8.429524981680425e-12,24960.14352,192.916934,20107.73161500004,3006.763672999999,0.0,0,0
bab1,SCS-3.0,max_iter_reached,446.0796799659729,100000,-286927.4329682406,5664,12383,102737,2,2,4.467382241245035,-286927.4329682406,-286926.99837855966,0.03544922768473084,3.7621962258871116,6.94543087535056e-310,,3.4851954217934974e-06,0.0,2.706616486491953e-09,445826.704247,250.246454,426170.86930299964,8976.622038999993,0.0,0,0
bab5,SCS-3.0,optimal,88.30440497398376,43450,-126098.49600050139,21476,26237,115642,1,2,12.989248459951073,-126098.49600050139,-126098.15870876065,0.0011709640493549813,0.34005324238444073,0.3372917407459236,,7.930308815130955e-06,0.0,3.711652426380274e-11,88171.983299,124.837968,67705.41131099945,9629.96368200006,0.0,0,0
bab6,SCS-3.0,optimal,642.5543229579926,51000,-321753.7055507567,98991,121849,794520,1,3,13.942913717308388,-321753.7055507567,-321753.5053858982,0.003673818771080106,0.3701570195523413,0.20016485849161378,,3.107967578987295e-06,0.0,3.158853734142042e-10,640116.696436,2423.153489,498977.4336830003,62712.170815999656,0.0,0,0
blp-ar98,SCS-3.0,optimal,5.697681903839111,5525,5891.316530377244,15380,16495,191713,1,2,4.524960386375302,5891.316530377244,5891.23213787611,0.0036626958072993594,0.0867039298308877,0.08439250113401103,0.17777321307645041,,,1.3606040738523006e-09,5607.219138,85.403794,4203.190413999999,543.0918799999996,0.0,0,0
blp-ic97,SCS-3.0,optimal,2.2218916416168213,4250,3846.207769595989,8345,9132,99216,1,2,2.402260811651399,3846.207769595989,3846.34503446089,0.0023305815356541135,0.05979159285707819,0.1372648649012444,0.2488098666177009,,,1.601506482984405e-08,2172.980641,45.923942,1604.4560419999982,225.26610000000008,0.0,0,0
blp-ic98,SCS-3.0,optimal,2.487514019012451,2775,4331.2340907694725,13550,14263,188295,1,2,4.406873929818309,4331.2340907694725,4331.19053676691,0.0025741800426857075,0.10555130770043343,0.04355400256221648,0.45556847867018585,,,2.176966518163681e-08,2416.506073,65.625073,1812.4588780000013,223.5846790000006,0.0,0,0
bppc6-02,SCS-3.0,optimal,0.31989407539367676,75,108.33999910109685,4783,5092,192926,1,0,0.1,108.33999910109685,108.34000184677578,0.0028813769432084967,2.388434094495396e-05,2.7456789291081982e-06,0.009230201358411036,,,0.0,50.570298,263.746974,41.657188,2.5985449999999988,0.0,0,0
bppc6-06,SCS-3.0,optimal,0.14679980278015137,75,200.63334625457227,3921,4194,185431,1,0,0.1,200.63334625457227,200.63334619327756,0.011321320301069325,4.6249877510670814e-05,6.12947364869761e-08,0.004984216608418458,,,0.0,46.426439,95.818899,38.80611099999999,2.341524,0.0,0,0
brazil3,SCS-3.0,optimal,3.5760960578918457,2425,-56.995182794684546,13002,16972,83560,1,0,0.1,-56.995182794684546,-57.000896549855284,0.0007446532647458074,0.0006401038911880014,0.005713755170740398,,0.2631801390246234,0.0,5.638867150992155e-11,3501.845488,70.440245,2944.322612999996,228.27337999999983,0.0,0,0
buildingenergy,SCS-3.0,optimal,382.32784628868103,15725,32644.56965832845,142792,408200,972984,1,2,0.006471308731968711,32644.56965832845,32646.437584926738,0.0640314390862105,0.14550325989935892,1.867926598286409,0.20216600916499544,,,0.0,381299.110232,976.156964,246011.25521599932,64577.08203200013,0.0,0,0
cdc7-4-3-2,SCS-3.0,optimal,360.80652809143066,100,-381.00059178781237,11811,26289,271653,1,0,0.1,-381.00059178781237,-380.9997032617945,1.5500122651681222e-06,7.788404630673032e-07,0.0008885260178773585,,0.002624671907515535,0.0,5.276127978959266e-09,20078.331261,340618.012756,19833.504834000003,18.915958000000003,0.0,0,0
chromaticindex1024-7,SCS-3.0,optimal,1.2873568534851074,50,2.999999999999989,73728,141311,344052,1,0,0.1,2.999999999999989,3.0000000004721223,4.389659401867017e-15,4.239204412918949e-12,4.72133590146195e-10,0.3333333332802624,,,0.0,714.172741,541.861332,525.717383,59.244275999999985,0.0,0,0
chromaticindex512-7,SCS-3.0,optimal,0.37488317489624023,25,3.0000000629769437,36864,70655,172020,1,0,0.1,3.0000000629769437,2.9997588214718154,2.717424768918016e-08,4.731820500848548e-08,0.00024124150512829006,0.3333601286516588,,,0.0,173.414267,188.54614,122.40440800000003,13.662118,0.0,0,0
ci-s4,SCS-3.0,max_iter_reached,10.199740886688232,100000,-1753.5728505045415,447,2980,12520,2,4,1e-06,-1753.5728505045415,-1753.5447022845262,2130.2786333557956,0.0632719971192071,6.94543087535056e-310,,1.214821860832795,0.0,1.5392751907838738e-17,10190.128969,8.963691,7343.25139099988,1178.7842770000173,0.0,0,0
circ10-3,SCS-3.0,optimal,28.068567991256714,4250,139.9931847622782,2700,45320,305220,1,0,0.1,139.9931847622782,139.9947327216566,0.0005521697161989792,0.0005463336592433358,0.0015479593784061085,0.03571572209655437,,,1.0231815394945443e-09,27094.611389,961.408545,24331.60849199999,1330.908921000002,0.0,0,0
cmflsp40-24-10-7,SCS-3.0,optimal,8.844407081604004,7600,46098092.60769035,12213,14306,122674,1,2,144.29869977182392,46098092.60769035,46100399.49883273,0.06969347845851163,502.8409619254382,2306.891142387187,0.19817798615909046,,,3.5316224966663867e-07,8747.626374,92.703734,6626.028396999999,1032.6072040000006,0.0,0,0
cmflsp40-36-2-10,SCS-3.0,optimal,10.247642040252686,3275,58500058.08301134,26889,30341,343285,1,2,794.6570479984562,58500058.08301134,58494292.11627936,0.1199410657476009,2794.3439865636997,5765.966731976776,0.5429490712464381,,,1.1675991117954254e-05,9966.690162,269.997916,7742.343046999996,996.5639830000016,0.0,0,0
cmflsp50-24-8-8,SCS-3.0,optimal,7.311511039733887,4900,51369184.233408794,15100,17703,152135,1,2,114.7251579230032,51369184.233408794,51372227.280528255,0.12248295972601363,513.9247991225566,3043.0471194554243,0.21574748929264465,,,2.065818989649415e-06,7196.175416,109.137125,5574.225914,728.5969340000005,0.0,0,0
cmflsp60-36-2-6,SCS-3.0,optimal,11.574439764022827,2400,66267197.37100837,40378,45561,515530,1,2,437.3365528044118,66267197.37100837,66270232.81027727,0.06068476647252358,1439.0716924848657,3035.439268895953,0.3537184034182933,,,1.0431278404125954e-05,11123.087473,433.820179,8607.729534999986,1096.0896069999992,0.0,0,0
co-100,SCS-3.0,optimal,1.2230398654937744,1750,914872.7814909662,5938,6769,82776,1,2,367.8123284943992,914872.7814909662,914923.5542735688,0.2037285532000796,264.1039913781136,50.77278260259673,9.151721607667573,,,2.366934950259747e-07,1162.745322,57.324417,946.8039289999995,82.62859800000001,0.0,0,0
core2536-691,SCS-3.0,optimal,15.959750890731812,1950,682.3680728263813,15275,17737,174084,1,3,0.03724092394610516,682.3680728263813,682.3680779943315,0.013690199719436188,0.000260223947187063,5.167950152293454e-06,0.002931350818500339,,,3.579767149375357e-08,14700.043715,1248.205521,10551.16450599997,539.4087189999993,0.0,0,0
