name,solver,status,run_time,iter,obj_val,n,m,N
50v-10,SCS-3.0,optimal,0.024233102798461914,200,2892.298069260073,2013,2246,4758
app1-1,SCS-3.0,optimal,1.0774588584899902,3700,-22.83987835501639,2480,7406,20755
assign1-5-8,SCS-3.0,optimal,0.03206324577331543,575,183.36263295013075,156,317,3876
b1c1s1,SCS-3.0,optimal,2.0899782180786133,3625,2823.5482637511245,3872,7776,15280
beasleyC3,SCS-3.0,optimal,0.09063410758972168,475,40.43030371780538,2500,4250,7500
binkar10_1,SCS-3.0,optimal,0.032058000564575195,175,6644.114792928573,2298,3324,6794
bnatt400,SCS-3.0,optimal,0.47168397903442383,75,4.697768536100414e-07,3600,9214,25298
bnatt500,SCS-3.0,optimal,0.062454938888549805,75,1.135584362318611e-05,4500,11529,31703
bppc4-08,SCS-3.0,optimal,0.019114017486572266,25,51.590190656086435,1456,1567,25420
cbs-cta,SCS-3.0,optimal,4.969089031219482,1700,0.0020675978954092407,24793,34905,89181
cod105,SCS-3.0,optimal,0.35627222061157227,75,-18.285713423925472,1024,2048,58368
comp21-2idx,SCS-3.0,optimal,160.83930802345276,400,-0.14896446293013738,10863,24901,68164
cost266-UUE,SCS-3.0,optimal,261.65926909446716,4725,21068542.564115103,4161,5607,16473
csched007,SCS-3.0,max_iter_reached,177.6733739376068,100000,99.02151937561325,1758,2109,8137
csched008,SCS-3.0,optimal,393.9480130672455,80950,170.906348512416,1536,1887,7223
cvs16r128-89,SCS-3.0,optimal,0.1347501277923584,175,-128.0039026922411,3472,8105,16000
dano3_3,SCS-3.0,optimal,26.069473028182983,6200,576.2576988388738,13873,17075,93528
dano3_5,SCS-3.0,optimal,27.781636953353882,6200,576.2576988388738,13873,17075,93528
dws008-01,SCS-3.0,optimal,0.40841221809387207,350,584.4872909960745,11096,17160,67496
eil33-2,SCS-3.0,optimal,0.7199258804321289,1925,811.2488124131594,4516,4548,48759
enlight_hard,SCS-3.0,optimal,0.031011104583740234,75,-8.400582779839844e-06,200,300,760
exp-1-500-5-5,SCS-3.0,optimal,0.040158987045288086,625,28454.360791084026,990,1540,2970
fastxgemm-n2r6s0t2,SCS-3.0,optimal,0.5825421810150146,2275,26.49947598557616,784,6782,20160
fhnw-binpack4-4,SCS-3.0,optimal,0.0405278205871582,925,0.0,520,1140,2852
fhnw-binpack4-48,SCS-3.0,optimal,0.5355408191680908,1500,0.0,3710,8190,21000
gen-ip002,SCS-3.0,optimal,0.0031070709228515625,575,-4840.73836569853,41,65,963
gen-ip054,SCS-3.0,optimal,0.002513885498046875,425,6765.214557554195,30,57,562
glass-sc,SCS-3.0,optimal,1.5723152160644531,4600,14.081781009043732,214,6333,64132
glass4,SCS-3.0,max_iter_reached,2.5956649780273438,100000,129235308.04851314,322,718,2137
gmu-35-40,SCS-3.0,optimal,0.1307220458984375,1325,-3112118.073101023,1205,1629,6048
gmu-35-50,SCS-3.0,optimal,0.1883399486541748,1175,-3494754.5981073896,1919,2354,10562
graph20-20-1rand,SCS-3.0,optimal,0.04840517044067383,125,-37.000288405089584,2183,7770,21460
graphdraw-domain,SCS-3.0,optimal,0.04092097282409668,650,12672.254654025128,254,1119,2854
h80x6320d,SCS-3.0,optimal,3.8033699989318848,4350,5324.707119815463,12640,19198,44161
ic97_potential,SCS-3.0,primal infeasible,0.004029989242553711,50,inf,728,1251,2297
icir97_tension,SCS-3.0,optimal,1.2224900722503662,5150,6298.15090330338,2494,3697,24827
lotsize,SCS-3.0,optimal,0.45733094215393066,2175,355103.30943523627,2985,4905,9550
markshare2,SCS-3.0,optimal,0.027820110321044922,43,1.0196775093031284e-08,74,81,508
