name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,COSMO,optimal,2.9616141319274902,16800,5502.576408102147,1571,2392,11971
80bau3b,COSMO,optimal,6.8013269901275635,16100,987115.7534390441,9799,12061,30801
adlittle,COSMO,optimal,0.13207197189331055,7200,225498.14413153467,97,153,480
afiro,COSMO,optimal,0.007807016372680664,300,-464.7408976248044,32,59,115
agg,COSMO,max_iter_reached,3.881640911102295,100000,-35978904.839634836,163,651,2573
agg2,COSMO,optimal,0.8955240249633789,13500,-20237465.9223019,302,818,4586
agg3,COSMO,optimal,0.5983591079711914,8900,10311760.330262369,302,818,4602
bandm,COSMO,max_iter_reached,4.4738829135894775,100000,-158.63828065159532,472,777,2966
beaconfd,COSMO,optimal,0.0287930965423584,300,33596.57951632107,262,435,3637
blend,COSMO,max_iter_reached,2.0343241691589355,100000,-30.70776756010726,83,157,574
bnl1,COSMO,max_iter_reached,8.53758692741394,100000,1949.395111149598,1175,1818,6296
bnl2,COSMO,max_iter_reached,34.82546091079712,100000,1814.3207089315229,3489,5813,17488
boeing1,COSMO,optimal,3.022944211959839,62000,-335.2184141720224,384,735,3869
boeing2,COSMO,optimal,1.4998970031738281,55300,-315.0159198645545,143,309,1339
bore3d,COSMO,max_iter_reached,3.188793897628784,100000,1377.5922958951555,315,548,1744
brandy,COSMO,optimal,0.5664420127868652,16400,1518.4350929032296,249,469,2397
capri,COSMO,max_iter_reached,3.6984121799468994,100000,2663.2382331568747,353,610,2106
cycle,COSMO,optimal,13.973396062850952,39000,-5.228395063963312,2857,4753,23570
czprob,COSMO,optimal,0.08927297592163086,600,2184886.7034217925,3523,4452,14192
d2q06c,COSMO,optimal,24.164838790893555,41900,122778.88877252287,5167,7338,37584
d6cube,COSMO,max_iter_reached,41.97436714172363,100000,315.076156492891,6184,6599,43888
degen2,COSMO,dual infeasible,0.03507494926452637,200,-inf,534,978,4512
degen3,COSMO,dual infeasible,0.27959704399108887,700,-inf,1818,3321,26464
dfl001,COSMO,max_iter_reached,557.1248738765717,100000,11266422.22130585,12230,18301,47862
e226,COSMO,max_iter_reached,3.927867889404297,100000,-18.751346384374344,282,505,2860
etamacro,COSMO,max_iter_reached,7.854288101196289,100000,-755.7081695787328,688,1088,3097
fffff800,COSMO,max_iter_reached,9.011868953704834,100000,902724.240298562,854,1378,7081
finnis,COSMO,max_iter_reached,5.073326826095581,100000,172993.93261823966,614,1111,2924
fit1d,COSMO,optimal,0.20430493354797363,2600,-9145.615105620942,1026,1050,14430
fit1p,COSMO,optimal,0.5224640369415283,6200,9147.42176664194,1677,2304,11545
fit2d,COSMO,optimal,0.747560977935791,800,-68465.0483012564,10500,10525,139518
fit2p,COSMO,optimal,1.9104061126708984,3600,68460.01813644648,13525,16525,63809
forplan,COSMO,max_iter_reached,4.324041843414307,100000,-685.4583275090579,421,582,4984
ganges,COSMO,dual infeasible,0.033907175064086914,200,-inf,1681,2990,8593
gfrd-pnc,COSMO,dual infeasible,0.03421306610107422,200,-inf,1092,1708,3469
greenbea,COSMO,max_iter_reached,55.81862211227417,100000,-32133797.87639369,5405,7797,36282
greenbeb,COSMO,max_iter_reached,57.95483708381653,100000,-4318694.14369337,5405,7793,36278
grow15,COSMO,dual infeasible,0.05380892753601074,500,-inf,645,945,6265
grow22,COSMO,dual infeasible,0.013157129287719727,100,-inf,946,1386,9198
grow7,COSMO,dual infeasible,0.007505893707275391,100,-inf,301,441,2913
israel,COSMO,max_iter_reached,3.001199960708618,100000,-897698.2194144173,142,316,2411
kb2,COSMO,max_iter_reached,2.060199022293091,100000,-1788.61840638552,41,84,327
lotfi,COSMO,max_iter_reached,2.7440779209136963,100000,-28.430542344879825,308,461,1386
maros-r7,COSMO,dual infeasible,1.2781460285186768,100,-inf,9408,12544,154256
maros,COSMO,max_iter_reached,16.363322019577026,100000,-58074.266089369965,1443,2289,11057
modszk1,COSMO,dual infeasible,0.20041203498840332,2600,-inf,1620,2305,4786
nesm,COSMO,optimal,0.32743000984191895,1800,14077401.888600674,2923,3585,16211
