name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,COSMO_high,max_iter_reached,37.69745898246765,100000,5501.118910337335,1571,2392,11971
80bau3b,COSMO_high,optimal,28.18277096748352,27500,987159.6048010533,9799,12061,30801
adlittle,COSMO_high,max_iter_reached,2.844568967819214,100000,225479.37286731234,97,153,480
afiro,COSMO_high,optimal,0.038218021392822266,400,-464.75308446460167,32,59,115
agg,COSMO_high,max_iter_reached,7.072961807250977,100000,-35978904.839634836,163,651,2573
agg2,COSMO_high,optimal,2.2720820903778076,17100,-20239778.967270408,302,818,4586
agg3,COSMO_high,optimal,0.9076850414276123,9000,10311420.424252195,302,818,4602
bandm,COSMO_high,max_iter_reached,8.203579187393188,100000,-158.63828065159532,472,777,2966
beaconfd,COSMO_high,optimal,0.0569760799407959,800,33592.485807306926,262,435,3637
blend,COSMO_high,max_iter_reached,5.387997150421143,100000,-30.70776756010726,83,157,574
bnl1,COSMO_high,max_iter_reached,18.54489302635193,100000,1949.395111149598,1175,1818,6296
bnl2,COSMO_high,max_iter_reached,83.18064594268799,100000,1814.3207089315229,3489,5813,17488
boeing1,COSMO_high,optimal,8.55480694770813,75600,-335.212886568664,384,735,3869
boeing2,COSMO_high,optimal,2.941941022872925,55500,-315.028112922668,143,309,1339
bore3d,COSMO_high,max_iter_reached,8.197000980377197,100000,1377.5922958951555,315,548,1744
brandy,COSMO_high,max_iter_reached,9.963900089263916,100000,1518.3658491345175,249,469,2397
capri,COSMO_high,max_iter_reached,7.3545520305633545,100000,2663.2382331568747,353,610,2106
cycle,COSMO_high,optimal,68.25524187088013,94700,-5.225255612579538,2857,4753,23570
czprob,COSMO_high,optimal,13.264419078826904,48500,2185182.6991901556,3523,4452,14192
d2q06c,COSMO_high,optimal,105.940190076828,81700,122784.7375419122,5167,7338,37584
d6cube,COSMO_high,max_iter_reached,53.13587307929993,100000,315.076156492891,6184,6599,43888
degen2,COSMO_high,dual infeasible,0.022822856903076172,200,-inf,534,978,4512
degen3,COSMO_high,dual infeasible,0.327178955078125,700,-inf,1818,3321,26464
dfl001,COSMO_high,max_iter_reached,634.7969970703125,100000,11266422.22130585,12230,18301,47862
e226,COSMO_high,max_iter_reached,3.608299970626831,100000,-18.751346384374344,282,505,2860
etamacro,COSMO_high,max_iter_reached,7.636736869812012,100000,-755.7081695787328,688,1088,3097
fffff800,COSMO_high,max_iter_reached,8.736908912658691,100000,902724.240298562,854,1378,7081
finnis,COSMO_high,max_iter_reached,4.6810009479522705,100000,172993.93261823966,614,1111,2924
fit1d,COSMO_high,optimal,0.6608810424804688,9700,-9146.901632435207,1026,1050,14430
fit1p,COSMO_high,max_iter_reached,8.005401134490967,100000,9145.976897776814,1677,2304,11545
fit2d,COSMO_high,optimal,7.951832056045532,7500,-68464.26188525118,10500,10525,139518
fit2p,COSMO_high,optimal,5.588119029998779,12000,68464.23634944021,13525,16525,63809
forplan,COSMO_high,max_iter_reached,4.533747911453247,100000,-685.4583275090579,421,582,4984
ganges,COSMO_high,dual infeasible,0.032150983810424805,200,-inf,1681,2990,8593
gfrd-pnc,COSMO_high,dual infeasible,0.016746997833251953,200,-inf,1092,1708,3469
greenbea,COSMO_high,max_iter_reached,51.26190519332886,100000,-32133797.87639369,5405,7797,36282
greenbeb,COSMO_high,max_iter_reached,51.37747001647949,100000,-4318694.14369337,5405,7793,36278
grow15,COSMO_high,dual infeasible,0.059964895248413086,500,-inf,645,945,6265
grow22,COSMO_high,dual infeasible,0.01797008514404297,100,-inf,946,1386,9198
grow7,COSMO_high,dual infeasible,0.008246183395385742,100,-inf,301,441,2913
israel,COSMO_high,max_iter_reached,3.0204148292541504,100000,-897698.2194144173,142,316,2411
kb2,COSMO_high,max_iter_reached,1.914074182510376,100000,-1788.61840638552,41,84,327
lotfi,COSMO_high,max_iter_reached,2.719393014907837,100000,-28.430542344879825,308,461,1386
maros-r7,COSMO_high,dual infeasible,1.19706392288208,100,-inf,9408,12544,154256
maros,COSMO_high,max_iter_reached,15.275795936584473,100000,-58074.266089369965,1443,2289,11057
modszk1,COSMO_high,dual infeasible,0.17884206771850586,2600,-inf,1620,2305,4786
nesm,COSMO_high,optimal,11.01247787475586,71600,14076051.431482967,2923,3585,16211
perold,COSMO_high,max_iter_reached,12.727190971374512,100000,-5901.8060002834545,1376,1913,7306
pilot.ja,COSMO_high,max_iter_reached,22.334764003753662,100000,-4933.202302832588,1988,2840,16598
pilot,COSMO_high,max_iter_reached,56.883825063705444,100000,-422.53482660152685,3652,5093,46819
pilot.we,COSMO_high,max_iter_reached,14.400732040405273,100000,-2737272.0949033406,2789,3431,11835
pilot4,COSMO_high,max_iter_reached,7.207129955291748,100000,-3668.510221896193,1000,1322,6053
pilot87,COSMO_high,max_iter_reached,147.22633290290833,100000,316.11195975979945,4883,6913,78035
pilotnov,COSMO_high,max_iter_reached,22.362528800964355,100000,-4497.400523715463,2172,3147,15229
recipe,COSMO_high,dual infeasible,0.019594192504882812,100,-inf,180,271,843
sc105,COSMO_high,max_iter_reached,2.056281089782715,100000,-51.957837909809186,103,208,383
sc205,COSMO_high,max_iter_reached,2.3377318382263184,100000,-51.36511413917615,203,408,754
sc50a,COSMO_high,optimal,0.06058096885681152,3100,-64.5749416992481,48,98,178
sc50b,COSMO_high,optimal,0.042591094970703125,1200,-69.99999205318616,48,98,166
scagr25,COSMO_high,max_iter_reached,3.4474809169769287,100000,-14757153.537491107,500,971,2054
scagr7,COSMO_high,max_iter_reached,2.023729085922241,100000,-2334072.7210599366,140,269,560
scfxm1,COSMO_high,max_iter_reached,4.399235963821411,100000,18416.03975890114,457,787,3046
scfxm2,COSMO_high,max_iter_reached,7.603636026382446,100000,36662.07141293313,914,1574,6097
scfxm3,COSMO_high,max_iter_reached,10.422453880310059,100000,54903.881406095315,1371,2361,9148
scorpion,COSMO_high,dual infeasible,0.02438807487487793,700,-inf,358,746,1784
scrs8,COSMO_high,max_iter_reached,5.909584045410156,100000,904.3283150410672,1169,1659,4351
scsd1,COSMO_high,optimal,0.022788047790527344,600,8.666677888576015,760,837,3148
scsd6,COSMO_high,dual infeasible,0.03541302680969238,200,-inf,1350,1497,5666
scsd8,COSMO_high,dual infeasible,0.05274605751037598,300,-inf,2750,3147,11334
sctap1,COSMO_high,max_iter_reached,3.4143810272216797,100000,1411.2222240620522,480,780,2172
sctap2,COSMO_high,optimal,0.853175163269043,8400,1724.8078150061444,1880,2970,8594
sctap3,COSMO_high,optimal,0.3316490650177002,2400,1423.998398856101,2480,3960,11354
seba,COSMO_high,max_iter_reached,5.193109035491943,100000,15713.805135967368,1028,1543,5380
share1b,COSMO_high,max_iter_reached,2.571812152862549,100000,-76803.90270778108,225,342,1376
share2b,COSMO_high,max_iter_reached,2.0921380519866943,100000,-414.5878094263185,79,175,773
shell,COSMO_high,dual infeasible,0.03712201118469238,200,-inf,1775,2311,5331
ship04l,COSMO_high,optimal,0.6784849166870117,8300,1793320.7117149394,2118,2520,8450
ship04s,COSMO_high,optimal,0.18374204635620117,2900,1798712.4804107638,1458,1860,5810
ship08l,COSMO_high,optimal,1.8732829093933105,13100,1909055.6748510022,4283,5061,17085
ship08s,COSMO_high,max_iter_reached,9.30774712562561,100000,1920045.8812582123,2387,3165,9501
ship12l,COSMO_high,optimal,1.452707052230835,8100,1470187.9207218504,5427,6578,21597
ship12s,COSMO_high,optimal,2.7892770767211914,25900,1489233.9789618985,2763,3914,10941
sierra,COSMO_high,dual infeasible,0.5474081039428711,4700,-inf,2036,3263,9338
stair,COSMO_high,max_iter_reached,5.598710775375366,100000,-251.31234966658232,467,817,4317
standata,COSMO_high,max_iter_reached,5.226668834686279,100000,708.9255189362009,1075,1434,4106
standgub,COSMO_high,max_iter_reached,5.3575358390808105,100000,708.9255189362009,1184,1545,4323
standmps,COSMO_high,max_iter_reached,5.7034430503845215,100000,1408.3491925118835,1075,1542,4754
stocfor1,COSMO_high,max_iter_reached,2.0705180168151855,100000,-41148.49534746073,111,228,558
stocfor2,COSMO_high,max_iter_reached,13.668483018875122,100000,-39025.5796989957,2031,4188,10374
tuff,COSMO_high,max_iter_reached,5.971516132354736,100000,2.165776590259028,587,918,5105
vtp.base,COSMO_high,max_iter_reached,2.48442006111145,100000,81699.52635973404,203,400,1110
wood1p,COSMO_high,max_iter_reached,28.844186782836914,100000,1.516933502217884,2594,2838,72809
