name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,ECOS,solver_error,,,,1571,2392,11971
80bau3b,ECOS,solver_error,,,,9799,12061,30801
adlittle,ECOS,optimal inaccurate,0.01993274688720703,100,225494.9669909838,97,153,480
afiro,ECOS,optimal inaccurate,0.012634038925170898,100,-464.75314226783877,32,59,115
agg,ECOS,optimal inaccurate,0.08378887176513672,100,-35991767.28861216,163,651,2573
agg2,ECOS,optimal inaccurate,0.27368712425231934,100,-20239252.392226104,302,818,4586
agg3,ECOS,optimal inaccurate,0.22185873985290527,100,10312116.349903138,302,818,4602
bandm,ECOS,solver_error,,,,472,777,2966
beaconfd,ECOS,solver_error,,,,262,435,3637
blend,ECOS,solver_error,,,,83,157,574
bnl1,ECOS,solver_error,,,,1175,1818,6296
bnl2,ECOS,solver_error,,,,3489,5813,17488
bore3d,ECOS,solver_error,,,,315,548,1744
brandy,ECOS,solver_error,,,,249,469,2397
capri,ECOS,optimal inaccurate,0.10598087310791016,100,2690.012881303455,353,624,2120
cycle,ECOS,solver_error,,,,2857,4760,23577
czprob,ECOS,optimal inaccurate,0.47377800941467285,100,2185196.3596488633,3523,4452,14192
d2q06c,ECOS,solver_error,,,,5167,7338,37584
d6cube,ECOS,solver_error,,,,6184,6599,43888
degen2,ECOS,optimal inaccurate,0.17917513847351074,40,-1435.1764467548867,534,978,4512
degen3,ECOS,solver_error,,,,1818,3321,26464
dfl001,ECOS,solver_error,,,,12230,18301,47862
e226,ECOS,solver_error,,,,282,505,2860
etamacro,ECOS,solver_error,,,,688,1088,3097
fffff800,ECOS,optimal inaccurate,0.3913123607635498,100,555679.650857358,854,1378,7081
finnis,ECOS,solver_error,,,,614,1111,2924
fit1d,ECOS,optimal inaccurate,0.24360036849975586,100,-9146.378117126667,1026,1050,14430
fit1p,ECOS,solver_error,,,,1677,2304,11545
fit2d,ECOS,optimal inaccurate,4.1642796993255615,100,-68464.29394835196,10500,10525,139518
fit2p,ECOS,solver_error,,,,13525,16525,63809
ganges,ECOS,optimal inaccurate,0.4038960933685303,100,-109585.73612944654,1681,2990,8593
gfrd-pnc,ECOS,optimal,0.061568260192871094,50,6902235.999550308,1092,1708,3469
greenbea,ECOS,solver_error,,,,5405,7797,36282
greenbeb,ECOS,solver_error,,,,5405,7797,36282
grow15,ECOS,optimal,0.07726144790649414,29,-106870941.29526828,645,945,6265
grow22,ECOS,optimal,0.17671895027160645,30,-160834336.4953754,946,1386,9198
grow7,ECOS,optimal,0.048368215560913086,26,-47787811.81541993,301,441,2913
israel,ECOS,optimal inaccurate,0.10593771934509277,100,-896644.8209719484,142,316,2411
kb2,ECOS,optimal inaccurate,0.034436702728271484,100,-1749.9001301343333,41,84,327
lotfi,ECOS,solver_error,,,,308,461,1386
maros-r7,ECOS,optimal inaccurate,56.52589273452759,100,1497185.1665216126,9408,12544,154256
maros,ECOS,optimal inaccurate,0.8669126033782959,100,-58063.74331154216,1443,2289,11057
modszk1,ECOS,solver_error,,,,1620,2307,4788
perold,ECOS,solver_error,,,,1376,2001,7394
pilot.ja,ECOS,solver_error,,,,1988,2928,16686
pilot,ECOS,solver_error,,,,3652,5093,46819
pilot.we,ECOS,optimal inaccurate,0.6488058567047119,100,-2720112.6123097246,2789,3511,11915
pilot4,ECOS,solver_error,,,,1000,1410,6141
pilot87,ECOS,solver_error,,,,4883,6913,78035
pilotnov,ECOS,solver_error,,,,2172,3147,15229
recipe,ECOS,solver_error,,,,180,271,843
sc105,ECOS,solver_error,,,,103,208,383
sc205,ECOS,solver_error,,,,203,408,754
sc50a,ECOS,solver_error,,,,48,98,178
