name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
25fv47,OSQP,optimal,3.0519859790802,14700,5502.456795755242,1571,2392,11971,0,0.00694184,3.044306934,0.0,3,0.0002669112285962475
80bau3b,OSQP,solver_error,54.33687686920166,100000,987367.5944545581,9799,12061,30801,0,0.020079079,54.312216913,0.0,15,0.000607464182688196
adlittle,OSQP,optimal,0.008529901504516602,2575,225464.58373893247,97,153,480,0,0.00020428,0.00805895,0.0,2,0.002788600059909316
afiro,OSQP,optimal,0.0013470649719238281,750,-464.7531032586461,32,59,115,0,9.715e-05,0.000888356,0.0,13,0.00021216390421663586
agg,OSQP,solver_error,2.0023560523986816,100000,153896700.33940613,163,651,2573,0,0.001058801,2.000927374,0.0,50,2.6475256496808136e-06
agg2,OSQP,solver_error,6.012315988540649,100000,-8016276.657003908,302,818,4586,0,0.001456948,6.010345671,0.0,8,4.3160274753956835e-06
agg3,OSQP,solver_error,6.42995810508728,100000,18900792.736917797,302,818,4602,0,0.001601494,6.42783436,0.0,8,7.603116641560747e-06
bandm,OSQP,optimal,0.9032881259918213,34575,-158.63016952517853,472,777,2966,0,0.001241465,0.876124002,0.0,7,0.00023915798953873593
beaconfd,OSQP,optimal,0.10784697532653809,5900,33596.15434432808,262,435,3637,0,0.00070088,0.10686613,0.0,6,0.0004003881216541319
blend,OSQP,optimal,0.05889582633972168,8025,-30.81198649177144,83,157,574,0,0.000155201,0.058352694,0.0,1,0.004881538396591728
bnl1,OSQP,solver_error,8.160306930541992,100000,1947.82955702347,1175,1818,6296,0,0.002922019,8.156751451,0.0,2,0.0017547377683933792
bnl2,OSQP,solver_error,34.29776191711426,100000,1816.1368789160838,3489,5813,17488,0,0.015678851,34.279715077,0.0,3,0.0011011369861104838
boeing1,OSQP,solver_error,3.459233045578003,100000,-337.7170341311847,384,735,3869,0,0.001299646,3.42661502,0.0,5,0.00020203769926393565
boeing2,OSQP,solver_error,1.0672118663787842,100000,-318.08811294233766,143,309,1339,0,0.000369552,1.03478925,0.0,7,0.006395404199507245
bore3d,OSQP,solver_error,1.5393297672271729,100000,1384.8570481758293,315,548,1744,0,0.000474048,1.520921259,0.0,45,9.899042599422061e-05
brandy,OSQP,max_iter_reached,1.6592979431152344,100000,317.5663202480828,249,469,2397,0,0.000561851,1.645767662,0.0,20,4.239387045250911e-05
capri,OSQP,solver_error,2.1486189365386963,100000,2659.7727954738693,353,610,2106,0,0.000698418,2.147444326,0.0,4,0.0009246358653624355
cycle,OSQP,max_iter_reached,29.635890007019043,100000,-5.196292109137336,2857,4753,23570,0,0.008969429,29.624963235,0.0,5,3.9178533757002935e-05
czprob,OSQP,max_iter_reached,10.274075031280518,100000,2185240.2654718985,3523,4452,14192,0,0.008519586,10.264226556,0.0,45,0.0004896962114690556
d2q06c,OSQP,solver_error,73.96164989471436,100000,122835.07382840394,5167,7338,37584,0,0.028378513,73.928878573,0.0,25,0.0002663806295699713
d6cube,OSQP,solver_error,51.49473214149475,100000,315.45786342658164,6184,6599,43888,0,0.02496393,51.46546008,0.0,3,0.019722044631722065
degen2,OSQP,optimal,0.031265974044799805,425,-1435.1596410965176,534,978,4512,0,0.002232837,0.028723074,0.0,0,0.02819877084398258
degen3,OSQP,optimal,0.15526294708251953,300,-987.2703396263565,1818,3321,26464,0,0.024600547,0.130065679,0.0,1,0.010234799733171438
dfl001,OSQP,solver_error,503.3293602466583,100000,11266335.912794238,12230,18301,47862,0,0.9853749,502.355762198,0.0,2,6.76147374361961
e226,OSQP,solver_error,1.7302632331848145,100000,-18.771337356831435,282,505,2860,0,0.000632776,1.7243191,0.0,8,0.0054544334148598035
etamacro,OSQP,optimal,2.9653687477111816,57750,-755.7772828204203,688,1088,3097,0,0.00139693,2.963642044,0.0,4,0.00024348412122713171
fffff800,OSQP,max_iter_reached,5.896444082260132,100000,833338.136120571,854,1378,7081,0,0.002249149,5.893819645,0.0,10,1.2382673581685216e-05
finnis,OSQP,solver_error,2.393141031265259,100000,172791.74282512974,614,1111,2924,0,0.00078098,2.373594001,0.0,6,0.0008985923909564795
fit1d,OSQP,optimal,0.22179579734802246,5475,-9146.644346550693,1026,1050,14430,0,0.001967469,0.21953953,0.0,1,0.00991726793491324
fit1p,OSQP,solver_error,4.8007659912109375,100000,9023.767865666423,1677,2304,11545,0,0.003786673,4.796627437,0.0,3,0.5753756828344319
fit2d,OSQP,optimal,1.0603268146514893,1775,-68462.91878977086,10500,10525,139518,0,0.01397687,1.043557007,0.0,1,0.005116273807357104
fit2p,OSQP,optimal,2.0934081077575684,5175,68460.78909606133,13525,16525,63809,0,0.030290184,2.060002525,0.0,3,0.005359074885789755
forplan,OSQP,max_iter_reached,2.2510411739349365,100000,-689.0824480448777,421,582,4984,0,0.001704793,2.239360188,0.0,6,0.0001221422179954179
ganges,OSQP,solver_error,8.020049095153809,100000,-109636.16959276353,1681,2990,8593,0,0.001974247,7.988066836,0.0,38,0.00031253265559203825
gfrd-pnc,OSQP,max_iter_reached,2.760554075241089,100000,3037276273.7672114,1092,1708,3469,0,0.000824118,2.759234641,0.0,6,1e-06
greenbea,OSQP,solver_error,46.838247776031494,100000,-72106632.65760551,5405,7797,36282,0,0.019897236,46.816922137,0.0,5,2.149167517096546e-06
greenbeb,OSQP,solver_error,50.70100688934326,100000,-4198310.54566137,5405,7793,36278,0,0.022283144,50.677213337,0.0,6,4.565603861961545e-05
grow15,OSQP,optimal,1.9393830299377441,52850,-106866211.4176084,645,945,6265,0,0.000998718,1.938100826,0.0,7,2.382436445403866e-06
grow22,OSQP,optimal,3.4333629608154297,62225,-160820008.06787163,946,1386,9198,0,0.001276009,3.421280052,0.0,54,2.0613160480549354e-06
grow7,OSQP,max_iter_reached,1.9525420665740967,100000,-47869575.89101452,301,441,2913,0,0.000496243,1.938743835,0.0,19,3.0179950825723045e-06
israel,OSQP,solver_error,1.134638786315918,100000,-896655.7194203191,142,316,2411,0,0.000557341,1.094668417,0.0,6,4.547368830490096e-05
kb2,OSQP,max_iter_reached,0.5086803436279297,100000,-960.330971840021,41,84,327,0,8.4134e-05,0.508348773,0.0,134,0.000246310172655929
lotfi,OSQP,solver_error,1.0715129375457764,100000,-25.261904827185216,308,461,1386,0,0.000386719,1.049959552,0.0,9,1.9857598437988935e-05
maros-r7,OSQP,optimal,9.314386129379272,2375,1497116.5657560567,9408,12544,154256,0,0.263444308,9.04975312,0.0,3,3.8763444806066174e-05
maros,OSQP,max_iter_reached,12.821817874908447,100000,-27398.688563296044,1443,2289,11057,0,0.003814804,12.817440025,0.0,5,1.0355230598959169e-06
modszk1,OSQP,solver_error,4.289639234542847,100000,30970937.47376388,1620,2305,4786,0,0.001315514,4.287963834,0.0,4,1e-06
nesm,OSQP,optimal,1.9952380657196045,16775,14076819.391802661,2923,3585,16211,0,0.004149578,1.990412921,0.0,7,0.0004150238468655722
perold,OSQP,solver_error,10.119521141052246,100000,-10495.909010396625,1376,1913,7306,0,0.003162673,10.115754678,0.0,14,1.3042054903479383e-05
pilot.ja,OSQP,solver_error,63.87684416770935,100000,-6616.814684851386,1988,2840,16598,0,0.00868229,63.84718232,0.0,5,1.6445262512678923e-06
pilot,OSQP,solver_error,66.0243980884552,100000,-570.2524001495357,3652,5093,46819,0,0.03220501,65.989345281,0.0,2,0.0005451251769169968
pilot.we,OSQP,solver_error,10.582800149917603,100000,-2674832.674012168,2789,3431,11835,0,0.00304411,10.579075677,0.0,4,2.2672593053127534e-05
pilot4,OSQP,solver_error,4.541068077087402,100000,-27.904793525640724,1000,1322,6053,0,0.001489736,4.539234065,0.0,36,1e-06
pilot87,OSQP,solver_error,147.26764106750488,100000,345.36296196249805,4883,6913,78035,0,0.104957995,147.158727452,0.0,7,7.489286006116846e-05
pilotnov,OSQP,solver_error,19.689242124557495,100000,-4497.294800981989,2172,3147,15229,0,0.006513121,19.681731303,0.0,5,4.258957234093457e-06
recipe,OSQP,optimal,0.001997709274291992,225,-266.6141176675874,180,271,843,0,0.000188937,0.001553144,0.0,2,0.03758877341911247
sc105,OSQP,max_iter_reached,0.36719298362731934,100000,-52.16804048828644,103,208,383,0,0.000114753,0.366817275,0.0,171,0.0007088127640022699
sc205,OSQP,max_iter_reached,0.7457787990570068,100000,-51.98313438065812,203,408,754,0,0.000180416,0.745301672,0.0,133,0.0005560880563435646
sc50a,OSQP,optimal,0.008809089660644531,4925,-64.57503153557123,48,98,178,0,9.2791e-05,0.008455403,0.0,25,0.001745528015179532
sc50b,OSQP,optimal,0.009083986282348633,5575,-69.99929826532049,48,98,166,0,5.8189e-05,0.008803926,0.0,23,0.0027879600890475626
scagr25,OSQP,solver_error,1.6384551525115967,100000,-14736035.144821774,500,971,2054,0,0.00037372,1.637684918,0.0,21,2.145904236301506e-05
scagr7,OSQP,optimal,0.07405805587768555,17925,-2331165.456005471,140,269,560,0,0.00014032,0.073665862,0.0,4,5.0502429701783594e-05
scfxm1,OSQP,solver_error,2.579556703567505,100000,18625.74734543209,457,787,3046,0,0.001238314,2.577678046,0.0,9,0.0008609819981044353
scfxm2,OSQP,solver_error,5.9020209312438965,100000,37121.164310033964,914,1574,6097,0,0.001577143,5.900056617,0.0,8,0.00020461124438356872
scfxm3,OSQP,solver_error,7.192240953445435,100000,56726.67411586456,1371,2361,9148,0,0.002066299,7.189703876,0.0,8,0.00031808935152742097
scorpion,OSQP,optimal,0.033310890197753906,1400,1877.9600800107687,358,746,1784,0,0.000352589,0.032727526,0.0,1,0.6430044315751362
scrs8,OSQP,solver_error,3.8758881092071533,100000,904.1936233747964,1169,1659,4351,0,0.000890038,3.874588172,0.0,2,0.003131350808738647
scsd1,OSQP,optimal,0.007476091384887695,400,8.667107216967818,760,837,3148,0,0.000574963,0.006613381,0.0,1,0.3837094498650588
scsd6,OSQP,optimal,0.13177895545959473,4450,50.47784607368681,1350,1497,5666,0,0.001044255,0.130362905,0.0,1,0.9237990282936791
scsd8,OSQP,optimal,0.10601377487182617,1575,905.003552683184,2750,3147,11334,0,0.001996285,0.103380775,0.0,1,0.004920863900212698
sctap1,OSQP,optimal,0.1704092025756836,11900,1412.3643404049947,480,780,2172,0,0.000410671,0.169649444,0.0,2,0.10055836506752262
sctap2,OSQP,optimal,0.10954904556274414,1275,1724.9182876487553,1880,2970,8594,0,0.001863969,0.107414039,0.0,0,0.13821822466003453
sctap3,OSQP,optimal,0.04574394226074219,500,1424.0764019500455,2480,3960,11354,0,0.002543694,0.042898082,0.0,0,0.18185685611236804
seba,OSQP,solver_error,2.6701529026031494,100000,15585.117838516488,1028,1543,5380,0,0.001178771,2.653839009,0.0,17,0.00010645786732126877
share1b,OSQP,max_iter_reached,1.0657868385314941,100000,-6745.913489792239,225,342,1376,0,0.000255254,1.065287339,0.0,118,5.661539103942961e-06
share2b,OSQP,max_iter_reached,0.8468799591064453,100000,-433.03973519723905,79,175,773,0,0.000181384,0.846427737,0.0,35,0.08464940340646095
shell,OSQP,solver_error,4.5245301723480225,100000,1209086238.3347812,1775,2311,5331,0,0.001400008,4.522726534,0.0,52,1.80341780356947e-05
ship04l,OSQP,optimal,0.07381701469421387,900,1793193.8635498423,2118,2520,8450,0,0.002468291,0.070899103,0.0,1,0.01197106195006139
ship04s,OSQP,optimal,0.024929046630859375,675,1798636.1643330886,1458,1860,5810,0,0.002088408,0.022579946,0.0,1,0.0040066122673676485
ship08l,OSQP,optimal,0.07342696189880371,625,1908873.6869510028,4283,5061,17085,0,0.005258118,0.067800927,0.0,1,0.009974938296092273
ship08s,OSQP,solver_error,6.2568018436431885,100000,1919998.4451938055,2387,3165,9501,0,0.001977343,6.225543379,0.0,85,0.03324410557947254
ship12l,OSQP,optimal,0.2138056755065918,1350,1470072.8319111264,5427,6578,21597,0,0.006300023,0.202846939,0.0,2,0.008042033901136312
ship12s,OSQP,optimal,0.21503114700317383,2500,1489127.7805726407,2763,3914,10941,0,0.002160073,0.182640083,0.0,2,0.010690870758036968
sierra,OSQP,optimal,2.530575752258301,35700,15394373.562413754,2036,3263,9338,0,0.002207807,2.528039852,0.0,15,1.3938367543961248e-05
stair,OSQP,optimal,2.6824100017547607,84975,-251.28380835669998,467,817,4317,0,0.00090414,2.659325139,0.0,3,0.001520582088040512
standata,OSQP,max_iter_reached,2.704232931137085,100000,476.7066262464548,1075,1434,4106,0,0.000621526,2.703264294,0.0,143,0.002176858234998254
standgub,OSQP,max_iter_reached,2.8590028285980225,100000,476.7066262464548,1184,1545,4323,0,0.000627016,2.858019258,0.0,143,0.002176858234998254
standmps,OSQP,solver_error,3.4529857635498047,100000,1409.9077741335157,1075,1542,4754,0,0.000846872,3.451621053,0.0,19,0.00023191806047615345
stocfor1,OSQP,optimal,0.08220076560974121,6125,-40772.91499502021,111,228,558,0,0.0001793,0.081681215,0.0,4,0.00012551519902388974
stocfor2,OSQP,solver_error,10.293167114257812,100000,-39005.9463379559,2031,4188,10374,0,0.002403368,10.281160346,0.0,4,0.00014778778434541877
tuff,OSQP,solver_error,3.80525279045105,100000,0.28812390125593107,587,918,5105,0,0.000968476,3.79412926,0.0,6,0.00018371449929018157
vtp.base,OSQP,max_iter_reached,1.0296859741210938,100000,543617.8112017472,203,400,1110,0,0.000317687,1.029117267,0.0,2407,1e-06
wood1p,OSQP,max_iter_reached,28.39573073387146,100000,4.914891184031589,2594,2838,72809,0,0.014180845,28.368098792,0.0,980,4.583393716261576e-06
woodw,OSQP,optimal,8.934197902679443,26275,1.3047268989422953,8405,9503,45879,0,0.038006995,8.893563466,0.0,9,0.9634702326426219
