name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
25fv47,OSQP_high,optimal,11.27414083480835,44125,5501.848950971265,1571,2392,11971,0,0.006103305,11.267146594,0.0,3,0.00026824299329620047
80bau3b,OSQP_high,solver_error,52.594643115997314,100000,987367.5944545581,9799,12061,30801,0,0.014588935,52.579527554,0.0,15,0.000607464182688196
adlittle,OSQP_high,max_iter_reached,0.6443288326263428,100000,225509.24008455937,97,153,480,0,0.000195568,0.618419104,0.0,79,0.0023155450421418144
afiro,OSQP_high,optimal,0.02752995491027832,750,-464.7531032586461,32,59,115,0,7.2937e-05,0.000819817,0.0,13,0.00021216390421663586
agg,OSQP_high,max_iter_reached,1.977635145187378,100000,153896700.33940613,163,651,2573,0,0.000742794,1.976621994,0.0,50,2.6475256496808136e-06
agg2,OSQP_high,max_iter_reached,4.763915061950684,100000,-8016276.657003908,302,818,4586,0,0.001451133,4.762234647,0.0,8,4.3160274753956835e-06
agg3,OSQP_high,max_iter_reached,4.993746757507324,100000,18900792.736917797,302,818,4602,0,0.001509786,4.992004212,0.0,8,7.603116641560747e-06
bandm,OSQP_high,optimal,1.1225318908691406,43275,-158.63300044432202,472,777,2966,0,0.000812407,1.121442118,0.0,7,0.0002213061457557368
beaconfd,OSQP_high,optimal,0.2440958023071289,11525,33592.4860475328,262,435,3637,0,0.000886188,0.242902975,0.0,17,0.00016543864849727445
blend,OSQP_high,max_iter_reached,0.7969868183135986,100000,-30.99626858011837,83,157,574,0,0.0001849,0.77583852,0.0,83,0.009952801495763153
bnl1,OSQP_high,max_iter_reached,7.050134897232056,100000,1947.82955702347,1175,1818,6296,0,0.00262677,7.047237442,0.0,2,0.0017547377683933792
bnl2,OSQP_high,max_iter_reached,40.67858099937439,100000,1816.1368789160838,3489,5813,17488,0,0.013861882,40.664579,0.0,3,0.0011011369861104838
boeing1,OSQP_high,solver_error,3.3290040493011475,100000,-337.7170341311847,384,735,3869,0,0.001394141,3.327193414,0.0,5,0.00020203769926393565
boeing2,OSQP_high,max_iter_reached,1.0147759914398193,100000,-318.08811294233766,143,309,1339,0,0.000422582,1.014070133,0.0,7,0.006395404199507245
bore3d,OSQP_high,max_iter_reached,1.5389342308044434,100000,1384.8570481758293,315,548,1744,0,0.000597381,1.538017307,0.0,45,9.899042599422061e-05
brandy,OSQP_high,max_iter_reached,2.0209031105041504,100000,317.5663202480828,249,469,2397,0,0.000622253,2.019916033,0.0,20,4.239387045250911e-05
capri,OSQP_high,max_iter_reached,2.261478900909424,100000,2659.7727954738693,353,610,2106,0,0.000791297,2.260378043,0.0,4,0.0009246358653624355
cycle,OSQP_high,solver_error,33.8117880821228,100000,-5.196292109137336,2857,4753,23570,0,0.009612747,33.80197986,0.0,5,3.9178533757002935e-05
czprob,OSQP_high,max_iter_reached,11.580035924911499,100000,2185206.5446166475,3523,4452,14192,0,0.009777361,11.549119333,0.0,44,0.0013258151351424612
d2q06c,OSQP_high,max_iter_reached,77.58417201042175,100000,122835.07382840394,5167,7338,37584,0,0.031944393,77.551961978,0.0,25,0.0002663806295699713
d6cube,OSQP_high,solver_error,43.772496938705444,100000,315.45786342658164,6184,6599,43888,0,0.022917288,43.747076934,0.0,3,0.019722044631722065
degen2,OSQP_high,optimal,0.12664318084716797,2225,-1435.1776645118548,534,978,4512,0,0.002336639,0.123980436,0.0,1,0.018707953700429873
degen3,OSQP_high,max_iter_reached,38.545979261398315,100000,-987.2984150184157,1818,3321,26464,0,0.020326823,38.525619064,0.0,30,0.003741247850791049
dfl001,OSQP_high,solver_error,741.5245451927185,100000,11266330.888133517,12230,18301,47862,0,1.939071683,739.585439905,0.0,2,6.439531306371091
e226,OSQP_high,max_iter_reached,2.232621908187866,100000,-18.771337356831435,282,505,2860,0,0.000758073,2.231539874,0.0,8,0.0054544334148598035
etamacro,OSQP_high,optimal,4.620847225189209,57675,-755.6767581295077,688,1088,3097,0,0.002595817,4.617613877,0.0,4,0.00028768133704844875
fffff800,OSQP_high,max_iter_reached,9.809192895889282,100000,833338.136120571,854,1378,7081,0,0.003229826,9.805415375,0.0,10,1.2382673581685216e-05
finnis,OSQP_high,max_iter_reached,4.1831560134887695,100000,172791.74282512974,614,1111,2924,0,0.001205211,4.181610726,0.0,6,0.0008985923909564795
fit1d,OSQP_high,optimal,0.7387409210205078,9425,-9146.408826861629,1026,1050,14430,0,0.003934956,0.734413711,0.0,1,0.007798498193350654
fit1p,OSQP_high,max_iter_reached,11.304808139801025,100000,9061.114070282349,1677,2304,11545,0,0.005634828,11.298720045,0.0,4,0.08179916793151781
fit2d,OSQP_high,optimal,4.3165669441223145,4375,-68464.09966759566,10500,10525,139518,0,0.023159897,4.292273965,0.0,3,0.021271021300890255
fit2p,OSQP_high,optimal,37.024611949920654,62000,68464.48215226659,13525,16525,63809,0,0.028469163,36.995229383,0.0,5,0.003906502938241906
forplan,OSQP_high,max_iter_reached,2.9747490882873535,100000,-683.622258351864,421,582,4984,0,0.002110606,2.97225762,0.0,19,1.9291721714909154e-05
ganges,OSQP_high,max_iter_reached,9.718307971954346,100000,-109636.16959276353,1681,2990,8593,0,0.002364111,9.715642743,0.0,38,0.00031253265559203825
gfrd-pnc,OSQP_high,max_iter_reached,3.4541189670562744,100000,3037276273.7672114,1092,1708,3469,0,0.001036264,3.452754677,0.0,6,1e-06
greenbea,OSQP_high,max_iter_reached,56.360759973526,100000,-72106632.65760551,5405,7797,36282,0,0.02436953,56.336309596,0.0,5,2.149167517096546e-06
greenbeb,OSQP_high,max_iter_reached,53.396522998809814,100000,-4198310.54566137,5405,7793,36278,0,0.021829957,53.374714946,0.0,6,4.565603861961545e-05
grow15,OSQP_high,max_iter_reached,5.088805913925171,100000,-106892755.2169721,645,945,6265,0,0.001042585,5.087524747,0.0,13,1.082737024956822e-06
grow22,OSQP_high,optimal,5.559847354888916,71350,-160833122.4553998,946,1386,9198,0,0.002024989,5.557517516,0.0,54,6.962208145201164e-06
grow7,OSQP_high,max_iter_reached,2.12044095993042,100000,-47869575.89101452,301,441,2913,0,0.00063298,2.119541584,0.0,19,3.0179950825723045e-06
israel,OSQP_high,max_iter_reached,1.3556480407714844,100000,-896655.7194203191,142,316,2411,0,0.000577414,1.354816994,0.0,6,4.547368830490096e-05
kb2,OSQP_high,max_iter_reached,0.24797916412353516,100000,-960.330971840021,41,84,327,0,9.8095e-05,0.247540989,0.0,134,0.000246310172655929
lotfi,OSQP_high,solver_error,1.1082558631896973,100000,-25.261904827185216,308,461,1386,0,0.000436919,1.107550906,0.0,9,1.9857598437988935e-05
maros-r7,OSQP_high,max_iter_reached,441.33494782447815,100000,1497184.8297212832,9408,12544,154256,0,0.339688232,440.998264172,0.0,6,1.3069005673622123e-05
maros,OSQP_high,max_iter_reached,14.184370994567871,100000,-27398.688563296044,1443,2289,11057,0,0.004046061,14.180032544,0.0,5,1.0355230598959169e-06
modszk1,OSQP_high,max_iter_reached,4.941625118255615,100000,30970937.47376388,1620,2305,4786,0,0.001528185,4.93979809,0.0,4,1e-06
nesm,OSQP_high,solver_error,13.887717723846436,100000,14076050.715927422,2923,3585,16211,0,0.004356658,13.882999742,0.0,7,0.0002765808447562814
perold,OSQP_high,max_iter_reached,11.580403089523315,100000,-10495.909010396625,1376,1913,7306,0,0.003241729,11.576780375,0.0,14,1.3042054903479383e-05
