name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,QPALM,optimal,0.9499313831329346,427,5501.668092732787,1571,2392,11971
80bau3b,QPALM,optimal,6.82608699798584,1081,987226.8076196664,9799,12061,30801
adlittle,QPALM,optimal,0.008927106857299805,108,225396.16519183118,97,153,480
afiro,QPALM,optimal,0.0024857521057128906,22,-464.75313324971575,32,59,115
agg,QPALM,max_iter_reached,2.5528109073638916,2500,-35991767.28657691,163,651,2573
agg2,QPALM,max_iter_reached,1.5495152473449707,2500,-20239252.355981074,302,818,4586
agg3,QPALM,max_iter_reached,3.7827844619750977,2500,10312115.935089758,302,818,4602
bandm,QPALM,optimal,0.060851097106933594,156,-159.32877721730813,472,777,2966
beaconfd,QPALM,optimal,0.013186931610107422,46,33596.04078812494,262,435,3637
blend,QPALM,optimal,0.00594329833984375,42,-30.81215177652304,83,157,574
bnl1,QPALM,optimal,0.9337835311889648,910,1977.6194249459097,1175,1818,6296
bnl2,QPALM,optimal,2.888514518737793,766,1811.278723078427,3489,5813,17488
bore3d,QPALM,optimal,0.024484872817993164,99,1373.0837191247563,315,548,1744
brandy,QPALM,optimal,0.05319023132324219,240,1518.4823136732123,249,469,2397
capri,QPALM,optimal,0.08955574035644531,318,2689.989373595291,353,624,2120
cycle,QPALM,max_iter_reached,9.47982144355774,2500,-5.225020503571418,2857,4760,23577
czprob,QPALM,optimal,1.5233790874481201,608,2185093.2757652965,3523,4452,14192
d2q06c,QPALM,optimal,6.538068532943726,892,122784.1704977034,5167,7338,37584
d6cube,QPALM,optimal,1.906658411026001,335,315.47928595153485,6184,6599,43888
degen2,QPALM,optimal,0.07141351699829102,89,-1435.1779938794473,534,978,4512
degen3,QPALM,optimal,0.7057604789733887,171,-987.3262930978341,1818,3321,26464
dfl001,QPALM,max_iter_reached,658.0493381023407,2500,10846365.863118604,12230,18301,47862
e226,QPALM,optimal,0.08238697052001953,366,-18.752059160246052,282,505,2860
etamacro,QPALM,max_iter_reached,270.8600363731384,2500,-755.7152333475428,688,1088,3097
fffff800,QPALM,optimal,53.73995113372803,328,555641.1395096739,854,1378,7081
finnis,QPALM,max_iter_reached,62.54123830795288,2500,172791.0655956097,614,1111,2924
fit1d,QPALM,optimal,1.9872732162475586,840,-9146.36521782788,1026,1050,14430
fit1p,QPALM,optimal,0.1399083137512207,117,9146.377832182754,1677,2304,11545
fit2d,QPALM,max_iter_reached,166.74706029891968,2500,-58078.66466026623,10500,10525,139518
fit2p,QPALM,optimal,1.8881239891052246,231,68464.1365387488,13525,16525,63809
ganges,QPALM,optimal,0.16578221321105957,116,-111562.9055282129,1681,2990,8593
