name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0,optimal,0.2902369499206543,1275,5489.998054287038,1571,2392,11971,9.219036,280.127929,0.015622884308072417,2
80bau3b,SCS-3.0,optimal,0.2635478973388672,325,990725.9771031425,9799,12061,30801,24.472997,237.080881,0.014251624457126646,2
adlittle,SCS-3.0,optimal,0.030894994735717773,4925,225440.68771815376,97,153,480,0.455096,30.014134,0.1,0
afiro,SCS-3.0,optimal,0.0036008358001708984,1625,-462.59406157745985,32,59,115,0.198299,3.124445,0.020628438812413902,1
agg,SCS-3.0,max_iter_reached,2.828052043914795,100000,-inf,163,651,2573,1.254279,2826.532849,1e-06,5
agg2,SCS-3.0,optimal,3.003700017929077,48525,-20244467.898272205,302,818,4586,2.417598,3000.822588,0.0002951881190856074,7
agg3,SCS-3.0,optimal,1.6019909381866455,26300,10312079.957774704,302,818,4602,2.356376,1599.336102,0.00044808164152760813,6
bandm,SCS-3.0,optimal,0.07514405250549316,2000,-159.73998848112984,472,777,2966,1.639855,73.164345,0.004111015275571164,3
beaconfd,SCS-3.0,optimal,0.026401996612548828,975,33599.447790559185,262,435,3637,1.403946,24.680501,0.0010313869513851968,5
blend,SCS-3.0,optimal,0.03267359733581543,5175,-30.752096610248255,83,157,574,0.37249,32.006521,0.1,0
bnl1,SCS-3.0,optimal,0.5980973243713379,5675,1919.0097571233157,1175,1818,6296,4.20579,593.419249,0.009599478159143193,3
bnl2,SCS-3.0,optimal,3.4392738342285156,7975,1820.1951520072662,3489,5813,17488,16.776716,3421.285987,0.04869472739291751,1
boeing1,SCS-3.0,optimal,0.9484410285949707,21300,-330.87699123132546,384,735,3869,1.975363,946.17366,0.0007510346372436216,7
boeing2,SCS-3.0,optimal,0.2657499313354492,19675,-338.9266849622247,143,309,1339,0.643942,264.836077,0.0007012473347203054,9
bore3d,SCS-3.0,optimal,0.0456080436706543,1900,1298.1581650263447,315,548,1744,0.970096,44.109436,0.02360774537609397,5
brandy,SCS-3.0,optimal,0.19830012321472168,8250,1508.8311276855454,249,469,2397,1.036086,196.96071,0.00042234562303738104,4
capri,SCS-3.0,optimal,1.640859842300415,54950,2575.2345648766554,353,610,2106,1.324658,1639.268841,0.0006551842203307964,5
cycle,SCS-3.0,optimal,2.887772798538208,7325,-5.541278445074961,2857,4753,23570,15.368806,2871.082901,2.978844368239858e-05,9
czprob,SCS-3.0,optimal,4.2118659019470215,21700,2173944.6157178585,3523,4452,14192,12.052754,4198.826019,0.013988366127807012,6
d2q06c,SCS-3.0,optimal,3.5386481285095215,4475,117014.67420434054,5167,7338,37584,34.703718,3502.013242,0.0002546893832061328,4
d6cube,SCS-3.0,optimal,0.16557598114013672,225,313.8373671897134,6184,6599,43888,29.715832,133.561627,0.00017670038760567565,2
degen2,SCS-3.0,optimal,0.06963086128234863,900,-1435.19931942774,534,978,4512,3.236843,66.018412,0.2001515176914134,1
degen3,SCS-3.0,optimal,0.18971014022827148,375,-987.3070784188483,1818,3321,26464,27.892238,160.595347,0.1,0
dfl001,SCS-3.0,optimal,85.96130204200745,12800,11267445.714793464,12230,18301,47862,1315.375932,84638.927829,3888.0813061474646,4
e226,SCS-3.0,optimal,0.05262899398803711,1800,-18.681899876448114,282,505,2860,1.504289,50.723791,0.1,0
etamacro,SCS-3.0,optimal,0.07650589942932129,950,-755.602268261076,688,1088,3097,2.634144,73.475224,0.1,0
fffff800,SCS-3.0,optimal,6.529732704162598,70250,530435.6042869708,854,1378,7081,4.149432,6525.225288,1.5827048137332753e-05,5
finnis,SCS-3.0,optimal,0.10828208923339844,2075,173499.79897870516,614,1111,2924,1.961912,105.897151,0.1,0
fit1d,SCS-3.0,optimal,0.03601574897766113,450,-9148.472828876203,1026,1050,14430,4.794294,30.560603,0.1,0
fit1p,SCS-3.0,optimal,0.2972102165222168,2925,9142.08418726374,1677,2304,11545,6.179688,290.495819,0.04937545191639468,1
fit2d,SCS-3.0,optimal,0.5933587551116943,525,-68464.40186318516,10500,10525,139518,49.759323,538.598027,4.059771313504995,3
fit2p,SCS-3.0,optimal,0.6667711734771729,775,68458.84692536619,13525,16525,63809,42.799384,620.540245,0.006409788707759457,2
forplan,SCS-3.0,optimal,0.022279739379882812,450,-590.2839654549429,421,582,4984,3.451705,18.230096,1.0978885332877876e-06,3
ganges,SCS-3.0,optimal,0.24148178100585938,1700,-111655.6815956618,1681,2990,8593,5.089548,235.316077,2.985962311928864e-05,7
gfrd-pnc,SCS-3.0,optimal,0.12806200981140137,2075,6912102.785516832,1092,1708,3469,2.152389,125.472821,0.03468168381673735,1
greenbea,SCS-3.0,max_iter_reached,66.99490189552307,100000,-1300064680.148484,5405,7797,36282,33.75605,66960.22895,1e-06,6
greenbeb,SCS-3.0,optimal,41.84350299835205,59425,-6194775.977575789,5405,7793,36278,33.581432,41808.400583,0.0044151704113304345,6
grow15,SCS-3.0,max_iter_reached,5.639740943908691,100000,-inf,645,945,6265,2.359765,5637.138634,1e-06,3
grow22,SCS-3.0,max_iter_reached,7.806395053863525,100000,-inf,946,1386,9198,3.557524,7802.610658,1e-06,3
grow7,SCS-3.0,max_iter_reached,2.521059989929199,100000,-inf,301,441,2913,1.820729,2518.840592,1e-06,3
israel,SCS-3.0,optimal,0.12562108039855957,7575,-896765.36959843,142,316,2411,0.979175,124.303764,0.0009352813280358162,7
kb2,SCS-3.0,optimal,0.0169222354888916,5025,-1769.7537383100052,41,84,327,0.263588,16.366043,0.005371710922975576,10
lotfi,SCS-3.0,optimal,0.20795392990112305,11650,-28.16316480604633,308,461,1386,0.767792,206.863892,8.589487253734158e-06,10
maros-r7,SCS-3.0,optimal,15.78296685218811,3175,1497182.9685465565,9408,12544,154256,383.639458,15390.344167,7.68233282731993e-05,5
maros,SCS-3.0,optimal,3.0022330284118652,16100,-59096.36128106187,1443,2289,11057,6.239454,2995.438872,7.692476338161855e-05,5
modszk1,SCS-3.0,optimal,0.3173408508300781,3650,612763.2336633566,1620,2305,4786,3.073651,313.84792,0.04476569635518445,3
nesm,SCS-3.0,max_iter_reached,21.20122194290161,100000,13662816.133778872,2923,3585,16211,8.802559,21191.823629,0.014498745455453054,6
perold,SCS-3.0,max_iter_reached,14.219443798065186,100000,-15585.531662595247,1376,1913,7306,6.072831,14213.27993,1e-06,5
pilot.ja,SCS-3.0,max_iter_reached,26.11475706100464,100000,-7725.907024971661,1988,2840,16598,12.991977,26101.301285,1.4584161250937312e-05,9
pilot,SCS-3.0,max_iter_reached,73.88723015785217,100000,-677.7482525747331,3652,5093,46819,47.712905,73838.534507,1.6310449167931786e-05,10
pilot.we,SCS-3.0,optimal,1.1339399814605713,5625,-2894991.871259674,2789,3431,11835,8.163209,1124.40893,0.06231258502623399,2
pilot4,SCS-3.0,max_iter_reached,7.611180067062378,100000,-6795.635397701128,1000,1322,6053,3.964034,7606.808464,1e-06,4
pilot87,SCS-3.0,optimal,7.4584641456604,3850,306.2630018825371,4883,6913,78035,160.80011,7294.537957,0.0008727094787552815,3
