name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0,optimal,0.5371239185333252,2050,5507.588513535215,1571,2392,11971,9.194767,526.611383,0.03130728376262273,1
80bau3b,SCS-3.0,optimal,0.6165120601654053,450,986947.8775763824,9799,12061,30801,36.000728,577.41281,0.030758355087442846,1
adlittle,SCS-3.0,optimal,0.03680419921875,4925,225440.6733118364,97,153,480,0.626961,35.610749,0.1,0
afiro,SCS-3.0,optimal,0.006464958190917969,1625,-462.5940271396609,32,59,115,0.365793,5.400043,0.020628564779987826,1
agg,SCS-3.0,max_iter_reached,4.970258951187134,100000,-inf,163,651,2573,1.725246,4968.05728,1e-06,5
agg2,SCS-3.0,optimal,3.036273717880249,33000,-21138260.637385245,302,818,4586,4.85808,3030.693854,7.073287362943453e-05,4
agg3,SCS-3.0,optimal,0.37906599044799805,4175,10242908.89950038,302,818,4602,3.987374,374.202908,6.0107860372929855e-05,4
bandm,SCS-3.0,optimal,0.07753920555114746,1525,-159.12962677228953,472,777,2966,2.072502,74.955964,0.007082688848499913,2
beaconfd,SCS-3.0,optimal,0.03691816329956055,1100,33597.228364679715,262,435,3637,2.199475,34.070105,0.0022577982845573604,3
blend,SCS-3.0,optimal,0.06172895431518555,5825,-30.864126699179565,83,157,574,0.555236,60.600321,0.1,0
bnl1,SCS-3.0,optimal,0.8080410957336426,5600,1951.615404593421,1175,1818,6296,4.394065,802.716007,0.1,0
bnl2,SCS-3.0,optimal,3.4570329189300537,4375,1820.798819875907,3489,5813,17488,22.339321,3432.679421,0.1,0
boeing1,SCS-3.0,optimal,1.389470100402832,21250,-332.7878161501629,384,735,3869,2.365973,1386.54006,0.0011664642286194108,7
boeing2,SCS-3.0,optimal,1.1250097751617432,54925,-442.6664323367364,143,309,1339,1.082982,1123.41923,0.00016303902114864736,7
bore3d,SCS-3.0,optimal,0.05189013481140137,1675,1414.77088846699,315,548,1744,1.140046,50.313209,0.023005514441964938,4
brandy,SCS-3.0,optimal,0.11841201782226562,3225,1510.2588375717276,249,469,2397,1.205069,116.662874,0.0018221741864087515,2
capri,SCS-3.0,max_iter_reached,5.013917922973633,100000,2472.377213579396,353,610,2106,1.94738,5011.415312,0.00014781806831249352,3
cycle,SCS-3.0,optimal,2.350187063217163,3250,-4.6494913690389685,2857,4753,23570,19.634987,2328.963361,0.0009438348139970639,4
czprob,SCS-3.0,optimal,1.46999192237854,6000,2175502.4826215813,3523,4452,14192,16.563929,1451.398102,0.00848621680174368,2
d2q06c,SCS-3.0,optimal,6.73518705368042,4925,120741.53574866305,5167,7338,37584,46.652005,6684.600669,0.00052687806564137,3
d6cube,SCS-3.0,optimal,0.211151123046875,225,313.8455623109714,6184,6599,43888,34.997769,173.276577,0.0001858962122688001,2
degen2,SCS-3.0,optimal,0.12164473533630371,1200,-1435.176743960508,534,978,4512,4.417399,116.624265,0.1,0
degen3,SCS-3.0,optimal,0.25179481506347656,375,-987.3070760886695,1818,3321,26464,31.314193,218.84952,0.1,0
dfl001,SCS-3.0,optimal,24.465641975402832,1325,11270975.22051348,12230,18301,47862,3368.580397,21084.785405,6915.966452846538,3
