name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0,optimal,1.3303956985473633,6550,5501.060628638415,1571,2392,11971,7.926001,1321.623101,0.1,0
80bau3b,SCS-3.0,optimal,23.64836621284485,34975,739170.696553152,9799,12061,30801,20.944835,23625.091855,15.65436638053824,4
adlittle,SCS-3.0,optimal,0.011711835861206055,1650,212320.21648858598,97,153,480,0.451666,10.846413,0.1,0
afiro,SCS-3.0,optimal,0.019287109375,8950,-463.2055503325154,32,59,115,0.224932,18.684237,0.07988562992819835,5
agg,SCS-3.0,max_iter_reached,2.9397799968719482,100000,-inf,163,651,2573,1.486605,2937.858837,1e-06,4
agg2,SCS-3.0,max_iter_reached,6.293128252029419,100000,-inf,302,818,4586,2.472484,6290.070701,1e-06,5
agg3,SCS-3.0,max_iter_reached,6.475827932357788,100000,-inf,302,818,4602,2.970422,6472.313887,1e-06,5
bandm,SCS-3.0,optimal,0.0546109676361084,1400,-159.56936889281377,472,777,2966,1.516481,52.729087,0.1,0
beaconfd,SCS-3.0,optimal,0.012454748153686523,400,33596.80585347557,262,435,3637,1.45545,10.615911,0.1,0
blend,SCS-3.0,optimal,0.02854299545288086,3725,-30.842926831880643,83,157,574,0.492699,27.534665,0.1,0
bnl1,SCS-3.0,optimal,1.9853699207305908,15925,1918.555589759873,1175,1818,6296,5.504988,1979.153399,0.1,0
bnl2,SCS-3.0,optimal,11.66369104385376,22500,1754.682037172681,3489,5813,17488,20.898115,11641.188488,0.1,0
boeing1,SCS-3.0,optimal,2.219832181930542,47700,-341.50037588580756,384,735,3869,2.015689,2217.412287,0.007320560324390805,8
boeing2,SCS-3.0,optimal,0.8810858726501465,59225,-447.69319500824145,143,309,1339,0.64153,880.089461,0.00012771960186568675,7
bore3d,SCS-3.0,optimal,0.2017059326171875,8200,1446.2603818540133,315,548,1744,0.899951,200.37383,0.0019144132092997247,8
brandy,SCS-3.0,optimal,0.40102577209472656,15700,1510.1960755730163,249,469,2397,1.289105,399.348012,0.1,0
capri,SCS-3.0,max_iter_reached,3.6195619106292725,100000,2636.8786352000075,353,610,2106,1.20907,3617.781482,0.1,0
cycle,SCS-3.0,optimal,1.4406092166900635,3250,-4.6494913690389685,2857,4753,23570,14.736052,1424.541801,0.0009438348139970639,4
czprob,SCS-3.0,optimal,0.32181501388549805,1475,2039335.1680159238,3523,4452,14192,10.411803,310.161003,0.1,0
d2q06c,SCS-3.0,optimal,2.642824172973633,2800,121267.90028426734,5167,7338,37584,39.180677,2601.036238,0.03155738097037238,1
d6cube,SCS-3.0,optimal,0.2596280574798584,350,289.4954445082054,6184,6599,43888,30.278652,226.845667,0.011845410741978842,3
degen2,SCS-3.0,optimal,0.08060073852539062,800,-1435.2231357376631,534,978,4512,3.889285,76.250365,0.03155164092851099,1
degen3,SCS-3.0,optimal,0.26584506034851074,425,-987.2861753066217,1818,3321,26464,28.897595,235.104778,0.007603329338667249,2
dfl001,SCS-3.0,optimal,24.01023507118225,3025,11270105.576055728,12230,18301,47862,1654.787227,22347.466199,0.1,0
e226,SCS-3.0,optimal,0.16650986671447754,5050,-18.73012744582938,282,505,2860,1.596668,164.510194,0.1,0
etamacro,SCS-3.0,optimal,0.16274595260620117,1950,-742.4359055662933,688,1088,3097,2.719013,159.447576,0.009836840774753716,2
fffff800,SCS-3.0,max_iter_reached,9.78547215461731,100000,540227.7853534167,854,1378,7081,3.737095,9781.143725,0.31624723646198316,1
finnis,SCS-3.0,optimal,1.8155460357666016,29775,171440.52343272764,614,1111,2924,1.765378,1813.237786,0.1,0
fit1d,SCS-3.0,optimal,0.09956002235412598,1050,-9142.5817388641,1026,1050,14430,5.182014,93.82997,0.00039015426518726763,3
