name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0,optimal,0.3300619125366211,1500,5498.049730616411,1571,2392,11971,11.007852,318.343962,0.009767769105407206,2
80bau3b,SCS-3.0,optimal,0.29693102836608887,375,986001.5151832948,9799,12061,30801,25.660994,268.979683,0.02965086223983058,1
adlittle,SCS-3.0,optimal,0.016347885131835938,2500,225383.70338810293,97,153,480,0.48784,15.472988,0.318141736851645,1
afiro,SCS-3.0,optimal,0.0016300678253173828,650,-466.1076344693677,32,59,115,0.173679,1.158223,0.1,0
agg,SCS-3.0,max_iter_reached,2.844943046569824,100000,-inf,163,651,2573,1.386421,2843.202497,1e-06,3
agg2,SCS-3.0,optimal,0.7133259773254395,11800,-20945851.391091067,302,818,4586,2.608392,710.124065,7.53179940128162e-05,4
agg3,SCS-3.0,optimal,0.3171250820159912,5200,8665735.047778612,302,818,4602,2.541111,314.21519,2.8787761934710072e-05,4
bandm,SCS-3.0,optimal,0.07058596611022949,1725,-159.48908838555886,472,777,2966,1.657523,68.536711,0.02034914269705916,1
beaconfd,SCS-3.0,optimal,0.01544809341430664,525,33596.43340077787,262,435,3637,1.706705,13.358483,0.0007551429053059863,3
blend,SCS-3.0,optimal,0.04124307632446289,5625,-30.864413694488277,83,157,574,0.456857,40.442368,0.1,0
bnl1,SCS-3.0,optimal,0.7218859195709229,6725,1953.5049325958234,1175,1818,6296,5.296265,716.081706,0.1,0
bnl2,SCS-3.0,optimal,2.2218692302703857,5025,1822.8481536303793,3489,5813,17488,18.685299,2201.833038,0.1,0
boeing1,SCS-3.0,optimal,0.7091810703277588,15725,-330.0914739701895,384,735,3869,2.526634,706.035477,0.0008134027229582963,7
boeing2,SCS-3.0,optimal,0.24989008903503418,17625,-319.96766096065346,143,309,1339,0.960529,248.637623,0.00038484804150989266,8
bore3d,SCS-3.0,optimal,0.07442212104797363,3175,1327.770817127266,315,548,1744,1.00039,73.117508,0.00904798732973749,3
brandy,SCS-3.0,optimal,0.08037495613098145,3300,1510.6100238247016,249,469,2397,1.204971,78.805196,0.002264009526046744,2
capri,SCS-3.0,max_iter_reached,3.0039150714874268,100000,2454.2645872109706,353,610,2106,1.602281,3001.978904,0.00014406756458596853,3
cycle,SCS-3.0,optimal,1.3846888542175293,3300,-4.562825458809518,2857,4753,23570,15.994476,1367.400744,0.003047071703786534,3
czprob,SCS-3.0,optimal,0.7401800155639648,3925,2180661.062367809,3523,4452,14192,11.381576,727.756029,0.006177691346798983,2
d2q06c,SCS-3.0,optimal,2.748311758041382,3275,118991.03658062677,5167,7338,37584,36.474884,2709.549357,0.0004745305754686709,3
d6cube,SCS-3.0,optimal,0.20828604698181152,250,312.428366325601,6184,6599,43888,35.546345,170.396569,0.0001121401893910055,2
degen2,SCS-3.0,optimal,0.11681413650512695,1075,-1435.1783320411803,534,978,4512,4.965437,111.451028,0.1,0
degen3,SCS-3.0,optimal,0.3819389343261719,375,-987.3226451030893,1818,3321,26464,51.455147,328.324451,0.1,0
