name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0_high,max_iter_reached,24.34533405303955,100000,5501.51761216089,1571,2392,11971,8.971273,24335.557366,0.03130728376262273,1
80bau3b,SCS-3.0_high,optimal,19.043460845947266,20400,987229.3537655871,9799,12061,30801,30.812073,19009.217888,0.03159025758913582,1
adlittle,SCS-3.0_high,max_iter_reached,0.6486918926239014,100000,225504.69047413056,97,153,480,0.509901,647.751402,0.1,0
afiro,SCS-3.0_high,optimal,0.007858753204345703,3250,-464.77262134331005,32,59,115,0.279321,7.22435,0.020628564779987826,1
agg,SCS-3.0_high,max_iter_reached,3.8091330528259277,100000,-inf,163,651,2573,1.578887,3807.164472,1e-06,5
agg2,SCS-3.0_high,max_iter_reached,7.302918195724487,100000,-20239466.346251953,302,818,4586,2.952763,7299.361575,7.82647104589203e-05,6
agg3,SCS-3.0_high,max_iter_reached,7.6897032260894775,100000,10316403.466551432,302,818,4602,2.523532,7686.85281,0.0006616364829449275,4
bandm,SCS-3.0_high,max_iter_reached,3.6571052074432373,100000,-158.6234665904545,472,777,2966,2.02334,3654.741848,0.00708268884850509,2
beaconfd,SCS-3.0_high,optimal,0.17786908149719238,7125,33592.490236346646,262,435,3637,1.282324,176.232312,0.0013329157995607905,7
blend,SCS-3.0_high,optimal,0.1701970100402832,18000,-30.81256528939349,83,157,574,20.138351,136.85734,0.1,0
bnl1,SCS-3.0_high,max_iter_reached,9.572110891342163,100000,1969.375262348783,1175,1818,6296,5.527924,9566.070052,0.007905108844436824,2
bnl2,SCS-3.0_high,max_iter_reached,54.54351210594177,100000,1813.365751643427,3489,5813,17488,16.489409,54526.066796,0.1,0
boeing1,SCS-3.0_high,max_iter_reached,5.406474828720093,100000,-335.18840640568635,384,735,3869,2.375911,5403.578456,0.0009132258794432022,7
boeing2,SCS-3.0_high,max_iter_reached,2.027639150619507,100000,-315.3120648851215,143,309,1339,1.19159,2026.006719,0.0024809198534077592,9
bore3d,SCS-3.0_high,max_iter_reached,2.8204290866851807,100000,1370.590119957435,315,548,1744,1.033723,2819.032996,0.023005509466422835,4
brandy,SCS-3.0_high,optimal,1.134833812713623,44125,1518.4955358107727,249,469,2397,3.508538,1130.984088,0.0018221741864087515,2
capri,SCS-3.0_high,max_iter_reached,3.254713296890259,100000,2472.3772152128886,353,610,2106,1.684276,3249.262461,0.00014781806831264805,3
cycle,SCS-3.0_high,max_iter_reached,40.89092826843262,100000,-5.03784412603156,2857,4753,23570,18.574342,40871.19815,2.4759933189763803e-05,6
czprob,SCS-3.0_high,max_iter_reached,18.201828241348267,100000,2179861.1139848386,3523,4452,14192,11.420908,18189.558412,0.00848621680181201,2
d2q06c,SCS-3.0_high,max_iter_reached,122.00118088722229,100000,122746.89995260818,5167,7338,37584,35.339524,121964.474353,0.00052687806564137,3
d6cube,SCS-3.0_high,optimal,83.79027509689331,88275,315.1017181579696,6184,6599,43888,33.951369,83753.443479,0.0001767002907282295,2
degen2,SCS-3.0_high,optimal,0.3692169189453125,3125,-1435.1777925994481,534,978,4512,4.452154,364.066892,0.1,0
degen3,SCS-3.0_high,optimal,42.114311933517456,63750,-987.2938069038896,1818,3321,26464,68.09114,42044.039283,0.1,0
dfl001,SCS-3.0_high,max_iter_reached,932.8277320861816,100000,11266423.546891205,12230,18301,47862,2212.597997,930615.994776,2695.27599713259,3
e226,SCS-3.0_high,max_iter_reached,2.7363650798797607,100000,-18.752797880079086,282,505,2860,1.297484,2734.675111,0.1,0
etamacro,SCS-3.0_high,optimal,2.771145820617676,37150,-755.7004053325452,688,1088,3097,2.784349,2767.930521,0.1,0
fffff800,SCS-3.0_high,max_iter_reached,8.86461091041565,100000,538209.5191026455,854,1378,7081,3.850959,8860.193624,1.582893488262702e-05,5
finnis,SCS-3.0_high,max_iter_reached,4.657028913497925,100000,172830.68022306007,614,1111,2924,1.613019,4655.091377,0.1,0
fit1d,SCS-3.0_high,optimal,0.3515620231628418,5175,-9146.375670646554,1026,1050,14430,5.125385,345.948192,0.1,0
fit1p,SCS-3.0_high,optimal,1.7109041213989258,17650,9146.406686868497,1677,2304,11545,6.781151,1703.665146,0.1,0
fit2d,SCS-3.0_high,optimal,8.755115032196045,5775,-68464.27243075782,10500,10525,139518,46.839712,8703.317261,1.2787552827455653,2
fit2p,SCS-3.0_high,optimal,9.194435119628906,9875,68464.28652486362,13525,16525,63809,53.085417,9135.726475,0.019159551057551037,1
forplan,SCS-3.0_high,optimal,0.25777506828308105,6850,-696.8229937451448,421,582,4984,3.932345,253.208184,1.097883375455327e-06,3
ganges,SCS-3.0_high,optimal,3.1439208984375,23700,-109586.44421595539,1681,2990,8593,5.071874,3137.948768,3.8626858072236826e-05,6
gfrd-pnc,SCS-3.0_high,optimal,1.3637678623199463,21700,6902266.631473171,1092,1708,3469,1.74894,1361.599202,0.02727476272249792,1
greenbea,SCS-3.0_high,max_iter_reached,103.29441118240356,100000,-1300143456.5098572,5405,7797,36282,39.332017,103253.649079,1e-06,6
greenbeb,SCS-3.0_high,max_iter_reached,107.68477988243103,100000,-6098507.912121627,5405,7793,36278,35.873029,107647.642954,0.001579131311521016,3
grow15,SCS-3.0_high,max_iter_reached,5.943757057189941,100000,-inf,645,945,6265,2.229288,5941.1378,1e-06,3
grow22,SCS-3.0_high,max_iter_reached,10.197744131088257,100000,-inf,946,1386,9198,3.351372,10193.95309,1e-06,3
grow7,SCS-3.0_high,max_iter_reached,3.9974260330200195,100000,-inf,301,441,2913,2.283958,3994.623857,1e-06,3
israel,SCS-3.0_high,optimal,0.7590122222900391,39725,-896642.0902063557,142,316,2411,1.31503,757.32667,0.0005687890726629957,5
kb2,SCS-3.0_high,max_iter_reached,0.3845698833465576,100000,-1749.8987047395246,41,84,327,0.333645,383.87876,0.0039314540872363735,5
lotfi,SCS-3.0_high,max_iter_reached,2.150465965270996,100000,-26.87867268955292,308,461,1386,0.952366,2149.002643,1.0294952126247849e-06,6
maros-r7,SCS-3.0_high,max_iter_reached,684.1178619861603,100000,1497185.0617782664,9408,12544,154256,576.687707,683538.320382,0.0001453705781426635,4
maros,SCS-3.0_high,max_iter_reached,18.2364559173584,100000,-58045.99528381018,1443,2289,11057,6.773124,18229.219247,0.00034556845595090917,3
modszk1,SCS-3.0_high,optimal,3.872853994369507,45225,316.68581415368396,1620,2305,4786,3.636321,3868.674492,0.005784503562278961,2
nesm,SCS-3.0_high,max_iter_reached,22.324876070022583,100000,13771848.116755389,2923,3585,16211,8.00627,22315.622638,0.031604241292872697,1
perold,SCS-3.0_high,max_iter_reached,13.435428857803345,100000,-15338.198876189887,1376,1913,7306,8.324074,13426.631762,1e-06,5
pilot.ja,SCS-3.0_high,max_iter_reached,26.331893920898438,100000,-7793.694831273643,1988,2840,16598,13.07664,26317.910728,1.4347966607020357e-05,9
pilot,SCS-3.0_high,max_iter_reached,90.86110806465149,100000,-978.9988402704987,3652,5093,46819,49.971476,90809.127862,1e-06,6
pilot.we,SCS-3.0_high,max_iter_reached,19.1972758769989,100000,-2754138.9124551457,2789,3431,11835,7.027344,19188.747998,0.025869323714034227,1
pilot4,SCS-3.0_high,max_iter_reached,8.01380205154419,100000,-6795.613355756251,1000,1322,6053,3.373568,8009.962929,1e-06,4
pilot87,SCS-3.0_high,max_iter_reached,272.86522006988525,100000,300.8801553477611,4883,6913,78035,236.287457,272627.361201,0.00012780251428317057,4
pilotnov,SCS-3.0_high,max_iter_reached,29.771609783172607,100000,-14561.680557044969,2172,3147,15229,12.146261,29758.34546,1e-06,5
recipe,SCS-3.0_high,optimal,0.0036211013793945312,250,-266.6159586920235,180,271,843,0.439121,2.869772,0.031422020520538406,1
sc105,SCS-3.0_high,optimal,0.03571820259094238,1450,-52.198932988409176,103,208,383,25.283055,10.11395,0.00039355797766100386,2
sc205,SCS-3.0_high,optimal,0.04264116287231445,1450,-52.15670259320696,203,408,754,0.438406,41.901857,0.00024132777127429413,3
sc50a,SCS-3.0_high,optimal,0.0037157535552978516,1075,-64.57530499558985,48,98,178,0.202891,3.220466,0.00059728324787506,2
sc50b,SCS-3.0_high,optimal,0.034535884857177734,1550,-69.99990677533378,48,98,166,0.204058,4.546103,0.0005058508113954173,4
scagr25,SCS-3.0_high,optimal,2.7542099952697754,88325,-14753470.451550705,500,971,2054,0.937658,2752.901477,0.00894042557720969,2
scagr7,SCS-3.0_high,max_iter_reached,0.9245090484619141,100000,-2331410.933367442,140,269,560,0.360518,917.829139,0.031407782099024444,1
scfxm1,SCS-3.0_high,max_iter_reached,3.943120002746582,100000,18421.859588529926,457,787,3046,1.520193,3941.128925,0.0015608936120931895,2
scfxm2,SCS-3.0_high,max_iter_reached,8.224944829940796,100000,36658.83738702652,914,1574,6097,4.205845,8220.331995,0.0017758835680639225,2
scfxm3,SCS-3.0_high,max_iter_reached,13.330754041671753,100000,54901.72671375295,1371,2361,9148,4.641283,13325.5898,0.0016375590813432154,2
scorpion,SCS-3.0_high,max_iter_reached,2.773055076599121,100000,1878.1019707109208,358,746,1784,1.603811,2771.013157,1.9689166202788624,5
scrs8,SCS-3.0_high,optimal,4.645128965377808,65525,904.3077579937544,1169,1659,4351,2.205274,4642.481886,6.040023253941662,2
scsd1,SCS-3.0_high,optimal,0.029581785202026367,525,8.66665785928293,760,837,3148,1.836248,26.791202,1.1439978522865222,3
scsd6,SCS-3.0_high,optimal,1.0848839282989502,13625,50.50000007246564,1350,1497,5666,3.207839,1081.090992,1.152665729328215,2
scsd8,SCS-3.0_high,optimal,0.5735690593719482,3625,904.9999849818927,2750,3147,11334,7.576165,564.89602,0.1,0
sctap1,SCS-3.0_high,optimal,0.6634731292724609,19625,1412.249789937653,480,780,2172,1.537469,661.522885,0.3342653987140784,1
sctap2,SCS-3.0_high,optimal,1.3438670635223389,9625,1724.806888211718,1880,2970,8594,5.459902,1337.597068,1.1414225921647216,1
sctap3,SCS-3.0_high,optimal,0.490994930267334,2575,1424.0000276187632,2480,3960,11354,7.934127,482.038628,0.8753921837737519,1
seba,SCS-3.0_high,optimal,2.230225086212158,36075,15711.3471176765,1028,1543,5380,2.616192,2227.092807,0.02988434008505408,1
share1b,SCS-3.0_high,max_iter_reached,1.6197199821472168,100000,-76537.63812285197,225,342,1376,7.450237,1611.94797,0.00017278106867816894,4
share2b,SCS-3.0_high,max_iter_reached,0.9208099842071533,100000,-415.7931139408026,79,175,773,0.38152,904.219695,0.1,0
shell,SCS-3.0_high,max_iter_reached,11.090148210525513,100000,1197666960.9863958,1775,2311,5331,3.729105,11086.064398,0.0006187035404544333,4
ship04l,SCS-3.0_high,max_iter_reached,13.606543779373169,100000,1793322.530117149,2118,2520,8450,6.68362,13599.02032,0.1,0
ship04s,SCS-3.0_high,optimal,4.288123846054077,49500,1798714.0125140962,1458,1860,5810,3.242221,4284.406169,0.1,0
ship08l,SCS-3.0_high,max_iter_reached,29.353570222854614,100000,1909047.1433758861,4283,5061,17085,11.082755,29340.857922,0.1,0
ship08s,SCS-3.0_high,max_iter_reached,16.022827863693237,100000,1919969.71417474,2387,3165,9501,6.423777,16015.254032,0.1,0
ship12l,SCS-3.0_high,max_iter_reached,32.69442701339722,100000,1470189.2227669712,5427,6578,21597,23.416698,32669.065376,0.004989858673357325,2
ship12s,SCS-3.0_high,max_iter_reached,17.430993795394897,100000,1489121.5213114938,2763,3914,10941,6.226019,17423.697406,0.1,0
sierra,SCS-3.0_high,optimal,9.349698066711426,58450,15394365.915654797,2036,3263,9338,6.165856,9342.625037,0.3371487186494838,1
stair,SCS-3.0_high,max_iter_reached,5.702009201049805,100000,-251.29839007537691,467,817,4317,2.49453,5699.016447,0.0024305465641498232,2
standata,SCS-3.0_high,optimal,1.162682056427002,18475,1257.7341872434563,1075,1434,4106,2.192972,1160.092703,0.029679605832662166,1
standgub,SCS-3.0_high,optimal,1.1966867446899414,18475,1257.7341872413222,1184,1545,4323,1.910163,1194.37248,0.02967960583279013,1
standmps,SCS-3.0_high,optimal,1.6423780918121338,23950,1405.925785863237,1075,1542,4754,2.55526,1639.163298,0.3748921628144771,3
stocfor1,SCS-3.0_high,optimal,0.2960848808288574,29050,-41131.97249522132,111,228,558,0.388491,294.108335,0.1,0
stocfor2,SCS-3.0_high,max_iter_reached,22.023755073547363,100000,-39024.694039455746,2031,4188,10374,6.197269,22016.263659,0.03160350393653579,1
tuff,SCS-3.0_high,optimal,2.773811101913452,34875,0.2923823340471425,587,918,5105,3.212859,2770.181851,1e-06,5
