name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,SCS2,optimal,0.8302533626556396,2175,5503.03498355701,1571,2392,11971
80bau3b,SCS2,optimal,0.9617562294006348,525,980240.6937186529,9799,12061,30801
adlittle,SCS2,optimal,0.0683741569519043,4775,225449.69695040767,97,153,480
afiro,SCS2,optimal,0.006049156188964844,975,-466.4883572406356,32,59,115
agg,SCS2,max_iter_reached,6.878046035766602,100000,-inf,163,651,2573
agg2,SCS2,optimal,12.53856611251831,98550,-20456599.652679652,302,818,4586
agg3,SCS2,max_iter_reached,12.322006225585938,100000,10324233.745233728,302,818,4602
bandm,SCS2,optimal,0.0742950439453125,1150,-159.39500655220914,472,777,2966
beaconfd,SCS2,optimal,0.04337787628173828,975,33595.284782453775,262,435,3637
blend,SCS2,optimal,0.08381509780883789,6100,-30.783840820632978,83,157,574
bnl1,SCS2,optimal,0.7824368476867676,3850,1937.7555634196244,1175,1818,6296
bnl2,SCS2,optimal,6.272015810012817,6100,1822.804637979086,3489,5813,17488
bore3d,SCS2,optimal,0.14201974868774414,2775,1342.9218112498336,315,548,1744
brandy,SCS2,optimal,0.18172764778137207,4275,1518.0162218227322,249,469,2397
capri,SCS2,optimal,5.375778675079346,82200,2627.2715709388763,353,624,2120
cycle,SCS2,optimal,2.90269136428833,3200,-4.549217953022727,2857,4760,23577
czprob,SCS2,optimal,3.2737390995025635,7125,2175519.3037854577,3523,4452,14192
d2q06c,SCS2,optimal,6.695936918258667,3775,121699.63343234379,5167,7338,37584
d6cube,SCS2,optimal,0.7664568424224854,625,243.65726400782285,6184,6599,43888
degen2,SCS2,optimal,0.1179056167602539,725,-1435.1588982334397,534,978,4512
degen3,SCS2,optimal,0.42027926445007324,400,-987.2561545047475,1818,3321,26464
dfl001,SCS2,optimal,29.29324746131897,2100,11208767.841843184,12230,18301,47862
e226,SCS2,optimal,0.13216161727905273,2200,-18.672677594747622,282,505,2860
etamacro,SCS2,optimal,0.23996710777282715,1825,-748.5671702915637,688,1088,3097
fffff800,SCS2,max_iter_reached,16.23604917526245,100000,544044.3813614928,854,1378,7081
finnis,SCS2,optimal,0.20781373977661133,1950,172554.703870014,614,1111,2924
fit1d,SCS2,optimal,0.12670111656188965,725,-9145.215220520548,1026,1050,14430
fit1p,SCS2,optimal,2.0253942012786865,10800,9144.077763420542,1677,2304,11545
fit2d,SCS2,optimal,2.9903929233551025,975,-68457.15494334797,10500,10525,139518
fit2p,SCS2,optimal,7.9085094928741455,3275,68461.73139553756,13525,16525,63809
ganges,SCS2,optimal,0.38429880142211914,1275,-111752.68020646794,1681,2990,8593
gfrd-pnc,SCS2,optimal,0.2595043182373047,1975,6934590.215813788,1092,1708,3469
greenbea,SCS2,max_iter_reached,136.185120344162,100000,-2523928686.007057,5405,7797,36282
greenbeb,SCS2,max_iter_reached,148.99676942825317,100000,-6793088.617658984,5405,7797,36282
grow15,SCS2,max_iter_reached,9.792653799057007,100000,-inf,645,945,6265
grow22,SCS2,max_iter_reached,14.141721963882446,100000,-inf,946,1386,9198
grow7,SCS2,max_iter_reached,4.428997278213501,100000,-inf,301,441,2913
israel,SCS2,max_iter_reached,3.643070697784424,100000,-inf,142,316,2411
kb2,SCS2,optimal,0.14568066596984863,18275,-1759.3801228499617,41,84,327
lotfi,SCS2,optimal,0.6467869281768799,13750,-31.330127948114296,308,461,1386
maros-r7,SCS2,optimal,22.36220932006836,2950,1497196.6935840482,9408,12544,154256
maros,SCS2,optimal,5.185371160507202,17325,-58340.920559652426,1443,2289,11057
modszk1,SCS2,optimal,0.17795848846435547,1125,615004.3225258742,1620,2307,4788
perold,SCS2,max_iter_reached,24.650733947753906,100000,-35476.965238119104,1376,2001,7394
pilot.ja,SCS2,max_iter_reached,49.117119550704956,100000,-7941.675308215902,1988,2928,16686
pilot,SCS2,max_iter_reached,164.80907106399536,100000,-585.9375658743123,3652,5093,46819
pilot.we,SCS2,optimal,3.1210594177246094,6600,-2739874.586652345,2789,3511,11915
pilot4,SCS2,max_iter_reached,14.08286452293396,100000,-18529.691656020386,1000,1410,6141
pilot87,SCS2,optimal,8.656904220581055,2200,306.38635305706043,4883,6913,78035
pilotnov,SCS2,max_iter_reached,49.322346210479736,100000,-27391.408325364064,2172,3147,15229
recipe,SCS2,optimal,0.006790876388549805,225,-266.61352180478525,180,271,843
sc105,SCS2,optimal,0.01063990592956543,600,-52.2529282619291,103,208,383
sc205,SCS2,optimal,0.024706125259399414,775,-51.94150702977194,203,408,754
sc50a,SCS2,optimal,0.006579875946044922,600,-64.58693958109761,48,98,178
sc50b,SCS2,optimal,0.008447408676147461,1050,-69.99131998717351,48,98,166
scagr25,SCS2,optimal,3.240361213684082,40100,-14755417.53688761,500,971,2054
scagr7,SCS2,optimal,0.22066783905029297,8000,-2331338.5843687705,140,269,560
scfxm1,SCS2,optimal,0.399761438369751,5500,18389.077231215233,457,787,3046
scfxm2,SCS2,optimal,1.5104005336761475,9475,36436.24741859838,914,1574,6097
scfxm3,SCS2,optimal,2.6697840690612793,11250,54564.498496903754,1371,2361,9148
scorpion,SCS2,optimal,0.5318906307220459,9875,1878.1446068136038,358,746,1784
scrs8,SCS2,optimal,0.15404820442199707,1150,919.896951820598,1169,1659,4351
