name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS_ALT,optimal,0.49378085136413574,2050,5507.486100766326,1571,2392,11971,8.672868,484.217815,0.03130728376262273,1
80bau3b,SCS_ALT,optimal,0.47989988327026367,500,987880.8505872583,9799,12061,30801,26.946698,450.339334,0.03159025758913582,1
adlittle,SCS_ALT,optimal,0.035117149353027344,4925,225440.6733116033,97,153,480,0.485259,34.217048,0.1,0
afiro,SCS_ALT,optimal,0.0045680999755859375,1575,-466.88884445055686,32,59,115,0.233653,3.836392,0.020628564779987826,1
agg,SCS_ALT,max_iter_reached,3.9033398628234863,100000,-inf,163,651,2573,1.476807,3901.236349,1e-06,5
agg2,SCS_ALT,optimal,6.005300998687744,79375,-20245619.89303076,302,818,4586,3.488161,6000.621861,7.941944379943234e-05,6
agg3,SCS_ALT,optimal,2.696180820465088,35100,10321934.730022635,302,818,4602,3.445387,2692.022723,0.000661420962849697,4
bandm,SCS_ALT,optimal,0.0876460075378418,2000,-159.33892030118105,472,777,2966,1.555931,85.584321,0.022417663086943786,1
beaconfd,SCS_ALT,optimal,0.03278207778930664,1075,33597.0831747207,262,435,3637,1.933885,30.22199,0.002236993951867199,3
blend,SCS_ALT,optimal,0.04047727584838867,5175,-30.75209674238494,83,157,574,0.55483,39.468301,0.1,0
bnl1,SCS_ALT,optimal,0.6885709762573242,5600,1951.615404593421,1175,1818,6296,4.5853,683.162497,0.1,0
bnl2,SCS_ALT,optimal,2.401221990585327,4375,1820.798819875907,3489,5813,17488,20.645631,2378.751309,0.1,0
boeing1,SCS_ALT,optimal,1.2732739448547363,21750,-331.2577465513029,384,735,3869,2.341011,1270.465036,0.0008763216631857695,7
boeing2,SCS_ALT,optimal,0.43047499656677246,25025,-339.7179825235868,143,309,1339,0.935567,428.92686,0.0014472999988259859,9
bore3d,SCS_ALT,optimal,0.051733970642089844,1875,1357.228799195525,315,548,1744,1.211417,50.050455,0.022491766088699156,4
brandy,SCS_ALT,optimal,0.09125804901123047,3175,1510.542684867201,249,469,2397,1.122094,89.759849,0.001812255726749711,2
capri,SCS_ALT,max_iter_reached,4.052656173706055,100000,2472.1432879754066,353,610,2106,1.48374,4050.38827,0.00014769372082780213,3
