name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS_ALT,optimal,0.4892401695251465,2125,5513.020274774324,1571,2392,11971,8.656805,479.607994,0.031305696984165264,1
80bau3b,SCS_ALT,optimal,0.6060118675231934,475,988135.8018320991,9799,12061,30801,31.450964,568.029747,0.031098161126096598,1
adlittle,SCS_ALT,optimal,0.09677815437316895,4925,225440.62617751554,97,153,480,0.513923,37.836748,0.1,0
afiro,SCS_ALT,optimal,0.016612768173217773,1550,-465.62505593460105,32,59,115,5.119963,4.92813,0.020931446651693046,1
agg,SCS_ALT,max_iter_reached,4.145752191543579,100000,-inf,163,651,2573,2.824117,4142.269409,1e-06,5
agg2,SCS_ALT,optimal,4.051070928573608,53150,-20242514.43624655,302,818,4586,18.451775,4031.812688,7.840159889049945e-05,6
agg3,SCS_ALT,optimal,2.726407766342163,35100,10323167.554319294,302,818,4602,2.799168,2723.205244,0.0006616988560120615,4
bandm,SCS_ALT,optimal,0.11071991920471191,1625,-159.29273091910008,472,777,2966,2.586441,107.565394,0.022313170528488722,1
beaconfd,SCS_ALT,optimal,0.07833290100097656,1100,33597.85647225595,262,435,3637,2.111246,75.614078,0.002289947328145127,3
blend,SCS_ALT,optimal,0.1567537784576416,5100,-30.865801728416265,83,157,574,57.934008,98.090642,0.1,0
bnl1,SCS_ALT,optimal,1.1761648654937744,5600,1951.6202205754355,1175,1818,6296,6.168026,1169.126013,0.1,0
bnl2,SCS_ALT,optimal,3.619035243988037,4375,1820.7907586043525,3489,5813,17488,23.416796,3592.843029,0.1,0
boeing1,SCS_ALT,optimal,1.2378098964691162,21250,-331.5275493519849,384,735,3869,1.856873,1235.47052,0.0008968475773051598,7
boeing2,SCS_ALT,optimal,0.5152060985565186,25850,-335.7113004319418,143,309,1339,0.995478,500.887624,0.0001420502160135677,7
bore3d,SCS_ALT,optimal,0.10734009742736816,1925,1349.6972014855123,315,548,1744,1.198162,105.654719,0.01658157563192472,4
brandy,SCS_ALT,optimal,0.08837604522705078,2975,1509.9839688069244,249,469,2397,1.16013,86.666255,0.0018401495151681465,2
capri,SCS_ALT,max_iter_reached,4.038223028182983,100000,2472.6568940184907,353,610,2106,6.873483,4030.74185,0.00014822200502978322,3
cycle,SCS_ALT,optimal,2.79158091545105,2975,-4.533047736042823,2857,4753,23570,42.574105,2746.204193,0.0030432923662677787,3
czprob,SCS_ALT,optimal,1.741185188293457,6000,2175502.150187199,3523,4452,14192,13.071655,1726.433232,0.008486029632755514,2
