name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS_ALT,optimal,0.4945080280303955,2125,5513.023115359878,1571,2392,11971,9.047092,484.602019,0.03130620441759731,1
80bau3b,SCS_ALT,optimal,0.4410698413848877,475,987905.117672389,9799,12061,30801,28.356387,409.817558,0.031061834535004464,1
adlittle,SCS_ALT,optimal,0.036681175231933594,4925,225440.64091045508,97,153,480,0.48799,35.643091,0.1,0
afiro,SCS_ALT,optimal,0.004373788833618164,1525,-462.6990584750555,32,59,115,0.231857,3.72425,0.021165498624750312,1
agg,SCS_ALT,max_iter_reached,3.6633589267730713,100000,-inf,163,651,2573,1.781307,3661.008868,1e-06,5
agg2,SCS_ALT,optimal,3.917314052581787,53150,-20242609.46706611,302,818,4586,2.988275,3913.62398,7.829756451244391e-05,6
agg3,SCS_ALT,optimal,2.8211588859558105,35100,10323042.227221653,302,818,4602,4.295081,2816.104633,0.0006616665833989592,4
bandm,SCS_ALT,optimal,0.07486701011657715,1625,-159.29266895055926,472,777,2966,1.806131,72.631421,0.02233640406249142,1
beaconfd,SCS_ALT,optimal,0.037400007247924805,1100,33597.644099167424,262,435,3637,2.049984,34.753229,0.002281805407253952,3
blend,SCS_ALT,optimal,0.043478965759277344,5100,-30.86556251840594,83,157,574,0.62261,42.304017,0.1,0
bnl1,SCS_ALT,optimal,0.6859838962554932,5600,1951.6210660502622,1175,1818,6296,4.394855,680.938323,0.1,0
bnl2,SCS_ALT,optimal,2.4412147998809814,4375,1820.792615431359,3489,5813,17488,20.089744,2419.253632,0.1,0
boeing1,SCS_ALT,optimal,1.271852731704712,20225,-329.522475435379,384,735,3869,2.753593,1268.642329,0.0009800517972662678,7
boeing2,SCS_ALT,optimal,0.45075106620788574,25850,-335.7193311938046,143,309,1339,1.127079,448.61262,0.0001419287327395256,7
bore3d,SCS_ALT,optimal,0.05615520477294922,1900,1357.3374229549465,315,548,1744,1.135815,54.605898,0.016718552478890078,4
brandy,SCS_ALT,optimal,0.09126782417297363,2975,1510.0474975247876,249,469,2397,1.629508,89.186425,0.0018355737276907404,2
capri,SCS_ALT,max_iter_reached,4.46468186378479,100000,2472.1292689780225,353,610,2106,1.457045,4462.537349,0.00014772501439715835,3
cycle,SCS_ALT,optimal,1.4943289756774902,2925,-4.538845505281738,2857,4753,23570,16.455569,1476.053749,0.0029723970209135347,3
czprob,SCS_ALT,optimal,1.3755950927734375,6000,2175502.2841959423,3523,4452,14192,11.222406,1362.771136,0.008486129450528207,2
d2q06c,SCS_ALT,optimal,6.27146315574646,4975,120770.33607581258,5167,7338,37584,60.264152,6208.12851,0.0005283140933773462,3
d6cube,SCS_ALT,optimal,0.21654605865478516,225,313.87147047011064,6184,6599,43888,35.017769,177.675675,0.00019932632314039546,2
degen2,SCS_ALT,optimal,0.11591887474060059,1200,-1435.1785000361097,534,978,4512,4.813812,110.633718,0.1,0
degen3,SCS_ALT,optimal,0.24055123329162598,375,-987.3071519035882,1818,3321,26464,34.632492,204.48889,0.1,0
dfl001,SCS_ALT,optimal,41.43599009513855,2950,11272532.569777768,12230,18301,47862,2386.071723,39039.118982,9891.062712493527,4
e226,SCS_ALT,optimal,0.06412696838378906,1800,-18.682260946772523,282,505,2860,1.782964,61.67282,0.1,0
etamacro,SCS_ALT,optimal,0.08381414413452148,875,-751.0683715025219,688,1088,3097,2.863334,80.414777,0.1,0
fffff800,SCS_ALT,optimal,7.6294848918914795,70275,530435.8358439275,854,1378,7081,4.598562,7624.284256,1.582187379446511e-05,5
finnis,SCS_ALT,optimal,0.11330485343933105,2075,173500.83206351806,614,1111,2924,1.863309,110.840788,0.1,0
fit1d,SCS_ALT,optimal,0.03990292549133301,450,-9148.484339162043,1026,1050,14430,4.681133,34.657266,0.1,0
fit1p,SCS_ALT,optimal,0.3139939308166504,2650,9144.184726013356,1677,2304,11545,6.260336,307.126354,0.1,0
fit2d,SCS_ALT,optimal,0.8585851192474365,425,-68462.9356377482,10500,10525,139518,69.39932,783.652651,1.2818920840441603,2
fit2p,SCS_ALT,optimal,0.9839518070220947,750,68462.21406845641,13525,16525,63809,50.065446,929.902068,0.019211677280296158,1
forplan,SCS_ALT,optimal,0.0265350341796875,425,-682.0979473899056,421,582,4984,3.634811,21.972722,1.0625204096824644e-06,3
ganges,SCS_ALT,optimal,0.4365811347961426,2125,-110310.1953363907,1681,2990,8593,5.760111,429.829726,0.00012226033872126099,5
gfrd-pnc,SCS_ALT,optimal,0.16331219673156738,2075,6914065.52880745,1092,1708,3469,2.207391,160.526136,0.027295640498540264,1
greenbea,SCS_ALT,max_iter_reached,111.32723593711853,100000,-1300184757.4399025,5405,7797,36282,48.692219,111276.889608,1e-06,6
greenbeb,SCS_ALT,optimal,87.29419708251953,82050,-6196510.4139297865,5405,7793,36278,37.225733,87255.215996,0.001579010909604201,3
grow15,SCS_ALT,max_iter_reached,7.288121938705444,100000,-inf,645,945,6265,3.215228,7284.35273,1e-06,3
grow22,SCS_ALT,max_iter_reached,9.851086854934692,100000,-inf,946,1386,9198,3.274895,9847.217352,1e-06,3
grow7,SCS_ALT,max_iter_reached,3.683079957962036,100000,-inf,301,441,2913,1.185946,3681.534709,1e-06,3
israel,SCS_ALT,optimal,0.1790761947631836,8650,-896627.3316758366,142,316,2411,1.184081,177.503066,0.00031901358841290655,5
kb2,SCS_ALT,optimal,0.027712106704711914,6925,-1770.6359665457107,41,84,327,0.284155,26.991097,0.0039020018473625412,5
lotfi,SCS_ALT,optimal,0.7800168991088867,36975,-28.483353442547816,308,461,1386,0.905756,778.720271,1.0255076332731076e-06,6
maros-r7,SCS_ALT,optimal,22.721913814544678,2875,1497196.3149959375,9408,12544,154256,623.508492,22088.556549,0.0004605789300710579,3
maros,SCS_ALT,optimal,6.597286939620972,29700,-58126.65971985588,1443,2289,11057,7.358963,6589.124806,0.00034562047310110814,3
modszk1,SCS_ALT,optimal,0.2103888988494873,2100,625617.9381986208,1620,2305,4786,2.884516,207.008725,0.1,0
nesm,SCS_ALT,max_iter_reached,24.70527172088623,100000,13771840.448494747,2923,3585,16211,11.121298,24692.900627,0.03160346246025502,1
perold,SCS_ALT,max_iter_reached,16.572407007217407,100000,-15338.273003495216,1376,1913,7306,6.148685,16565.70687,1e-06,5
pilot.ja,SCS_ALT,max_iter_reached,31.41711735725403,100000,-7800.818510249689,1988,2840,16598,12.729069,31403.20285,1.3653161269989489e-05,9
pilot,SCS_ALT,max_iter_reached,123.90638375282288,100000,-980.2092254949267,3652,5093,46819,54.126414,123850.474066,1e-06,6
pilot.we,SCS_ALT,optimal,1.3026323318481445,6900,-2945014.8581853444,2789,3431,11835,7.603648,1293.599072,0.020778016273907546,1
pilot4,SCS_ALT,max_iter_reached,7.124376058578491,100000,-6829.204990557429,1000,1322,6053,2.786632,7121.233558,1e-06,4
