name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,SCS-3.0,optimal,0.6188733577728271,2175,5503.034983555294,1571,2392,11971
80bau3b,SCS-3.0,optimal,0.6500990390777588,525,980240.6937191339,9799,12061,30801
adlittle,SCS-3.0,optimal,0.05320119857788086,4775,225449.696950538,97,153,480
afiro,SCS-3.0,optimal,0.0056993961334228516,975,-466.4883572413987,32,59,115
agg,SCS-3.0,max_iter_reached,4.531589031219482,100000,-inf,163,651,2573
agg2,SCS-3.0,optimal,8.297929525375366,98550,-20456599.694231067,302,818,4586
agg3,SCS-3.0,max_iter_reached,8.376444339752197,100000,10324234.006040012,302,818,4602
bandm,SCS-3.0,optimal,0.0697779655456543,1150,-159.39500655220914,472,777,2966
beaconfd,SCS-3.0,optimal,0.03844714164733887,975,33595.284782087765,262,435,3637
blend,SCS-3.0,optimal,0.07088494300842285,6100,-30.783840820586853,83,157,574
bnl1,SCS-3.0,optimal,0.6968340873718262,3850,1937.755563416679,1175,1818,6296
bnl2,SCS-3.0,optimal,4.208837509155273,6100,1822.8046379784194,3489,5813,17488
bore3d,SCS-3.0,optimal,0.10381650924682617,2775,1342.9218114179437,315,548,1744
brandy,SCS-3.0,optimal,0.15658855438232422,4275,1518.01622181866,249,469,2397
capri,SCS-3.0,optimal,3.907682418823242,82200,2627.271570613293,353,624,2120
cycle,SCS-3.0,optimal,1.9654021263122559,3200,-4.549217953012363,2857,4760,23577
czprob,SCS-3.0,optimal,2.6195313930511475,7125,2175519.303606628,3523,4452,14192
d2q06c,SCS-3.0,optimal,4.978388786315918,3775,121699.6334333619,5167,7338,37584
d6cube,SCS-3.0,optimal,0.6119487285614014,625,243.65726400782285,6184,6599,43888
degen2,SCS-3.0,optimal,0.11339831352233887,725,-1435.158898233596,534,978,4512
degen3,SCS-3.0,optimal,0.30155277252197266,400,-987.2561545316089,1818,3321,26464
dfl001,SCS-3.0,optimal,22.316254377365112,2100,11208767.841836857,12230,18301,47862
e226,SCS-3.0,optimal,0.10185718536376953,2200,-18.67267759475083,282,505,2860
etamacro,SCS-3.0,optimal,0.19957447052001953,1825,-748.5671702915638,688,1088,3097
fffff800,SCS-3.0,max_iter_reached,36.448554277420044,100000,544044.3810238345,854,1378,7081
finnis,SCS-3.0,optimal,0.1591956615447998,1950,172554.70386998335,614,1111,2924
fit1d,SCS-3.0,optimal,0.08899497985839844,725,-9145.215218597532,1026,1050,14430
fit1p,SCS-3.0,optimal,1.8262569904327393,10800,9144.077763420542,1677,2304,11545
