name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
25fv47,OSQP,optimal,2.564903974533081,16350,5502.020865705124,1571,2392,11971,0,0.004268671,2.540441201,0.0,3,0.0003486386323774447
80bau3b,OSQP,solver_error,40.33333778381348,100000,987367.5944545581,9799,12061,30801,0,0.013830072,40.317895063,0.0,15,0.000607464182688196
adlittle,OSQP,optimal,0.008822917938232422,2575,225464.58373893247,97,153,480,0,0.000139655,0.008454242,0.0,2,0.002788600059909316
afiro,OSQP,optimal,0.0009691715240478516,725,-464.75864613875336,32,59,115,0,4.0832e-05,0.000720743,0.0,13,0.001887947673548761
agg,OSQP,solver_error,1.8957171440124512,100000,153896700.33940613,163,651,2573,0,0.00066027,1.894784762,0.0,50,2.6475256496808136e-06
agg2,OSQP,solver_error,4.880573034286499,100000,-8016276.657003908,302,818,4586,0,0.001422705,4.878869392,0.0,8,4.3160274753956835e-06
agg3,OSQP,solver_error,4.8243091106414795,100000,18900792.736917797,302,818,4602,0,0.001399259,4.822635124,0.0,8,7.603116641560747e-06
bandm,OSQP,optimal,1.0148999691009521,44050,-158.62844351591767,472,777,2966,0,0.000806686,1.013733729,0.0,7,0.0003049173345208849
beaconfd,OSQP,optimal,0.10504603385925293,5900,33596.15434432808,262,435,3637,0,0.000665175,0.104054711,0.0,6,0.0004003881216541319
blend,OSQP,optimal,0.03126239776611328,8025,-30.81198649177144,83,157,574,0,0.000152611,0.030834254,0.0,1,0.004881538396591728
bnl1,OSQP,solver_error,6.284686803817749,100000,1947.82955702347,1175,1818,6296,0,0.002185377,6.282190018,0.0,2,0.0017547377683933792
bnl2,OSQP,solver_error,29.838096857070923,100000,1816.1368789160838,3489,5813,17488,0,0.011113192,29.826095816,0.0,3,0.0011011369861104838
boeing1,OSQP,solver_error,2.6561379432678223,100000,-337.7170341311847,384,735,3869,0,0.001091594,2.654787252,0.0,5,0.00020203769926393565
boeing2,OSQP,solver_error,0.8763771057128906,100000,-318.08811294233766,143,309,1339,0,0.000337283,0.875782092,0.0,7,0.006395404199507245
bore3d,OSQP,solver_error,1.340993881225586,100000,1384.8570481758293,315,548,1744,0,0.00049445,1.340195963,0.0,45,9.899042599422061e-05
brandy,OSQP,max_iter_reached,1.7908461093902588,100000,317.5663202480828,249,469,2397,0,0.000568516,1.789962699,0.0,20,4.239387045250911e-05
capri,OSQP,solver_error,1.9660589694976807,100000,2659.7727954738693,353,610,2106,0,0.000619487,1.965067884,0.0,4,0.0009246358653624355
cycle,OSQP,solver_error,29.424510955810547,100000,-5.196292109137336,2857,4753,23570,0,0.008386211,29.415165992,0.0,5,3.9178533757002935e-05
czprob,OSQP,max_iter_reached,10.63414716720581,100000,2185240.2654718985,3523,4452,14192,0,0.008088306,10.6252282,0.0,45,0.0004896962114690556
