name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS-3.0,optimal,0.681776762008667,3500,5505.687617580627,1571,2392,11971,9.746554,671.451562,0.03158019176338737,1
80bau3b,SCS-3.0,optimal,0.678184986114502,1025,986299.138802473,9799,12061,30801,23.2782,653.072632,0.031558641161314495,1
adlittle,SCS-3.0,optimal,0.03499722480773926,5200,225451.91280605303,97,153,480,0.475689,34.124796,0.1,0
afiro,SCS-3.0,optimal,0.0072231292724609375,3000,-463.8556446933804,32,59,115,0.224038,6.697736,0.017444034052225388,1
agg,SCS-3.0,max_iter_reached,2.91182804107666,100000,-inf,163,651,2573,1.415795,2910.121617,1e-06,5
agg2,SCS-3.0,optimal,3.377532958984375,58050,-20235594.768808696,302,818,4586,2.447877,3374.73142,9.142206390643737e-05,5
agg3,SCS-3.0,optimal,1.9694249629974365,34400,10321205.360704003,302,818,4602,2.280277,1966.893514,0.0012944111202392384,3
bandm,SCS-3.0,optimal,0.109893798828125,3075,-159.3322144113984,472,777,2966,1.679944,107.793969,0.0214180583306598,1
beaconfd,SCS-3.0,optimal,0.025933027267456055,1050,33596.353992810786,262,435,3637,1.488388,24.133075,0.0013755861496659895,3
blend,SCS-3.0,optimal,0.06753897666931152,10550,-30.78433973009102,83,157,574,0.346069,66.925481,0.1,0
bnl1,SCS-3.0,optimal,0.6356487274169922,6750,1952.608825309078,1175,1818,6296,4.173526,631.062162,0.1,0
bnl2,SCS-3.0,optimal,1.768474817276001,4500,1824.5250413113874,3489,5813,17488,16.733361,1750.577061,0.1,0
boeing1,SCS-3.0,optimal,0.35543394088745117,8750,-332.1520532575434,384,735,3869,1.896975,353.163528,0.0010341258928096236,6
boeing2,SCS-3.0,optimal,0.512660026550293,38275,-445.3124909866969,143,309,1339,0.796411,511.519787,0.0005358485691682881,12
bore3d,SCS-3.0,optimal,0.043543100357055664,1825,1344.7977998731988,315,548,1744,1.151026,42.099653,0.01830137228892844,4
brandy,SCS-3.0,optimal,0.263214111328125,11400,1516.7015944836949,249,469,2397,1.05952,261.86331,0.0026403257226181383,2
capri,SCS-3.0,max_iter_reached,3.105607748031616,100000,2549.856726909791,353,610,2106,1.213069,3104.110831,0.00025447218036891495,3
cycle,SCS-3.0,optimal,2.232959032058716,5625,-4.603902509692474,2857,4753,23570,15.582464,2216.239201,0.0030961349139428215,3
czprob,SCS-3.0,optimal,0.9667911529541016,5100,2177294.816031674,3523,4452,14192,12.020826,953.748643,0.009592570887167948,2
d2q06c,SCS-3.0,optimal,6.97272801399231,9325,122104.01880670573,5167,7338,37584,33.968658,6936.792553,0.003060419045229727,2
d6cube,SCS-3.0,optimal,44.22786092758179,87075,315.09013025296747,6184,6599,43888,31.256665,44194.837683,0.00020094034385476634,2
degen2,SCS-3.0,optimal,0.1031348705291748,1400,-1435.1936649737925,534,978,4512,3.589452,99.184914,0.3203751340708616,1
degen3,SCS-3.0,optimal,0.49576878547668457,1175,-987.2763438373296,1818,3321,26464,27.800478,466.761347,0.1,0
dfl001,SCS-3.0,optimal,23.780699253082275,3050,11272260.001279412,12230,18301,47862,1180.824682,22593.9295,10230.860224499404,4
e226,SCS-3.0,optimal,0.10922408103942871,3400,-18.753082490335895,282,505,2860,2.056975,106.733282,0.1,0
etamacro,SCS-3.0,optimal,0.09056782722473145,1100,-754.8811544165284,688,1088,3097,3.569061,86.553919,0.1,0
fffff800,SCS-3.0,max_iter_reached,8.816588878631592,100000,539749.6561321426,854,1378,7081,4.232562,8811.624513,1.692671364848706e-05,5
finnis,SCS-3.0,optimal,0.09260797500610352,2000,172703.8119526853,614,1111,2924,1.8453,90.465845,0.1,0
fit1d,SCS-3.0,optimal,0.05902290344238281,825,-9147.738715681475,1026,1050,14430,5.640864,52.755508,0.45666040056295687,1
fit1p,SCS-3.0,optimal,0.37949490547180176,3975,9147.095482991557,1677,2304,11545,6.781591,372.349899,0.1,0
fit2d,SCS-3.0,optimal,0.9238779544830322,975,-68462.91773840689,10500,10525,139518,44.262004,875.873973,25.184199839801842,2
fit2p,SCS-3.0,optimal,1.0974657535552979,1475,68458.29918206911,13525,16525,63809,54.219486,1040.433464,0.004284084895795512,2
forplan,SCS-3.0,max_iter_reached,3.3585269451141357,100000,-690.751189795813,421,582,4984,3.378836,3354.615427,1.19017543029155e-06,3
ganges,SCS-3.0,optimal,0.5550870895385742,4300,-109546.98096721666,1681,2990,8593,4.579196,549.798448,2.0438209485972748e-05,6
gfrd-pnc,SCS-3.0,optimal,0.3032369613647461,5125,6876594.687726054,1092,1708,3469,2.024681,300.828553,0.08707199204434232,2
greenbea,SCS-3.0,max_iter_reached,66.68137502670288,100000,-2399913468.714216,5405,7797,36282,31.540417,66648.628043,1e-06,6
greenbeb,SCS-3.0,optimal,51.1304190158844,78725,-6192769.540260293,5405,7793,36278,33.73673,51095.292386,0.001750377205409704,3
grow15,SCS-3.0,max_iter_reached,5.808812856674194,100000,-inf,645,945,6265,2.318849,5806.262052,1e-06,3
grow22,SCS-3.0,max_iter_reached,9.589379072189331,100000,-inf,946,1386,9198,3.54149,9585.543077,1e-06,3
grow7,SCS-3.0,max_iter_reached,2.7240540981292725,100000,-inf,301,441,2913,1.522927,2722.288576,1e-06,3
israel,SCS-3.0,optimal,0.031394004821777344,1700,-896684.9747539682,142,316,2411,1.005237,30.075172,0.00414337284166944,4
kb2,SCS-3.0,optimal,0.024558067321777344,6175,-1736.572505526096,41,84,327,0.235096,24.022897,0.0015333993558752364,2
lotfi,SCS-3.0,optimal,1.0238258838653564,53300,-28.70434000699105,308,461,1386,1.277323,1022.295521,1e-06,7
maros-r7,SCS-3.0,optimal,67.06709718704224,15100,1497187.6996522257,9408,12544,154256,403.543249,66655.349221,0.000122331869666205,4
maros,SCS-3.0,optimal,6.046947956085205,30475,-58094.03697492517,1443,2289,11057,9.571356,6036.968506,0.0012205486040225491,3
modszk1,SCS-3.0,optimal,0.23263072967529297,2250,619419.8804988321,1620,2305,4786,4.611073,227.536379,0.1,0
nesm,SCS-3.0,max_iter_reached,21.51077389717102,100000,14039753.20095196,2923,3585,16211,11.389597,21498.37581,0.03161295414537773,1
perold,SCS-3.0,max_iter_reached,15.220179080963135,100000,-16621.80476935213,1376,1913,7306,5.673038,15214.261125,1e-06,6
pilot.ja,SCS-3.0,max_iter_reached,27.072876930236816,100000,-7486.256755537034,1988,2840,16598,14.257584,27058.023874,3.072803319839121e-05,10
pilot,SCS-3.0,max_iter_reached,74.39460706710815,100000,-626.3284850642149,3652,5093,46819,54.558154,74338.618049,1.0087861506162197e-05,5
pilot.we,SCS-3.0,optimal,0.864142894744873,4775,-2801183.893296022,2789,3431,11835,7.655421,855.620699,0.1,0
pilot4,SCS-3.0,max_iter_reached,7.609748125076294,100000,-5516.428068748117,1000,1322,6053,3.497177,7605.986233,1e-06,4
pilot87,SCS-3.0,optimal,42.64102220535278,22250,303.9964554733121,4883,6913,78035,139.312908,42497.867608,0.0026658649350932606,2
pilotnov,SCS-3.0,max_iter_reached,26.077691316604614,100000,-9086.411852019912,2172,3147,15229,14.031983,26062.804407,1e-06,5
recipe,SCS-3.0,optimal,0.0036628246307373047,225,-266.61575813946865,180,271,843,0.452268,2.876536,0.028028525565659653,1
