name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS_AA2,optimal,1.1803760528564453,5375,5506.087337773553,1571,2392,11971,9.022075,1170.79753,0.0316206013991674,1
80bau3b,SCS_AA2,optimal,1.0505468845367432,1475,989215.2959556656,9799,12061,30801,23.388127,1024.77743,0.1,0
adlittle,SCS_AA2,optimal,0.04385519027709961,5700,225426.83520374485,97,153,480,0.415166,43.077973,0.316766410544788,1
afiro,SCS_AA2,optimal,0.001165151596069336,225,-464.75174984509516,32,59,115,0.21494,0.67766,0.017444034052225388,1
agg,SCS_AA2,max_iter_reached,2.985583782196045,100000,-inf,163,651,2573,1.565194,2983.680299,1e-06,5
agg2,SCS_AA2,optimal,4.588242053985596,71775,-22938101.06274135,302,818,4586,2.827781,4584.838058,0.000406789289035111,4
agg3,SCS_AA2,optimal,2.5358269214630127,40200,10322656.10424305,302,818,4602,2.406504,2533.145063,0.0002634190158012429,4
bandm,SCS_AA2,optimal,0.15842580795288086,2425,-159.412172387079,472,777,2966,2.270002,155.821847,0.0214180583306598,1
beaconfd,SCS_AA2,optimal,0.027683019638061523,1050,33596.7414328006,262,435,3637,1.402215,26.010037,0.0019901232880718297,3
blend,SCS_AA2,optimal,0.0065310001373291016,800,-30.808069911294037,83,157,574,0.347594,5.952452,0.1,0
bnl1,SCS_AA2,optimal,2.1052358150482178,19775,1954.3333773455877,1175,1818,6296,4.104709,2100.641726,0.1,0
bnl2,SCS_AA2,optimal,7.096669912338257,14425,1823.7635198910486,3489,5813,17488,18.161115,7077.26083,0.1,0
boeing1,SCS_AA2,max_iter_reached,5.269466876983643,100000,-inf,384,735,3869,2.281332,5266.852064,1e-06,3
boeing2,SCS_AA2,max_iter_reached,1.3663699626922607,100000,-inf,143,309,1339,1.04364,1365.004933,1e-06,4
bore3d,SCS_AA2,optimal,0.49226808547973633,21475,1334.6603213497294,315,548,1744,0.904725,491.037575,0.025451950609440343,4
brandy,SCS_AA2,optimal,0.38649702072143555,16025,1513.3548799581285,249,469,2397,1.024903,385.22047,0.0026403257226181383,2
capri,SCS_AA2,max_iter_reached,3.5273451805114746,100000,2416.4954289022967,353,610,2106,1.321521,3525.753223,0.0008052508420452063,4
cycle,SCS_AA2,optimal,7.230391025543213,17950,-4.627350320572953,2857,4753,23570,15.18531,7213.655702,0.0007578587272117717,4
czprob,SCS_AA2,max_iter_reached,21.884551286697388,100000,2178635.232807079,3523,4452,14192,12.013149,21871.391985,0.008747511729315807,2
d2q06c,SCS_AA2,optimal,18.013365030288696,20775,122055.20887326598,5167,7338,37584,40.22005,17970.687649,0.003060419045229727,2
d6cube,SCS_AA2,optimal,1.451390027999878,2325,313.9733479036964,6184,6599,43888,36.076926,1412.515067,0.00020094034385476634,2
degen2,SCS_AA2,optimal,0.30644917488098145,3650,-1435.1792516700414,534,978,4512,3.332958,302.714727,0.10394170740791399,5
degen3,SCS_AA2,optimal,2.3726248741149902,4850,-987.3624896047389,1818,3321,26464,27.714023,2343.722722,0.31641810437691875,1
dfl001,SCS_AA2,optimal,38.07110929489136,5075,11273379.30458941,12230,18301,47862,1310.279205,36750.827263,12957.799430147339,4
e226,SCS_AA2,optimal,0.3599669933319092,8800,-18.71990385097784,282,505,2860,2.72386,356.694421,0.1,0
etamacro,SCS_AA2,optimal,0.3770890235900879,3650,-755.0491070890347,688,1088,3097,3.2717,373.342519,0.1,0
fffff800,SCS_AA2,max_iter_reached,10.759051084518433,100000,485515.17712531687,854,1378,7081,5.215465,10753.460081,1.692671364848706e-05,5
finnis,SCS_AA2,optimal,0.12297701835632324,1975,171840.44859340854,614,1111,2924,2.229673,120.433862,0.1,0
fit1d,SCS_AA2,optimal,0.07023882865905762,850,-9146.033997448409,1026,1050,14430,5.197344,64.667841,0.45666040056295687,1
fit1p,SCS_AA2,optimal,1.0014829635620117,8350,9144.909886823278,1677,2304,11545,6.704784,994.472959,0.1,0
fit2d,SCS_AA2,optimal,0.6391301155090332,475,-68462.4654588758,10500,10525,139518,64.690554,568.682413,25.184199839801842,2
fit2p,SCS_AA2,optimal,4.140567779541016,4575,68460.29340650572,13525,16525,63809,60.104438,4076.815949,0.004284084895795512,2
forplan,SCS_AA2,optimal,1.2556390762329102,31375,-693.475748063262,421,582,4984,3.988529,1251.03523,1.19017543029155e-06,3
ganges,SCS_AA2,max_iter_reached,15.601133823394775,100000,-111504.16948956519,1681,2990,8593,4.996946,15595.567383,5.045997437375424e-05,4
gfrd-pnc,SCS_AA2,optimal,0.1284651756286621,1775,6945510.134789993,1092,1708,3469,2.410642,125.625125,0.027776512686445782,1
greenbea,SCS_AA2,max_iter_reached,72.84569382667542,100000,-inf,5405,7797,36282,34.896671,72808.730574,1e-06,6
greenbeb,SCS_AA2,max_iter_reached,74.12298274040222,100000,-6258771.888681907,5405,7793,36278,32.2198,74087.386556,0.005664618908595341,2
grow15,SCS_AA2,max_iter_reached,5.73546576499939,100000,-inf,645,945,6265,2.47446,5732.528853,1e-06,3
grow22,SCS_AA2,max_iter_reached,7.962059020996094,100000,-inf,946,1386,9198,3.658492,7957.940926,1e-06,3
grow7,SCS_AA2,max_iter_reached,2.4724340438842773,100000,-inf,301,441,2913,1.256353,2470.901328,1e-06,3
israel,SCS_AA2,optimal,0.028475046157836914,1525,-896669.1979201804,142,316,2411,1.038345,27.153089,0.0035044749920596753,4
kb2,SCS_AA2,optimal,0.012297868728637695,3225,-1749.8556126758824,41,84,327,0.218282,11.868442,0.005460668939363053,3
lotfi,SCS_AA2,max_iter_reached,1.8936817646026611,100000,-30.370504854036213,308,461,1386,0.810047,1892.601931,1e-06,7
maros-r7,SCS_AA2,optimal,8.174169063568115,1775,1497173.9953296515,9408,12544,154256,360.988097,7804.945204,0.00038738550022104603,3
maros,SCS_AA2,optimal,14.935287952423096,71850,-58037.86439821028,1443,2289,11057,8.538791,14925.987324,0.0012055631344468003,3
modszk1,SCS_AA2,optimal,1.8982980251312256,18975,96233.0178685536,1620,2305,4786,2.993977,1894.833292,0.03155105571019292,1
nesm,SCS_AA2,max_iter_reached,23.832192182540894,100000,13390292.266918356,2923,3585,16211,10.830061,23820.098963,0.1,0
perold,SCS_AA2,max_iter_reached,16.56184720993042,100000,-809873.6710975986,1376,1913,7306,5.580482,16555.838263,1e-06,6
pilot.ja,SCS_AA2,max_iter_reached,27.789161920547485,100000,-18860.344258666064,1988,2840,16598,13.836255,27774.493397,1e-06,8
pilot,SCS_AA2,max_iter_reached,77.37089323997498,100000,-808.546403829815,3652,5093,46819,47.692031,77321.15254,1.0087861506162197e-05,5
pilot.we,SCS_AA2,optimal,4.44809103012085,20575,-2972990.896437423,2789,3431,11835,7.75244,4439.420438,0.030065224780523148,1
pilot4,SCS_AA2,max_iter_reached,8.505650997161865,100000,-334462.5844809145,1000,1322,6053,3.218172,8501.988594,1e-06,4
pilot87,SCS_AA2,optimal,50.44725489616394,27125,304.81229457433534,4883,6913,78035,156.615802,50286.6954,0.0026658649350932606,2
pilotnov,SCS_AA2,max_iter_reached,28.82599401473999,100000,-inf,2172,3147,15229,11.83221,28813.169695,1e-06,5
recipe,SCS_AA2,optimal,0.0029230117797851562,225,-266.6156138133585,180,271,843,0.437349,2.269597,0.028028525565659653,1
sc105,SCS_AA2,optimal,0.004017829895019531,475,-52.196262607064675,103,208,383,0.384173,3.390194,0.00022131242921595096,3
sc205,SCS_AA2,optimal,0.02842402458190918,1900,-52.94932663873676,203,408,754,0.465653,27.601177,0.001105524437515387,2
sc50a,SCS_AA2,optimal,0.0019116401672363281,400,-64.57493471691917,48,98,178,0.19923,1.48705,0.0006360902554886125,2
sc50b,SCS_AA2,optimal,0.0015838146209716797,375,-70.00054944889268,48,98,166,0.186457,1.192475,0.0006423508996513405,2
scagr25,SCS_AA2,optimal,0.05689120292663574,1575,-15097517.996936532,500,971,2054,1.379044,55.116284,0.0089176740169801,2
scagr7,SCS_AA2,optimal,0.8949897289276123,90875,-2353190.573734813,140,269,560,0.373942,894.346315,0.0315474692885628,1
scfxm1,SCS_AA2,optimal,0.4250037670135498,9050,18404.14696633816,457,787,3046,1.627721,423.091434,0.0027700492384061283,2
scfxm2,SCS_AA2,optimal,2.4648988246917725,26275,36613.52349507811,914,1574,6097,3.829325,2460.672416,0.003084602771289921,2
scfxm3,SCS_AA2,optimal,8.355050086975098,58525,54655.28495980928,1371,2361,9148,4.943527,8349.648669,0.0009767198772644564,3
scorpion,SCS_AA2,optimal,0.4104328155517578,15925,1878.1305590843212,358,746,1784,0.946904,409.223349,1.6433149153927704,5
scrs8,SCS_AA2,optimal,3.5861339569091797,45475,905.0369551281942,1169,1659,4351,2.96666,3582.665266,3.005293374512518,3
scsd1,SCS_AA2,optimal,0.016873836517333984,400,8.666106866870111,760,837,3148,1.695187,14.859594,1.1023266696830671,3
scsd6,SCS_AA2,optimal,0.07535600662231445,1075,50.47123172231293,1350,1497,5666,2.889274,72.117104,1.2682549324218473,2
scsd8,SCS_AA2,optimal,11.443981885910034,75050,904.9999446264194,2750,3147,11334,5.432167,11437.795571,0.31677625709281965,1
sctap1,SCS_AA2,optimal,0.06630611419677734,2175,1412.275450821243,480,780,2172,1.330324,64.587464,0.7857566224262815,1
sctap2,SCS_AA2,optimal,0.06833314895629883,450,1724.8060268201225,1880,2970,8594,9.233252,58.42901,1.1911096795477047,1
sctap3,SCS_AA2,optimal,0.0709073543548584,350,1423.9964633031625,2480,3960,11354,6.755759,63.348285,1.0588920467801772,1
seba,SCS_AA2,optimal,0.30537891387939453,4675,15670.780073233946,1028,1543,5380,2.506719,302.560217,0.002931063808811834,3
share1b,SCS_AA2,optimal,0.5176119804382324,31725,-76361.20367580683,225,342,1376,0.804537,516.532237,0.00030048106508640134,4
share2b,SCS_AA2,max_iter_reached,0.8304140567779541,100000,-415.7671890940383,79,175,773,0.35709,829.82227,0.1,0
shell,SCS_AA2,max_iter_reached,10.840789079666138,100000,1197020271.4581103,1775,2311,5331,3.930135,10836.488336,0.008001906855811994,2
ship04l,SCS_AA2,optimal,11.491941213607788,99625,1793248.5968962682,2118,2520,8450,5.124488,11486.106662,1.028163182481497,2
ship04s,SCS_AA2,optimal,0.9429721832275391,11725,1798718.7045349427,1458,1860,5810,3.508049,939.074481,1.1775550266981532,2
ship08l,SCS_AA2,optimal,5.796485185623169,25050,1908993.2908333796,4283,5061,17085,10.167262,5784.940719,1.080116046759497,2
ship08s,SCS_AA2,optimal,4.665832042694092,33450,1920118.5899754786,2387,3165,9501,5.89223,4659.206426,0.09523116693105975,6
ship12l,SCS_AA2,optimal,22.3660089969635,69425,1470203.9233480943,5427,6578,21597,12.503693,22360.318823,1.110677356810089,2
ship12s,SCS_AA2,optimal,7.340203762054443,41475,1489242.7482711086,2763,3914,10941,6.168801,7342.128738,0.1,0
sierra,SCS_AA2,optimal,0.1688368320465088,1125,15395442.14576622,2036,3263,9338,5.36747,162.969644,0.3419965803939273,1
stair,SCS_AA2,optimal,1.9894280433654785,36125,-251.77920483171295,467,817,4317,2.063758,1988.676917,0.0034321533698218544,2
standata,SCS_AA2,optimal,0.031107187271118164,450,1257.5468630422129,1075,1434,4106,2.073677,28.683847,0.1,0
standgub,SCS_AA2,optimal,0.03322720527648926,450,1257.5468630687108,1184,1545,4323,2.708789,30.267801,0.1,0
standmps,SCS_AA2,optimal,5.421081066131592,76050,1400.4977883625447,1075,1542,4754,2.654436,5421.665125,0.1,0
stocfor1,SCS_AA2,optimal,0.02589583396911621,2550,-41091.576675660835,111,228,558,0.519521,25.051024,0.1,0
stocfor2,SCS_AA2,optimal,10.361317157745361,53150,-39027.88797027967,2031,4188,10374,6.004527,10358.234857,0.006107166153537621,2
tuff,SCS_AA2,max_iter_reached,6.416479110717773,100000,7.234232448262416,587,918,5105,2.358107,6415.369949,1e-06,5
vtp.base,SCS_AA2,max_iter_reached,1.7324302196502686,100000,91756.98606387824,203,400,1110,0.799544,1731.498567,0.0013465481655771153,3
wood1p,SCS_AA2,optimal,0.2495417594909668,575,1.4429090009561625,2594,2838,72809,35.351339,211.952278,0.1,0
woodw,SCS_AA2,optimal,2.610201120376587,3800,1.304488760472312,8405,9503,45879,32.230642,2575.461325,0.031472710174063355,1
