name,solver,status,run_time,iter,obj_val,n,m,N
25fv47,COSMO,max_iter_reached,45.920989990234375,100000,5538.759048986032,1571,2392,11971
80bau3b,COSMO,dual infeasible,0.5689730644226074,100,-inf,9799,12061,30801
adlittle,COSMO,dual infeasible,0.3708319664001465,200,-inf,97,153,480
afiro,COSMO,dual infeasible,0.5525269508361816,100,-inf,32,59,115
agg,COSMO,max_iter_reached,21.339504957199097,100000,-35241271.25466318,163,651,2573
agg2,COSMO,max_iter_reached,16.752880811691284,100000,-15879595.649464706,302,818,4586
agg3,COSMO,max_iter_reached,16.058041095733643,100000,15142018.133620368,302,818,4602
bandm,COSMO,dual infeasible,0.059059858322143555,200,-inf,472,777,2966
beaconfd,COSMO,dual infeasible,0.5029149055480957,100,-inf,262,435,3637
blend,COSMO,dual infeasible,0.5469191074371338,100,-inf,83,157,574
bnl1,COSMO,max_iter_reached,29.83737277984619,100000,1966.4251314726873,1175,1818,6296
bnl2,COSMO,dual infeasible,0.6792590618133545,100,-inf,3489,5813,17488
bore3d,COSMO,dual infeasible,0.1540820598602295,100,-inf,315,548,1744
brandy,COSMO,dual infeasible,0.2819669246673584,500,-inf,249,469,2397
capri,COSMO,max_iter_reached,15.661035060882568,100000,2698.641905613087,353,624,2120
cycle,COSMO,max_iter_reached,50.624059200286865,100000,-4.327995745499493,2857,4760,23577
czprob,COSMO,dual infeasible,0.7738778591156006,100,-inf,3523,4452,14192
d2q06c,COSMO,max_iter_reached,101.114816904068,100000,123080.93516500144,5167,7338,37584
d6cube,COSMO,dual infeasible,0.513484001159668,100,-inf,6184,6599,43888
degen2,COSMO,optimal,0.05826902389526367,300,-1435.0395493673245,534,978,4512
degen3,COSMO,optimal,0.5887491703033447,800,-987.2853116240425,1818,3321,26464
dfl001,COSMO,solver_error,1001.7815818786621,96678,-3190339118.312273,12230,18301,47862
e226,COSMO,max_iter_reached,13.68355393409729,100000,-18.752529038321896,282,505,2860
etamacro,COSMO,dual infeasible,0.02720499038696289,100,-inf,688,1088,3097
fffff800,COSMO,max_iter_reached,30.121068954467773,100000,643765.4384325485,854,1378,7081
finnis,COSMO,dual infeasible,0.7765018939971924,100,-inf,614,1111,2924
fit1d,COSMO,max_iter_reached,14.023781061172485,100000,-9119.724966101481,1026,1050,14430
fit1p,COSMO,dual infeasible,0.5385208129882812,100,-inf,1677,2304,11545
fit2d,COSMO,dual infeasible,1.5906219482421875,400,-inf,10500,10525,139518
fit2p,COSMO,optimal,2.6552441120147705,2100,68464.13854559706,13525,16525,63809
ganges,COSMO,max_iter_reached,25.265814065933228,100000,-109503.97232585157,1681,2990,8593
gfrd-pnc,COSMO,dual infeasible,0.14141201972961426,100,-inf,1092,1708,3469
greenbea,COSMO,max_iter_reached,147.18148684501648,100000,-67560717.69503137,5405,7797,36282
greenbeb,COSMO,max_iter_reached,196.62105989456177,100000,-4304857.564500853,5405,7797,36282
grow15,COSMO,dual infeasible,0.37873005867004395,100,-inf,645,945,6265
grow22,COSMO,dual infeasible,0.030890941619873047,100,-inf,946,1386,9198
grow7,COSMO,dual infeasible,0.15864205360412598,100,-inf,301,441,2913
israel,COSMO,max_iter_reached,5.968597888946533,100000,-101898.31513160355,142,316,2411
kb2,COSMO,max_iter_reached,5.82181191444397,100000,-1744.3414659562254,41,84,327
lotfi,COSMO,max_iter_reached,6.948857069015503,100000,182.13342753355826,308,461,1386
maros-r7,COSMO,max_iter_reached,779.1502780914307,100000,1497201.56198599,9408,12544,154256
maros,COSMO,max_iter_reached,26.366055011749268,100000,-51368.17419481391,1443,2289,11057
modszk1,COSMO,dual infeasible,0.05101609230041504,100,-inf,1620,2307,4788
perold,COSMO,max_iter_reached,22.753912925720215,100000,-8934.706426395594,1376,2001,7394
pilot.ja,COSMO,max_iter_reached,40.508705139160156,100000,-3702.03774901039,1988,2928,16686
pilot,COSMO,max_iter_reached,135.90905785560608,100000,-508.04091832613926,3652,5093,46819
pilot.we,COSMO,dual infeasible,0.44037508964538574,100,-inf,2789,3511,11915
pilot4,COSMO,max_iter_reached,11.841926097869873,100000,-249.6788491317365,1000,1410,6141
pilot87,COSMO,max_iter_reached,335.8088219165802,100000,314.12217428947633,4883,6913,78035
pilotnov,COSMO,max_iter_reached,41.66339993476868,100000,-1998.6937907564554,2172,3147,15229
recipe,COSMO,dual infeasible,0.006523847579956055,100,-inf,180,271,843
sc105,COSMO,max_iter_reached,4.416828870773315,100000,-50.77165859961198,103,208,383
sc205,COSMO,max_iter_reached,3.9797401428222656,100000,-3.5642962460738006,203,408,754
sc50a,COSMO,dual infeasible,0.02958989143371582,100,-inf,48,98,178
sc50b,COSMO,dual infeasible,0.0074579715728759766,100,-inf,48,98,166
scagr25,COSMO,optimal,3.415879011154175,40100,-14752160.810240865,500,971,2054
scagr7,COSMO,dual infeasible,0.062345027923583984,100,-inf,140,269,560
scfxm1,COSMO,max_iter_reached,10.477864027023315,100000,18635.753275617943,457,787,3046
scfxm2,COSMO,max_iter_reached,20.150969982147217,100000,36908.78058630212,914,1574,6097
scfxm3,COSMO,max_iter_reached,16.023480892181396,100000,55184.29036903629,1371,2361,9148
scorpion,COSMO,dual infeasible,0.0776510238647461,800,-inf,358,746,1784
scrs8,COSMO,dual infeasible,0.024698972702026367,200,-inf,1169,1659,4351
scsd1,COSMO,optimal,0.07095503807067871,1400,8.666235109779175,760,837,3148
scsd6,COSMO,dual infeasible,0.07938098907470703,500,-inf,1350,1497,5666
scsd8,COSMO,optimal,0.1427149772644043,1000,905.0387297953392,2750,3147,11334
sctap1,COSMO,dual infeasible,0.05729413032531738,500,-inf,480,780,2172
sctap2,COSMO,optimal,3.1327459812164307,17700,1724.8338159170821,1880,2970,8594
sctap3,COSMO,optimal,3.660606861114502,16200,1423.9978933298512,2480,3960,11354
share1b,COSMO,max_iter_reached,4.505980968475342,100000,-59292.08678477291,225,342,1376
share2b,COSMO,dual infeasible,0.03502988815307617,100,-inf,79,175,773
shell,COSMO,optimal,1.5471811294555664,14200,1208846885.9163957,1775,2311,5331
ship04l,COSMO,dual infeasible,0.09779810905456543,300,-inf,2118,2520,8450
ship04s,COSMO,optimal,4.9494850635528564,53900,1798654.4224122535,1458,1860,5810
