name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
25fv47,OSQP,max_iter_reached,14.717095375061035,100000,5538.759048985952,1571,2392,11971,0,0.005414929,14.711136475,0.0,0
80bau3b,OSQP,solver_error,42.167179107666016,100000,987257.3208197564,9799,12061,30801,0,0.010815274,42.155489272,0.0,0
adlittle,OSQP,optimal,3.9224603176116943,56275,225476.17722462493,97,153,480,0,0.000141207,3.9218874870000002,0.0,0
afiro,OSQP,optimal,0.0036525726318359375,2675,-464.7532183907687,32,59,115,0,5.3646e-05,0.003197485,0.0,0
agg,OSQP,max_iter_reached,18.815773487091064,100000,-35241271.254663944,163,651,2573,0,0.000696301,18.814599943,0.0,0
agg2,OSQP,max_iter_reached,12.961554050445557,100000,-15879595.649464909,302,818,4586,0,0.001827037,12.959131507,0.0,0
agg3,OSQP,max_iter_reached,6.607706546783447,100000,15142018.133620473,302,818,4602,0,0.001514437,6.605649508,0.0,0
bandm,OSQP,optimal,4.480161428451538,67675,-158.6211995528331,472,777,2966,0,0.000791807,4.478815835,0.0,0
beaconfd,OSQP,optimal,10.23830771446228,90075,33592.82668876583,262,435,3637,0,0.000810565,10.236978853,0.0,0
blend,OSQP,optimal,12.348971128463745,6050,-30.815565278208748,83,157,574,0,0.000174021,0.029019638,0.0,0
bnl1,OSQP,solver_error,18.88838791847229,100000,1966.425131472686,1175,1818,6296,0,0.002105064,18.885755234,0.0,0
bnl2,OSQP,solver_error,28.52501678466797,100000,1830.026244322055,3489,5813,17488,0,0.011768585,28.512511476,0.0,0
bore3d,OSQP,solver_error,64.49690389633179,100000,1396.3838448887534,315,548,1744,0,0.000480062,64.495919144,0.0,0
brandy,OSQP,max_iter_reached,1.6749486923217773,100000,1519.4985290401758,249,469,2397,0,0.000585062,1.673925288,0.0,0
capri,OSQP,max_iter_reached,1.9848005771636963,100000,2698.6419056129566,353,624,2120,0,0.000648961,1.983623953,0.0,0
cycle,OSQP,max_iter_reached,27.31169629096985,100000,-4.32799574549952,2857,4760,23577,0,0.008363213,27.302710584,0.0,0
czprob,OSQP,optimal,2.4282150268554688,21250,2185397.007242309,3523,4452,14192,0,0.006644575,2.421006811,0.0,0
d2q06c,OSQP,max_iter_reached,56.19792652130127,100000,123080.9351650021,5167,7338,37584,0,0.021666061,56.175464021,0.0,0
d6cube,OSQP,optimal,1.01499605178833,2625,315.4683963921565,6184,6599,43888,0,0.014855766,0.999572974,0.0,0
degen2,OSQP,optimal,0.017302274703979492,275,-1435.2685995581598,534,978,4512,0,0.002217999,0.014707042,0.0,0
degen3,OSQP,optimal,0.19910001754760742,550,-987.2494459424148,1818,3321,26464,0,0.020003741,0.178504825,0.0,0
dfl001,OSQP,max_iter_reached,527.3242657184601,100000,-3518478871.7512097,12230,18301,47862,0,1.331111386,525.992181497,0.0,0
e226,OSQP,max_iter_reached,5.291048049926758,100000,-18.752529038321807,282,505,2860,0,0.000670864,5.289941529,0.0,0
etamacro,OSQP,solver_error,10.845191478729248,100000,-753.2071116196851,688,1088,3097,0,0.001905113,10.842812787,0.0,0
fffff800,OSQP,max_iter_reached,22.38908886909485,100000,643765.4384325533,854,1378,7081,0,0.002682473,22.385883938,0.0,0
finnis,OSQP,max_iter_reached,24.01604461669922,100000,172778.30606417917,614,1111,2924,0,0.001012925,24.014570693,0.0,0
fit1d,OSQP,max_iter_reached,23.512520790100098,100000,-9119.72496610149,1026,1050,14430,0,0.002254614,23.509682288,0.0,0
fit1p,OSQP,solver_error,18.223083019256592,100000,9065.184894832131,1677,2304,11545,0,0.004258606,18.2182861,0.0,0
fit2d,OSQP,optimal,0.8546442985534668,1025,-68462.63891227108,10500,10525,139518,0,0.013491773,0.839965937,0.0,0
fit2p,OSQP,optimal,0.8683803081512451,1675,68463.46137221807,13525,16525,63809,0,0.023158657,0.844275566,0.0,0
ganges,OSQP,max_iter_reached,9.153532266616821,100000,-109503.97232585147,1681,2990,8593,0,0.002051973,9.150940858,0.0,0
gfrd-pnc,OSQP,solver_error,46.595810651779175,100000,6902329.66106684,1092,1708,3469,0,0.000784042,46.594523798,0.0,0
greenbea,OSQP,max_iter_reached,50.206228733062744,100000,-67560717.69503134,5405,7797,36282,0,0.022812889,50.182667281,0.0,0
greenbeb,OSQP,solver_error,49.81357383728027,100000,-4304857.564500967,5405,7797,36282,0,0.02245612,49.790350261,0.0,0
grow15,OSQP,max_iter_reached,4.029834270477295,100000,-39363273.53764416,645,945,6265,0,0.001193393,4.028131473,0.0,0
grow22,OSQP,max_iter_reached,6.0295891761779785,100000,-59580246.41566457,946,1386,9198,0,0.001749099,6.027308029,0.0,0
grow7,OSQP,max_iter_reached,9.566151142120361,100000,-17669629.507210545,301,441,2913,0,0.000622884,9.565084287,0.0,0
israel,OSQP,max_iter_reached,9.937968492507935,100000,-101898.3151321434,142,316,2411,0,0.000560671,9.93699321,0.0,0
kb2,OSQP,max_iter_reached,3.9931342601776123,100000,-1744.3414659567632,41,84,327,0,8.208e-05,3.992654682,0.0,0
lotfi,OSQP,max_iter_reached,16.847211360931396,100000,182.13342753355343,308,461,1386,0,0.000406656,16.846399909,0.0,0
maros-r7,OSQP,solver_error,372.67131304740906,100000,1497201.5619859896,9408,12544,154256,0,0.380886979,372.289259801,0.0,0
maros,OSQP,max_iter_reached,13.201579809188843,100000,-51368.17419481758,1443,2289,11057,0,0.004109954,13.196871817,0.0,0
modszk1,OSQP,solver_error,5.0618977546691895,100000,585107.6452199932,1620,2307,4788,0,0.001236899,5.06010792,0.0,0
perold,OSQP,max_iter_reached,10.497374534606934,100000,-8934.70642639564,1376,2001,7394,0,0.003568406,10.493285123,0.0,0
pilot.ja,OSQP,max_iter_reached,19.41384220123291,100000,-3702.0377490103892,1988,2928,16686,0,0.008428913,19.404840814,0.0,0
pilot,OSQP,max_iter_reached,57.189308643341064,100000,-508.04091832613926,3652,5093,46819,0,0.038483835,57.150085688,0.0,0
pilot.we,OSQP,solver_error,11.798742532730103,100000,-2724435.431815634,2789,3511,11915,0,0.00331774,11.794787019,0.0,0
pilot4,OSQP,max_iter_reached,5.358346700668335,100000,-249.67884913319062,1000,1410,6141,0,0.001713874,5.356086427,0.0,0
pilot87,OSQP,max_iter_reached,155.147234916687,100000,314.122174289477,4883,6913,78035,0,0.142365253,155.004025354,0.0,0
pilotnov,OSQP,max_iter_reached,18.891810417175293,100000,-1998.6937907564413,2172,3147,15229,0,0.007844833,18.883239038,0.0,0
recipe,OSQP,optimal,0.024987459182739258,3775,-266.6160173065666,180,271,843,0,0.000165296,0.024399979,0.0,0
sc105,OSQP,solver_error,1.4081642627716064,100000,-50.771658599612344,103,208,383,0,0.000148742,1.407594376,0.0,0
sc205,OSQP,solver_error,1.2214679718017578,100000,-3.5642962460738006,203,408,754,0,0.000252925,1.220759868,0.0,0
sc50a,OSQP,optimal,0.040029287338256836,18600,-64.57504841358606,48,98,178,0,8.1513e-05,0.039469364,0.0,0
sc50b,OSQP,optimal,0.6497290134429932,17375,-70.00048631930672,48,98,166,0,7.8472e-05,0.649234935,0.0,0
scagr25,OSQP,optimal,0.799454927444458,40025,-14752452.866856813,500,971,2054,0,0.000489145,0.798441634,0.0,0
scagr7,OSQP,solver_error,13.936866760253906,100000,-2331709.898622464,140,269,560,0,0.000163916,13.936287918,0.0,0
scfxm1,OSQP,max_iter_reached,4.094023704528809,100000,18635.75327561761,457,787,3046,0,0.000764469,4.092776741,0.0,0
scfxm2,OSQP,max_iter_reached,5.212039947509766,100000,36908.78058630127,914,1574,6097,0,0.001578598,5.209949367,0.0,0
scfxm3,OSQP,max_iter_reached,8.154327154159546,100000,55184.29036903586,1371,2361,9148,0,0.002152906,8.15161856,0.0,0
scorpion,OSQP,solver_error,1.4951491355895996,100000,1877.632915965634,358,746,1784,0,0.000425853,1.494270096,0.0,0
scrs8,OSQP,solver_error,16.142688751220703,100000,890.7456623009756,1169,1659,4351,0,0.001058346,16.141082596,0.0,0
scsd1,OSQP,optimal,0.030292272567749023,1375,8.665372940614834,760,837,3148,0,0.000728773,0.029089779,0.0,0
