name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,COSMO,max_iter_reached,11.37159514427185,100000,20.58585095688516,407,755,1847
bgetam,COSMO,max_iter_reached,17.149910926818848,100000,-394.8846734539511,688,1088,3097
bgindy,COSMO,max_iter_reached,188.37417483329773,100000,34814960.96840898,10116,12787,75618
bgprtr,COSMO,max_iter_reached,2.508923053741455,100000,7151817.967602046,34,54,98
box1,COSMO,primal infeasible,0.033416032791137695,200,inf,261,492,912
ceria3d,COSMO,max_iter_reached,26.427186965942383,100000,-0.9984734630677906,824,4400,18426
chemcom,COSMO,max_iter_reached,7.86322808265686,100000,41389.44727721192,720,1008,2286
cplex1,COSMO,max_iter_reached,27.25276207923889,100000,-7325029714490.264,3221,6226,12165
cplex2,COSMO,max_iter_reached,3.9139559268951416,100000,0.6553062587040507,221,445,1279
ex72a,COSMO,primal infeasible,0.02444291114807129,600,inf,215,412,682
ex73a,COSMO,primal infeasible,0.04244709014892578,500,inf,211,404,668
forest6,COSMO,primal infeasible,0.05199694633483887,1800,inf,95,161,305
galenet,COSMO,max_iter_reached,1.7951500415802002,100000,0.0,8,16,24
gosh,COSMO,max_iter_reached,303.58837509155273,100000,403.9669468227213,10733,14525,107964
gran,COSMO,max_iter_reached,59.949235916137695,100000,-5461.150870835361,2520,5178,22626
greenbea,COSMO,max_iter_reached,112.5633659362793,100000,-3705374.146973093,5405,7797,36282
itest2,COSMO,max_iter_reached,2.759320020675659,100000,0.0,4,13,21
itest6,COSMO,max_iter_reached,2.3572750091552734,100000,64002.34909058527,8,19,28
klein1,COSMO,max_iter_reached,3.3603498935699463,100000,0.0,54,108,750
klein2,COSMO,max_iter_reached,5.799511194229126,100000,0.0,54,531,4639
klein3,COSMO,max_iter_reached,11.559669971466064,100000,0.0,88,1082,12195
mondou2,COSMO,dual infeasible,0.04828906059265137,200,-inf,604,916,1812
pang,COSMO,max_iter_reached,7.505872011184692,100000,-20272062423.46764,460,821,3112
pilot4i,COSMO,max_iter_reached,18.84554100036621,100000,-3852.6513928701515,1000,1410,6141
qual,COSMO,max_iter_reached,6.3299560546875,100000,-61300.6001720323,464,787,2110
reactor,COSMO,max_iter_reached,10.973494052886963,100000,-350649.4184705482,637,955,3057
refinery,COSMO,primal infeasible,2.2725861072540283,26000,inf,464,787,2090
vol1,COSMO,max_iter_reached,10.748999118804932,100000,-62328.97234622608,464,787,2110
woodinfe,COSMO,primal infeasible,0.014106035232543945,300,inf,89,124,229
