name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,ECOS,primal infeasible,0.029718875885009766,,inf,407,755,1847
bgetam,ECOS,primal infeasible,0.08977150917053223,,inf,688,1088,3097
bgindy,ECOS,primal infeasible,8.380379915237427,,inf,10116,12787,75618
bgprtr,ECOS,primal infeasible,0.012726783752441406,,inf,34,54,98
box1,ECOS,primal infeasible,0.019118547439575195,,inf,261,492,912
ceria3d,ECOS,primal infeasible,0.457014799118042,,inf,824,4400,18426
chemcom,ECOS,primal infeasible,0.03712964057922363,,inf,720,1008,2286
cplex1,ECOS,primal infeasible,0.22343730926513672,,inf,3221,6226,12165
cplex2,ECOS,solver_error,,,,221,445,1279
ex72a,ECOS,primal infeasible,0.017667531967163086,,inf,215,412,682
ex73a,ECOS,primal infeasible,0.016768693923950195,,inf,211,404,668
forest6,ECOS,primal infeasible,0.012913942337036133,,inf,95,161,305
galenet,ECOS,primal infeasible,0.011326074600219727,,inf,8,16,24
gosh,ECOS,solver_error,,,,10733,14525,107964
gran,ECOS,solver_error,,,,2520,5178,22626
greenbea,ECOS,solver_error,,,,5405,7797,36282
itest2,ECOS,primal infeasible,0.008838176727294922,,inf,4,13,21
itest6,ECOS,primal infeasible,0.009770870208740234,,inf,8,19,28
klein1,ECOS,solver_error,,,,54,108,750
klein2,ECOS,primal infeasible,0.0701754093170166,,inf,54,531,4639
klein3,ECOS,primal infeasible,0.23595905303955078,,inf,88,1082,12195
mondou2,ECOS,primal infeasible,0.024318933486938477,,inf,604,916,1812
pang,ECOS,solver_error,,,,460,821,3112
pilot4i,ECOS,solver_error,,,,1000,1410,6141
qual,ECOS,primal infeasible,0.07379412651062012,,inf,464,787,2110
reactor,ECOS,primal infeasible,0.07713198661804199,,inf,637,955,3057
refinery,ECOS,primal infeasible,0.039722442626953125,,inf,464,787,2090
vol1,ECOS,primal infeasible,0.06670951843261719,,inf,464,787,2110
woodinfe,ECOS,primal infeasible,0.011789560317993164,,inf,89,124,229
