name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
bgdbg1,OSQP,primal infeasible,0.00970315933227539,375,inf,407,755,1847,0,0.000705586,0.007965726,0.0,0
bgetam,OSQP,primal infeasible,0.14375948905944824,2050,inf,688,1088,3097,0,0.002364154,0.140425687,0.0,0
bgindy,OSQP,primal infeasible,20.927839756011963,11525,inf,10116,12787,75618,0,0.114399913,20.811394626,0.0,8
bgprtr,OSQP,primal infeasible,0.0014085769653320312,275,inf,34,54,98,0,0.000100722,0.000528091,0.0,1
box1,OSQP,primal infeasible,0.002093791961669922,50,inf,261,492,912,0,0.000314985,0.000820034,0.0,1
ceria3d,OSQP,primal infeasible,5.769270658493042,30325,inf,824,4400,18426,0,0.006001509,5.762089688,0.0,15
chemcom,OSQP,primal infeasible,0.032792091369628906,550,inf,720,1008,2286,0,0.001294826,0.030213141,0.0,3
cplex1,OSQP,max_iter_reached,16.726780652999878,100000,-6824435997172.517,3221,6226,12165,0,0.007361882,16.718189439,0.0,4
cplex2,OSQP,primal infeasible,0.5309793949127197,34275,inf,221,445,1279,0,0.000515723,0.529550062,0.0,68
ex72a,OSQP,primal infeasible,0.010863780975341797,650,inf,215,412,682,0,0.000386695,0.009457956,0.0,4
ex73a,OSQP,primal infeasible,0.007565498352050781,425,inf,211,404,668,0,0.000363697,0.006081329,0.0,4
forest6,OSQP,primal infeasible,0.030723094940185547,4950,inf,95,161,305,0,0.000179843,0.029520172,0.0,22
galenet,OSQP,primal infeasible,0.0011997222900390625,75,inf,8,16,24,0,5.7671e-05,0.000157358,0.0,0
gosh,OSQP,max_iter_reached,271.58258962631226,100000,176.9351355541756,10733,14525,107964,0,0.086015989,271.49432983,0.0,4
gran,OSQP,primal infeasible,11.478739023208618,22675,inf,2520,5178,22626,0,0.011656769,11.465993097,0.0,9
greenbea,OSQP,max_iter_reached,102.67959785461426,100000,-72106632.66517046,5405,7797,36282,0,0.032191054,102.645922185,0.0,5
itest2,OSQP,primal infeasible,0.0008802413940429688,75,inf,4,13,21,0,5.2876e-05,0.000102967,0.0,0
itest6,OSQP,primal infeasible,0.0007574558258056641,50,inf,8,19,28,0,5.0171e-05,7.6133e-05,0.0,0
klein1,OSQP,max_iter_reached,0.6780049800872803,100000,0.0,54,108,750,0,0.000283383,0.676858681,0.0,5
klein2,OSQP,max_iter_reached,2.215780735015869,100000,0.0,54,531,4639,0,0.001444005,2.213438884,0.0,5
klein3,OSQP,max_iter_reached,5.645526885986328,100000,0.0,88,1082,12195,0,0.004750165,5.639822392,0.0,5
mondou2,OSQP,primal infeasible,0.053009033203125,1200,inf,604,916,1812,0,0.000741325,0.049299116,0.0,6
pang,OSQP,dual infeasible,0.6063354015350342,18975,-inf,460,821,3112,0,0.001042594,0.604462671,0.0,4
pilot4i,OSQP,max_iter_reached,6.257065057754517,100000,-3648.236929846953,1000,1410,6141,0,0.002000845,6.254186965,0.0,38
qual,OSQP,max_iter_reached,2.453554391860962,100000,-61166.61829938215,464,787,2110,0,0.00072366,2.452000152,0.0,3
reactor,OSQP,max_iter_reached,3.4074618816375732,100000,-358310.1694240566,637,955,3057,0,0.001139688,3.405444028,0.0,4
refinery,OSQP,primal infeasible,1.2197504043579102,49575,inf,464,787,2090,0,0.000871098,1.204096032,0.0,3
vol1,OSQP,max_iter_reached,2.415980815887451,100000,-62428.676069348585,464,787,2110,0,0.000723691,2.414310244,0.0,2
woodinfe,OSQP,primal infeasible,0.0028791427612304688,350,inf,89,124,229,0,0.000121397,0.001873399,0.0,0
