name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,QPALM,primal infeasible,0.0630178451538086,65,10.849607817103111,407,755,1847
bgetam,QPALM,primal infeasible,0.09660148620605469,83,-409.61935055544984,688,1088,3097
bgindy,QPALM,primal infeasible,1.2666590213775635,65,24203934.318267856,10116,12787,75618
bgprtr,QPALM,primal infeasible,0.0031669139862060547,25,7391584.55471331,34,54,98
box1,QPALM,primal infeasible,0.0032858848571777344,5,260.995151335496,261,492,912
ceria3d,QPALM,primal infeasible,0.1306324005126953,52,-0.9972241599735042,824,4400,18426
chemcom,QPALM,primal infeasible,0.017847061157226562,28,43927.0401266653,720,1008,2286
cplex1,QPALM,primal infeasible,0.18008732795715332,58,-2652149976.099177,3221,6226,12165
cplex2,QPALM,max_iter_reached,4.634207487106323,10000,0.6557973559340466,221,445,1279
ex72a,QPALM,primal infeasible,0.0038771629333496094,7,218.87916258036918,215,412,682
ex73a,QPALM,primal infeasible,0.0036954879760742188,6,215.40790565185327,211,404,668
forest6,QPALM,primal infeasible,0.0061893463134765625,57,440926.99520648114,95,161,305
galenet,QPALM,primal infeasible,0.002529144287109375,10,6.294255968332406e-21,8,16,24
gosh,QPALM,primal infeasible,10.561096668243408,287,7.810180859374886,10733,14525,107964
gran,QPALM,primal infeasible,0.9267995357513428,180,-6237.918215707176,2520,5178,22626
greenbea,QPALM,max_iter_reached,58.29330062866211,10000,-72466330.31796479,5405,7797,36282
itest2,QPALM,primal infeasible,0.0035490989685058594,7,-4.529313360141147e-22,4,13,21
itest6,QPALM,primal infeasible,0.003519296646118164,9,66009.55452420845,8,19,28
klein1,QPALM,primal infeasible,0.009756326675415039,107,-9.764199776245964e-16,54,108,750
klein2,QPALM,primal infeasible,0.009649991989135742,18,-2.189323184900621e-14,54,531,4639
klein3,QPALM,primal infeasible,0.0255587100982666,18,-4.8184987131274e-14,88,1082,12195
mondou2,QPALM,primal infeasible,0.025935649871826172,50,353146706.7866589,604,916,1812
pang,QPALM,primal infeasible,0.05213451385498047,85,-43440.68740920402,460,821,3112
pilot4i,QPALM,primal infeasible,0.5927302837371826,404,-1349.2944220175393,1000,1410,6141
qual,QPALM,primal infeasible,0.16761040687561035,414,-59967.30403281237,464,787,2110
reactor,QPALM,primal infeasible,0.14090228080749512,261,-347165.4332102381,637,955,3057
refinery,QPALM,primal infeasible,0.06769180297851562,151,-63574.45593102867,464,787,2090
vol1,QPALM,primal infeasible,0.15361618995666504,400,-61626.90072227429,464,787,2110
woodinfe,QPALM,primal infeasible,0.004945516586303711,37,22504.10023636936,89,124,229
