name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS-3.0,primal infeasible,0.003000020980834961,50,inf,407,755,1847,1.162025,1.512084,0.1,0
bgetam,SCS-3.0,primal infeasible,0.0070307254791259766,50,inf,688,1088,3097,2.868639,3.854223,0.1,0
bgindy,SCS-3.0,dual infeasible,0.09223818778991699,0,-inf,10116,12787,75618,85.242432,3.965326,0.1,0
bgprtr,SCS-3.0,primal infeasible,0.0024938583374023438,1150,inf,34,54,98,0.166524,2.065207,0.01680502313944282,1
box1,SCS-3.0,primal infeasible,0.0027310848236083984,125,inf,261,492,912,0.637108,1.791277,370.74315377863206,1
ceria3d,SCS-3.0,primal infeasible,0.20481610298156738,1175,inf,824,3576,17602,7.868751,195.97539,0.018880602725152282,2
chemcom,SCS-3.0,primal infeasible,0.004808902740478516,75,inf,720,1008,2286,1.62002,2.878113,0.1,0
cplex1,SCS-3.0,primal infeasible,0.010883092880249023,0,inf,3221,6226,12165,8.793531,1.075394,0.1,0
cplex2,SCS-3.0,max_iter_reached,1.5085160732269287,100000,0.6550514744033449,221,445,1279,0.735257,1507.449753,10.24843366071592,5
ex72a,SCS-3.0,primal infeasible,0.0023488998413085938,125,inf,215,412,682,0.471021,1.620798,328.69150988842995,1
ex73a,SCS-3.0,primal infeasible,0.0021529197692871094,125,inf,211,404,668,0.462696,1.433501,323.86974662389764,1
forest6,SCS-3.0,primal infeasible,0.0014579296112060547,150,inf,95,161,305,0.266269,0.923583,0.1,0
galenet,SCS-3.0,primal infeasible,0.000598907470703125,25,inf,8,16,24,0.107979,0.199011,0.1,0
gosh,SCS-3.0,max_iter_reached,173.41610431671143,100000,-7.429786343081759,10733,14283,107722,75.547282,173331.0058,0.0018627081771337198,16
gran,SCS-3.0,primal infeasible,1.427009105682373,4325,inf,2520,5178,22626,14.771973,1410.962135,0.1,0
greenbea,SCS-3.0,dual infeasible,0.32514190673828125,375,-inf,5405,7797,36282,32.360522,290.426779,0.0003531013366366245,3
itest2,SCS-3.0,primal infeasible,0.0004718303680419922,25,inf,4,13,21,0.11207,0.108541,0.1,0
itest6,SCS-3.0,primal infeasible,0.0004229545593261719,25,inf,8,19,28,0.110245,0.079886,0.1,0
klein1,SCS-3.0,primal infeasible,0.01258993148803711,1800,inf,54,108,750,0.430343,11.883585,1e-06,4
klein2,SCS-3.0,primal infeasible,0.004172086715698242,75,inf,54,531,4639,1.923845,1.88349,0.1,0
klein3,SCS-3.0,primal infeasible,0.008242368698120117,25,inf,88,1082,12195,6.137521,1.651193,0.1,0
mondou2,SCS-3.0,primal infeasible,0.0019440650939941406,0,inf,604,916,1812,1.139184,0.424994,0.1,0
pang,SCS-3.0,max_iter_reached,4.333246231079102,100000,3726.1674626438917,460,805,3096,1.977125,4330.701941,0.023666264539100524,1
pilot4i,SCS-3.0,max_iter_reached,7.27097487449646,100000,-3432.712361024451,1000,1322,6053,3.876654,7266.403741,1e-06,4
qual,SCS-3.0,max_iter_reached,3.1330759525299072,100000,-61071.77668313935,464,787,2110,1.226491,3131.441039,0.007596284176678256,2
reactor,SCS-3.0,dual infeasible,0.004599094390869141,50,-inf,637,955,3057,1.813565,2.503727,0.1,0
refinery,SCS-3.0,primal infeasible,0.2659640312194824,9150,inf,464,787,2090,1.263543,264.286489,0.00898388249063667,2
vol1,SCS-3.0,max_iter_reached,3.080209970474243,100000,-62515.978248555,464,787,2110,1.177189,3078.605048,0.008593929532237124,2
woodinfe,SCS-3.0,primal infeasible,0.0016918182373046875,225,inf,89,124,229,0.239341,1.110346,0.7262784886532151,2
